Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;FE8;FE8 Pos;chiptime;diff;gender
18th;87;Sebastian Noah Vaagan Myhren-Asad;CK Nittedal;Gutter 13-14 år;1:40.28;19;7:07.23;15;1:53.15;19;3:56.63;20;;;;;;;;;14:37.29;+3:41.26;M
19th;137;Iver Krogsveen;CK Nittedal;Gutter 13-14 år;1:39.68;18;7:17.23;16;1:58.67;21;3:45.78;18;;;;;;;;;14:41.36;+3:45.33;M
20th;134;Henrik Haugseth;Eidsvoll SK;Gutter 13-14 år;1:34.00;11;8:41.90;21;1:47.80;18;3:56.00;19;;;;;;;;;15:59.70;+5:03.67;M
21st;80;Tigo Emanuel Breivik James;CK Nittedal;Gutter 13-14 år;2:10.68;21;8:32.07;20;1:58.25;20;4:14.00;21;;;;;;;;;16:55.00;+5:58.97;M
;89;Herman Edvardsen Prestmarken;Ringerike SK;Gutter 13-14 år;1:47.40;20;18:06.95;22;;DNS;;DNS;;;;;;;;;DNF;;M
1st;62;Simen Østraat Hauken;Hafrsfjord SK;Gutter 15-16 år;6:06.41;2;3:36.10;1;4:39.08;1;1:25.91;6;4:29.40;1;4:10.57;1;5:50.57;2;;;30:18.04;;M
2nd;59;Emil Hernes;SK Rye sykkel;Gutter 15-16 år;6:05.13;1;3:42.79;2;4:44.50;3;1:23.33;5;4:36.51;3;4:11.52;2;5:51.80;3;;;30:35.58;+0:17.54;M
3rd;65;Storm Rødby Eilertsen;Aron Sportsklubb;Gutter 15-16 år;6:31.72;3;3:51.62;4;4:44.12;2;1:20.38;2;4:36.40;2;4:16.46;3;5:49.95;1;;;31:10.65;+0:52.61;M
4th;63;Aadne Førsund Hjelmtvedt;Re SK;Gutter 15-16 år;6:39.22;5;4:04.50;8;5:04.88;5;1:22.68;4;4:52.46;4;4:24.52;4;6:13.65;4;;;32:41.91;+2:23.87;M
5th;71;Sindre Hynne-Øye;CK Nittedal;Gutter 15-16 år;6:41.43;6;3:58.05;5;5:07.50;7;1:20.98;3;4:54.80;5;4:30.85;5;6:30.65;6;;;33:04.26;+2:46.22;M
6th;66;Ferdinand Leknes;;Gutter 15-16 år;6:37.73;4;4:08.22;9;5:00.33;4;1:19.68;1;5:01.10;6;4:33.80;6;6:40.85;8;;;33:21.71;+3:03.67;M
7th;67;Vetle Tyskerud Breivik;Hafrsfjord SK;Gutter 15-16 år;7:16.17;11;3:51.27;3;5:05.65;6;1:32.27;14;5:02.92;8;4:36.18;8;6:28.90;5;;;33:53.36;+3:35.32;M
8th;61;Fredrik Stensby;Eidsvoll SK;Gutter 15-16 år;6:58.43;9;4:03.40;7;5:20.97;8;1:31.95;13;5:02.25;7;4:47.90;9;6:42.06;9;;;34:26.96;+4:08.92;M
9th;68;Sverre Heen;Ringerike SK;Gutter 15-16 år;7:04.60;10;4:12.25;11;5:36.03;13;1:31.25;12;5:18.08;9;4:53.81;11;6:33.73;7;;;35:09.75;+4:51.71;M
10th;99;Sigurd Høibjelke Sæternes  Rye SK;;Gutter 15-16 år;7:16.93;13;4:01.70;6;5:35.62;12;1:27.43;9;5:26.80;12;4:35.80;7;7:09.33;13;;;35:33.61;+5:15.57;M
11th;64;Andreas Rasmussen;Hafrsfjord SK;Gutter 15-16 år;7:22.25;15;4:13.45;12;5:31.40;11;1:26.98;7;5:24.50;11;4:52.25;10;6:56.83;10;;;35:47.66;+5:29.62;M
12th;76;Aksel Valen-Sendstad;CK Nittedal;Gutter 15-16 år;6:58.40;8;4:24.66;13;5:27.25;9;1:35.65;16;5:23.46;10;5:06.72;13;7:06.44;12;;;36:02.58;+5:44.54;M
13th;69;Levi Johannes Aas;Sandefjord SK;Gutter 15-16 år;6:53.92;7;4:11.62;10;5:27.85;10;1:27.15;8;5:53.25;14;5:35.32;15;7:23.63;14;;;36:52.74;+6:34.70;M
14th;70;Håkon Bruksås Henning;SK Rye sykkel;Gutter 15-16 år;7:22.31;16;4:50.82;18;6:03.18;15;1:30.81;11;5:50.40;13;5:01.08;12;7:02.87;11;;;37:41.47;+7:23.43;M
15th;75;Erik Landråk;Hafrsfjord SK;Gutter 15-16 år;7:56.85;18;4:44.69;17;6:23.75;17;1:32.92;15;6:13.75;15;6:01.29;16;7:57.12;15;;;40:50.37;+10:32.33;M
16th;74;Oliver Raastad-Hoel;Aron Sportsklubb;Gutter 15-16 år;7:16.34;12;4:26.65;14;6:18.88;16;1:30.73;10;16:30.52;16;5:32.57;14;8:14.15;16;;;49:49.84;+19:31.80;M
;72;Thomas Sandvik Reiersen;IF Frøy;Gutter 15-16 år;7:21.20;14;4:42.66;16;5:49.62;14;;DNF;;DNS;;DNS;;DNS;;;DNF;;M
;60;Noah Øverjordet;IF Frøy;Gutter 15-16 år;7:40.48;17;4:39.50;15;6:26.75;18;;DNF;;DNS;;DNS;;DNS;;;DNF;;M
;73;Iver Bjella Unneberg;IF Frøy;Gutter 15-16 år;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;DNS;;M
1st;77;Erle Berg Liane;Harstad CK;Jenter 15-16 år;9:45.83;1;6:10.12;1;7:48.50;1;1:54.40;1;8:46.45;1;8:21.80;1;10:23.53;1;;;53:10.63;;F
1st;44;Anna Arvidsson;Uddevalla CK;Kvinner Senior;6:41.17;1;4:04.39;1;5:14.76;1;7:10.70;3;1:36.82;3;5:31.59;2;5:01.72;1;6:53.10;1;42:14.25;;F
2nd;58;Izabela Lidzbarska;Bergen CK;Kvinner Senior;7:36.95;3;4:41.85;3;5:37.71;2;6:55.01;1;1:28.35;1;5:26.73;1;5:04.68;2;7:11.85;2;44:03.13;+1:48.88;F
3rd;43;Henriette Bryhn;IK Hero;Kvinner Senior;7:17.50;2;4:41.67;2;6:08.59;3;6:56.58;2;1:34.83;2;5:42.46;3;5:07.72;3;8:16.93;3;45:46.28;+3:32.03;F
;45;Anette Røssum Bastnes;Aron Sportsklubb;Kvinner Senior;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;DNS;;F
1st;30;Nadja Mlodyszewski;Siggerud IL;Kvinner Master;6:52.60;1;4:21.77;1;5:24.15;1;7:13.45;1;1:28.38;1;5:32.41;1;5:12.37;1;7:01.50;1;43:06.63;;F
2nd;28;Mari Aarrestad;Siggerud IL;Kvinner Master;7:32.15;2;4:46.25;2;5:55.22;2;7:51.38;2;1:34.38;2;6:04.06;2;5:47.75;2;8:01.73;2;47:32.92;+4:26.29;F
3rd;25;Lise Marie Wiik;;Kvinner Master;7:42.35;3;4:51.47;3;6:06.20;3;8:26.88;3;1:40.63;4;6:38.35;3;6:25.23;3;8:19.98;3;50:11.09;+7:04.46;F
4th;26;Synnøve Lofthus;Romsås IL sykkel;Kvinner Master;7:53.60;4;4:53.42;4;6:31.28;4;9:28.70;4;1:37.40;3;6:50.65;4;6:25.61;4;8:29.29;4;52:09.95;+9:03.32;F
5th;27;Anette Dale;Vennesla OCK;Kvinner Master;8:51.35;7;5:07.07;5;7:04.58;5;11:57.73;6;1:42.13;5;7:50.45;5;7:10.07;6;8:59.30;5;58:42.68;+15:36.05;F
6th;24;Gjertrud Halset;Hafrsfjord SK;Kvinner Master;8:45.37;6;5:23.62;6;7:27.13;6;10:57.52;5;1:47.18;6;8:03.42;6;7:01.13;5;10:51.65;6;60:17.02;+17:10.39;F
;29;Lene Skotnes;Hafrsfjord SK;Kvinner Master;8:10.90;5;5:35.17;7;8:00.65;7;;DNF;;DNS;;DNS;;DNS;;;DNF;;F
1st;56;Bård Gujord Røisli;CK Nittedal;Menn 17-18 år Junior;5:44.90;1;3:28.00;1;4:24.87;1;5:19.37;1;1:17.73;1;4:12.51;1;4:02.73;1;5:24.10;1;33:54.21;;M
2nd;54;Simen Føsker;Lørenskog CK;Menn 17-18 år Junior;6:12.45;3;3:40.92;2;4:40.60;2;5:22.50;2;1:18.54;3;4:29.65;2;4:10.95;2;5:35.50;2;35:31.11;+1:36.90;M
3rd;55;Jacob Vebostad;CK Nittedal;Menn 17-18 år Junior;6:15.00;5;3:51.12;6;4:47.60;4;5:38.30;3;1:31.15;9;5:00.25;7;4:13.73;3;5:56.35;3;37:13.50;+3:19.29;M
4th;46;Mats Laeskogen;Lillehammer CK;Menn 17-18 år Junior;6:14.95;4;3:41.35;3;5:03.35;7;5:53.38;6;1:18.00;2;4:52.85;5;4:26.51;6;6:13.21;5;37:43.60;+3:49.39;M
5th;53;Tallak Hustoft;CK Nittedal;Menn 17-18 år Junior;6:25.37;6;3:50.25;5;4:54.72;5;5:43.27;4;1:19.25;4;4:54.30;6;4:28.87;7;6:29.68;8;38:05.71;+4:11.50;M
6th;49;Jonas Aspmo Pfaffhuber;SK Rye sykkel;Menn 17-18 år Junior;6:33.50;7;3:58.96;7;4:59.83;6;5:49.97;5;1:22.60;6;4:41.87;3;4:23.84;4;6:18.65;6;38:09.22;+4:15.01;M
7th;50;Marius Nakken;Molde CK;Menn 17-18 år Junior;6:07.45;2;3:43.83;4;4:44.17;3;9:36.15;9;1:26.23;7;4:47.81;4;4:25.48;5;6:03.25;4;40:54.37;+7:00.16;M
8th;47;Jasper Johannessen Faurby;CK Nittedal;Menn 17-18 år Junior;7:10.76;8;4:36.45;8;5:32.98;8;6:12.57;7;1:22.58;5;5:03.36;8;4:43.73;8;6:26.48;7;41:08.91;+7:14.70;M
9th;78;Vetle Lie Karlsen;Re SK;Menn 17-18 år Junior;8:08.36;9;4:42.60;9;6:27.45;9;7:58.75;8;1:29.30;8;6:07.30;9;5:43.40;9;8:03.02;9;48:40.18;+14:45.97;M
;52;Nikolai Aspenes;IF Frøy;Menn 17-18 år Junior;9:03.57;10;5:29.15;11;7:04.82;10;10:32.62;10;1:48.21;10;;DNF;;DNS;;;DNF;;M
;57;Christian Marstein Olsen;CK Nittedal;Menn 17-18 år Junior;9:55.20;11;5:07.59;10;8:07.79;11;;DNF;;DNS;;DNS;;DNS;;;DNF;;M
;51;Tobias Malmstrøm-Johansen;Hafrsfjord SK;Menn 17-18 år Junior;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;DNS;;M
;48;Jon Bache-Wiig;SK Rye sykkel;Menn 17-18 år Junior;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;DNS;;M
1st;41;William Scheele;SK Rye sykkel;Menn Senior;5:32.90;1;3:18.96;1;4:17.15;1;4:58.72;1;1:14.64;1;4:07.12;1;3:49.27;2;5:20.72;2;32:39.48;;M
2nd;31;Jo Gujord Røisli;CK Nittedal;Menn Senior;6:20.91;6;3:36.64;4;4:24.88;3;5:12.35;3;1:17.70;2;4:09.59;2;3:49.15;1;5:20.08;1;34:11.30;+1:31.82;M
3rd;39;Ola Jåvold Landmark;Bærum OCK;Menn Senior;6:01.80;3;3:35.00;3;4:28.73;4;5:40.43;5;1:18.40;3;4:30.51;4;4:01.90;3;5:24.60;3;35:01.37;+2:21.89;M
4th;38;Lars Dreyer;Hafrsfjord SK;Menn Senior;6:15.25;4;3:43.30;5;4:39.88;5;5:29.53;4;1:23.60;6;4:27.60;3;4:03.08;4;5:50.50;4;35:52.74;+3:13.26;M
5th;34;Simon Risan;SK Rye sykkel;Menn Senior;6:17.91;5;3:52.89;6;4:47.32;6;5:59.19;6;1:20.60;4;4:55.70;7;4:22.30;5;6:36.78;9;38:12.69;+5:33.21;M
6th;35;Sindre Martin Moe Sollund;Molde CK;Menn Senior;6:25.82;7;3:55.58;9;4:52.72;7;6:06.93;7;1:27.56;8;4:52.65;5;4:24.83;6;6:11.17;5;38:17.26;+5:37.78;M
7th;32;Adam Paulsen;;Menn Senior;6:48.90;11;4:11.75;11;5:13.05;10;6:56.25;9;1:26.92;7;4:54.30;6;4:30.78;8;6:36.20;8;40:38.15;+7:58.67;M
8th;40;Nino Vignes;;Menn Senior;7:02.56;12;4:22.62;12;6:03.75;12;7:14.00;12;1:30.13;9;5:36.75;9;5:06.70;11;6:50.05;12;43:46.56;+11:07.08;M
9th;36;Markus Baust;;Menn Senior;7:15.85;13;4:35.21;13;6:03.88;13;7:10.32;11;1:31.68;10;5:47.34;10;5:02.65;10;6:46.72;11;44:13.65;+11:34.17;M
10th;1000;Mike Cook;;Menn Senior;6:27.53;8;4:00.21;10;4:53.80;8;7:06.78;10;1:31.90;11;11:32.67;11;5:18.35;12;6:11.20;6;47:02.44;+14:22.96;M
11th;42;Trym Varland;;Menn Senior;6:45.74;10;3:54.26;8;5:17.63;11;6:20.65;8;1:21.03;5;20:42.60;12;4:29.83;7;6:40.22;10;55:31.96;+22:52.48;M
12th;33;Jesper Hassfjord;Gresvik IF;Menn Senior;6:32.42;9;3:53.53;7;5:00.86;9;20:00.00;13;20:00.00;13;5:05.50;8;4:45.07;9;6:17.92;7;71:35.30;+38:55.82;M
;37;Ole-Herman Bergby;IK Hero;Menn Senior;5:45.39;2;3:28.97;2;4:22.13;2;4:59.63;2;2:47.08;12;;DNF;;DNS;;;DNF;;M
1st;3;Dag Lofthus;TVK;Menn Master;6:14.25;1;3:44.80;1;4:39.55;1;6:01.73;1;1:28.78;11;4:45.61;1;4:24.64;1;6:00.95;1;37:20.31;;M
2nd;8;Kristoffer Rakneberg;Bergen MTB Klubb;Menn Master;6:22.82;2;3:55.77;3;5:00.66;3;6:15.47;4;1:23.20;2;4:55.10;2;4:36.53;2;6:08.35;2;38:37.90;+1:17.59;M
3rd;15;Christopher Christophersen;Hafrsfjord SK;Menn Master;6:26.47;4;3:58.95;4;4:55.40;2;6:11.45;3;1:21.84;1;4:57.52;3;4:39.14;3;6:18.38;3;38:49.15;+1:28.84;M
4th;23;Eric Aksdal;Bergen MTB Klubb;Menn Master;6:41.25;7;4:00.45;5;5:13.30;5;6:09.10;2;1:23.75;4;5:02.05;4;4:44.63;4;6:32.40;4;39:46.93;+2:26.62;M
5th;10;Jonathan Paddon;;Menn Master;6:36.64;5;3:50.95;2;5:28.70;8;6:34.09;6;1:23.25;3;5:20.06;6;4:59.80;7;6:46.67;8;41:00.16;+3:39.85;M
6th;6;Fredrik Bekkåsen;;Menn Master;6:47.88;10;4:02.39;8;5:13.63;6;6:37.13;8;1:26.40;7;5:32.98;10;4:48.65;5;6:44.10;7;41:13.16;+3:52.85;M
7th;7;Børge Hernes;SK Rye sykkel;Menn Master;6:59.48;11;4:13.60;12;5:35.93;13;6:32.12;5;1:28.00;9;5:22.66;7;4:57.20;6;7:08.71;12;42:17.70;+4:57.39;M
8th;14;Ola Myklatun Krosness;;Menn Master;6:25.30;3;4:02.14;7;5:08.91;4;6:34.55;7;1:25.63;5;5:04.15;5;7:00.05;19;6:39.00;5;42:19.73;+4:59.42;M
9th;13;Arne Hanto Moen;;Menn Master;6:44.60;9;4:16.11;13;5:32.30;12;6:43.69;9;1:25.66;6;5:41.31;12;5:12.47;9;7:08.45;11;42:44.59;+5:24.28;M
10th;79;Jarl Jørgensen;Kolbotn FK;Menn Master;6:59.71;12;4:17.37;14;5:30.10;10;6:54.93;11;1:30.35;14;5:22.69;8;5:16.65;10;7:00.46;9;42:52.26;+5:31.95;M
11th;11;Morten Pedersen;;Menn Master;7:17.18;18;4:19.81;16;5:29.88;9;6:51.80;10;1:27.23;8;5:46.86;14;5:03.29;8;6:41.80;6;42:57.85;+5:37.54;M
12th;12;Anders Rox Friberg;;Menn Master;7:03.23;14;4:18.70;15;5:39.70;15;7:07.20;13;1:28.73;10;5:25.75;9;5:21.23;11;7:28.03;15;43:52.57;+6:32.26;M
13th;9;Luca D'Angelo;Gresvik IF;Menn Master;7:10.58;16;4:12.50;11;5:36.73;14;6:58.16;12;1:29.05;12;5:41.70;13;5:22.57;13;7:22.13;14;43:53.42;+6:33.11;M
14th;20;Martin Liane;Harstad CK;Menn Master;7:03.11;13;4:12.25;10;5:26.47;7;7:26.88;15;1:35.45;18;5:39.05;11;5:21.90;12;7:19.10;13;44:04.21;+6:43.90;M
15th;16;Jan Henrik Høilund;SK Rye sykkel;Menn Master;7:22.58;20;4:31.35;19;5:56.17;16;7:33.25;17;1:30.52;15;5:50.05;15;5:37.85;14;7:53.95;18;46:15.72;+8:55.41;M
16th;22;Fredrik Nygaard;Drøbak-Frogn IL Sykkel;Menn Master;7:20.68;19;4:25.48;18;6:00.80;17;8:28.95;19;1:31.88;16;6:16.61;16;6:11.02;18;7:49.22;17;48:04.64;+10:44.33;M
17th;2;Anders Olsson;;Menn Master;7:12.18;17;4:20.35;17;6:07.93;18;9:30.00;21;1:33.90;17;6:45.44;19;5:39.67;15;7:05.32;10;48:14.79;+10:54.48;M
18th;18;Olav Rasmussen;Hafrsfjord SK;Menn Master;7:38.75;22;4:43.31;22;6:12.52;19;8:20.80;18;1:38.39;20;6:22.15;17;5:55.45;16;7:57.37;19;48:48.74;+11:28.43;M
19th;21;Audun Kristiansen;IF Frøy;Menn Master;7:29.95;21;4:35.16;20;6:57.57;21;8:34.23;20;1:36.15;19;6:41.81;18;5:57.90;17;7:38.50;16;49:31.27;+12:10.96;M
;4;Vegard Dybvad;;Menn Master;13:59.48;23;7:22.02;23;;DNF;;DNS;;DNS;;DNS;;DNS;;;DNF;;M
;5;Marius Monssveen;;Menn Master;6:43.15;8;4:09.85;9;5:31.13;11;7:23.65;14;1:30.20;13;;DNF;;DNS;;;DNF;;M
;17;Pål Nakken;Molde CK;Menn Master;6:37.65;6;4:01.11;6;6:24.78;20;;DNF;;DNS;;DNS;;DNS;;;DNF;;M
;1;Frode Bredesen;Harstad CK;Menn Master;7:06.27;15;4:41.47;21;9:13.10;22;7:31.32;16;;DNF;;DNS;;DNS;;;DNF;;M
;19;Henning Brenders;;Menn Master;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;DNS;;M
