bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;chiptime;Pos Klasse;gender
62;Morten Mathiesen;Menn Senior 17+;Førstereis;70;0:05:51;48;0:09:47;44;0:07:45;43;0:05:57;;;M
40;Sindre Aarøy Holtet;Menn Senior 17+;;33;0:04:51;42;0:09:35;64;0:09:20;39;0:05:52;;;M
46;Henrik Olsen;Menn Senior 17+;Flow Enduro;46;0:05:09;70;0:11:48;32;0:07:18;31;0:05:36;;;M
20;Kristian Akselsen;Menn Senior 17+;;57;0:05:21;58;0:10:16;55;0:08:32;46;0:06:03;;;M
80;Mats uverud Nyegaard;Menn Senior 17+;HHL;50;0:05:12;63;0:10:29;51;0:08:15;50;0:06:17;;;M
50;Tommy Strandvold;Menn Senior 17+;Team Letth ;56;0:05:18;56;0:10:10;61;0:08:50;51;0:06:20;;;M
42;Morten Bertelsen;Menn Senior 17+;Team Letth;66;0:05:41;52;0:09:58;60;0:08:47;57;0:06:29;;;M
28;Erik Martinsen;Menn Senior 17+;Team Letth;65;0:05:29;61;0:10:24;62;0:08:51;54;0:06:25;;;M
60;Rolf Jappee;Menn Senior 17+;Hakadal IL;69;0:05:49;64;0:10:33;56;0:08:32;52;0:06:21;;;M
79;Jan Henrik Høilund;Menn Senior 17+;Njård;71;0:05:52;62;0:10:27;58;0:08:34;55;0:06:27;;;M
31;Stian Halvorsen;Menn Senior 17+;;72;0:05:52;60;0:10:23;52;0:08:17;60;0:07:06;;;M
58;Are Pedersen;Menn Senior 17+;HHL;67;0:05:42;66;0:10:58;57;0:08:34;58;0:06:56;;;M
39;Mikael Strandenæs;Menn Senior 17+;Krutttønna SK;63;0:05:28;57;0:10:15;63;0:09:02;64;0:07:27;;;M
73;Tobias Bjerknes;Menn Senior 17+;CK Nittedal;54;0:05:15;54;0:10:02;70;0:10:46;61;0:07:13;;;M
70;Geir Ottar Kvernstuen;Menn Senior 17+;SK Rye;64;0:05:28;38;0:09:31;35;0:07:28;68;0:11:00;;;M
52;Marius Stenshagen;Menn Senior 17+;Nittedal ck/ Årvoll øl og sykkelklubb;80;0:07:32;65;0:10:49;59;0:08:37;59;0:07:04;;;M
51;Rune Karlsrud;Menn Senior 17+;KrokskogenTCK;77;0:06:33;68;0:11:31;66;0:09:47;63;0:07:23;;;M
56;Stian Bjørnli;Menn Senior 17+;Flow Enduro;76;0:06:24;71;0:12:03;65;0:09:41;62;0:07:20;;;M
47;Christian Rief;Menn Senior 17+;;31;0:04:50;79;0:18:37;21;0:06:56;25;0:05:26;;;M
57;Knut Harald Smette;Menn Senior 17+;Fri Flyt;45;0:05:05;30;0:09:17;72;0:17:56;35;0:05:45;;;M
36;Marius Diseth;Menn Senior 17+;Ck nittedal;74;0:06:06;74;0:13:11;69;0:10:39;66;0:08:38;;;M
49;Nikolai Sebastian Engebretsen;Menn Senior 17+;;81;0:07:34;77;0:14:32;68;0:10:35;65;0:07:52;;;M
54;Even Børhaug;Menn Senior 17+;;79;0:06:58;75;0:13:12;71;0:13:28;67;0:09:13;;;M
23;Kristoffer Berdal;Menn Senior 17+;IK Hero;68;0:05:47;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;;;M
25;Kristian Hauglum;Menn Senior 17+;;59;0:05:23;44;0:09:39;DNF;00:00:00;DNS;00:00:00;;;M
35;Frode Nilsen;Menn Senior 17+;;39;0:04:57;33;0:09:26;54;0:08:25;DNF;00:00:00;;;M
37;Christophe Pons;Menn Senior 17+;;75;0:06:20;69;0:11:34;DNF;00:00:00;DNS;00:00:00;;;M
61;Fredrik Holst;Menn Senior 17+;;DNF;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;;;M
63;Jo Vegard Goderstad;Menn Senior 17+;Gutta krutt;78;0:06:50;73;0:12:34;DNS;00:00:00;DNS;00:00:00;;;M
66;Jens Bergmann;Menn Senior 17+;Sk Rye;11;0:04:20;DNF;00:00:00;DNS;00:00:00;DNS;00:00:00;;;M
67;Hans Christian Kåsen;Menn Senior 17+;IK Hero;73;0:06:05;67;0:11:18;67;0:10:09;DNS;00:00:00;;;M
71;Sander Røsås;Menn Senior 17+;IF Frøy;9;0:04:16;2;0:07:29;49;0:08:03;DNS;00:00:00;;;M
81;Fredrik Lingvall;Menn Senior 17+;SK Rye;61;0:05:27;78;0:17:15;73;0:18:19;DNS;00:00:00;;;M
84;Kim-Erik Larsen;Menn Senior 17+;Moss BMX ;22;0:04:37;41;0:09:34;43;0:07:44;DNS;00:00:00;;;M
97;Tage Rickard Sundell;Menn Senior 17+;Sogn CK;35;0:04:53;28;0:09:14;DNS;00:00:00;DNS;00:00:00;;;M
99;Jonas Olsson;Menn Senior 17+;SK Rye;30;0:04:49;25;0:08:56;DNS;00:00:00;DNS;00:00:00;;;M
116;Fredrik Tøien;Menn Senior 17+;IK HERO;60;0:05:23;76;0:14:17;DNS;00:00:00;DNS;00:00:00;;;M
151;Elias Stubergh;Gutter 12-14 år;Mysen IF Sykkel;1;0:04:02;1;0:07:09;;;;;;;M
153;Sondre Rød Goska;Gutter 12-14 år;Mysen IF  sykkel;4;0:04:13;2;0:07:30;;;;;;;M
152;Mads Langeland;Gutter 12-14 år;KCK;2;0:04:10;3;0:07:50;;;;;;;M
139;Alexander Sandengen;Gutter 12-14 år;Kongens`berg sti og landeveisrøvere;5;0:04:14;4;0:07:52;;;;;;;M
154;Brage Lidsheim;Gutter 12-14 år;CK Nittedal;8;0:04:36;5;0:07:55;;;;;;;M
134;William Rø;Gutter 12-14 år;;7;0:04:26;6;0:08:03;;;;;;;M
136;Eirik Ølnes Ødegårdstuen;Gutter 12-14 år;Rye SK;12;0:05:02;7;0:08:10;;;;;;;M
155;Petter Brochmann;Gutter 12-14 år;Nittedal CK ;9;0:04:38;8;0:08:22;;;;;;;M
148;Oscar Holst;Gutter 12-14 år;;6;0:04:18;9;0:08:59;;;;;;;M
140;Jesper Vea Halvorsen;Gutter 12-14 år;;10;0:04:53;10;0:09:51;;;;;;;M
137;Ola Skeie Gamkinn;Gutter 12-14 år;Gran;13;0:05:12;11;0:09:52;;;;;;;M
135;Jo Gujord Røisli;Gutter 12-14 år;IF Frøy;19;0:17:11;12;0:10:07;;;;;;;M
149;Herman  jorud Meyer;Gutter 12-14 år;Mysen IF Sykkel;16;0:05:24;13;0:10:26;;;;;;;M
144;William Smith;Gutter 12-14 år;Gutta krutt;14;0:05:12;14;0:11:02;;;;;;;M
142;Aleksander Berget Hansen;Gutter 12-14 år;;15;0:05:24;15;0:11:26;;;;;;;M
138;Elliot Sjølie;Gutter 12-14 år;Rye;17;0:06:18;16;0:12:26;;;;;;;M
147;Sebastien Amat;Gutter 12-14 år;CK Nittedal enduro;18;0:08:01;17;0:12:34;;;;;;;M
146;Anders Kvalheim;Gutter 12-14 år;Rye;3;0:04:11;18;00:00:00;;;;;;;M
141;Ola Trøan;Gutter 12-14 år;;11;0:04:56;19;00:00:00;;;;;;;M
143;Jo Randar Holmøy;Gutter 12-14 år;Hadeland CK;20;00:00:00;20;00:00:00;;;;;;;M
160;Tobias Sandengen;Gutter 15-16 år;Kongens`berg sti og landeveisrøvere;1;0:03:42;1;0:06:32;4;0:04:40;;;;;M
159;William Scheele;Gutter 15-16 år;Rye;5;0:03:51;3;0:06:45;5;0:04:42;;;;;M
162;Erlend Ruud;Gutter 15-16 år;Team Flytsti;6;0:03:55;4;0:06:52;1;0:04:34;;;;;M
173;Peder Kirkebøen;Gutter 15-16 år;Hemsedal il sykkelgruppa ;4;0:03:45;6;0:07:03;6;0:04:43;;;;;M
167;Mathias Nilsen;Gutter 15-16 år;Flytsti;2;0:03:42;8;0:07:07;7;0:04:45;;;;;M
171;Joachim Hansen;Gutter 15-16 år;Mysen IF;3;0:03:44;2;0:06:34;11;0:05:22;;;;;M
174;Per Einar Brovold;Gutter 15-16 år;Maridalen;8;0:04:11;9;0:07:09;3;0:04:39;;;;;M
170;Mikkel Pedersen;Gutter 15-16 år;IF FRØY;7;0:04:09;5;0:07:00;9;0:04:59;;;;;M
163;Iver Eriksen;Gutter 15-16 år;Rye;9;0:04:12;10;0:07:47;14;0:05:31;;;;;M
175;Vetle Slemdahl;Gutter 15-16 år;Kck (Kristiansands sykkel klubb);15;0:05:06;16;0:08:07;2;0:04:37;;;;;M
168;Kevin Scott Johnsen;Gutter 15-16 år;;12;0:04:37;14;0:08:04;12;0:05:25;;;;;M
166;Marcus Nilsen;Gutter 15-16 år;Flytsti;11;0:04:33;13;0:07:57;15;0:05:49;;;;;M
158;Gudbrand Skeie Gamkinn;Gutter 15-16 år;Gran;14;0:05:06;12;0:07:53;13;0:05:27;;;;;M
172;Henrik Langeland Nielsen;Gutter 15-16 år;Kristiansand Cykleklubb ;18;0:06:31;7;0:07:03;10;0:05:12;;;;;M
161;Alexander Bredesen;Gutter 15-16 år;Duke Sport;13;0:05:01;15;0:08:06;16;0:05:52;;;;;M
177;Olivet Vedahl;Gutter 15-16 år;Mysen;19;0:14:25;11;0:07:48;8;0:04:55;;;;;M
156;Leo Solland;Gutter 15-16 år;Nesodden Sykkelklubb/Team Santa Cruz Norge;17;0:06:16;DNS;00:00:00;DNS;00:00:00;;;;;M
157;Martin Fuglstad;Gutter 15-16 år;;10;0:04:22;17;0:08:50;DNS;00:00:00;;;;;M
176;Oscar Eriksen;Gutter 15-16 år;;16;0:05:39;DNF;00:00:00;DNS;00:00:00;;;;;M
