bib;name;gender;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class
147;Albin Littorin-Sandbu;M;00:05:47;16;00:04:29;18;00:06:56;12;00:05:14;11;00:05:27;6;00:27:53;8;Menn senior
136;Baard Hellebostad;M;00:05:46;14;00:04:27;17;00:06:55;10;00:05:16;12;00:05:31;10;00:27:55;9;Menn senior
160;Nils einar Berget;M;00:05:47;15;00:04:23;9;00:07:05;15;00:05:09;7;00:05:37;12;00:28:01;10;Menn senior
144;Johannes Lund;M;00:05:48;17;00:04:36;27;00:06:58;13;00:05:12;8;00:05:27;7;00:28:01;11;Menn senior
151;Pål Grotnes;M;00:05:44;13;00:04:26;13;00:07:07;18;00:05:21;13;00:05:37;13;00:28:15;12;Menn senior
149;Joachim Ski Torp;M;00:05:33;10;00:04:27;16;00:06:56;11;00:05:47;38;00:05:37;14;00:28:20;13;Menn senior
138;Michal Wiecyk;M;00:05:51;18;00:04:27;15;00:06:59;14;00:05:25;16;00:05:42;15;00:28:24;14;Menn senior
161;Simen Danielsen;M;00:05:51;19;00:04:31;20;00:07:05;17;00:05:26;18;00:05:47;18;00:28:40;15;Menn senior
113;Pontus Olofsson;M;00:05:51;20;00:04:30;19;00:07:08;20;00:05:24;15;00:05:51;21;00:28:44;16;Menn senior
134;Erlend Hegrum Askjer;M;00:05:53;21;00:04:25;11;00:07:09;23;00:05:26;17;00:05:56;29;00:28:49;17;Menn senior
104;Tilmann Schwab;M;00:05:58;26;00:04:36;28;00:07:17;26;00:05:32;20;00:05:51;20;00:29:14;18;Menn senior
153;Oscar Schiøtz Smith;M;00:06:00;28;00:04:33;22;00:07:14;25;00:05:35;25;00:05:53;23;00:29:15;19;Menn senior
155;Karsten Hjelseth;M;00:05:53;22;00:04:34;25;00:07:20;28;00:05:36;27;00:05:57;30;00:29:20;20;Menn senior
127;Pedro Filipe Matos;M;00:06:03;32;00:04:35;26;00:07:09;22;00:05:35;23;00:06:00;35;00:29:22;21;Menn senior
150;Magnus Grönberg;M;00:06:01;29;00:04:43;36;00:07:13;24;00:05:43;37;00:05:55;26;00:29:35;22;Menn senior
48;Petter Fyksen Lund;M;00:06:05;36;00:04:48;41;00:07:19;27;00:05:40;32;00:05:47;17;00:29:39;23;Menn senior
146;Harald Brekke;M;00:06:02;30;00:04:42;34;00:07:26;30;00:05:38;29;00:05:56;28;00:29:44;24;Menn senior
37;Stig Ove Simensen;M;00:05:54;23;00:04:26;14;00:08:37;87;00:05:23;14;00:05:36;11;00:29:56;25;Menn senior
47;Ola Myklatun Krosness;M;00:06:05;37;00:04:50;45;00:07:21;29;00:05:30;19;00:06:10;41;00:29:56;26;Menn senior
61;Kjetil Øygard;M;00:06:04;34;00:04:48;42;00:07:27;34;00:05:35;24;00:06:04;38;00:29:58;27;Menn senior
64;Sindre Bunkholt;M;00:05:56;25;00:04:37;30;00:07:35;41;00:05:48;40;00:06:04;37;00:30:00;28;Menn senior
159;Sjur Høy Færden;M;00:06:06;39;00:04:43;35;00:07:28;36;00:05:41;34;00:06:06;39;00:30:04;29;Menn senior
76;Kim Andersen;M;00:06:07;40;00:04:54;52;00:07:27;35;00:05:39;31;00:05:58;33;00:30:05;30;Menn senior
70;Martin Svendsen;M;00:06:12;46;00:04:52;49;00:07:34;40;00:05:38;30;00:05:54;25;00:30:10;31;Menn senior
31;Øyvind Hem;M;00:06:04;33;00:04:43;37;00:07:29;37;00:05:42;36;00:06:13;45;00:30:11;32;Menn senior
158;Morten Mølsted;M;00:06:34;76;00:04:42;33;00:07:27;32;00:05:40;33;00:05:52;22;00:30:15;33;Menn senior
42;Espen Kebely;M;00:06:06;38;00:04:46;39;00:07:34;39;00:06:02;54;00:05:56;27;00:30:24;34;Menn senior
103;Henrik Olsen;M;00:06:27;68;00:04:52;50;00:07:36;42;00:05:34;22;00:06:14;46;00:30:43;35;Menn senior
41;Sindre Lidsheim;M;00:06:18;51;00:04:54;53;00:07:39;43;00:05:55;45;00:05:58;32;00:30:44;36;Menn senior
45;Andreas Gjærde;M;00:06:07;41;00:04:50;43;00:07:26;31;00:06:32;79;00:05:50;19;00:30:45;37;Menn senior
79;Vegard Arnesen;M;00:06:23;57;00:04:43;38;00:07:49;51;00:05:54;43;00:05:59;34;00:30:48;38;Menn senior
152;Morgan Bakken;M;00:06:10;44;00:04:38;31;00:08:26;79;00:05:36;26;00:06:00;36;00:30:50;39;Menn senior
46;Rune Tangen;M;00:06:15;47;00:04:58;62;00:07:48;48;00:05:47;39;00:06:07;40;00:30:55;40;Menn senior
62;Kristoffer Andresen;M;00:06:25;62;00:04:50;44;00:07:33;38;00:05:51;41;00:06:19;50;00:30:58;41;Menn senior
39;Thomas Ramstad;M;00:05:59;27;00:04:37;29;00:07:50;52;00:06:30;78;00:06:11;42;00:31:07;42;Menn senior
156;Kristian Eckhoff;M;00:06:16;48;00:04:58;61;00:08:00;60;00:05:55;46;00:06:12;43;00:31:21;43;Menn senior
110;Philip Bjørkesett;M;00:06:03;31;00:04:33;23;00:07:27;33;00:07:22;100;00:05:58;31;00:31:23;44;Menn senior
107;Morten Iversen Stordahl;M;00:06:21;55;00:04:56;55;00:07:43;45;00:05:58;51;00:06:31;59;00:31:29;45;Menn senior
117;Martin Steen;M;00:06:26;66;00:04:47;40;00:07:44;46;00:05:56;48;00:06:38;64;00:31:31;46;Menn senior
54;Anders Disen;M;00:06:26;65;00:04:57;58;00:07:52;53;00:05:51;42;00:06:28;56;00:31:34;47;Menn senior
89;Håvard Mageli;M;00:06:27;67;00:04:55;54;00:07:49;50;00:06:03;56;00:06:22;53;00:31:36;48;Menn senior
162;Eirik Bækken;M;00:06:37;77;00:05:02;66;00:08:00;59;00:05:54;44;00:06:15;49;00:31:48;49;Menn senior
35;Geir Jørgensen;M;00:06:24;59;00:05:01;65;00:08:01;61;00:06:04;57;00:06:21;52;00:31:51;50;Menn senior
52;Petter Anthonsen;M;00:06:24;61;00:04:57;59;00:08:06;67;00:05:57;50;00:06:27;55;00:31:51;51;Menn senior
84;Espen Strandbråten;M;00:06:21;56;00:05:20;87;00:07:54;54;00:05:57;49;00:06:20;51;00:31:52;52;Menn senior
72;Jonathan Paddon;M;00:06:25;64;00:04:56;57;00:08:03;65;00:06:06;60;00:06:29;57;00:31:59;53;Menn senior
132;Joar Sørvik Solem;M;00:05:29;6;00:04:21;8;00:06:48;7;00:05:14;9;00:10:10;103;00:32:02;54;Menn senior
73;Tommy Pham;M;00:06:47;87;00:05:05;68;00:07:59;58;00:05:56;47;00:06:15;47;00:32:02;55;Menn senior
116;Tore Åkergren;M;00:06:29;71;00:04:58;63;00:08:02;64;00:05:58;52;00:06:37;62;00:32:04;56;Menn senior
119;Tor Ivan Rudi;M;00:06:21;54;00:04:51;48;00:07:48;49;00:06:33;80;00:06:49;73;00:32:22;57;Menn senior
71;Henning Brenders;M;00:06:11;45;00:04:51;47;00:08:25;78;00:06:16;65;00:06:40;65;00:32:23;58;Menn senior
32;Martin Myrvang;M;00:06:16;49;00:05:08;73;00:07:56;56;00:05:41;35;00:07:23;92;00:32:24;59;Menn senior
109;Joachim Venberget;M;00:06:33;75;00:05:08;71;00:08:20;76;00:06:17;67;00:06:12;44;00:32:30;60;Menn senior
97;Bjørn Tscherning Hjulstad;M;00:06:41;82;00:05:08;74;00:08:03;66;00:06:10;62;00:06:30;58;00:32:32;61;Menn senior
43;Fredrik Smith;M;00:05:54;24;00:04:34;24;00:07:05;16;00:09:16;105;00:05:44;16;00:32:33;62;Menn senior
78;Endre Aarvik;M;00:06:29;70;00:05:06;70;00:07:54;55;00:06:53;94;00:06:34;61;00:32:56;63;Menn senior
122;Vidar Folden;M;00:06:38;80;00:05:11;77;00:08:17;72;00:06:06;59;00:06:49;72;00:33:01;64;Menn senior
67;Kristoffer Steen;M;00:06:32;74;00:05:05;67;00:08:18;74;00:06:23;74;00:06:48;69;00:33:06;65;Menn senior
83;Chris Gjessing;M;00:06:24;60;00:05:33;99;00:08:20;77;00:06:17;66;00:06:32;60;00:33:06;66;Menn senior
106;Stian Lie;M;00:06:45;85;00:05:12;80;00:08:30;80;00:06:27;77;00:06:23;54;00:33:17;67;Menn senior
129;Fredrik Nygaard;M;00:06:50;89;00:05:15;84;00:08:16;70;00:06:18;69;00:06:40;66;00:33:19;68;Menn senior
88;Alexander Hauger;M;00:07:20;103;00:05:01;64;00:08:17;73;00:06:03;55;00:06:57;79;00:33:38;69;Menn senior
93;Piotr Susfal;M;00:06:39;81;00:05:14;82;00:08:40;89;00:06:18;70;00:06:47;67;00:33:38;70;Menn senior
114;Geir Inge Sandnes;M;00:06:28;69;00:05:08;72;00:08:40;88;00:06:38;84;00:06:47;68;00:33:41;71;Menn senior
36;Ole Henrik Eriksen;M;00:06:47;88;00:05:11;78;00:08:01;62;00:06:13;63;00:07:31;97;00:33:43;72;Menn senior
66;Mats Nyegaard;M;00:06:31;73;00:05:23;90;00:08:20;75;00:06:34;81;00:06:55;77;00:33:43;73;Menn senior
80;Tor Einar Løberg;M;00:07:01;98;00:05:16;85;00:08:34;83;00:06:18;68;00:06:37;63;00:33:46;74;Menn senior
118;Arne Diederik Kildahl;M;00:06:53;91;00:05:22;89;00:08:32;81;00:06:25;76;00:06:48;70;00:34:00;75;Menn senior
56;Henrik Moberg;M;00:06:58;96;00:05:12;81;00:08:16;71;00:06:36;83;00:07:04;81;00:34:06;76;Menn senior
111;Alexandre Bremer;M;00:06:29;72;00:05:09;75;00:08:47;92;00:06:16;64;00:07:29;95;00:34:10;77;Menn senior
96;Roy Ripe;M;00:07:05;99;00:05:25;93;00:08:37;86;00:06:18;71;00:06:54;76;00:34:19;78;Menn senior
98;William Andersen;M;00:06:23;58;00:05:27;94;00:08:52;93;00:06:50;89;00:06:49;71;00:34:21;79;Menn senior
92;Stian Eilifsen;M;00:06:58;95;00:05:20;86;00:08:32;82;00:06:19;72;00:07:23;91;00:34:32;80;Menn senior
102;Kjetil Hagen;M;00:06:20;53;00:05:10;76;00:09:19;100;00:07:07;96;00:06:51;75;00:34:47;81;Menn senior
91;Stein Brudal;M;00:07:24;105;00:05:27;95;00:08:35;84;00:06:23;75;00:07:09;82;00:34:58;82;Menn senior
115;Petter Christiansen;M;00:06:54;93;00:05:21;88;00:08:43;90;00:06:50;88;00:07:11;84;00:34:59;83;Menn senior
124;Stener Bjørnstad;M;00:06:59;97;00:05:30;97;00:08:55;94;00:06:34;82;00:07:02;80;00:35:00;84;Menn senior
99;Eivind Bjerke;M;00:06:54;92;00:05:23;91;00:08:46;91;00:06:50;91;00:07:12;87;00:35:05;85;Menn senior
50;Tom Ruud;M;00:07:44;108;00:04:56;56;00:09:05;96;00:06:02;53;00:07:29;94;00:35:16;86;Menn senior
135;Andre Aamodt;M;00:05:27;5;00:04:24;10;00:07:08;21;00:05:33;21;00:12:45;104;00:35:17;87;Menn senior
81;Sondre Eidsten;M;00:06:53;90;00:05:11;79;00:09:08;98;00:06:50;92;00:07:32;98;00:35:34;88;Menn senior
57;Erik Nilsen;M;00:06:56;94;00:05:35;100;00:09:05;97;00:06:45;86;00:07:30;96;00:35:51;89;Menn senior
65;Anders Skaarer;M;00:07:12;101;00:05:29;96;00:09:08;99;00:06:50;90;00:07:17;89;00:35:56;90;Menn senior
100;Ingemar Gustavsson;M;00:07:44;109;00:05:31;98;00:08:56;95;00:06:48;87;00:07:47;100;00:36:46;91;Menn senior
120;Daniel Sletten;M;00:07:15;102;00:05:44;102;00:09:21;101;00:07:24;101;00:07:26;93;00:37:10;92;Menn senior
123;Nils Einar Hervig;M;00:07:27;106;00:05:50;103;00:09:44;103;00:07:09;97;00:07:18;90;00:37:28;93;Menn senior
126;Nico Serey;M;00:06:09;43;00:12:00;114;00:07:57;57;00:06:04;58;00:05:53;24;00:38:03;94;Menn senior
75;Adam Hahne;M;00:07:22;104;00:06:11;106;00:09:58;105;00:07:18;98;00:07:14;88;00:38:03;95;Menn senior
95;Henning Ardraa;M;00:06:44;84;00:06:29;110;00:08:08;68;00:09:50;106;00:07:12;86;00:38:23;96;Menn senior
40;Mats Kristian Svendsen;M;00:07:33;107;00:06:05;104;00:09:51;104;00:07:21;99;00:07:43;99;00:38:33;97;Menn senior
87;Erik Seljetun;M;00:08:04;110;00:06:14;108;00:09:33;102;00:07:26;102;00:07:51;101;00:39:08;98;Menn senior
108;Mats Kvaalen;M;00:06:38;79;00:05:15;83;00:14:13;109;00:06:57;95;00:06:57;78;00:40:00;99;Menn senior
55;Fredrik Tøien;M;00:06:25;63;00:04:58;60;00:15:26;112;00:06:51;93;00:07:12;85;00:40:52;100;Menn senior
121;Espen Karlsen;M;00:06:41;83;00:05:06;69;00:08:02;63;00:06:09;61;00:15:10;106;00:41:08;101;Menn senior
105;Simon Halt;M;00:13:06;114;00:08:34;112;00:07:45;47;00:05:38;28;00:06:51;74;00:41:54;102;Menn senior
33;Andreas Holm;M;00:06:19;52;00:04:53;51;00:07:40;44;00:23:40;108;;DNS;00:42:32;103;Menn senior
112;Mathias Huuse Marley;M;00:06:09;42;00:04:32;21;00:07:07;19;00:19:50;107;00:06:15;48;00:43:53;104;Menn senior
82;Eirik Johannessen;M;00:06:46;86;00:05:23;92;00:15:25;111;00:06:23;73;00:14:24;105;00:48:21;105;Menn senior
59;Hans Christian Kåsen;M;00:23:54;115;00:05:36;101;00:08:36;85;00:06:40;85;00:07:10;83;00:51:56;106;Menn senior
58;Marcin Cypryjan;M;00:25:18;116;00:06:29;109;00:10:13;106;00:07:39;104;00:08:05;102;00:57:44;107;Menn senior
44;Andreas Nome;M;00:08:10;112;00:06:11;105;00:10:30;107;00:07:35;103;00:28:17;107;01:00:43;108;Menn senior
101;Knut Egil Oppberget;M;00:06:37;78;00:06:13;107;;DNS;00:00:00;DNS;00:00:00;DNS;00:12:50;DNF;Menn senior
49;Gaute Birkeland Kjellsen;M;00:07:06;100;00:09:10;113;;DNS;00:00:00;DNS;00:00:00;DNS;00:16:16;DNF;Menn senior
145;Magnus Sørli;M;00:05:37;11;00:04:10;5;00:06:48;8;00:00:00;DNS;00:00:00;DNS;00:16:35;DNF;Menn senior
74;Lars Eithun;M;00:09:22;113;00:08:02;111;;DNS;00:00:00;DNS;00:00:00;DNS;00:17:24;DNF;Menn senior
90;Hans Marius Bråthen;M;00:06:04;35;00:04:40;32;00:08:11;69;00:00:00;DNS;00:00:00;DNS;00:18:55;DNF;Menn senior
85;Stian Storm;M;00:06:17;50;00:04:50;46;00:14:21;110;00:00:00;DNS;00:00:00;DNS;00:25:28;DNF;Menn senior
154;Oskar Brodin;M;00:08:07;111;00:12:00;115;00:11:00;108;00:00:00;DNS;00:00:00;DNS;00:31:07;DNF;Menn senior
140;Lars Sandviken;M;00:05:26;4;00:00:00;116;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:05:26;DNF;Menn senior
34;Jon Vegar Aga Kjærgaard;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
38;Jørgen Heir;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
51;Thomas Henriksen;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
53;Kristian Hauglum;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
60;Kristoffer Engen;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
63;Simen Scharning;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
68;Christian Tidemann;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
69;Steinar Ødenes;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
77;Kristian Hægeland;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
86;Marius Stenshagen;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
94;Mats Uverud Nyegaard;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
133;Björn Larsson;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
148;Per Henrik Thorp;M;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;Menn senior
