Startnumber;Firstname;Surname;Gender;Club;Class;Race;Status;Total Time;Rank;Diff Winner
10;Evelina Fredrika;Kollerud;F;Lillehammer CK;K11-12;FE3;OK;15:34.4;2;2:58.3
17;Sigurd;Stensby;M;Eidsvoll SK;M11-12;FE3;OK;12:42.2;11;4:43.0
20;Jonatan;Staff-Hansen;M;Eidsvoll SK;M11-12;FE3;DNS;0:00.0;12;7:59.1
48;Florian;Vanbuggenhout-Mogensen;M;Lillehammer CK;M15-16;FE3;DNS;0:00.0;11;6:07.5
43;Håvard;Røisland;M;Lillehammer CK;M15-16;FE4;1;7:50.3;1;0:00.0
52;Lavrans Jøranli;Sundgaard;M;Lillehammer CK;M15-16;FE4;1;8:17.7;2;0:27.4
37;Silas;Vanbuggenhout-Mogensen;M;Lillehammer CK;M13-14;FE4;1;8:58.0;1;0:00.0
44;Sondre;Medby;M;Lillehammer;M15-16;FE4;1;9:04.7;3;1:14.4
36;Fredrik Funderud;Wedum;M;Lillehammer Sykkelklubb;M13-14;FE4;1;9:09.6;2;0:11.6
45;Mats;Laeskogen;M;Bøverbru;M15-16;FE4;1;9:16.2;4;1:25.9
42;Varg;Finstad;M;Lillehammer CK;M15-16;FE4;1;9:16.7;5;1:26.4
56;Edvald Smogeli;Opsann;M;Lillehammer CK;M17-18;FE4;1;9:45.5;1;0:00.0
47;Olav;Daugaard;M;Lillehammer;M15-16;FE4;1;9:55.3;6;2:05.0
35;Max;Hansen;M;Eidsvoll SK;M13-14;FE4;1;10:04.0;3;1:06.0
18;Sondre;Aasen;M;Lillehammer CK;M11-12;FE4;1;10:04.1;1;0:00.0
46;Olav;Dahlen;M;Lillehammer;M15-16;FE4;1;10:09.3;7;2:19.0
49;Markus Feldt;Nytun;M;Lillehammer Cykleklubb;M15-16;FE4;1;10:11.7;8;2:21.4
50;Mikkel;Wilkens;M;Lillehammer CK;M15-16;FE4;1;10:15.1;9;2:24.8
27;Ville Langgård;Munch;F;Lillehammer CK Enduro;K13-14;FE4;1;10:19.6;1;0:00.0
23;Henry;Cummings;M;Hafjell Freeride Klubb;M11-12;FE4;1;10:19.9;2;0:15.8
32;Fredrik;Stensby;M;Eidsvoll SK;M13-14;FE4;1;10:42.9;4;1:44.9
15;Elias;Johansen;M;Ringerike SK;M11-12;FE4;1;10:45.6;3;0:41.5
51;Elias;Vanzanten;M;Lillehammer CK;M15-16;FE4;1;10:54.1;10;3:03.8
38;Nordal;Røsjø;M;Ringerike SK;M13-14;FE4;1;10:55.2;5;1:57.2
24;Eirik;Andreassen;M;Ringerike SK;M11-12;FE4;1;10:58.2;4;0:54.1
34;Tobias;Staff-Hansen;M;Eidsvoll SK;M13-14;FE4;1;11:23.4;6;2:25.4
16;Emil;Lundedale;M;Lillehammer CK;M11-12;FE4;1;11:26.5;5;1:22.4
21;Magnus;Thingelstad;M;Ringerike SK;M11-12;FE4;1;12:08.0;6;2:03.9
33;Leopold Klemet;Kollerud;M;Lillehammer CK;M13-14;FE4;1;12:19.0;7;3:21.0
19;Sverre;Heen;M;Ringerike SK;M11-12;FE4;1;12:45.9;7;2:41.8
14;Jonas Håvimb;Sperstad;M;Lillehammer CK;M11-12;FE4;1;12:52.8;8;2:48.7
22;Markus;Venstad;M;Lillehammer;M11-12;FE4;1;13:47.2;9;3:43.1
9;Karoline;Selbæk;F;Lillehammer CK;K11-12;FE4;1;16:17.1;1;0:00.0
28;Anna;Dahlen;F;Lillehammer CK;K13-14;FE4;1;16:50.4;2;6:30.8
4;Sondre;Andreassen;M;Ringerike SK;M10;FE4;1;15:22.7;;0:00.0
2;Jakob Steira;Bjerkli;M;CK Nittedal;M10;FE4;1;16:49.5;;1:26.8
5;Henrik;Sandbakken;M;Nittedal;M10;FE4;1;16:48.1;;1:25.4
1;Kristian;Sandbakken;M;Nittedal;M10;FE4;1;34:08.7;;18:46.0
3;Simen;Trøan;M;CK Nittedal;M10;FE4;1;14:30.7;;0:52.0
25;Henrik;Haugseth;M;Eidsvoll SK;M11-12;FE4;DNS;0:00.0;10;10:04.0
10;Evelina Fredrika;Kollerud;F;Lillehammer CK;K11-12;FE4;DNS;0:00.0;2;16:17.0
17;Sigurd;Stensby;M;Eidsvoll SK;M11-12;FE4;DNS;0:00.0;11;10:04.0
20;Jonatan;Staff-Hansen;M;Eidsvoll SK;M11-12;FE4;DNS;0:00.0;12;10:04.0
48;Florian;Vanbuggenhout-Mogensen;M;Lillehammer CK;M15-16;FE4;DNS;0:00.0;11;7:50.2
