Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
9th;115;Mikael Hamran;Skistars;Master Menn;2:13.19 ;2;8:19.67 ;10;1:32.50 ;8;4:20.35 ;8;6:17.39 ;10;22:43.10;+1:37.25;M
10th;22;Joachim Bernhardsen;Stovnerkameratene;Master Menn;2:21.78 ;11;8:12.40 ;9;1:34.16 ;10;4:30.05 ;11;6:16.45 ;9;22:54.84;+1:48.99;M
11th;23;Bjørn Ankre;Stovnerkameratene;Master Menn;2:25.46 ;16;8:24.59 ;13;1:38.39 ;15;4:28.33 ;10;6:29.20 ;12;23:25.97;+2:20.12;M
12th;25;Leiv Tvenning;IL Norodd;Master Menn;2:21.70 ;10;8:23.17 ;12;1:36.50 ;12;4:35.55 ;13;6:30.14 ;13;23:27.06;+2:21.21;M
13th;29;Dan Sevaldson;SK Rye sykkel;Master Menn;2:22.54 ;12;8:32.00 ;15;1:39.43 ;16;4:57.30 ;14;6:34.38 ;15;24:05.65;+2:59.80;M
14th;32;Stian Rismyhr;Siggerud IL â€“ sykkel;Master Menn;2:30.42 ;17;8:39.35 ;16;1:35.50 ;11;4:34.09 ;12;6:52.08 ;17;24:11.44;+3:05.59;M
15th;19;Hans Ivar Ramsøy;Bergen MTB Klubb;Master Menn;2:24.41 ;15;8:21.25 ;11;1:28.97 ;7;5:44.25 ;21;6:17.93 ;11;24:16.81;+3:10.96;M
16th;117;Mareks Kravalis;Skistars;Master Menn;2:30.66 ;18;8:41.26 ;17;1:50.34 ;18;5:19.71 ;16;6:31.68 ;14;24:53.65;+3:47.80;M
17th;21;Fredrik Foerster-Massey;Stovnerkameratene;Master Menn;2:24.37 ;14;8:30.55 ;14;1:37.25 ;13;5:53.47 ;22;6:41.78 ;16;25:07.42;+4:01.57;M
18th;31;Jan Henrik Høilund;SK Rye sykkel;Master Menn;2:43.55 ;21;8:49.48 ;18;2:03.68 ;23;5:19.88 ;17;7:07.98 ;18;26:04.57;+4:58.72;M
19th;26;Mikael Jansson;Bauhaus sportklubb;Master Menn;2:35.92 ;20;9:30.90 ;21;1:52.54 ;19;5:17.80 ;15;7:11.71 ;19;26:28.87;+5:23.02;M
20th;37;Magnus Olsson;;Master Menn;2:34.35 ;19;9:06.59 ;19;1:45.08 ;17;5:54.00 ;23;7:19.75 ;20;26:39.77;+5:33.92;M
21st;38;Fredrik Nygaard;;Master Menn;2:44.97 ;22;9:57.16 ;22;1:53.22 ;20;5:35.55 ;19;7:40.89 ;21;27:51.79;+6:45.94;M
22nd;28;Trond Johannessen;Glåmdal SK;Master Menn;2:46.85 ;23;10:19.97 ;23;1:54.06 ;21;5:42.05 ;20;9:01.58 ;22;29:44.51;+8:38.66;M
23rd;30;Glenn Hornset;Tylldal IL;Master Menn;2:51.74 ;24;9:10.32 ;20;2:01.81 ;22;5:29.70 ;18;26:51.88 ;23;46:25.45;+25:19.60;M
;40;Martin Gulsrud;Bark Bazar;Master Menn;2:19.04 ;7;14:16.15 ;24;;DNF;;DNS;;DNS;DNF;;M
1st;66;Eskil Oudalstøl;Kristiansands CK;M15-16;2:13.54 ;3;7:28.80 ;1;1:23.75 ;2;4:00.00 ;1;5:50.20 ;2;20:56.29;;M
2nd;57;Sondre Oldervik Andersen;IF Frøy;M15-16;2:08.97 ;1;7:44.25 ;5;1:27.31 ;3;4:09.95 ;5;5:47.11 ;1;21:17.59;+0:21.30;M
3rd;67;Marius Nakken;Molde CK;M15-16;2:14.13 ;5;7:48.42 ;8;1:23.00 ;1;4:09.88 ;4;5:56.31 ;4;21:31.74;+0:35.45;M
4th;70;Tallak Hustoft;CK Nittedal;M15-16;2:22.43 ;10;7:40.16 ;4;1:28.25 ;4;4:06.85 ;2;6:15.18 ;8;21:52.87;+0:56.58;M
5th;74;Teodor Johnsen Alexander;IF Frøy;M15-16;2:14.39 ;7;7:29.41 ;2;1:53.46 ;16;4:16.88 ;8;6:11.13 ;7;22:05.27;+1:08.98;M
6th;72;Zack Wheatley;SK Rye sykkel;M15-16;2:23.13 ;12;7:38.80 ;3;1:30.19 ;8;4:09.06 ;3;6:25.52 ;11;22:06.70;+1:10.41;M
7th;69;Markus Lia Reenskaug;IF Frøy;M15-16;2:18.43 ;9;8:01.55 ;10;1:29.30 ;5;4:15.90 ;7;6:07.73 ;6;22:12.91;+1:16.62;M
8th;61;Jacob Vebostad;CK Nittedal;M15-16;2:22.82 ;11;7:49.87 ;9;1:29.89 ;6;4:26.10 ;10;6:06.13 ;5;22:14.81;+1:18.52;M
9th;59;Mathias Skeie-Nilsen;CK Elverum;M15-16;2:14.72 ;8;7:47.69 ;6;1:30.42 ;9;4:29.88 ;11;6:25.33 ;10;22:28.04;+1:31.75;M
10th;62;Simen Føsker;Lørenskog CK;M15-16;3:08.35 ;16;7:47.92 ;7;1:30.12 ;7;4:14.13 ;6;5:54.73 ;3;22:35.25;+1:38.96;M
11th;68;Johannes Furuseth-Arnesen;Solør CK;M15-16;2:14.32 ;6;8:19.72 ;13;1:31.06 ;10;4:41.29 ;12;6:31.13 ;12;23:17.52;+2:21.23;M
12th;71;Sune Bjerke;SK Rye sykkel;M15-16;2:10.62 ;2;8:27.81 ;15;1:35.61 ;12;4:41.50 ;13;6:25.15 ;9;23:20.69;+2:24.40;M
13th;56;Tobias Haugen Opsahl;Asker CK;M15-16;2:26.57 ;14;8:13.25 ;11;1:35.56 ;11;4:25.21 ;9;6:50.93 ;14;23:31.52;+2:35.23;M
14th;65;Ludvik Bang-Johansen;IF Frøy;M15-16;2:26.28 ;13;8:13.81 ;12;1:42.37 ;15;4:44.85 ;14;6:32.63 ;13;23:39.94;+2:43.65;M
15th;73;Ola Vangen Jordet;Savalen SK;M15-16;2:30.94 ;15;8:22.00 ;14;1:41.10 ;14;4:51.34 ;15;7:12.89 ;16;24:38.27;+3:41.98;M
16th;64;Sondre Norderhaug;Trysil SK;M15-16;2:13.90 ;4;8:51.13 ;16;1:39.60 ;13;5:01.12 ;16;6:54.88 ;15;24:40.63;+3:44.34;M
1st;81;Even Bekkevold;Aron Sportsklubb;Menn senior;2:04.60 ;1;7:50.50 ;8;1:20.01 ;1;3:41.02 ;1;5:15.68 ;1;20:11.81;;M
2nd;92;Henrik Falkenberg Dokset;;Menn senior;2:06.54 ;2;6:59.40 ;1;1:25.45 ;5;3:59.64 ;2;5:41.90 ;3;20:12.93;+0:01.12;M
3rd;90;Albin Littorin-Sandbu;SK Rye sykkel;Menn senior;2:08.98 ;3;7:03.46 ;2;1:22.96 ;3;4:04.75 ;5;5:39.98 ;2;20:20.13;+0:08.32;M
4th;91;Niklas Halvorsen;Kristiansands CK;Menn senior;2:15.72 ;7;7:18.23 ;3;1:25.92 ;7;4:03.88 ;3;6:06.58 ;7;21:10.33;+0:58.52;M
5th;87;Isak Solomon;SK Rye sykkel;Menn senior;2:10.82 ;4;7:34.73 ;4;1:22.40 ;2;4:21.34 ;11;5:51.53 ;4;21:20.82;+1:09.01;M
6th;121;Joachim Madson;Skistars;Menn senior;2:17.65 ;9;7:41.86 ;6;1:28.65 ;10;4:04.72 ;4;6:01.18 ;6;21:34.06;+1:22.25;M
7th;124;Robin Von Braun;Skistars;Menn senior;2:17.83 ;10;7:46.30 ;7;1:27.77 ;8;4:16.08 ;9;5:57.90 ;5;21:45.88;+1:34.07;M
8th;82;Martin Kvisler;;Menn senior;2:13.70 ;6;7:52.69 ;9;1:25.91 ;6;4:11.40 ;7;6:06.95 ;8;21:50.65;+1:38.84;M
9th;94;Tobias Bjerknes;CK Nittedal;Menn senior;2:21.31 ;15;7:36.43 ;5;1:34.22 ;12;4:37.90 ;13;6:33.47 ;11;22:43.33;+2:31.52;M
10th;85;Henrik Langeland Nielsen;Kristiansands CK;Menn senior;2:13.46 ;5;9:09.04 ;17;1:24.31 ;4;4:18.00 ;10;6:17.03 ;10;23:21.84;+3:10.03;M
11th;88;Emilien Luyton;;Menn senior;2:20.13 ;12;8:06.73 ;11;1:34.75 ;13;4:38.21 ;14;6:44.42 ;13;23:24.24;+3:12.43;M
12th;120;Marcus Hettne;Skistars;Menn senior;2:20.83 ;14;8:27.77 ;13;1:40.10 ;16;4:33.72 ;12;6:50.90 ;14;23:53.32;+3:41.51;M
13th;122;Simon Westring;Skistars;Menn senior;2:23.94 ;17;8:51.96 ;15;1:35.06 ;14;4:45.81 ;15;6:37.34 ;12;24:14.11;+4:02.30;M
14th;89;Daniel Tvingby;;Menn senior;2:24.78 ;18;8:34.40 ;14;1:37.00 ;15;5:15.25 ;17;7:11.63 ;16;25:03.06;+4:51.25;M
15th;86;Dag Lofthus;Farliglia Stibyggarlaug;Menn senior;2:17.22 ;8;7:58.40 ;10;1:28.15 ;9;4:12.42 ;8;9:23.00 ;18;25:19.19;+5:07.38;M
16th;80;Marius Minster;Soon CK;Menn senior;2:22.08 ;16;8:59.04 ;16;1:43.10 ;17;5:36.27 ;18;7:04.10 ;15;25:44.59;+5:32.78;M
17th;83;Matthew Geraghty;IL Heming - sykkelgruppe;Menn senior;2:38.30 ;19;9:24.95 ;18;1:57.06 ;18;5:09.90 ;16;7:27.44 ;17;26:37.65;+6:25.84;M
;93;Kasper Fuglerud;Aron Sportsklubb;Menn senior;2:18.13 ;11;1:31.35 ;11;4:07.87 ;6;6:06.95 ;8;;DNF;DNF;;M
;84;Luca D'Angelo;;Menn senior;2:20.75 ;13;8:16.94 ;12;;DNF;;DNS;;DNS;DNF;;M
1st;105;Eskil Hafskjold;SK Rye sykkel;Menn U21;2:04.27 ;1;6:54.22 ;2;1:21.11 ;1;3:50.70 ;1;5:25.85 ;1;19:36.15;;M
2nd;101;Jonas Oudalstøl;Kristiansands CK;Menn U21;2:05.75 ;2;6:53.10 ;1;1:25.55 ;5;3:52.41 ;2;5:28.98 ;2;19:45.79;+0:09.64;M
3rd;100;Fridtjof digre;SK Rye sykkel;Menn U21;2:10.77 ;6;7:17.29 ;3;1:24.85 ;4;3:56.90 ;3;5:38.63 ;3;20:28.44;+0:52.29;M
4th;96;Sindre Martin Moe Sollund;Molde CK;Menn U21;2:10.47 ;5;7:35.80 ;4;1:23.96 ;2;4:03.04 ;4;5:53.72 ;5;21:06.99;+1:30.84;M
5th;106;Amandus Strand;Halden CK;Menn U21;2:16.15 ;10;7:46.81 ;6;1:26.36 ;6;4:09.20 ;6;5:49.19 ;4;21:27.71;+1:51.56;M
6th;108;Lars Dreyer;Hafrsfjord SK;Menn U21;2:07.42 ;3;8:00.96 ;8;1:24.50 ;3;4:05.46 ;5;6:06.70 ;6;21:45.04;+2:08.89;M
7th;104;Rasmus Mackenzie;SK Rye sykkel;Menn U21;2:19.51 ;11;8:09.27 ;10;1:29.50 ;8;4:15.79 ;7;6:07.45 ;7;22:21.52;+2:45.37;M
8th;102;Tarjei Nordbø Braut;Hafrsfjord SK;Menn U21;2:13.67 ;8;7:40.00 ;5;1:34.95 ;10;4:30.66 ;10;6:26.48 ;8;22:25.76;+2:49.61;M
9th;103;Haakon Rørmyr;Halden CK;Menn U21;2:14.65 ;9;8:00.28 ;7;1:34.79 ;9;4:48.46 ;11;6:33.13 ;9;23:11.31;+3:35.16;M
10th;107;Adrian Moa;Namdal SK;Menn U21;2:11.20 ;7;8:08.08 ;9;2:22.34 ;12;4:22.22 ;8;6:34.52 ;10;23:38.36;+4:02.21;M
11th;99;Ulrik Gerner;Bærum OCK;Menn U21;2:29.41 ;12;9:40.70 ;12;1:42.98 ;11;5:00.55 ;12;7:24.44 ;11;26:18.08;+6:41.93;M
12th;119;Oscar Hagberg-Jonasson;Skistars;Menn U21;2:09.75 ;4;8:20.50 ;11;1:28.21 ;7;4:29.32 ;9;9:55.91 ;12;26:23.69;+6:47.54;M
1st;43;Mikkel Skotte Lauritzen;SK Rye sykkel;M13-14;2:03.32 ;1;7:26.10 ;1;1:23.20 ;1;4:00.07 ;1;;;14:52.69;;M
2nd;44;Emil Hernes;SK Rye sykkel;M13-14;2:11.07 ;4;7:54.27 ;2;1:30.07 ;2;4:35.55 ;6;;;16:10.96;+1:18.27;M
3rd;51;Martin Harlem Henriksen;Bærum OCK;M13-14;2:04.55 ;2;8:01.96 ;3;1:36.06 ;6;4:34.05 ;5;;;16:16.62;+1:23.93;M
4th;53;Sixten Magnus Schybergson;SK Rye sykkel;M13-14;2:12.07 ;5;8:03.72 ;4;1:41.46 ;9;4:33.25 ;4;;;16:30.50;+1:37.81;M
5th;50;Olav Holmøy Sevaldson;SK Rye sykkel;M13-14;2:07.24 ;3;8:24.28 ;5;1:30.19 ;3;4:32.06 ;3;;;16:33.77;+1:41.08;M
6th;52;Aadne Førsund Hjelmtvedt;Re SK;M13-14;2:28.83 ;10;8:25.75 ;6;1:31.57 ;4;4:28.87 ;2;;;16:55.02;+2:02.33;M
7th;47;Gustav Strand Gulsrud;SK Rye sykkel;M13-14;2:13.45 ;6;8:39.60 ;8;1:31.85 ;5;4:55.92 ;7;;;17:20.82;+2:28.13;M
8th;48;Leif Martin Syversrud;Nes SK;M13-14;2:19.45 ;8;8:48.10 ;9;1:44.73 ;10;4:59.57 ;8;;;17:51.85;+2:59.16;M
9th;46;Theo Vingelsgaard;CK Elverum;M13-14;2:33.13 ;11;8:31.03 ;7;1:47.26 ;11;5:08.55 ;10;;;17:59.97;+3:07.28;M
10th;49;Lucas Kaspersen;Mosjøen og Omegn CK;M13-14;2:19.19 ;7;9:15.66 ;10;1:39.59 ;8;5:04.08 ;9;;;18:18.52;+3:25.83;M
11th;45;Ludvik Lærum Bentzen;SK Rye sykkel;M13-14;2:19.93 ;9;9:41.90 ;11;1:38.90 ;7;5:31.54 ;11;;;19:12.27;+4:19.58;M
12th;54;Jonas Håvimb Sperstad;Lillehammer CK;M13-14;2:39.82 ;12;10:03.22 ;12;1:58.47 ;12;6:10.10 ;12;;;20:51.61;+5:58.92;M
