rank;bib;Class;name;Club;Time;Gap;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;gender
2;29;Kvinner master;Kristine Skeie;CK Nittedal Enduro;00:21:30;+00:04:16;00:02:43;3;00:03:43;2;00:02:30;2;00:03:00;3;00:06:30;3;00:03:04;3;F
3;31;Kvinner master;Kari Gulden Olstad;Hadeland ck;00:21:44;+00:04:30;00:02:36;1;00:03:56;4;00:02:43;3;00:02:49;2;00:06:44;4;00:02:56;2;F
4;33;Kvinner master;Kine Lidsheim;CK Nittedal;00:22:02;+00:04:48;00:03:06;4;00:03:55;3;00:02:49;4;00:03:00;3;00:06:08;2;00:03:04;3;F
5;30;Kvinner master;Therese Vågen;Team BCsport.no;00:26:52;+00:09:38;00:03:17;5;00:04:19;5;00:03:20;5;00:03:41;5;00:08:20;5;00:03:55;5;F
1;78;Menn master;Fredrik Lysakerrud;Odal Sk;00:13:10;;00:02:00;1;00:02:02;1;00:01:34;3;00:01:48;1;00:03:43;2;00:02:03;1;M
2;87;Menn master;Alexander Wellington;Trysil Stisykkellaug;00:13:53;+00:00:43;00:02:02;3;00:02:09;3;00:01:33;2;00:01:54;2;00:04:08;5;00:02:07;3;M
3;66;Menn master;Stig Ove Simensen;;00:14:00;+00:00:50;00:02:05;5;00:02:07;2;00:01:36;4;00:02:09;16;00:03:54;3;00:02:09;4;M
4;72;Menn master;Pål Grotnes;Gresvikifstisyklister GIFS;00:14:14;+00:01:04;00:02:00;1;00:02:09;3;00:01:32;1;00:02:50;37;00:03:40;1;00:02:03;1;M
5;57;Menn master;Arild Heimli Johnsen;Team Letth;00:14:32;+00:01:22;00:02:04;4;00:02:19;6;00:01:40;5;00:01:57;4;00:04:11;6;00:02:21;11;M
6;60;Menn master;Fredrik Andersson;CK KulTur;00:14:34;+00:01:24;00:02:09;7;00:02:15;5;00:01:46;8;00:01:54;2;00:04:15;9;00:02:15;6;M
7;79;Menn master;Simen Kalnæs Danielsen;DFI sykkel;00:14:46;+00:01:36;00:02:29;28;00:02:23;8;00:01:41;6;00:01:57;4;00:04:06;4;00:02:10;5;M
8;61;Menn master;Espen Kebely;;00:14:47;+00:01:37;00:02:11;8;00:02:24;9;00:01:43;7;00:02:03;9;00:04:11;6;00:02:15;6;M
9;74;Menn master;Sindre Lidsheim;CK Nittedal;00:15:03;+00:01:53;00:02:07;6;00:02:25;10;00:01:46;8;00:02:00;6;00:04:23;16;00:02:22;13;M
10;96;Menn master;Karsten Hjelseth;;00:15:12;+00:02:02;00:02:17;14;00:02:31;13;00:01:46;8;00:02:07;14;00:04:11;6;00:02:20;9;M
11;63;Menn master;Roy Ripe;Team Ibis Norge;00:15:21;+00:02:11;00:02:16;11;00:02:40;21;00:01:47;11;00:02:03;9;00:04:17;12;00:02:18;8;M
12;73;Menn master;Kristian Hauglum;;00:15:24;+00:02:14;00:02:19;19;00:02:19;6;00:01:49;13;00:02:05;12;00:04:25;17;00:02:27;19;M
13;64;Menn master;Tom Ruud;Lillehammer ck;00:15:40;+00:02:30;00:02:17;14;00:02:31;13;00:01:49;13;00:02:10;18;00:04:30;18;00:02:23;15;M
14;93;Menn master;Knut Haugen;Lørenskog CK;00:15:40;+00:02:30;00:02:15;10;00:02:47;25;00:01:53;19;00:02:05;12;00:04:16;10;00:02:24;16;M
15;70;Menn master;Magnus Jensen;Ready;00:15:45;+00:02:35;00:02:13;9;00:02:25;10;00:02:04;28;00:02:03;9;00:04:40;23;00:02:20;9;M
16;71;Menn master;Jan Henrik Høilund;Njård;00:15:47;+00:02:37;00:02:20;21;00:02:31;13;00:02:03;27;00:02:12;19;00:04:17;12;00:02:24;16;M
17;55;Menn master;Morten Stordahl;Team Lapierre Norge;00:15:50;+00:02:40;00:02:16;11;00:02:35;17;00:01:49;13;00:02:08;15;00:04:32;20;00:02:30;23;M
18;62;Menn master;Kjetil Håkelien;Odal SK;00:15:56;+00:02:46;00:02:17;14;00:03:04;32;00:01:54;21;00:02:01;7;00:04:19;14;00:02:21;11;M
19;68;Menn master;Jo Christer Frysjøenden;Glåmdal SK;00:15:57;+00:02:47;00:02:18;17;00:02:38;19;00:01:55;23;00:02:09;16;00:04:30;18;00:02:27;19;M
20;58;Menn master;Frode Nysæter;Korttråkkerne;00:16:00;+00:02:50;00:02:24;25;00:02:43;22;00:01:52;17;00:02:12;19;00:04:16;10;00:02:33;26;M
21;88;Menn master;Kristian Eckhoff;SK Rye Sykkel;00:16:10;+00:03:00;00:02:18;17;00:02:32;16;00:01:48;12;00:02:16;24;00:04:21;15;00:02:55;36;M
22;82;Menn master;Lars Mouland;Bærum OCK;00:16:14;+00:03:04;00:02:22;23;00:02:45;23;00:01:52;17;00:02:13;22;00:04:35;21;00:02:27;19;M
23;54;Menn master;Alexander Hauger;Team Hakadal Enduro;00:16:23;+00:03:13;00:02:37;35;00:02:29;12;00:01:51;16;00:02:01;7;00:05:03;28;00:02:22;13;M
24;92;Menn master;Runar Gulbæk;;00:16:29;+00:03:19;00:02:27;27;00:02:37;18;00:01:54;21;00:02:12;19;00:04:54;25;00:02:25;18;M
25;76;Menn master;Christian Erga;NA;00:16:38;+00:03:28;00:02:24;25;00:02:38;19;00:01:59;26;00:02:15;23;00:04:51;24;00:02:31;24;M
26;75;Menn master;Fredrik Lingvall;SK Rye;00:16:50;+00:03:40;00:02:16;11;00:02:45;23;00:02:21;36;00:02:18;25;00:04:37;22;00:02:33;26;M
27;90;Menn master;Ståle Skaslien;;00:17:40;+00:04:30;00:02:19;19;00:03:00;29;00:01:53;19;00:02:30;33;00:05:26;32;00:02:32;25;M
28;94;Menn master;Knut Espen Bryhn;Team Ibis Norge;00:17:52;+00:04:42;00:02:29;28;00:02:55;27;00:02:10;30;00:02:24;29;00:05:07;31;00:02:47;32;M
29;56;Menn master;Geir Inge Sandnes;#haterliason;00:17:54;+00:04:44;00:02:23;24;00:02:52;26;00:01:58;25;00:02:20;26;00:05:30;33;00:02:51;34;M
30;80;Menn master;Bjørn Tscherning Hjulstad;IF Sagene Sykkel;00:17:56;+00:04:46;00:02:33;33;00:03:14;35;00:02:07;29;00:02:25;30;00:04:56;26;00:02:41;29;M
31;59;Menn master;Jon Årvar Rø;;00:18:08;+00:04:58;00:02:36;34;00:03:03;31;00:02:17;33;00:02:23;28;00:05:04;29;00:02:45;31;M
32;84;Menn master;Andreas Moen Arnet;Holmsbu IF;00:18:09;+00:04:59;00:02:29;28;00:03:04;32;00:01:56;24;00:02:20;26;00:05:38;34;00:02:42;30;M
33;89;Menn master;Frode Kaafjeld;Nots Oslo;00:18:13;+00:05:03;00:02:21;22;00:03:01;30;00:02:11;31;00:02:28;32;00:05:43;36;00:02:29;22;M
34;86;Menn master;Morten Westberg;Fett er fart!;00:18:16;+00:05:06;00:02:49;38;00:02:59;28;00:02:18;34;00:02:26;31;00:05:06;30;00:02:38;28;M
35;65;Menn master;Remi Bjerknes;CK Nittedal;00:18:16;+00:05:06;00:02:29;28;00:03:08;34;00:02:14;32;00:02:31;34;00:04:59;27;00:02:55;36;M
36;81;Menn master;Rune Paulsen;;00:19:48;+00:06:38;00:02:32;32;00:03:14;35;00:02:31;38;00:02:39;35;00:05:53;37;00:02:59;38;M
37;77;Menn master;Kjell Ivar Moland;Follo SK/NOTS;00:20:10;+00:07:00;00:02:42;36;00:03:48;38;00:02:20;35;00:02:51;38;00:05:39;35;00:02:50;33;M
38;67;Menn master;Håvard Homberset;;00:20:34;+00:07:24;00:02:42;36;00:03:22;37;00:02:29;37;00:02:40;36;00:06:30;38;00:02:51;34;M
1;36;Kvinner senior;Hilde Strædet;Kristiansand cykleklubb;00:14:51;;00:02:07;1;00:02:19;1;00:01:49;1;00:02:00;1;00:04:24;1;00:02:12;1;F
2;37;Kvinner senior;Anna Littorin-Sandbu;Lillehammer Cykleklubb;00:16:18;+00:01:27;00:02:20;3;00:02:38;2;00:01:58;2;00:02:18;3;00:04:35;2;00:02:29;3;F
3;40;Kvinner senior;Josefine Björkman;Göteborgs stigcyklister;00:16:32;+00:01:41;00:02:17;2;00:02:42;3;00:02:03;4;00:02:20;4;00:04:46;3;00:02:24;2;F
4;41;Kvinner senior;Stine Torgersbråten;Team Letth;00:16:55;+00:02:04;00:02:22;4;00:02:43;4;00:02:00;3;00:02:15;2;00:05:00;4;00:02:35;4;F
5;39;Kvinner senior;Sigrid Stjernvang;;00:18:09;+00:03:18;00:02:30;5;00:02:59;5;00:02:11;5;00:02:29;5;00:05:24;6;00:02:36;5;F
6;35;Kvinner senior;Kristel Karlsen-Mulelid;IF Frøy;00:19:00;+00:04:09;00:02:31;6;00:03:01;6;00:02:24;6;00:02:50;7;00:05:23;5;00:02:51;6;F
7;42;Kvinner senior;Tonje Sameien;BIFF;00:20:25;+00:05:34;00:02:44;7;00:03:27;8;00:02:31;7;00:02:49;6;00:05:51;7;00:03:03;8;F
8;38;Kvinner senior;Silje Gjerde;Team Ibis Norge;00:21:40;+00:06:49;00:03:02;9;00:03:22;7;00:02:34;9;00:03:09;9;00:06:30;8;00:03:03;8;F
9;34;Kvinner senior;Jeanette Louise Bryng;;00:21:54;+00:07:03;00:02:51;8;00:03:47;9;00:02:33;8;00:03:01;8;00:06:45;9;00:02:57;7;F
1;168;Menn senior;Ola Jåvold Landmark;Bærum OCK / Team Ibis Norge;00:12:19;;00:01:54;7;00:02:00;2;00:01:28;2;00:01:39;2;00:03:27;1;00:01:51;1;M
2;172;Menn senior;Albin Littorin-Sandbu;SK Rye;00:12:30;+00:00:11;00:01:53;3;00:01:57;1;00:01:28;2;00:01:43;5;00:03:35;2;00:01:54;3;M
3;170;Menn senior;Gard Brovold;IL Heming;00:12:35;+00:00:16;00:01:53;3;00:02:02;5;00:01:28;2;00:01:42;4;00:03:36;4;00:01:54;3;M
4;169;Menn senior;Magnus Slinger Sørli;Svelvik SK / Team Santa Cruz Sykler;00:12:39;+00:00:20;00:01:52;1;00:02:14;17;00:01:29;5;00:01:38;1;00:03:35;2;00:01:51;1;M
5;139;Menn senior;Jostein Hole;Nedre Buskerud Nerroverlag / Aron SK;00:12:40;+00:00:21;00:01:55;8;00:02:02;5;00:01:26;1;00:01:41;3;00:03:38;5;00:01:58;6;M
6;106;Menn senior;Thomas Klingenberg;Sk Rye;00:12:56;+00:00:37;00:01:57;10;00:02:05;8;00:01:32;8;00:01:43;5;00:03:42;7;00:01:57;5;M
7;122;Menn senior;Andreas Aalby;Asker CK Enduro;00:12:57;+00:00:38;00:01:56;9;00:02:06;9;00:01:31;6;00:01:46;9;00:03:38;5;00:02:00;7;M
8;164;Menn senior;Anders Skarstein;Santacruzsykler.no;00:12:57;+00:00:38;00:01:53;3;00:02:03;7;00:01:31;6;00:01:44;7;00:03:46;9;00:02:00;7;M
9;163;Menn senior;Bård Pettersen;Team Sykleriet;00:13:04;+00:00:45;00:01:57;10;00:02:00;2;00:01:33;10;00:01:44;7;00:03:48;11;00:02:02;10;M
10;146;Menn senior;Jens Bergmann;SK Rye;00:13:11;+00:00:52;00:01:52;1;00:02:13;15;00:01:33;10;00:01:46;9;00:03:43;8;00:02:04;14;M
11;165;Menn senior;André Aamodt;Team Santacruz sykler;00:13:18;+00:00:59;00:01:53;3;00:02:00;2;00:01:33;10;00:01:47;11;00:04:02;17;00:02:03;11;M
12;166;Menn senior;Erlend Hegrum Askjer;Horten OCK;00:13:34;+00:01:15;00:01:58;12;00:02:08;10;00:01:37;17;00:01:47;11;00:04:04;19;00:02:00;7;M
13;102;Menn senior;Andreas Holm;;00:13:45;+00:01:26;00:02:02;15;00:02:10;12;00:01:37;17;00:01:52;17;00:03:59;15;00:02:05;15;M
14;171;Menn senior;Oskar Omdal;;00:13:46;+00:01:27;00:01:58;12;00:02:11;14;00:01:40;22;00:01:53;19;00:04:01;16;00:02:03;11;M
15;129;Menn senior;Thomas Rambekk Henriksen;Herkules Heildempar Laug;00:13:53;+00:01:34;00:02:07;23;00:02:15;18;00:01:35;13;00:02:04;35;00:03:46;9;00:02:06;16;M
16;156;Menn senior;Lukas Leiro;;00:13:53;+00:01:34;00:02:05;21;00:02:15;18;00:01:37;17;00:01:51;16;00:03:54;13;00:02:11;22;M
17;111;Menn senior;Philip Bjørkesett;Pivot cycles;00:13:59;+00:01:40;00:02:03;16;00:02:16;21;00:01:35;13;00:01:50;13;00:04:08;24;00:02:07;18;M
18;101;Menn senior;Christian Rief;Hadeland CK;00:14:03;+00:01:44;00:02:03;16;00:02:15;18;00:01:35;13;00:01:50;13;00:04:17;32;00:02:03;11;M
19;104;Menn senior;Ola Bjølgerud;Vikersund;00:14:16;+00:01:57;00:02:09;28;00:02:22;25;00:01:39;20;00:01:54;20;00:04:06;21;00:02:06;16;M
20;43;Menn senior;Knut Erik Haugen;Team Void / Merida / CK Nittedal;00:14:20;+00:02:01;00:02:07;23;00:02:20;23;00:01:39;20;00:01:52;17;00:04:13;30;00:02:09;20;M
21;123;Menn senior;Bjørn William Moe;Røyken CK;00:14:20;+00:02:01;00:02:11;34;00:02:18;22;00:01:36;16;00:01:54;20;00:04:06;21;00:02:15;29;M
22;167;Menn senior;Ola Myklatun Krosness;;00:14:22;+00:02:03;00:02:04;20;00:02:08;10;00:01:49;36;00:02:03;33;00:04:09;27;00:02:09;20;M
23;119;Menn senior;Piotr Susfal;BUrger King  Kristiansand;00:14:23;+00:02:04;00:02:07;23;00:02:23;27;00:01:41;24;00:01:58;28;00:03:57;14;00:02:17;32;M
24;152;Menn senior;Marius Aarsland;;00:14:29;+00:02:10;00:02:03;16;00:02:13;15;00:01:42;25;00:02:21;59;00:04:02;17;00:02:08;19;M
25;159;Menn senior;Kristoffer Rakneberg;Bergen MTB;00:14:33;+00:02:14;00:02:03;16;00:02:25;30;00:01:42;25;00:02:03;33;00:04:08;24;00:02:12;24;M
26;105;Menn senior;Hans Kristian Blichfeldt;Holmsbu IF;00:14:44;+00:02:25;00:02:11;34;00:02:27;31;00:01:40;22;00:01:59;30;00:04:08;24;00:02:19;35;M
27;150;Menn senior;Kristian Østlie;CK Nittedal;00:14:44;+00:02:25;00:02:13;39;00:02:20;23;00:01:46;31;00:01:59;30;00:04:05;20;00:02:21;38;M
28;116;Menn senior;Kristoffer Klingenberg;SK Rye;00:14:46;+00:02:27;00:02:08;26;00:02:32;44;00:01:42;25;00:01:57;26;00:04:10;28;00:02:17;32;M
29;140;Menn senior;Per Jørgen Sletto;Team Flow enduro;00:14:49;+00:02:30;00:02:09;28;00:02:28;34;00:01:47;33;00:01:54;20;00:04:18;33;00:02:13;25;M
30;126;Menn senior;Nicolas Yann Couturier;SK Rye sykkel;00:14:53;+00:02:34;00:02:09;28;00:02:27;31;00:01:45;30;00:01:56;23;00:04:12;29;00:02:24;45;M
31;142;Menn senior;Peter Hjertson;;00:15:01;+00:02:42;00:02:11;34;00:02:22;25;00:01:44;29;00:02:07;42;00:04:26;40;00:02:11;22;M
32;124;Menn senior;Ivar Haug;Holmsbu IF;00:15:06;+00:02:47;00:02:15;42;00:02:23;27;00:01:47;33;00:02:05;37;00:04:20;34;00:02:16;30;M
33;100;Menn senior;Andreas Rief;Hadeland CK;00:15:06;+00:02:47;00:02:17;46;00:02:23;27;00:01:48;35;00:01:56;23;00:04:21;35;00:02:21;38;M
34;148;Menn senior;Martin Aasen;Ã…rvoll øl og sykkelklubb;00:15:08;+00:02:49;00:02:08;26;00:02:54;62;00:01:49;36;00:01:57;26;00:04:07;23;00:02:13;25;M
35;125;Menn senior;Joakim Melby;;00:15:09;+00:02:50;00:02:11;34;00:02:34;45;00:01:51;42;00:01:58;28;00:04:22;38;00:02:13;25;M
36;136;Menn senior;Sander Blomgren;Sykkelsport Arendal;00:15:10;+00:02:51;00:02:06;22;00:02:28;34;00:01:51;42;00:02:07;42;00:04:22;38;00:02:16;30;M
37;175;Menn senior;Kristoffer Andresen;Aron SK;00:15:13;+00:02:54;00:02:24;55;00:02:28;34;00:01:46;31;00:01:56;23;00:04:21;35;00:02:18;34;M
38;99;Menn senior;Tommy Pham;Flow Enduro;00:15:31;+00:03:12;00:02:19;48;00:02:31;41;00:01:52;45;00:02:07;42;00:04:21;35;00:02:21;38;M
39;117;Menn senior;Arne Diederik Kildahl;Bø Idrettslag;00:15:35;+00:03:16;00:02:15;42;00:02:35;46;00:01:49;36;00:02:06;39;00:04:29;43;00:02:21;38;M
40;121;Menn senior;Håkon Uthus;CK Elverum;00:15:37;+00:03:18;00:02:17;46;00:02:48;58;00:01:52;45;00:02:12;52;00:04:15;31;00:02:13;25;M
41;118;Menn senior;Stanley Geyersbach;;00:15:51;+00:03:32;00:02:13;39;00:02:31;41;00:01:56;50;00:02:08;45;00:04:42;48;00:02:21;38;M
42;132;Menn senior;Håkon Trydal;Arendal singletrack;00:15:55;+00:03:36;00:02:11;34;00:02:29;38;00:02:04;59;00:02:10;48;00:04:40;47;00:02:21;38;M
43;137;Menn senior;Magnus Brandtzæg;Equinor BIL Oslo;00:15:57;+00:03:38;00:02:21;52;00:02:35;46;00:01:51;42;00:02:10;48;00:04:29;43;00:02:31;52;M
44;160;Menn senior;Fredrik Nygaard;;00:16:08;+00:03:49;00:02:09;28;00:02:47;55;00:02:03;58;00:02:04;35;00:04:28;41;00:02:37;57;M
45;112;Menn senior;Dag Erik Kristoffersen;;00:16:11;+00:03:52;00:02:24;55;00:02:29;38;00:01:50;39;00:02:02;32;00:04:59;55;00:02:27;47;M
46;134;Menn senior;Martin Stene;;00:16:12;+00:03:53;00:02:42;69;00:02:30;40;00:01:52;45;00:02:06;39;00:04:42;48;00:02:20;36;M
47;131;Menn senior;Karl-Oskar Sæther;;00:16:12;+00:03:53;00:02:22;53;00:02:36;48;00:01:56;50;00:02:06;39;00:04:38;46;00:02:34;55;M
48;130;Menn senior;Magnus Nyke Fagernes;;00:16:26;+00:04:07;00:02:13;39;00:02:43;49;00:01:50;39;00:02:28;63;00:04:44;50;00:02:28;49;M
49;109;Menn senior;Francisco Macedo;;00:16:40;+00:04:21;00:02:20;50;00:02:45;54;00:02:00;55;00:02:11;50;00:04:55;53;00:02:29;50;M
50;108;Menn senior;Mats Meinseth;Aron Sk;00:16:54;+00:04:35;00:02:35;67;00:02:59;64;00:02:02;56;00:02:09;47;00:04:28;41;00:02:41;61;M
51;128;Menn senior;Blair Malcolm;;00:16:57;+00:04:38;00:02:56;72;00:02:47;55;00:01:50;39;00:02:11;50;00:04:53;52;00:02:20;36;M
52;107;Menn senior;Martin Singstad;;00:16:58;+00:04:39;00:02:19;48;00:02:55;63;00:02:02;56;00:02:12;52;00:05:03;57;00:02:27;47;M
53;135;Menn senior;Simon Risan;;00:16:59;+00:04:40;00:02:24;55;00:02:44;52;00:02:19;67;00:02:08;45;00:04:59;55;00:02:25;46;M
54;158;Menn senior;Marcus Emil Sletten;;00:16:59;+00:04:40;00:02:28;61;00:02:43;49;00:01:57;54;00:02:15;55;00:04:57;54;00:02:39;58;M
55;127;Menn senior;Tobias Bjerknes;CK Nittedal;00:17:02;+00:04:43;00:02:22;53;00:02:52;61;00:02:06;62;00:02:22;60;00:04:47;51;00:02:33;54;M
56;162;Menn senior;Marius Diseth;CK Nittedal;00:17:08;+00:04:49;00:02:20;50;00:02:44;52;00:02:05;60;00:02:17;56;00:05:10;58;00:02:32;53;M
57;141;Menn senior;Simon Nysæter;;00:17:41;+00:05:22;00:02:34;66;00:02:51;60;00:02:05;60;00:02:23;61;00:05:14;60;00:02:34;55;M
58;144;Menn senior;Pablo Allendes;;00:17:56;+00:05:37;00:02:33;63;00:03:02;65;00:01:53;48;00:02:20;58;00:05:13;59;00:02:55;65;M
59;138;Menn senior;Alexander Berg Olsen;Oslo Sportslager;00:17:56;+00:05:37;00:02:16;44;00:02:43;49;00:02:07;63;00:02:13;54;00:05:34;64;00:03:03;66;M
60;120;Menn senior;Jørn Inge Woldmo;;00:18:01;+00:05:42;00:02:27;60;00:03:05;67;00:02:07;63;00:02:19;57;00:05:24;61;00:02:39;58;M
61;113;Menn senior;Emil Hagen-Kristiansen;;00:18:43;+00:06:24;00:02:33;63;00:03:36;72;00:01:56;50;00:02:23;61;00:05:25;62;00:02:50;64;M
62;151;Menn senior;Raymond Sjømark;Ola Hættnbættn;00:18:52;+00:06:33;00:02:28;61;00:03:14;68;00:02:12;66;00:02:50;66;00:05:28;63;00:02:40;60;M
63;69;Menn senior;Andre Fjærestrand Bratli;Team Merida;00:19:02;+00:06:43;00:02:25;59;00:02:47;55;00:02:11;65;00:02:48;64;00:06:08;67;00:02:43;63;M
64;174;Menn senior;Even Bekkevold;Asker CK;00:19:59;+00:07:40;00:01:59;14;00:02:10;12;00:01:32;8;00:01:50;13;00:03:51;12;00:08:37;72;M
65;147;Menn senior;Kristoffer Ylven Westgaard;Asker CK;00:20:26;+00:08:07;00:02:24;55;00:02:31;41;00:01:56;50;00:05:14;72;00:05:52;65;00:02:29;50;M
66;157;Menn senior;Are Salomonsen;;00:20:58;+00:08:39;00:02:37;68;00:03:04;66;00:02:35;70;00:02:54;68;00:07:06;70;00:02:42;62;M
67;154;Menn senior;Kristian Lien;Ola Hættenbætten;00:21:41;+00:09:22;00:02:33;63;00:03:33;71;00:02:23;69;00:02:49;65;00:07:10;71;00:03:13;68;M
68;145;Menn senior;Sebastian Habenicht;Steel Buddies;00:23:11;+00:10:52;00:02:52;71;00:03:53;73;00:03:01;72;00:03:16;69;00:06:48;69;00:03:21;69;M
69;133;Menn senior;Fredrik Flatland;;00:24:14;+00:11:55;00:02:48;70;00:03:59;74;00:02:40;71;00:03:23;70;00:07:59;72;00:03:25;70;M
70;115;Menn senior;Magnus Becher;;00:25:27;+00:13:08;00:03:23;73;00:04:30;75;00:03:06;73;00:03:34;71;00:06:43;68;00:04:11;71;M
71;153;Menn senior;Tony Stabu;;00:34:24;+00:22:05;00:16:42;75;00:03:23;70;00:02:22;68;00:02:52;67;00:06:00;66;00:03:05;67;M
DNF;155;Menn senior;Martin Solheim Sigley;Hadeland CK;;;00:02:16;44;00:02:28;34;DNF;;00:02:05;37;00:04:36;45;00:02:23;44;M
DNF;98;Menn senior;Jens-Martin Johnsrud;Sykleriet;;;00:02:09;28;00:02:27;31;00:01:42;25;DNF;;DNF;;DNF;;M
DNF;161;Menn senior;Tor Ivan Rudi;Røyken CK;;;00:02:10;33;00:02:49;59;00:01:54;49;DNF;;DNF;;DNF;;M
DNF;143;Menn senior;Phillip Mayhew;;;;00:05:28;74;00:03:14;68;DNF;;DNF;;DNF;;DNF;;M
1;5;Gutter 13-14;Ludvig Strand;Heming;00:13:30;;00:02:07;1;00:02:18;1;;;00:02:10;3;00:04:39;2;00:02:16;2;M
2;6;Gutter 13-14;Eirik Ødegårdstuen;Sk Rye;00:13:31;+00:00:01;00:02:08;2;00:02:30;2;;;00:02:08;1;00:04:33;1;00:02:12;1;M
3;1;Gutter 13-14;Henrik Bjerkelund;;00:14:42;+00:01:12;00:02:13;3;00:02:44;5;;;00:02:08;1;00:05:14;4;00:02:23;3;M
4;3;Gutter 13-14;Brage Lidsheim;CK Nittedal;00:14:43;+00:01:13;00:02:15;4;00:02:42;4;;;00:02:24;5;00:04:48;3;00:02:34;4;M
