bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;FE6 Pos;FE6;chiptime;Pos Klasse;gender;;;;;;;;;;;;;;;
82;Lars Haugen;Menn Enduro 17+;ABBV IL;35;0:06:34;29;0:03:43;36;0:07:28;35;0:06:02;34;0:05:30;67;0:01:50;00:31:07;;M;;;;;;;;;;;;;;;
48;Marius Bakken;Menn Enduro 17+;Studenterhytta ;49;0:06:46;47;0:03:57;35;0:07:27;31;0:05:57;30;0:05:25;38;0:01:36;00:31:08;;M;;;;;;;;;;;;;;;
79;Robin Olofsson;Menn Enduro 17+;Göteborgs stigcyklister;25;0:06:21;48;0:03:57;37;0:07:29;38;0:06:08;40;0:05:41;49;0:01:40;00:31:16;;M;;;;;;;;;;;;;;;
23;Ståle Brun;Menn Enduro 17+;Aron Skiklubb;43;0:06:41;36;0:03:49;42;0:07:38;40;0:06:10;41;0:05:44;32;0:01:34;00:31:36;;M;;;;;;;;;;;;;;;
94;Piotr Susfal;Menn Enduro 17+;Burger King Sørlandsparken;42;0:06:40;49;0:03:57;45;0:07:42;42;0:06:13;43;0:05:48;40;0:01:36;00:31:56;;M;;;;;;;;;;;;;;;
57;Anders Disen;Menn Enduro 17+;Odal SK ;29;0:06:29;64;0:04:14;44;0:07:41;46;0:06:18;42;0:05:47;46;0:01:38;00:32:07;;M;;;;;;;;;;;;;;;
28;Lasse Christoffersen;Menn Enduro 17+;Six inch;47;0:06:46;37;0:03:50;43;0:07:38;49;0:06:25;48;0:05:54;43;0:01:37;00:32:10;;M;;;;;;;;;;;;;;;
115;Bastian Haug;Menn Enduro 17+;Team Follo Ung;45;0:06:44;43;0:03:54;48;0:07:53;39;0:06:09;49;0:05:55;39;0:01:36;00:32:11;;M;;;;;;;;;;;;;;;
47;Knut Haugen;Menn Enduro 17+;Lørenskog CK;59;0:07:01;51;0:03:59;31;0:07:23;41;0:06:12;50;0:05:58;56;0:01:43;00:32:16;;M;;;;;;;;;;;;;;;
65;Kristoffer Andresen;Menn Enduro 17+;Aron SK;39;0:06:37;46;0:03:56;39;0:07:34;47;0:06:19;53;0:06:02;71;0:01:52;00:32:20;;M;;;;;;;;;;;;;;;
78;Stian Gjelsvik;Menn Enduro 17+;KIF;40;0:06:37;34;0:03:47;57;0:08:16;51;0:06:29;47;0:05:53;45;0:01:38;00:32:40;;M;;;;;;;;;;;;;;;
108;Petter Anthonsen;Menn Enduro 17+;Toten-Kranken CK;46;0:06:45;42;0:03:54;46;0:07:46;72;0:06:58;46;0:05:49;53;0:01:42;00:32:54;;M;;;;;;;;;;;;;;;
53;Christoffer Borge Olsen;Menn Enduro 17+;Aron SK S;50;0:06:46;63;0:04:14;47;0:07:48;54;0:06:32;54;0:06:02;65;0:01:50;00:33:12;;M;;;;;;;;;;;;;;;
102;Andreas Holm;Menn Enduro 17+;;30;0:06:31;17;0:03:36;79;0:10:12;28;0:05:52;37;0:05:33;23;0:01:30;00:33:14;;M;;;;;;;;;;;;;;;
45;Birger Patrick;Menn Enduro 17+;Sarpsborg Sykleklubb;54;0:06:56;52;0:04:00;50;0:08:00;59;0:06:36;52;0:06:01;51;0:01:42;00:33:15;;M;;;;;;;;;;;;;;;
42;Fredrik Nygaard;Menn Enduro 17+;;70;0:07:19;72;0:04:18;49;0:07:54;45;0:06:15;56;0:06:07;54;0:01:43;00:33:36;;M;;;;;;;;;;;;;;;
89;Håvard Rishoff;Menn Enduro 17+;;58;0:07:01;56;0:04:03;54;0:08:08;58;0:06:36;55;0:06:04;62;0:01:47;00:33:39;;M;;;;;;;;;;;;;;;
33;Marius Langum;Menn Enduro 17+;Six Inch;51;0:06:47;65;0:04:15;52;0:08:04;52;0:06:30;64;0:06:17;61;0:01:46;00:33:39;;M;;;;;;;;;;;;;;;
38;Magnus Brandtzæg;Menn Enduro 17+;Equinor BIL Oslo;60;0:07:04;68;0:04:17;51;0:08:04;56;0:06:34;57;0:06:07;37;0:01:35;00:33:41;;M;;;;;;;;;;;;;;;
77;Håkon Trydal;Menn Enduro 17+;Grimstad SK;64;0:07:11;60;0:04:07;55;0:08:13;60;0:06:37;51;0:05:59;42;0:01:37;00:33:44;;M;;;;;;;;;;;;;;;
83;Fredrik Arnesen;Menn Enduro 17+;Team Ibis;52;0:06:49;53;0:04:00;53;0:08:07;63;0:06:42;66;0:06:18;64;0:01:49;00:33:45;;M;;;;;;;;;;;;;;;
110;Marius Stenshagen;Menn Enduro 17+;Nittedal ck/Årvoll øl og sykkel klubb;56;0:06:57;54;0:04:02;56;0:08:15;61;0:06:39;63;0:06:15;52;0:01:42;00:33:50;;M;;;;;;;;;;;;;;;
103;Torgrim Dyngen;Menn Enduro 17+;Enköpings Cykelklubb;69;0:07:17;55;0:04:02;63;0:08:26;57;0:06:36;62;0:06:12;47;0:01:39;00:34:12;;M;;;;;;;;;;;;;;;
97;Dag Erik Kristoffersen;Menn Enduro 17+;Ottestad;61;0:07:05;58;0:04:06;71;0:08:43;64;0:06:45;60;0:06:10;44;0:01:37;00:34:26;;M;;;;;;;;;;;;;;;
116;Erik Andreas Kleven;Menn Enduro 17+;Team Follo ung;63;0:07:09;59;0:04:07;67;0:08:34;62;0:06:39;59;0:06:10;63;0:01:48;00:34:27;;M;;;;;;;;;;;;;;;
66;Sander Blomgren;Menn Enduro 17+;Grimstad sk / Sykkelsport AS;53;0:06:54;61;0:04:08;74;0:08:47;65;0:06:45;61;0:06:12;57;0:01:43;00:34:29;;M;;;;;;;;;;;;;;;
87;Morten Iversen Stordahl;Menn Enduro 17+;NSK / Team Lapierre Norge ;44;0:06:42;50;0:03:57;65;0:08:31;55;0:06:34;77;0:07:21;69;0:01:51;00:34:56;;M;;;;;;;;;;;;;;;
100;Vegard Brække;Menn Enduro 17+;Ottestad IL ;75;0:07:35;70;0:04:18;64;0:08:30;66;0:06:46;58;0:06:08;60;0:01:45;00:35:02;;M;;;;;;;;;;;;;;;
62;Kristoffer Løken;Menn Enduro 17+;;65;0:07:11;79;0:04:39;60;0:08:21;50;0:06:26;74;0:06:35;70;0:01:52;00:35:04;;M;;;;;;;;;;;;;;;
49;Jo Christer Frysjøenden;Menn Enduro 17+;Glåmdal SK;66;0:07:13;69;0:04:17;62;0:08:24;73;0:06:58;68;0:06:23;78;0:01:58;00:35:13;;M;;;;;;;;;;;;;;;
118;Terje Rasmussen;Menn Enduro 17+;;71;0:07:25;74;0:04:23;76;0:08:54;53;0:06:31;65;0:06:17;58;0:01:44;00:35:14;;M;;;;;;;;;;;;;;;
56;Tommy Strandvold;Menn Enduro 17+;Team Letth;72;0:07:27;73;0:04:20;61;0:08:24;69;0:06:49;69;0:06:26;73;0:01:53;00:35:19;;M;;;;;;;;;;;;;;;
72;Arne Diederik Kildahl;Menn Enduro 17+;Bø Idrettslag;68;0:07:16;75;0:04:23;59;0:08:17;74;0:07:02;71;0:06:30;72;0:01:52;00:35:20;;M;;;;;;;;;;;;;;;
21;Kristian Eckhoff;Menn Enduro 17+;SK Rye Sykkel;55;0:06:57;85;0:07:13;38;0:07:31;44;0:06:14;45;0:05:49;50;0:01:40;00:35:24;;M;;;;;;;;;;;;;;;
104;Mats Mattsson;Menn Enduro 17+;Enköpings Cykelklubb;74;0:07:33;62;0:04:12;70;0:08:40;67;0:06:47;72;0:06:34;59;0:01:44;00:35:30;;M;;;;;;;;;;;;;;;
93;Sjur Huseby;Menn Enduro 17+;Tck/Bremsespor;79;0:07:55;77;0:04:36;58;0:08:17;71;0:06:57;67;0:06:18;68;0:01:50;00:35:53;;M;;;;;;;;;;;;;;;
101;Pål Neverdal;Menn Enduro 17+;Trail Cartel avdeling oldboys;21;0:06:19;40;0:03:53;82;0:13:04;29;0:05:57;33;0:05:30;35;0:01:35;00:36:18;;M;;;;;;;;;;;;;;;
76;Stein Brudal;Menn Enduro 17+;RYE;73;0:07:29;76;0:04:27;69;0:08:36;75;0:07:04;76;0:06:49;74;0:01:54;00:36:19;;M;;;;;;;;;;;;;;;
90;Edmund Høydahl;Menn Enduro 17+;;78;0:07:54;71;0:04:18;66;0:08:31;77;0:07:13;75;0:06:39;66;0:01:50;00:36:25;;M;;;;;;;;;;;;;;;
63;Kjetil Øygard;Menn Enduro 17+;Lillehammer CK;87;0:12:57;35;0:03:48;26;0:07:17;22;0:05:47;15;0:05:15;30;0:01:33;00:36:37;;M;;;;;;;;;;;;;;;
119;Arne Ask;Menn Enduro 17+;;77;0:07:49;83;0:05:09;72;0:08:43;76;0:07:12;73;0:06:34;76;0:01:55;00:37:22;;M;;;;;;;;;;;;;;;
107;Hans Marius Bråthen;Menn Enduro 17+;BOC;36;0:06:35;26;0:03:42;83;0:15:14;33;0:05:58;28;0:05:25;20;0:01:29;00:38:23;;M;;;;;;;;;;;;;;;
203;Rufus Preiss;Menn Enduro 17+;;80;0:08:07;81;0:04:48;78;0:10:09;80;0:07:49;79;0:07:42;75;0:01:55;00:40:30;;M;;;;;;;;;;;;;;;
55;Glenn Østerud;Menn Enduro 17+;Aron SK;85;0:09:32;84;0:05:27;77;0:09:53;79;0:07:37;78;0:07:40;79;0:02:03;00:42:12;;M;;;;;;;;;;;;;;;
96;Jo Vegard Goderstad;Menn Enduro 17+;;84;0:09:03;82;0:05:09;81;0:10:46;82;0:08:23;80;0:08:47;80;0:02:26;00:44:34;;M;;;;;;;;;;;;;;;
84;Fredrik Lingvall;Menn Enduro 17+;SK Rye;62;0:07:07;66;0:04:17;85;0:19:29;70;0:06:51;70;0:06:29;77;0:01:56;00:46:09;;M;;;;;;;;;;;;;;;
24;Stian Storeng;Menn Enduro 17+;Harstad CK;89;0:28:31;45;0:03:56;41;0:07:36;43;0:06:14;44;0:05:49;36;0:01:35;00:53:41;;M;;;;;;;;;;;;;;;
91;Magnus Røine;Menn Enduro 17+;Kolbotn SK;88;0:14:23;86;0:07:36;84;0:15:25;83;0:12:28;81;0:12:09;81;0:03:25;01:05:26;;M;;;;;;;;;;;;;;;
51;Frode Kristian Møller Ditlefsen;Menn Enduro 17+;SK Rye ;67;0:07:14;41;0:03:53;75;0:08:53;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
59;Nicolas Yann Couturier;Menn Enduro 17+;SK Rye sykkel;57;0:07:00;57;0:04:06;68;0:08:35;68;0:06:48;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
61;Alexander Hauger;Menn Enduro 17+;Team Hakadal Enduro ;82;0:08:28;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
80;Øyvind Horgen;Menn Enduro 17+;Tønsberg cykkelklubb;76;0:07:47;67;0:04:17;73;0:08:46;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
88;Espen Strandbråten;Menn Enduro 17+;;38;0:06:36;44;0:03:55;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
92;Espen Kebely;Menn Enduro 17+;Flytsti;83;0:08:41;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
105;Harald Brekke;Menn Enduro 17+;SK Rye/Team Ibis Norway;86;0:11:33;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
123;Rasmus Garshol;Menn Enduro 17+;BOC;81;0:08:23;80;0:04:48;80;0:10:23;81;0:08:16;DNS;00:00:00;DNS;00:00:00;DNF;;M;;;;;;;;;;;;;;;
313;Tobias Sandengen;Gutter 15-16 år;Kongens berg sti og landeveis røvere;;;;;;;1;0:05:39;1;0:05:10;1;0:01:24;00:12:13;;M;;;;;;;;;;;;;;;
309;Alexander Bredesen;Gutter 15-16 år;Eidsvoll verk sykkelklubb;;;;;;;3;0:06:46;2;0:06:22;3;0:01:36;00:14:44;;M;;;;;;;;;;;;;;;
314;Ola Østerud;Gutter 15-16 år;Aron SK;;;;;;;4;0:07:32;4;0:06:58;4;0:01:57;00:16:27;;M;;;;;;;;;;;;;;;
310;Henrik Berg Remo;Gutter 15-16 år;rye;;;;;;;5;0:09:08;3;0:06:46;5;0:02:05;00:17:59;;M;;;;;;;;;;;;;;;
311;Peder Kirkebøen;Gutter 15     -16 år;Hemsedal IL Sykkel;;;;;;;2;0:05:40;5;0:10:51;2;0:01:28;00:17:59;;M;;;;;;;;;;;;;;;
302;Theodor Bakken;Gutter 13-14 år;Aron SK;;;;;;;1;0:06:03;2;0:05:48;1;0:01:39;00:13:30;;M;;;;;;;;;;;;;;;
303;Martin Fuglstad;Gutter 13-14 år;;;;;;;;4;0:06:17;1;0:05:46;2;0:01:40;00:13:43;;M;;;;;;;;;;;;;;;
301;Alexander Sandengen;Gutter 13-14 år;Kongens berg sti og landeveis røvere;;;;;;;2;0:06:03;6;0:06:10;5;0:01:47;00:14:00;;M;;;;;;;;;;;;;;;
300;Oscar Saksvik;Gutter 13-14 år;;;;;;;;3;0:06:12;5;0:06:07;6;0:01:48;00:14:07;;M;;;;;;;;;;;;;;;
307;William Rø;Gutter 13-14 år;;;;;;;;5;0:06:28;4;0:06:05;3;0:01:40;00:14:13;;M;;;;;;;;;;;;;;;
304;Thomas Kjær Olsen;Gutter 13-14 år;;;;;;;;6;0:06:33;3;0:06:01;4;0:01:44;00:14:18;;M;;;;;;;;;;;;;;;
306;Sigurd Bjørndalen Mathisen;Gutter 13-14 år;Aron;;;;;;;7;0:08:07;7;0:08:01;7;0:02:03;00:18:11;;M;;;;;;;;;;;;;;;
308;Oscar Holst;Gutter 13-14 år;;;;;;;;8;0:08:17;8;0:09:22;8;0:02:06;00:19:45;;M;;;;;;;;;;;;;;;
305;Sander Hole;Gutter 13-14 år;Aron SK;;;;;;;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;;M;;;;;;;;;;;;;;;
213;Vidar Folden;Funduro Menn 17+;NC Syglekogle;;;;;;;3;0:05:59;1;0:05:26;1;0:01:32;00:12:57;;M;;;;;;;;;;;;;;;
226;Tom Ruud;Funduro Menn 17+;Lillehammer ck;;;;;;;5;0:05:59;8;0:06:03;2;0:01:32;00:13:34;;M;;;;;;;;;;;;;;;
217;Michael Lund;Funduro Menn 17+;;;;;;;;6;0:06:06;3;0:05:37;3;0:01:34;00:13:17;;M;;;;;;;;;;;;;;;
215;Andreas Berglihn;Funduro Menn 17+;Team Syglekogle;;;;;;;4;0:05:59;4;0:05:41;4;0:01:37;00:13:17;;M;;;;;;;;;;;;;;;
210;Knut Egil Oppberget;Funduro Menn 17+;Bmi Santa Cruz ;;;;;;;1;0:05:53;2;0:05:28;5;0:01:39;00:13:00;;M;;;;;;;;;;;;;;;
209;Eivind Bjerke;Funduro Menn 17+;;;;;;;;13;0:06:45;6;0:05:49;6;0:01:39;00:14:13;;M;;;;;;;;;;;;;;;
208;Ole Johnny Odden;Funduro Menn 17+;;;;;;;;11;0:06:36;9;0:06:10;7;0:01:40;00:14:26;;M;;;;;;;;;;;;;;;
218;Martin Stene;Funduro Menn 17+;NC Syglekogle;;;;;;;7;0:06:24;7;0:05:51;8;0:01:41;00:13:56;;M;;;;;;;;;;;;;;;
216;Henrik Moberg;Funduro Menn 17+;Pusnes bil;;;;;;;10;0:06:34;11;0:06:11;9;0:01:42;00:14:27;;M;;;;;;;;;;;;;;;
205;Truls Baksetersveen;Funduro Menn 17+;;;;;;;;8;0:06:30;10;0:06:11;10;0:01:44;00:14:25;;M;;;;;;;;;;;;;;;
222;Martin Hanger;Funduro Menn 17+;;;;;;;;14;0:06:55;13;0:06:32;11;0:01:46;00:15:13;;M;;;;;;;;;;;;;;;
212;Kjetil Hagen;Funduro Menn 17+;BMI Santa Cruz;;;;;;;2;0:05:55;5;0:05:43;12;0:01:47;00:13:25;;M;;;;;;;;;;;;;;;
206;Roar Sakshaug-Hansen;Funduro Menn 17+;Lommedalen IL;;;;;;;9;0:06:33;12;0:06:22;13;0:01:48;00:14:43;;M;;;;;;;;;;;;;;;
220;William Midtskogen;Funduro Menn 17+;;;;;;;;12;0:06:36;14;0:06:36;14;0:01:52;00:15:04;;M;;;;;;;;;;;;;;;
207;Kjetil Løvaas;Funduro Menn 17+;;;;;;;;16;0:07:22;18;0:07:01;15;0:01:55;00:16:18;;M;;;;;;;;;;;;;;;
204;Erik Hjertaas;Funduro Menn 17+;Sylling IF;;;;;;;17;0:07:42;16;0:06:52;16;0:02:02;00:16:36;;M;;;;;;;;;;;;;;;
211;Kjetil Haga;Funduro Menn 17+;;;;;;;;19;0:07:54;19;0:07:03;17;0:02:02;00:16:59;;M;;;;;;;;;;;;;;;
225;Kent Gundersen;Funduro Menn 17+;Aron SK/Six Inch;;;;;;;18;0:07:48;21;0:07:37;18;0:02:05;00:17:30;;M;;;;;;;;;;;;;;;
224;Vegar Johannessen;Funduro Menn 17+;;;;;;;;15;0:07:15;15;0:06:49;19;0:02:06;00:16:10;;M;;;;;;;;;;;;;;;
214;Henrik Haugum;Funduro Menn 17+;;;;;;;;20;0:07:57;17;0:06:53;20;0:02:07;00:16:57;;M;;;;;;;;;;;;;;;
221;Erik Haug;Funduro Menn 17+;Follo SK;;;;;;;21;0:08:01;20;0:07:19;21;0:02:17;00:17:37;;M;;;;;;;;;;;;;;;
219;Berge Stillingen;Funduro Menn 17+;NC Syglekogle;;;;;;;22;0:08:35;22;0:09:10;22;0:02:17;00:20:02;;M;;;;;;;;;;;;;;;
