bib;name;Class;Team;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;Pos Klasse;gender
79;Hans Jørgen Kvåle;Menn;;0:05:22;35;0:07:22;22;0:05:01;35;0:05:05;12;0:07:12;13;0:04:47;16;00:34:49;18;M
62;Trond Henriksen;Menn;;0:05:07;20;0:07:13;19;0:04:50;21;0:05:09;15;0:08:00;37;0:05:04;29;00:35:23;19;M
77;Kaspar Kvalø;Menn;;0:05:13;25;0:07:21;21;0:04:52;23;0:05:19;22;0:07:45;26;0:04:56;22;00:35:26;20;M
27;Morgan Bakken;Menn;hhl;0:05:21;31;0:07:29;26;0:04:56;27;0:05:15;17;0:07:29;19;0:04:58;24;00:35:28;21;M
41;Simon Börjars;Menn;;0:05:18;29;0:07:23;23;0:04:57;31;0:05:18;20;0:07:41;24;0:05:07;31;0,024814815;22;M
37;Ivar Breen;Menn;;0:05:12;23;0:07:33;31;0:04:50;20;0:05:22;25;0:07:49;29;0:05:08;36;00:35:54;23;M
74;Joakim Fjeld Kristoffersen;Menn;BOC;0:05:23;36;0:07:32;29;0:05:03;38;0:05:22;26;0:07:29;18;0:05:07;35;00:35:56;24;M
102;Anders Samnøy;Menn;SK Rye;0:05:34;46;0:07:24;24;0:04:57;29;0:05:45;52;0:07:21;16;0:04:56;23;00:35:57;25;M
106;Wiggo Skretteberg;Menn;;0:05:21;33;0:07:46;38;0:04:55;25;0:05:25;31;0:07:34;21;0:05:01;25;00:36:02;26;M
23;Kristoffer Andresen;Menn;;0:05:12;24;0:07:30;27;0:05:12;48;0:05:18;21;0:07:46;27;0:05:10;37;00:36:08;27;M
78;Geir Ottar Kvernstuen;Menn;;0:05:26;38;0:07:30;28;0:05:07;41;0:05:24;29;0:07:46;28;0:05:03;28;00:36:16;28;M
140;Martin Steen;Menn;;0:05:32;43;0:07:46;39;0:04:54;24;0:05:25;33;0:07:52;30;0:04:51;18;00:36:20;29;M
50;Audun Flatvad;Menn;;0:05:13;26;0:07:32;30;0:04:49;19;0:05:40;49;0:08:04;43;0:05:05;30;00:36:23;30;M
72;Geir Jørgensen;Menn;Enduro Fun Team;0:05:10;22;0:08:01;49;0:04:57;32;0:05:25;32;0:08:00;38;0:04:55;21;00:36:28;31;M
142;Johan Tynelius;Menn;Arvika Enduro syklister;0:05:21;34;0:07:37;32;0:04:58;33;0:05:25;30;0:08:01;41;0:05:13;39;00:36:35;32;M
143;Fredrik Åhlander;Menn;Arvika Enduro syklister;0:04:58;15;0:07:39;34;0:04:55;26;0:05:19;23;0:08:15;50;0:05:35;59;00:36:41;33;M
33;Philip Bjørkesett;Menn;;0:05:18;28;0:07:41;35;0:04:57;28;0:05:26;34;0:08:13;47;0:05:07;32;00:36:42;34;M
58;Knut Erik Haugen;Menn;;0:05:28;39;0:07:48;40;0:05:01;37;0:05:33;40;0:07:57;33;0:05:02;27;00:36:49;35;M
47;Jørgen Ertnes;Menn;Team ibis;0:05:40;53;0:07:28;25;0:05:15;53;0:05:37;43;0:07:39;23;0:05:12;38;00:36:51;36;M
91;Jostein Nymoen;Menn;Kongsberg sti/landevei;0:05:44;57;0:07:37;33;0:04:58;34;0:05:16;18;0:07:52;31;0:05:28;55;00:36:55;37;M
93;Tommy Pham;Menn;Enduro Fun Team;0:05:24;37;0:07:55;43;0:05:11;46;0:05:35;41;0:08:00;36;0:05:07;33;00:37:12;38;M
131;Andre Aamodt;Menn;Ponny Pirater;0:04:49;8;0:07:00;11;0:04:35;10;0:09:02;85;0:07:09;10;0:04:38;10;00:37:13;39;M
138;Morten Nagel Muri;Menn;Ponny Pirater;0:05:37;50;0:08:08;54;0:04:51;22;0:05:31;36;0:08:10;45;0:05:02;26;00:37:19;40;M
42;Anders Disen;Menn;;0:05:21;32;0:07:43;36;0:05:20;57;0:05:30;35;0:08:01;40;0:05:31;57;00:37:26;41;M
51;Magnus Forseth;Menn;Enduro Fun Team;0:05:18;27;0:07:48;41;0:05:09;43;0:05:38;44;0:07:59;35;0:05:35;60;00:37:27;42;M
96;Roy Ripe;Menn;Team ibis;0:05:33;45;0:07:56;45;0:05:04;39;0:05:40;48;0:07:57;34;0:05:18;42;00:37:28;43;M
44;Kornelius Drange Hole;Menn;;0:05:31;41;0:07:59;46;0:05:13;50;0:05:31;37;0:08:01;39;0:05:28;54;00:37:43;44;M
103;Espen Sandengen;Menn;Kongsberg sti/landevei;0:05:33;44;0:08:05;52;0:05:09;44;0:05:39;46;0:08:02;42;0:05:19;44;00:37:47;45;M
99;Tor Ivan Rudi;Menn;;0:05:19;30;0:07:53;42;0:05:13;49;0:05:47;54;0:08:14;48;0:05:26;48;00:37:52;46;M
60;Gaute Havik;Menn;;0:05:41;56;0:08:15;62;0:05:12;47;0:05:35;42;0:07:56;32;0:05:15;40;00:37:54;47;M
98;Stig Sørensen Rud;Menn;;0:05:36;48;0:08:04;51;0:05:21;59;0:05:23;27;0:08:28;52;0:05:21;45;00:38:13;48;M
21;Eivind Adelsten Rosén;Menn;Trondrud enginering;0:05:36;49;0:08:15;60;0:05:07;40;0:05:33;39;0:08:28;53;0:05:25;47;00:38:24;49;M
25;Arne Ask;Menn;;0:06:00;71;0:08:15;61;0:05:29;66;0:05:47;53;0:07:44;25;0:05:17;41;00:38:32;50;M
56;Thomas Hannestad;Menn;;0:05:41;55;0:08:10;56;0:05:08;42;0:05:39;47;0:08:34;55;0:05:23;46;00:38:35;51;M
67;Jan Henrik Høilund;Menn;;0:05:47;58;0:07:55;44;0:05:16;54;0:06:02;61;0:08:13;46;0:05:28;52;00:38:41;52;M
73;Arne Diederik Kildahl;Menn;;0:05:37;52;0:08:00;48;0:05:16;56;0:05:32;38;0:08:49;63;0:05:27;50;00:38:41;53;M
57;Stian Lie Hansen;Menn;;0:06:03;73;0:07:44;37;0:05:14;52;0:05:53;60;0:08:30;54;0:05:18;43;00:38:42;54;M
35;Stener Bjørnstad;Menn;;0:05:58;68;0:08:08;55;0:05:11;45;0:05:41;50;0:08:20;51;0:05:27;51;00:38:45;55;M
43;Faruk Dokara;Menn;;0:05:35;47;0:08:28;67;0:05:27;65;0:05:43;51;0:08:15;49;0:05:28;53;00:38:56;56;M
59;Alexander Hauger;Menn;;0:05:53;63;0:08:00;47;0:05:23;62;0:05:52;57;0:08:35;56;0:05:26;49;00:39:09;57;M
97;Håvard Rishoff;Menn;Trondrud enginering;0:05:41;54;0:08:05;53;0:05:14;51;0:05:53;58;0:08:46;61;0:05:34;58;00:39:13;58;M
76;Mats Kvaalen;Menn;hhl;0:05:52;62;0:08:14;59;0:05:16;55;0:06:02;62;0:08:43;60;0:05:28;56;00:39:35;59;M
111;Marius Stenshagen;Menn;CK Nittedal Enduro;0:05:55;65;0:08:23;64;0:05:24;63;0:05:50;56;0:08:36;57;0:05:35;61;00:39:43;60;M
90;Fredrik Nygaard;Menn;;0:05:49;60;0:08:17;63;0:05:21;58;0:05:38;45;0:08:59;65;0:05:52;69;00:39:56;61;M
31;Tobias Bjerknes;Menn;CK Nittedal Enduro;0:05:56;66;0:08:14;58;0:05:42;74;0:06:04;65;0:08:10;44;0:05:50;67;00:39:56;62;M
45;Stian Eilifsen;Menn;CK Nittedal Enduro;0:06:02;72;0:08:44;71;0:05:37;73;0:06:10;67;0:08:43;59;0:05:37;63;00:40:53;63;M
113;Tommy Strandvold;Menn;team letth;0:05:47;59;0:08:33;69;0:05:27;64;0:05:53;59;0:09:17;71;0:06:01;72;00:40:58;64;M
104;Jostein Semb;Menn;CK Nittedal Enduro;0:06:00;70;0:08:25;65;0:05:32;68;0:06:08;66;0:09:00;66;0:06:03;74;00:41:08;65;M
87;Tommy Marthinsen;Menn;;0:05:51;61;0:08:36;70;0:05:22;61;0:06:11;69;0:09:34;73;0:05:36;62;00:41:10;66;M
94;Jamieson Pothecary;Menn;team letth;0:05:57;67;0:09:05;74;0:05:33;69;0:06:02;63;0:09:07;69;0:05:50;66;00:41:34;67;M
36;Christoffer Borge Olsen;Menn;;0:06:00;69;0:09:14;78;0:05:36;72;0:06:04;64;0:09:05;67;0:05:51;68;00:41:50;68;M
95;Jon Are Rakvåg;Menn;Enduro Fun Team;0:06:12;77;0:08:48;72;0:06:08;80;0:06:21;72;0:08:54;64;0:05:57;70;00:42:20;69;M
81;Hans Christian Kivespussi Kåsen;Menn;;0:06:11;75;0:09:07;76;0:05:35;70;0:06:17;70;0:09:07;68;0:06:13;75;00:42:30;70;M
22;Kristian Akselsen;Menn;;0:06:19;79;0:09:08;77;0:05:54;76;0:06:11;68;0:09:10;70;0:05:49;65;00:42:31;71;M
40;Stein Brudal;Menn;SK Rye;0:06:12;76;0:09:04;73;0:06:01;78;0:06:37;79;0:08:48;62;0:05:59;71;00:42:41;72;M
80;Stein Kåre Øfjord;Menn;CK Nittedal Enduro;0:06:07;74;0:09:17;79;0:06:05;79;0:06:19;71;0:09:47;75;0:06:01;73;00:43:36;73;M
61;Jostein Havik;Menn;;0:06:48;84;0:09:38;81;0:05:35;71;0:06:26;73;0:09:36;74;0:05:38;64;00:43:41;74;M
46;Ole Henrik Løland Eriksen;Menn;Enduro Fun Team;0:06:29;82;0:09:07;75;0:05:53;75;0:06:27;74;0:09:52;76;0:06:25;76;00:44:13;75;M
84;Sindre Lidsheim;Menn;CK Nittedal Enduro;0:05:31;42;0:08:04;50;0:05:01;36;0:05:48;55;0:16:06;85;0:05:07;34;00:45:37;76;M
118;Hallgeir Vige;Menn;;0:06:12;78;0:09:42;82;0:06:00;77;0:06:55;82;0:10:42;80;0:06:32;79;00:46:03;77;M
119;Jone Solberg Vik;Menn;;0:06:52;85;0:10:04;84;0:06:16;83;0:06:32;75;0:09:56;77;0:06:27;78;00:46:07;78;M
30;Remi Bjerknes;Menn;CK Nittedal Enduro;0:06:40;83;0:09:56;83;0:06:10;81;0:06:36;78;0:10:30;79;0:06:26;77;00:46:18;79;M
70;Frank Johansen;Menn;team letth;0:06:19;80;0:10:07;85;0:06:26;85;0:06:42;80;0:10:14;78;0:06:34;80;00:46:22;80;M
116;Martin Uthus;Menn;;0:07:20;87;0:10:55;88;0:06:18;84;0:06:35;77;0:10:52;81;0:07:02;82;00:49:02;81;M
107;Eirik Slettebø;Menn;Enduro Fun Team;0:07:35;89;0:10:16;86;0:06:30;86;0:06:49;81;0:10:59;82;0:07:46;84;00:49:55;82;M
63;Svein Hetland;Menn;;0:08:26;91;0:11:32;89;0:07:36;90;0:06:33;76;0:09:21;72;0:06:50;81;00:50:18;83;M
89;Mats Nordlund;Menn;Trondrud enginering;0:07:13;86;0:10:42;87;0:06:53;87;0:07:42;83;0:12:44;83;0:07:18;83;00:52:32;84;M
54;Rasmus Garshol;Menn;;0:07:34;88;0:12:10;91;0:07:32;89;0:08:06;84;0:13:18;84;0:08:45;86;00:57:25;85;M
115;Nicklas Ulven-Røsby;Menn;;0:07:37;90;0:11:32;90;0:07:25;88;0:09:50;86;0:18:22;86;0:07:52;85;01:02:38;86;M
117;Mats Uverud Nyegaard;Menn;hhl;0:05:28;40;0:08:32;68;0:05:22;60;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;87;M
110;Rune Sten Nilsen;Menn;;0:05:00;16;0:07:19;20;0:04:46;17;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;88;M
52;Andreas Strømsvåg Francke;Menn;;0:05:37;51;0:08:12;57;0:05:31;67;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;89;M
92;Are Pedersen;Menn;;0:06:24;81;0:09:35;80;0:06:13;82;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;90;M
85;Fredrik Lingvall;Menn;;0:05:55;64;0:08:25;66;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;91;M
134;Daniel Granander;Menn;;0:08:52;92;0:15:44;92;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;92;M
11;Ida Håkonsson;Kvinner senior;SK Rye;0:05:27;1;0:07:45;1;0:05:04;1;0:05:49;2;0:08:11;1;0:05:28;3;00:37:44;1;F
18;Martine Stenbro;Kvinner senior;;0:05:38;2;0:08:00;2;0:05:18;2;0:05:50;3;0:08:15;2;0:05:14;2;00:38:15;2;F
16;Lene Snerk Pettersen;Kvinner senior;hhl;0:05:44;3;0:08:53;3;0:05:28;3;0:05:37;1;0:08:35;3;0:05:10;1;00:39:27;3;F
5;Andrea Coucheron;Kvinner senior;BOC;0:06:16;5;0:08:54;4;0:05:50;4;0:06:18;6;0:09:00;4;0:06:01;5;00:42:19;4;F
2;Emily Benham Kvåle;Kvinner senior;;0:06:25;6;0:09:00;6;0:06:11;8;0:06:14;5;0:09:11;5;0:06:20;8;00:43:21;5;F
7;Christine Haug;Kvinner senior;;0:06:44;7;0:09:02;7;0:06:05;7;0:06:12;4;0:09:35;6;0:05:46;4;00:43:24;6;F
17;Marie Pettersson;Kvinner senior;;0:06:48;8;0:09:08;9;0:06:02;5;0:06:30;7;0:09:41;8;0:06:12;6;00:44:21;7;F
15;Ida Rydland Nærum;Kvinner senior;CK Nittedal Enduro;0:06:14;4;0:09:04;8;0:06:22;10;0:06:51;8;0:09:39;7;0:06:18;7;00:44:28;8;F
13;Tone Løk;Kvinner senior;CK Nittedal Enduro;0:07:28;11;0:11:29;11;0:06:19;9;0:07:46;9;0:12:30;10;0:06:54;9;00:52:26;9;F
4;Elise Bugge;Kvinner senior;;0:07:20;10;0:11:15;10;0:07:49;11;0:07:57;10;0:12:18;9;0:07:46;10;00:54:25;10;F
9;Mai-Britt Hostvedt;Kvinner senior;Kongsberg sti/landevei;0:08:14;12;0:12:33;12;0:08:02;12;0:08:59;11;0:13:55;11;0:09:01;11;01:00:44;11;F
12;Marte Lund;Kvinner senior;;0:06:54;9;0:08:57;5;0:06:04;6;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;DNF;12;F
