Pos Klasse;bib;name;Class;Club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
12th;24;Aksel Bolstad;Gutter 11-12;IF Frøy;00:02:11;18;00:02:41;11;00:00:42;7;00:01:30;11;00:02:06;9;00:09:10;00:02:02;M
13th;16;Hugo Kolstad;Gutter 11-12;CK Nittedal;00:01:37;12;00:03:09;14;00:00:47;15;00:01:34;12;00:02:10;12;00:09:17;00:02:09;M
14th;30;Sverre Heen;Gutter 11-12;Ringerike SK;00:01:38;13;00:03:23;16;00:00:48;16;00:01:41;16;00:02:14;15;00:09:44;00:02:36;M
15th;110;Edvald Bang-Johansen;Gutter 11-12;IF Frøy;00:01:39;14;00:02:40;10;00:01:19;19;00:02:04;19;00:02:20;16;00:10:02;00:02:54;M
16th;20;Brage Jørgensen;Gutter 11-12;;00:01:39;15;00:03:47;18;00:00:45;11;00:01:40;15;00:02:21;17;00:10:12;00:03:04;M
17th;22;Liam Grini Rief;Gutter 11-12;Hadeland CK;00:01:49;16;00:03:22;15;00:00:54;17;00:01:47;18;00:02:28;19;00:10:20;00:03:12;M
18th;19;Haakon Blaauw;Gutter 11-12;IL Heming;00:01:53;17;00:03:38;17;00:00:57;18;00:01:44;17;00:02:28;18;00:10:40;00:03:32;M
19th;15;Ludvik Hoogerwerf-Drag;Gutter 11-12;IF Frøy;00:02:16;19;00:09:09;19;00:00:45;12;00:01:36;14;00:02:13;13;00:15:59;00:08:51;M
1st;11;Tess Van Weerdhuizen;Jenter 11-12;IF Frøy;00:01:15;1;00:02:16;1;00:00:35;1;00:01:18;1;00:01:53;1;00:07:17;;F
2nd;12;Une Nymoen Gamre;Jenter 11-12;Smaalenene SK;00:01:49;2;00:03:27;2;00:00:57;2;00:01:50;2;00:03:08;2;00:11:11;00:03:54;F
;44;Storm Eilertsen;Gutter 13-14;Aron SK;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;;;00:00:00;DNS;M
;60;Martin Ødegård;Gutter 13-14;Eidsvoll SK;00:03:35;19;00:00:00;DNF;00:00:00;DNS;00:00:00;DNS;;;00:00:00;DNF;M
1st;36;Mikkel Skotte Lauritzen;Gutter 13-14;SK Rye sykkel;00:02:50;1;00:04:14;1;00:01:49;1;00:02:23;4;;;00:11:16;;M
2nd;111;Bård Røisli;Gutter 13-14;CK Nittedal;00:03:05;4;00:04:32;2;00:01:58;6;00:02:17;2;;;00:11:52;00:00:36;M
3rd;47;Martin Glamsland Stoveland;Gutter 13-14;Kristiansands CK;00:03:02;3;00:04:47;3;00:01:55;3;00:02:16;1;;;00:12:00;00:00:44;M
4th;68;Sune Bjerke;Gutter 13-14;SK Rye sykkel;00:02:57;2;00:04:52;4;00:01:54;2;00:02:25;6;;;00:12:08;00:00:52;M
5th;56;David Risberg;Gutter 13-14;Sandefjord SK;00:03:06;6;00:04:53;5;00:01:56;4;00:02:21;3;;;00:12:16;00:01:00;M
6th;35;Emil Hernes;Gutter 13-14;Fossum IF Sykkel;00:03:18;9;00:05:00;6;00:01:59;8;00:02:28;7;;;00:12:45;00:01:29;M
7th;37;Sindre Hynne-Øye;Gutter 13-14;CK Nittedal;00:03:13;8;00:05:15;11;00:01:57;5;00:02:30;9;;;00:12:55;00:01:39;M
8th;58;Even Stensland;Gutter 13-14;Modum CK;00:03:05;5;00:05:15;10;00:02:03;10;00:02:34;11;;;00:12:57;00:01:41;M
9th;59;Torjus Sandvik-Are;Gutter 13-14;SK Rye sykkel;00:03:11;7;00:05:13;9;00:02:08;15;00:02:35;13;;;00:13:07;00:01:51;M
10th;53;Tobias Haugen Opsahl;Gutter 13-14;Asker CK;00:03:28;13;00:05:18;12;00:01:58;7;00:02:31;10;;;00:13:15;00:01:59;M
11th;45;Silas Vanbuggenhout-Mogensen;Gutter 13-14;Lillehammer CK;00:03:40;20;00:05:04;7;00:02:00;9;00:02:39;17;;;00:13:23;00:02:07;M
12th;66;Tallak Hustoft;Gutter 13-14;CK Nittedal;00:03:27;12;00:05:29;13;00:02:05;12;00:02:34;12;;;00:13:35;00:02:19;M
13th;61;Thorvald Lødøen;Gutter 13-14;BÃ¦rum OCK;00:03:21;11;00:05:08;8;00:02:41;25;00:02:28;8;;;00:13:38;00:02:22;M
14th;50;Ludvik Lærum Bentzen;Gutter 13-14;SK Rye sykkel;00:03:29;14;00:05:32;14;00:02:11;18;00:02:54;24;;;00:14:06;00:02:50;M
15th;48;Mikkel August Myrvold;Gutter 13-14;SK Rye sykkel;00:03:30;15;00:06:03;16;00:02:06;14;00:02:36;15;;;00:14:15;00:02:59;M
16th;34;Malte Andreas Torp Bure;Gutter 13-14;Gresvik IF;00:03:34;17;00:06:22;19;00:02:05;13;00:02:23;5;;;00:14:24;00:03:08;M
;46;Aksel Fredrik Rosenvinge;Gutter 13-14;CK Nittedal;00:05:50;31;00:00:00;DNS;00:04:21;;00:04:29;;;;00:00:00;DNF;M
17th;62;Iver Nymoen Gamre;Gutter 13-14;Smaalenene SK;00:03:30;16;00:06:11;17;00:02:17;21;00:02:49;21;;;00:14:47;00:03:31;M
18th;38;Oliver Hjertum Jarsve;Gutter 13-14;CK Nittedal;00:03:44;23;00:06:24;20;00:02:10;17;00:02:40;19;;;00:14:58;00:03:42;M
19th;64;Emil Kalfoss-Eilertsen;Gutter 13-14;CK Nittedal;00:03:34;18;00:05:52;15;00:03:08;29;00:02:37;16;;;00:15:11;00:03:55;M
20th;40;Mikkel Ralle Larsen;Gutter 13-14;Sandefjord SK;00:03:53;24;00:06:19;18;00:02:21;23;00:02:50;23;;;00:15:23;00:04:07;M
21st;67;Lewi Draumås;Gutter 13-14;Smaalenene SK;00:04:02;25;00:06:30;23;00:02:13;19;00:02:42;20;;;00:15:27;00:04:11;M
22nd;63;Nordal Røsjø;Gutter 13-14;Ringerike SK;00:03:40;21;00:06:44;24;00:02:14;20;00:02:50;22;;;00:15:28;00:04:12;M
23rd;54;Fredrik Stensby;Gutter 13-14;Eidsvoll SK;00:04:13;26;00:06:24;21;00:02:18;22;00:03:27;29;;;00:16:22;00:05:06;M
24th;49;Isac Fjøsne;Gutter 13-14;Sandefjord SK;00:04:17;27;00:06:24;22;00:02:54;28;00:03:11;26;;;00:16:46;00:05:30;M
25th;57;Tobias Staff-Hansen;Gutter 13-14;Eidsvoll SK;00:04:32;29;00:06:51;25;00:02:21;24;00:03:11;25;;;00:16:55;00:05:39;M
26th;52;Leopold Klemet Kollerud;Gutter 13-14;Lillehammer CK;00:04:20;28;00:07:42;26;00:02:42;26;00:03:13;27;;;00:17:57;00:06:41;M
27th;65;Jacob Vebostad;Gutter 13-14;CK Nittedal;00:03:18;10;00:10:22;28;00:02:03;11;00:02:36;14;;;00:18:19;00:07:03;M
28th;69;Håkon Petrus Weijer Jenssen;Gutter 13-14;CK Nittedal;00:04:38;30;00:07:42;27;00:02:43;27;00:03:16;28;;;00:18:19;00:07:03;M
29th;51;Ole Jakob Aas Hersløv;Gutter 13-14;Fossum IF Sykkel;00:03:40;22;00:16:02;29;00:02:09;16;00:02:40;18;;;00:24:31;00:13:15;M
1st;32;Emily Skeie-Lebreux;Jenter 13-14;CK Nittedal;00:03:25;1;00:05:32;1;00:02:05;1;00:02:30;1;;;00:13:32;;F
2nd;33;Ville Langgård Munch;Jenter 13-14;Lillehammer;00:05:10;2;00:07:06;2;00:02:29;2;00:02:59;2;;;00:17:44;00:04:12;F
1st;83;Noah Heieren;Gutter 15-16;SK Rye sykkel;00:05:12;1;00:03:51;1;00:04:24;1;00:01:59;1;;;00:15:26;;M
2nd;73;Markus Skeie-Lebreux;Gutter 15-16;CK Nittedal;00:05:36;3;00:04:09;2;00:04:45;2;00:02:06;2;;;00:16:36;00:01:10;M
3rd;81;Oskar Myro;Gutter 15-16;SK Rye sykkel;00:05:36;4;00:04:31;3;00:05:05;4;00:02:12;3;;;00:17:24;00:01:58;M
4th;97;Alexander Halvorsen;Gutter 15-16;Gresvik IF;00:05:30;2;00:04:32;4;00:05:11;5;00:02:15;5;;;00:17:28;00:02:02;M
5th;76;Felix Tho Sveva;Gutter 15-16;Sandefjord SK;00:05:46;6;00:05:17;9;00:05:01;3;00:02:19;8;;;00:18:23;00:02:57;M
6th;87;Berg Skeie Bjørnsson;Gutter 15-16;Kristiansands CK;00:05:42;5;00:04:59;6;00:05:46;7;00:02:17;6;;;00:18:44;00:03:18;M
7th;88;Eskil Oudalstøl;Gutter 15-16;Kristiansands CK;00:05:59;7;00:04:38;5;00:06:31;13;00:02:18;7;;;00:19:26;00:04:00;M
8th;82;Joel Holmgård;Gutter 15-16;OK Tyr;00:07:16;14;00:05:02;7;00:05:27;6;00:02:14;4;;;00:19:59;00:04:33;M
9th;79;Sondre Oldervik Andersen;Gutter 15-16;IF Frøy;00:06:28;8;00:05:22;10;00:06:00;9;00:02:31;10;;;00:20:21;00:04:55;M
10th;75;Jon Eid;Gutter 15-16;Lørenskog CK;00:06:55;13;00:05:15;8;00:05:53;8;00:02:33;11;;;00:20:36;00:05:10;M
11th;94;Markus Lia Reenskaug;Gutter 15-16;IF Frøy;00:06:31;11;00:05:29;11;00:06:02;10;00:02:37;12;;;00:20:39;00:05:13;M
12th;109;Ludvig Bang-Johansen;Gutter 15-16;IF Frøy;00:06:29;9;00:05:55;13;00:06:20;12;00:02:43;14;;;00:21:27;00:06:01;M
13th;93;Elias Friden-Bjune;Gutter 15-16;Lørenskog CK;00:06:41;12;00:05:51;12;00:06:18;11;00:02:40;13;;;00:21:30;00:06:04;M
14th;91;William Johnsen;Gutter 15-16;IF Frøy;00:06:30;10;00:06:50;14;00:07:21;15;00:02:29;9;;;00:23:10;00:07:44;M
15th;84;Jacob Tho Bjørvik;Gutter 15-16;Sandefjord SK;00:08:06;15;00:07:23;15;00:07:18;14;00:02:55;15;;;00:25:42;00:10:16;M
16th;90;Narvesen Lucas;Gutter 15-16;CK Nittedal;00:13:52;16;00:11:24;16;00:11:17;16;00:04:01;16;;;00:40:34;00:25:08;M
;74;Jonathan Olsen;Gutter 15-16;SK Rye sykkel;00:07:26;;00:06:22;;00:00:00;DNF;00:00:00;DNS;;;00:00:00;DNF;M
;77;Kasper Thingelstad Mayer;Gutter 15-16;Modum CK;00:07:51;;00:00:00;DNF;00:00:00;DNS;00:00:00;DNS;;;00:00:00;DNF;M
1st;70;Tatiana Furnes;Jenter 15-16;Bærum OCK;00:16:03;1;00:05:30;1;00:10:58;1;00:02:44;1;;;00:35:15;;F
1st;100;Eskil Hafskjold;Gutter 17-18;SK Rye sykkel;00:05:06;1;00:04:01;1;00:04:24;1;00:02:00;1;;;00:15:31;;M
2nd;99;Jo Røisli;Gutter 17-18;CK Nittedal;00:05:49;3;00:04:28;2;00:04:52;2;00:02:04;2;;;00:17:13;00:01:42;M
3rd;106;Torben Hjelset;Gutter 17-18;CK Nittedal;00:05:48;2;00:04:45;3;00:05:03;3;00:02:10;3;;;00:17:46;00:02:15;M
4th;104;Johannes Pernu;Gutter 17-18;Kongsberg;00:06:49;4;00:05:43;4;00:06:14;4;00:02:35;4;;;00:21:21;00:05:50;M
5th;108;Filip Martinsen;Gutter 17-18;Follo SK;00:07:12;5;00:06:09;5;00:06:29;5;00:02:35;4;;;00:22:25;00:06:54;M
;105;Ruben Damgaard Johnsrud;Gutter 17-18;CK Nittedal;00:13:19;6;00:10:00;6;00:00:00;DNF;00:03:23;6;;;00:00:00;DNF;M
;102;Marius Løken;Gutter 17-18;CK Nittedal;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;;;00:00:00;DNS;M
;101;Sindre Martin Moe Sollund;Gutter 17-18;Molde CK;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;;;00:00:00;DNS;M
