Pos klasse;bib;Category;First Name;Surname;Team;Time;Gap;Penalties;FE1 Time;FE1 Pos;FE2 Time;FE2 Pos;FE3 Time;FE3 Pos;gender
2;33;Menn master;Pål;Grotnes;Gresvik IF Stisyklister;00:21:06;+00:00:26;;00:06:07;2;00:06:13;2;00:08:46;2;M
3;31;Menn master;Arild;Heimli Johnsen;Team Letth;00:23:18;+00:02:38;;00:06:29;3;00:06:54;4;00:09:55;3;M
4;41;Menn master;Sindre;Lidsheim;CK Nittedal;00:24:13;+00:03:33;;00:07:06;9;00:06:51;3;00:10:16;5;M
5;38;Menn master;Simen;Kalnæs Danielsen;DFI sykkel;00:24:15;+00:03:35;;00:06:52;6;00:07:09;5;00:10:14;4;M
6;44;Menn master;Knut;Haugen;Lørenskog CK;00:25:17;+00:04:37;;00:06:55;7;00:07:45;7;00:10:37;7;M
7;45;Menn master;Kim;Andersen;;00:25:41;+00:05:01;;00:06:51;5;00:07:10;6;00:11:40;10;M
8;46;Menn master;Kristian;Eckhoff;SK Rye Sykkel;00:25:46;+00:05:06;;00:07:00;8;00:07:50;9;00:10:56;9;M
9;39;Menn master;Jan Henrik;Høilund;Njård;00:25:49;+00:05:09;;00:07:20;10;00:07:47;8;00:10:42;8;M
10;32;Menn master;Espen;Kebely;;00:26:26;+00:05:46;;00:06:40;4;00:09:11;15;00:10:35;6;M
11;34;Menn master;Torkel;Røisli;;00:27:47;+00:07:07;;00:07:26;11;00:08:13;11;00:12:08;12;M
12;42;Menn master;Fredrik;Lingvall;Sk Rye;00:28:16;+00:07:36;;00:07:43;13;00:08:03;10;00:12:30;13;M
13;49;Menn master;Kent;Scott Johnsen;Eidsvoll Sykkelklubb;00:30:13;+00:09:33;;00:09:07;15;00:09:03;14;00:12:03;11;M
14;35;Menn master;Lars;Thomte;NOTS;00:30:15;+00:09:35;;00:08:12;14;00:09:01;13;00:13:02;14;M
DNF;36;Menn master;Marius;Wilberg;Blaker IL Sykkel;;;;00:07:40;12;00:08:14;12;;;M
1;4;Master Kvinner;Marte;Lund;CK Nittedal;00:27:30;;;00:08:09;2;00:07:43;1;00:11:38;1;F
2;1;Kvinner master;Linda;Lønmo;Aron SK Sykkel;00:28:33;+00:01:03;;00:07:59;1;00:08:23;2;00:12:11;2;F
3;2;Kvinner master;Kari;Olstad;Hadeland CK;00:36:09;+00:08:39;;00:09:35;3;00:10:56;3;00:15:38;3;F
4;3;Kvinner master;Kine;Lidsheim;CK Nittedal;00:37:35;+00:10:05;;00:10:24;4;00:11:31;4;00:15:40;4;F
1;88;Menn senior;Ola;Jåvold Landmark;Bærum OCK;00:18:40;;;00:05:24;2;00:05:28;3;00:07:48;1;M
2;78;Menn senior;Knut;Røhme;Romeriksåsen SK / Team Sørensen Racing;00:18:48;+00:00:08;;00:05:19;1;00:05:30;4;00:07:59;2;M
3;54;Menn senior;Sebastian;Dietrich;;00:19:08;+00:00:28;;00:05:27;3;00:05:39;6;00:08:02;3;M
4;62;Menn senior;Jan Erik;Kørra;Lillehammer CK;00:19:26;+00:00:46;;00:05:34;6;00:05:25;2;00:08:27;6;M
5;76;Menn senior;Jens;Bergmann;Sk Rye;00:19:33;+00:00:53;;00:05:30;4;00:05:52;11;00:08:11;4;M
6;101;Menn senior;Bård;Pettersen;Drammen ck;00:19:33;+00:00:53;;00:05:35;7;00:05:21;1;00:08:37;8;M
7;85;Menn senior;Daniel;Bagge;CK Master;00:20:03;+00:01:23;;00:05:38;9;00:05:45;10;00:08:40;9;M
8;109;Menn senior;Gard;Brovold;IL Heming;00:20:05;+00:01:25;;00:05:53;10;00:05:43;8;00:08:29;7;M
9;56;Menn senior;Tormod;Weydahl;Ottadalen SK;00:20:08;+00:01:28;;00:05:37;8;00:06:07;14;00:08:24;5;M
10;68;Menn senior;Anders;Skarstein;Hemsedal IL sykkel;00:20:23;+00:01:43;;00:06:02;12;00:05:37;5;00:08:44;10;M
11;61;Menn senior;Oskar;Omdal;Sokndal sti og sykkel;00:20:41;+00:02:01;;00:06:02;12;00:05:44;9;00:08:55;12;M
12;75;Menn senior;Andreas;Aalby;Asker CK Enduro;00:20:59;+00:02:19;;00:05:58;11;00:06:14;16;00:08:47;11;M
13;60;Menn senior;Erlend ;Hegrum Askjer;Horten OCK;00:21:13;+00:02:33;;00:06:12;16;00:05:52;11;00:09:09;13;M
14;53;Menn senior;Kristoffer;Engen;Hemsedal il;00:21:37;+00:02:57;;00:06:03;14;00:05:42;7;00:09:52;20;M
15;91;Menn senior;Robin;Dolgos;Vtt fun club nancy;00:21:38;+00:02:58;;00:06:08;15;00:05:56;13;00:09:34;15;M
16;105;Menn senior;Kristoffer;Rakneberg;Bergen MTB;00:22:22;+00:03:42;;00:06:33;22;00:06:24;17;00:09:25;14;M
17;79;Menn senior;André;Aamodt;;00:22:25;+00:03:45;;00:06:35;25;00:06:10;15;00:09:40;18;M
18;52;Menn senior;Christian;Rief;Hadeland CK;00:22:42;+00:04:02;;00:06:34;23;00:06:29;20;00:09:39;16;M
19;57;Menn senior;Ola;Myklatun Krosness;;00:22:46;+00:04:06;;00:06:16;17;00:06:51;28;00:09:39;16;M
20;66;Menn senior;Anders;Samnøy;Aron SK;00:22:57;+00:04:17;;00:06:21;18;00:06:47;24;00:09:49;19;M
21;96;Menn senior;Per Jørgen;Sletto;Flow Enduro;00:22:58;+00:04:18;;00:06:24;20;00:06:27;19;00:10:07;25;M
22;74;Menn senior;Tommy;Pham;Flow Enduro;00:23:20;+00:04:40;;00:06:50;32;00:06:34;22;00:09:56;21;M
23;69;Menn senior;Knut Harald;Smette;Stovnerkam./Fri Flyt;00:23:23;+00:04:43;;00:06:22;19;00:06:54;30;00:10:07;25;M
24;48;Menn senior;Ola;Gulbrandsen;;00:23:42;+00:05:02;;00:06:38;26;00:06:59;32;00:10:05;23;M
25;72;Menn senior;Stian;Bjørnli;Flow Enduro;00:23:56;+00:05:16;;00:06:56;38;00:06:52;29;00:10:08;27;M
26;65;Menn senior;Kristoffer;Apeland;Ck Haugaland;00:23:57;+00:05:17;;00:07:03;41;00:06:24;17;00:10:30;31;M
27;83;Menn senior;Håkon;Trydal;Arendal Singletrack;00:23:59;+00:05:19;;00:06:41;27;00:07:13;35;00:10:05;23;M
28;86;Menn senior;Kristoffer Ylven;Westgaard;Asker CK;00:24:04;+00:05:24;;00:06:44;29;00:07:19;38;00:10:01;22;M
29;47;Menn senior;Henrik;Olsen;Flow;00:24:09;+00:05:29;;00:06:55;36;00:06:57;31;00:10:17;28;M
30;81;Menn senior;Karl Andreas;Sagadalen;Hadeland ck;00:24:11;+00:05:31;;00:06:43;28;00:06:50;27;00:10:38;36;M
31;71;Menn senior;Sander;Blomgren;Sykkelsport Arendal;00:24:14;+00:05:34;;00:07:04;42;00:06:49;25;00:10:21;29;M
32;73;Menn senior;Joakim;Melby;;00:24:15;+00:05:35;;00:06:52;34;00:06:32;21;00:10:51;40;M
33;51;Menn senior;Andreas;Rief;Hadeland CK;00:24:17;+00:05:37;;00:06:29;21;00:07:16;36;00:10:32;32;M
34;77;Menn senior;Joakim;Karlsson;;00:24:18;+00:05:38;;00:06:55;36;00:06:46;23;00:10:37;34;M
35;89;Menn senior;Stanley;Geyersbach;;00:24:37;+00:05:57;;00:06:46;30;00:07:05;34;00:10:46;38;M
36;80;Menn senior;Joachim;Bøhler;;00:24:39;+00:05:59;;00:07:00;40;00:07:02;33;00:10:37;34;M
37;59;Menn senior;Magnus;Innerdal;;00:24:52;+00:06:12;;00:06:50;32;00:07:29;40;00:10:33;33;M
38;108;Menn senior;Jostein;Authen;;00:24:55;+00:06:15;;00:06:53;35;00:06:49;25;00:11:13;42;M
39;67;Menn senior;Tobias;Bjerknes;CK Nittedal;00:25:37;+00:06:57;;00:07:18;46;00:07:26;39;00:10:53;41;M
40;103;Menn senior;Przemyslaw;Glowinkowski;Bike Bums;00:25:37;+00:06:57;;00:06:48;31;00:07:33;41;00:11:16;43;M
41;84;Menn senior;Kristoffer;Andresen;Aron SK;00:25:39;+00:06:59;;00:06:58;39;00:08:15;48;00:10:26;30;M
42;107;Menn senior;Fredrik;Nygaard;;00:25:55;+00:07:15;;00:07:15;45;00:07:51;46;00:10:49;39;M
43;87;Menn senior;Peter;Hjertson;;00:25:55;+00:07:15;;00:06:34;23;00:07:17;37;00:12:04;47;M
44;55;Menn senior;Ivar;Haug;Holmsbu IF;00:26:02;+00:07:22;;00:07:31;48;00:07:48;45;00:10:43;37;M
45;102;Menn senior;Marcus Emil;Sletten;;00:26:39;+00:07:59;;00:07:26;47;00:07:46;43;00:11:27;45;M
46;70;Menn senior;Christopher;Fredriksen;KCK;00:27:01;+00:08:21;;00:07:56;51;00:07:38;42;00:11:27;45;M
47;93;Menn senior;Levi;Vøllestad Aakre;Top-Tubes Orange Team;00:27:03;+00:08:23;;00:07:46;50;00:07:51;46;00:11:26;44;M
48;95;Menn senior;Marius ;Rønningen Diseth;ck nittedal;00:28:29;+00:09:49;;00:07:31;48;00:08:30;49;00:12:28;50;M
49;99;Menn senior;Frode Kristian;Ditlefsen;SK Rye;00:30:03;+00:11:23;;00:07:07;43;00:10:33;53;00:12:23;49;M
50;106;Menn senior;Andreas;Birkeland;-;00:30:56;+00:12:16;;00:08:06;53;00:09:11;50;00:13:39;51;M
51;50;Menn senior;Erik;Haugstulen;Gruvelia SK;00:31:14;+00:12:34;;00:08:01;52;00:11:03;54;00:12:10;48;M
52;90;Menn senior;Petter;Strømme;;00:36:54;+00:18:14;;00:09:26;55;00:12:27;55;00:15:01;52;M
DNF;63;Menn senior;Ole-Herman;Bergby;SK Rye;;;;00:05:33;5;00:07:47;44;;;M
DNF;92;Menn senior;Karl-Oskar;Sæther;;;;;00:07:14;44;00:09:53;51;;;M
DNF;97;Menn senior;Rufus;Preiss;Kragerø;;;;00:09:22;54;00:10:26;52;;;M
DNF;64;Menn senior;Lars;Strømme;;;;;00:14:42;56;;;;;M
1;9;Kvinner junior;Hedda;Brenningen Bjørklund;Lillehammer CK;00:22:53;;;00:06:25;1;00:06:55;2;00:09:33;1;F
2;6;Kvinner senior;Hilde;Strædet;Kristiansand cykleklubb;00:23:29;+00:00:36;;00:06:40;2;00:06:32;1;00:10:17;2;F
3;11;Kvinner senior;Anna;Littorin-Sandbu;Lillehammer CK;00:26:15;+00:03:22;;00:07:16;3;00:07:17;3;00:11:42;4;F
4;8;Kvinner senior;Lene ;Snerk Pettersen;Eidanger GROMS;00:26:51;+00:03:58;;00:07:26;4;00:07:58;4;00:11:27;3;F
5;7;Kvinner senior;Ida;Nærum;CK Nittedal;00:28:37;+00:05:44;;00:07:49;5;00:08:05;5;00:12:43;6;F
6;14;Kvinner senior;Stine;Torgersbråten;Team Letth;00:30:48;+00:07:55;;00:08:51;7;00:09:16;6;00:12:41;5;F
7;13;Kvinner senior;Tonje;Sameien;Team BIFF;00:33:04;+00:10:11;;00:08:36;6;00:09:52;7;00:14:36;7;F
1;171;G10-12;Noah;Heieren;SK Rye;00:12:13;;;00:04:23;2;00:07:50;2;;;M
2;172;G10-12;Einar Andreas S;Bjørn-Lian;Follo SK;00:13:18;;;00:05:01;6;00:08:17;3;;;M
3;;G10-12;Bård;Gujord Røisli;CK Nittedal;00:13:20;;;00:04:57;5;00:08:23;4;;;M
4;;G10-12;Mees;Van Weerdhuizen;IF Frøy;00:13:33;;;00:04:40;3;00:08:53;5;;;M
5;;G10-12;Markus;Skeie-Lebreux;Ck Nittedal;00:13:49;;;00:07:09;11;00:06:40;1;;;M
6;;G10-12;Kevin André;Vestli;Nes sykkelklubb;00:14:48;;;00:05:05;7;00:09:43;6;;;M
7;;G10-12;Markus ;Bye Jacobsen;Frøy IL;00:15:16;;;00:04:54;4;00:10:22;7;;;M
8;;G10-12;Frederic;Sandengen;Kongen's berg sti og landeveis røvere;00:16:05;;;00:05:30;8;00:10:35;8;;;M
9;;G10-12;Joakim;Rø;;00:16:48;;;00:04:22;1;00:12:26;9;;;M
10;;G10-12;Sigurd;Foss Andersen;CK Nittedal;00:18:54;;;00:06:13;9;00:12:41;10;;;M
11;;G10-12;Sean;Ingvaldsen Engebretsen;Team Lapierre Norge;DNF;;;00:06:58;10;00:00:00;DNF;;;M
1;;G13-14;Ludvig;Strand;Heming;00:10:59;;;00:04:00;1;00:06:59;1;;;M
2;;G13-14;Jo;Gujord Røisli;CK Nittedal;00:11:16;;;00:04:11;3;00:07:05;2;;;M
3;;G13-14;Eirik;Ølnes Ødegårdstuen;SK Rye;00:11:31;;;00:04:04;2;00:07:27;3;;;M
4;;G13-14;Brage;Lidsheim;CK Nittedal;00:12:00;;;00:04:19;4;00:07:41;5;;;M
5;;G13-14;Torben;Hjelset;CK Nittedal;00:12:12;;;00:04:23;5;00:07:49;6;;;M
6;;G13-14;Anders;Kvalheim;SK Rye;00:12:26;;;00:04:50;10;00:07:36;4;;;M
7;;G13-14;Edvin;Almaas-Edvardsen;;00:12:37;;;00:04:45;7;00:07:52;7;;;M
8;;G13-14;Per Øystein;Ås;Mandal Sykkelklubb;00:13:17;;;00:04:34;6;00:08:43;8;;;M
9;;G13-14;Marius;Fenstad Skjærstad;SK Rye;00:14:26;;;00:04:59;13;00:09:27;9;;;M
10;;G13-14;Jesper;Skalmerud;SK Rye;00:14:37;;;00:04:51;11;00:09:46;11;;;M
11;;G13-14;Øystein;Berntzen;SK Rye;00:14:45;;;00:04:56;12;00:09:49;12;;;M
12;;G13-14;Fredrik;Solberg Hernes;Nes SK;00:14:54;;;00:05:14;14;00:09:40;10;;;M
13;;G13-14;William;Smith;SK Rye;00:16:16;;;00:05:54;15;00:10:22;13;;;M
14;;G13-14;Jonas;Urianstad Bertelsen;;DNF;;;00:04:47;8;DNF;;;;M
15;;G13-14;Sebastian;Halvorsen;Team Lapierre Norge;DNF;;;00:04:49;9;DNF;;;;M
16;;G13-14;Mathias;Johansen;Team Lapierre Norge;DNF;;;00:13:40;16;DNF;;;;M
17;;G13-14;Henrik;Braaten;CK Nittedal;DNF;;;DNF;;DNF;;;;M
