Pos Klasse;chiptime;bib;name;Class;club;FE1 Pos;FE1;FE2;FE2 Pos;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;gender
6;22:09.444;737;Mari Elise Hatlo;Kvinner Senior (19+);Aron Sportsklubb / Team Letth;9;0:04:28.159;;;6;0:05:49.949;6;0:10:50.489;8;0:01:00.847;F
7;22:13.906;736;Nadja Mlodyszewski;Kvinner Senior (19+);Siggerud IL Team Letth;8;0:04:18.724;;;7;0:05:56.655;7;0:11:00.174;6;0:00:58.353;F
8;22:25.703;739;Monja Sætervik;Kvinner Senior (19+);Nesodden SK;7;0:04:14.778;;;8;0:06:02.669;8;0:11:07.992;7;0:01:00.264;F
;DNF;742;Anna Littorin-Sandbu;Kvinner Senior (19+);Sk Rye;4;0:03:46.781;;;DNS;;DNS;;DNS;;F
1;17:30.404;764;Eskil Hafskjold;Gutter 15-16;SK Rye;1;0:03:17.708;;;1;0:04:28.343;1;0:08:56.359;4;0:00:47.994;M
2;18:05.861;765;Markus Skeie-Lebreux;Gutter 15-16;CK Nittedal;2;0:03:20.969;;;2;0:04:49.228;2;0:09:07.941;3;0:00:47.723;M
3;18:35.502;776;Oliver Gjelsvik-Bakke;Gutter 15-16;Hafrsfjord SK;3;0:03:22.506;;;8;0:05:12.961;3;0:09:12.556;2;0:00:47.479;M
4;18:39.148;754;Jo Røisli;Gutter 15-16;CK Nittedal;5;0:03:33.918;;;3;0:04:54.438;4;0:09:21.099;5;0:00:49.693;M
5;18:52.296;775;Edvin Almaas-Edvardsen;Gutter 15-16;CK Elverum;4;0:03:23.009;;;5;0:05:04.939;8;0:09:37.034;1;0:00:47.314;M
6;18:57.507;761;Teodor Skare;Gutter 15-16;Kristiansand Cykle Klubb;7;0:03:37.337;;;4;0:05:03.731;5;0:09:25.288;9;0:00:51.151;M
7;19:04.918;770;Marius Fenstad Skjærstad;Gutter 15-16;SK Rye;6;0:03:35.700;;;7;0:05:07.457;6;0:09:31.703;7;0:00:50.058;M
8;19:14.632;762;Sebastian Milanes Stavran;Gutter 15-16;Asker CK / Stiftelsen Glade Stibyggere;9;0:03:41.741;;;6;0:05:05.746;7;0:09:36.500;8;0:00:50.645;M
9;20:19.950;774;Amandus Strand;Gutter 15-16;Halden Cykleklub;10;0:03:47.037;;;11;0:05:28.646;10;0:10:10.858;15;0:00:53.409;M
10;20:34.493;756;Vegard Vartdal Sund;Gutter 15-16;BOC;12;0:04:02.497;;;9;0:05:13.065;14;0:10:25.353;16;0:00:53.578;M
11;20:57.241;758;Sigurd Utseth-Hauge;Gutter 15-16;Brumunddal SK;15;0:04:10.151;;;12;0:05:36.013;13;0:10:18.044;14;0:00:53.033;M
12;21:04.689;751;Ask Gikling Borthne;Gutter 15-16;GB Enduro Team;11;0:03:59.224;;;13;0:05:40.352;16;0:10:33.209;11;0:00:51.904;M
13;21:07.513;753;Lavrans Jøranli Sundgaard;Gutter 15-16;Lillehammer CK;8;0:03:39.660;;;14;0:05:45.354;9;0:10:07.332;19;0:01:35.167;M
14;21:07.800;773;Jarl Heier;Gutter 15-16;;13;0:04:04.453;;;16;0:05:52.911;12;0:10:17.516;13;0:00:52.920;M
15;21:15.997;755;Nikolai Braaten;Gutter 15-16;Sk Rye;14;0:04:05.613;;;15;0:05:48.644;15;0:10:29.126;12;0:00:52.614;M
16;22:12.524;763;Johannes Pernu;Gutter 15-16;;17;0:04:21.177;;;17;0:06:07.286;17;0:10:46.480;18;0:00:57.581;M
17;23:47.865;766;Mathias Birkelund;Gutter 15-16;Asker CK / Stiftelsen Glade stibyggere;20;0:07:16.342;;;10;0:05:28.419;11;0:10:13.367;6;0:00:49.737;M
18;23:54.183;752;Edvald Opsann;Gutter 15-16;Lillehammer CK;18;0:04:25.550;;;18;0:06:43.907;18;0:11:53.008;10;0:00:51.718;M
19;25:12.653;750;Jonas Dalen Børresen;Gutter 15-16;;19;0:04:49.458;;;19;0:07:22.566;19;0:12:03.095;17;0:00:57.534;M
;DNF;767;Mikkel Rastad;Gutter 15-16;;16;0:04:10.535;;;20;0:09:59.249;20;0:17:11.225;DNS;;M
1;17:41.231;784;Jonas Oudalstøl;Menn Junior (17/18);Kck;1;0:03:16.644;;;1;0:04:35.706;1;0:09:01.677;1;0:00:47.204;M
2;18:49.177;782;Mads Langeland;Menn Junior (17/18);Kck;7;0:03:43.342;;;2;0:04:57.046;2;0:09:18.982;3;0:00:49.807;M
3;18:50.718;792;Sindre Sollund;Menn Junior (17/18);Molde ck;4;0:03:30.704;;;3;0:04:58.934;4;0:09:30.794;4;0:00:50.286;M
4;18:59.543;781;Oskar Bäckman;Menn Junior (17/18);Arvika IS;3;0:03:28.622;;;5;0:05:09.392;3;0:09:30.076;5;0:00:51.453;M
5;19:18.319;785;Karl Viktor Vatne;Menn Junior (17/18);Kristiansand CK;6;0:03:41.314;;;6;0:05:11.410;5;0:09:31.938;7;0:00:53.657;M
6;19:24.986;783;Lo Zetterlund;Menn Junior (17/18);Ok Tyr / Traildays Gravity Team;5;0:03:39.169;;;7;0:05:15.534;7;0:09:41.931;2;0:00:48.352;M
7;20:30.121;787;Øyvind Karim Rasmussen;Menn Junior (17/18);Rye enduro;9;0:04:02.480;;;8;0:05:21.845;9;0:10:10.459;9;0:00:55.337;M
8;20:31.334;786;Jim-Runar Hansen;Menn Junior (17/18);Horten og Omegn's cycleclubb / Sykkelsalongen AS;10;0:04:57.815;;;4;0:05:04.278;6;0:09:34.741;8;0:00:54.500;M
9;20:31.442;788;Sondre Spieler;Menn Junior (17/18);Kristiansand cykleklubb;8;0:03:59.884;;;9;0:05:41.210;8;0:09:56.859;6;0:00:53.489;M
;DNF;780;Vetle Gikling Borthne;Menn Junior (17/18);TVK;2;0:03:25.339;;;DNS;;DNS;;DNS;;M
1;18:44.173;814;Sindre Ødemark;Menn Master (35+);Romeriksåsen SK;4;0:03:42.372;;;1;0:04:44.595;1;0:09:25.544;1;0:00:51.662;M
2;19:02.366;795;Håvard Sefland;Menn Master (35+);Kristiansand CK;3;0:03:39.440;;;2;0:04:56.868;2;0:09:33.875;3;0:00:52.183;M
3;19:10.277;813;Michal Ciesinski;Menn Master (35+);Aron SK Drammen;2;0:03:34.298;;;3;0:04:57.201;3;0:09:46.779;2;0:00:51.999;M
4;20:19.888;805;Pål Johansen;Menn Master (35+);Aron SK / Link Sykkel;5;0:03:44.496;;;4;0:05:19.108;4;0:10:21.845;4;0:00:54.439;M
5;21:06.837;811;Kristian Eckhoff;Menn Master (35+);SK Rye Sykkel;7;0:04:02.284;;;5;0:05:26.623;6;0:10:41.705;5;0:00:56.225;M
6;21:15.421;812;Fredrik Nygaard;Menn Master (35+);;8;0:04:10.524;;;6;0:05:31.578;5;0:10:35.836;8;0:00:57.483;M
7;21:16.252;801;Saman Mameghani;Menn Master (35+);;6;0:03:53.371;;;7;0:05:39.797;7;0:10:45.601;7;0:00:57.483;M
8;21:59.573;799;Øystein Røed;Menn Master (35+);Gui;9;0:04:13.643;;;8;0:06:02.712;8;0:10:46.333;6;0:00:56.885;M
9;23:11.291;803;Gaute Risnes;Menn Master (35+);CK Elverum;10;0:04:16.726;;;9;0:06:16.832;10;0:11:33.599;11;0:01:04.134;M
10;24:08.097;800;Trond Johannessen;Menn Master (35+);Glåmdal Sykleklubb/Team Letth!;11;0:04:49.158;;;10;0:06:27.337;11;0:11:51.324;9;0:01:00.278;M
11;24:10.315;839;Jens Andre Jensen;Menn Master (35+);EIKER CK;12;0:04:50.107;;;11;0:06:55.629;9;0:11:21.903;10;0:01:02.676;M
;DNF;806;Kim-Erik Larsen;Menn Master (35+);Moss BMX;1;0:03:25.187;;;DNS;;DNS;;DNS;;M
1;17:33.224;842;Jens Bergmann;Menn Senior (19+);Team Skeno sFIT Helse;1;0:03:16.027;;;3;0:04:29.581;3;0:09:00.326;2;0:00:47.290;M
2;17:33.729;831;Edvard Vea Iversen;Menn Senior (19+);Bindal SK;3;0:03:19.949;;;1;0:04:23.232;2;0:08:59.647;14;0:00:50.901;M
3;17:49.196;841;Torjus Røn Sonerud;Menn Senior (19+);Lørenskog CK / Brødrene Dahl bedriftsidrettslag;4;0:03:20.075;;;2;0:04:28.500;4;0:09:09.100;16;0:00:51.521;M
4;17:52.495;835;Kristian Holiman;Menn Senior (19+);Sk Rye;2;0:03:16.434;;;6;0:04:50.666;1;0:08:55.774;12;0:00:49.621;M
5;18:14.778;825;Johan Johansson;Menn Senior (19+);Ok Tyr / Traildays Gravity Team;6;0:03:27.424;;;4;0:04:46.326;6;0:09:12.726;9;0:00:48.302;M
6;18:28.279;837;Niklas Halvorsen;Menn Senior (19+);KCK;7;0:03:27.838;;;8;0:04:57.147;5;0:09:12.635;13;0:00:50.659;M
7;18:34.876;820;Jonas Olsson;Menn Senior (19+);Sk Rye;12;0:03:31.146;;;9;0:04:57.580;8;0:09:18.107;5;0:00:48.043;M
8;18:37.518;829;Andreas Aalby;Menn Senior (19+);Asker CK;9;0:03:29.888;;;5;0:04:50.330;14;0:09:28.230;11;0:00:49.070;M
9;18:40.780;832;Kristian Østlie;Menn Senior (19+);CK Nittedal;8;0:03:28.154;;;11;0:04:59.739;9;0:09:19.899;20;0:00:52.988;M
10;18:46.942;834;Albin Littorin-Sandbu;Menn Senior (19+);Sk Rye;19;0:03:42.185;;;7;0:04:56.270;10;0:09:21.199;1;0:00:47.288;M
11;18:50.189;849;Kristian Gravdal;Menn Senior (19+);IL ROS;15;0:03:35.879;;;10;0:04:58.049;13;0:09:28.066;7;0:00:48.195;M
12;18:51.466;848;Nikolai Alvestad;Menn Senior (19+);Asker CK;11;0:03:30.145;;;13;0:05:07.677;12;0:09:24.897;10;0:00:48.747;M
13;18:55.035;821;Kevin Scott Johnsen;Menn Senior (19+);IK Hero;14;0:03:33.043;;;15;0:05:11.605;11;0:09:22.236;6;0:00:48.151;M
14;18:59.784;823;Hugo Witek;Menn Senior (19+);Wild Slope Bikes;10;0:03:30.048;;;14;0:05:08.060;15;0:09:34.120;4;0:00:47.556;M
15;19:08.053;840;Mikkel Pedersen;Menn Senior (19+);If Frøy;5;0:03:20.723;;;21;0:05:44.568;7;0:09:14.493;8;0:00:48.269;M
16;19:17.582;828;Simon Risan;Menn Senior (19+);NTNUI Enduro;13;0:03:32.315;;;17;0:05:14.997;17;0:09:38.810;15;0:00:51.460;M
17;19:24.257;826;Knut Erik Haugen;Menn Senior (19+);CK Nittedal;18;0:03:41.314;;;16;0:05:13.853;16;0:09:36.764;18;0:00:52.326;M
18;19:33.188;830;Bendiks Aksnes;Menn Senior (19+);Vigrestad Sykkelklubb 6;17;0:03:38.638;;;19;0:05:17.213;18;0:09:49.805;3;0:00:47.532;M
19;19:47.974;827;Kristoffer Westgaard;Menn Senior (19+);Nittedal CK;16;0:03:38.434;;;18;0:05:16.789;19;0:09:59.764;19;0:00:52.987;M
20;20:36.796;855;Tobias Bjerknes;Menn Senior (19+);CK Nittedal;21;0:03:59.881;;;20;0:05:29.434;20;0:10:15.449;17;0:00:52.032;M
21;20:37.538;845;Henrik Alstad;Menn Senior (19+);Skogn il;20;0:03:43.122;;;12;0:05:06.938;21;0:10:52.602;21;0:00:54.876;M
1;18:03.120;873;Andreas Magnussen;Menn åpen klasse 17+;NTNUI;2;0:03:24.467;;;4;0:04:51.505;1;0:08:59.305;1;0:00:47.843;M
2;18:21.538;863;Thomas Rambekk Henriksen;Menn åpen klasse 17+;HHL;1;0:03:23.038;;;2;0:04:42.737;5;0:09:26.014;6;0:00:49.749;M
3;18:31.914;878;Dag Lofthus;Menn åpen klasse 17+;;4;0:03:31.313;;;1;0:04:36.547;8;0:09:35.542;4;0:00:48.512;M
4;18:34.329;883;Olav Engen;Menn åpen klasse 17+;Lillehammer Sport;11;0:03:40.160;;;6;0:04:53.222;2;0:09:09.764;11;0:00:51.183;M
5;18:48.326;852;Martin Kvisler;Menn åpen klasse 17+;;5;0:03:31.958;;;10;0:04:59.553;6;0:09:26.693;8;0:00:50.122;M
6;18:49.036;887;Robin Von Braun;Menn åpen klasse 17+;Trysil SK;3;0:03:30.050;;;3;0:04:44.077;11;0:09:44.194;10;0:00:50.715;M
7;18:54.046;854;Bjørnar Gjesdal;Menn åpen klasse 17+;Korttråkkerne;6;0:03:34.131;;;5;0:04:52.556;7;0:09:30.097;31;0:00:57.262;M
8;18:57.136;843;Rustine Robin;Menn åpen klasse 17+;;16;0:03:43.349;;;11;0:05:00.666;4;0:09:24.943;3;0:00:48.178;M
9;19:14.193;847;Anders T Johnsrud;Menn åpen klasse 17+;Krokskogen CK;17;0:03:48.389;;;16;0:05:10.951;3;0:09:18.789;25;0:00:56.064;M
10;19:17.039;875;Emilien Luyton;Menn åpen klasse 17+;;13;0:03:41.630;;;8;0:04:56.748;12;0:09:46.420;12;0:00:52.241;M
11;19:23.093;853;Asbjørn Steensland;Menn åpen klasse 17+;;14;0:03:41.980;;;13;0:05:03.392;10;0:09:43.495;21;0:00:54.226;M
12;19:23.909;877;Per K Overmo;Menn åpen klasse 17+;Bratt å uleindt;10;0:03:39.178;;;7;0:04:54.353;15;0:09:58.085;13;0:00:52.293;M
13;19:30.888;824;Even Baardseth;Menn åpen klasse 17+;FLYTSTI;8;0:03:36.697;;;19;0:05:17.114;14;0:09:48.899;2;0:00:48.178;M
14;19:44.728;885;Mikael Hamran;Menn åpen klasse 17+;Trysil SK;7;0:03:34.668;;;15;0:05:10.946;19;0:10:08.803;9;0:00:50.311;M
15;19:53.628;850;Martin Aasen;Menn åpen klasse 17+;;31;0:04:23.311;;;9;0:04:58.758;9;0:09:38.533;16;0:00:53.026;M
16;19:54.323;864;Jako Oostveen;Menn åpen klasse 17+;;9;0:03:37.865;;;20;0:05:21.391;18;0:10:05.570;5;0:00:49.497;M
17;20:03.541;866;Sam Mead;Menn åpen klasse 17+;Lynher dairies cheese co;18;0:03:53.748;;;17;0:05:11.432;16;0:10:04.830;18;0:00:53.531;M
18;20:12.330;838;Joakim Melby;Menn åpen klasse 17+;;15;0:03:42.836;;;21;0:05:22.620;20;0:10:14.092;14;0:00:52.782;M
19;20:22.221;807;Hans Johansson;Menn åpen klasse 17+;Töttns änglar;19;0:03:55.012;;;14;0:05:05.588;24;0:10:25.075;28;0:00:56.546;M
20;20:28.654;789;Benjamin «Benny» Grønvold Lunde;Menn åpen klasse 17+;Asker CK / Stiftelsen Glade Stibyggere;12;0:03:40.935;;;29;0:06:09.359;13;0:09:48.265;7;0:00:50.095;M
21;20:43.797;871;Fredrik Carlsen;Menn åpen klasse 17+;KCK;21;0:04:02.053;;;22;0:05:28.324;21;0:10:17.033;27;0:00:56.387;M
22;20:43.820;817;Trond Egil Gjelsvik-Bakke;Menn åpen klasse 17+;Hafrsfjord SK;22;0:04:06.034;;;18;0:05:13.210;25;0:10:27.689;30;0:00:56.887;M
23;20:47.003;862;Fredrik Bekkåsen;Menn åpen klasse 17+;;20;0:03:59.965;;;23;0:05:32.967;22;0:10:19.841;22;0:00:54.230;M
24;20:56.651;860;Emil Neby;Menn åpen klasse 17+;NTNUI;24;0:04:06.906;;;12;0:05:02.602;30;0:10:51.194;24;0:00:55.949;M
25;21:01.945;865;Marcus Hettne;Menn åpen klasse 17+;;23;0:04:06.334;;;24;0:05:38.930;23;0:10:22.720;20;0:00:53.961;M
26;21:31.962;822;Anders Weile;Menn åpen klasse 17+;seidel sykkelklubb;27;0:04:10.409;;;25;0:05:49.786;28;0:10:38.376;17;0:00:53.391;M
27;21:39.866;802;Mattias Olsson;Menn åpen klasse 17+;Arvika Cykelklubb;26;0:04:10.159;;;36;0:06:26.794;17;0:10:04.931;33;0:00:57.982;M
28;21:49.086;874;Syver Øfsti;Menn åpen klasse 17+;Brumunddal Sk;32;0:04:29.014;;;27;0:05:55.775;26;0:10:29.256;23;0:00:55.041;M
29;22:03.066;703;Dani Kristiansen;Menn åpen klasse 17+;Team Sweath;29;0:04:15.414;;;26;0:05:51.305;31;0:10:57.657;34;0:00:58.690;M
30;22:06.842;861;Didrik Rundfloen;Menn åpen klasse 17+;Trysil;33;0:04:29.414;;;28;0:06:05.585;27;0:10:38.175;19;0:00:53.668;M
31;22:11.775;868;Jonas Andersson;Menn åpen klasse 17+;Arvika Cykelklubb;28;0:04:13.434;;;32;0:06:14.114;29;0:10:47.631;29;0:00:56.596;M
32;23:01.042;796;Kent Scott Johnsen;Menn åpen klasse 17+;Eidsvoll Sykkelklubb;34;0:04:31.692;;;33;0:06:16.509;33;0:11:13.529;35;0:00:59.312;M
33;23:09.089;869;Sven Erik Månsson;Menn åpen klasse 17+;Arvika Cykelklubb;30;0:04:18.844;;;37;0:06:40.619;32;0:11:13.478;26;0:00:56.148;M
34;23:09.435;870;Henrik Gilje Olsen;Menn åpen klasse 17+;Hafrsfjord Sykkelklubb;25;0:04:08.692;;;30;0:06:09.858;39;0:11:57.941;15;0:00:52.944;M
35;24:10.910;798;Björn Härdig;Menn åpen klasse 17+;;40;0:04:49.381;;;39;0:06:52.446;34;0:11:19.512;41;0:01:09.571;M
36;24:34.019;880;Martin Nygaard Ehrnst;Menn åpen klasse 17+;Team Sweath;37;0:04:42.269;;;40;0:07:14.623;37;0:11:37.480;36;0:00:59.647;M
37;41:04.050;867;Otto K Blix Hulbak;Menn åpen klasse 17+;;43;0:08:26.204;;;42;0:13:19.808;42;0:17:45.701;43;0:01:32.337;M
;DNF;876;Joachim Rønnes;Menn åpen klasse 17+;;41;0:05:13.517;;;DNS;;DNS;;32;0:00:57.940;M
1;23:32.505;884;Anita Sakrisson;Kvinner åpen klasse 17+;Trysil SK;36;0:04:41.138;;;31;0:06:12.993;35;0:11:31.864;40;0:01:06.510;F
2;23:59.338;727;Maria Theander;Kvinner åpen klasse 17+;;35;0:04:39.284;;;38;0:06:41.725;36;0:11:35.231;37;0:01:03.098;F
3;24:11.274;872;Elise Hafskjold;Kvinner åpen klasse 17+;SK Rye;38;0:04:47.172;;;35;0:06:26.792;38;0:11:52.608;39;0:01:04.702;F
4;24:27.902;744;Gintare Kalkauskaite;Kvinner åpen klasse 17+;;39;0:04:48.660;;;34;0:06:23.908;40;0:12:12.016;38;0:01:03.318;F
5;31:30.506;726;Åsa Orrenius;Kvinner åpen klasse 17+;;42;0:06:23.973;;;41;0:07:55.035;41;0:15:56.557;42;0:01:14.941;F
