Pos Klasse;name;bib;Class;chiptime;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;gender
16;Geir Hanssen;75;Menn master;30:31:00;00:13:14;16;00:03:40;16;00:04:03;15;00:04:22;15;00:05:12;16;M
17;Ola Ranes;91;Menn master;46:16:00;00:32:28;18;00:02:57;5;00:03:13;4;00:03:35;3;00:04:03;4;M
DNF;Johan Anda Aronsen;84;Menn master;DNF ;00:13:22;17;DNS; ;DNS;;DNS;;DNS;;M
1; Adam Larsson;115;Menn sport;21:43;00:09:36;1;00:02:30;1;00:02:49;1;00:03:16;1;00:03:32;1;M
2; Jan Carlsen;100;Menn sport;22:38;00:09:46;2;00:02:39;6;00:03:01;3;00:03:28;3;00:03:44;3;M
3; Ethan Hamer;133;Menn sport;22:56;00:10:11;4;00:02:38;3;00:02:57;2;00:03:24;2;00:03:46;4;M
4; Reinis Martins Prieditis;55;Menn sport;23:06;00:09:55;3;00:02:37;2;00:03:19;9;00:03:32;4;00:03:43;2;M
5; Erlend Hegrum Askjer;129;Menn sport;23:49;00:10:27;7;00:02:46;8;00:03:07;5;00:03:33;7;00:03:56;7;M
6; Magnus Grønberg;120;Menn sport;23:58;00:10:31;8;00:02:42;7;00:03:07;4;00:03:37;8;00:04:01;8;M
7; Thomas Rambekk Henriksen;32;Menn sport;24:09:00;00:10:18;5;00:02:46;9;00:03:40;17;00:03:33;6;00:03:52;6;M
8; Matthew Empey;132;Menn sport;24:10:00;00:10:26;6;00:02:38;4;00:03:22;11;00:03:43;10;00:04:01;9;M
9; Nikolai Alvestad;36;Menn sport;24:56:00;00:11:34;15;00:02:38;5;00:03:22;13;00:03:33;5;00:03:49;5;M
10;Harald Brekke;33;Menn sport;24:56:00;00:10:46;9;00:02:57;14;00:03:14;6;00:03:54;15;00:04:05;10;M
11;Olli Barton;136;Menn sport;25:08:00;00:10:47;10;00:02:54;11;00:03:27;14;00:03:47;12;00:04:13;14;M
12;Ola Paaske Gulbrandsen;127;Menn sport;25:37:00;00:11:34;16;00:02:55;12;00:03:19;8;00:03:44;11;00:04:05;11;M
13;Joakim Melby;31;Menn sport;25:38:00;00:11:20;13;00:02:58;15;00:03:20;10;00:03:52;13;00:04:08;12;M
14;Sindre Aarøy Holtet;56;Menn sport;26:07:00;00:11:09;11;00:02:55;13;00:03:42;19;00:03:57;16;00:04:24;15;M
15;Erik Slettum;40;Menn sport;26:23:00;00:12:26;23;00:02:51;10;00:03:15;7;00:03:39;9;00:04:12;13;M
16;Lars Tveito;34;Menn sport;26:26:00;00:11:35;17;00:03:02;16;00:03:22;12;00:03:53;14;00:04:34;21;M
17;Vegard Bjørnsen;43;Menn sport;26:54:00;00:11:37;18;00:03:05;17;00:03:33;15;00:04:14;21;00:04:25;17;M
18;Bjørn Asplund;46;Menn sport;26:58:00;00:11:30;14;00:03:08;18;00:03:39;16;00:04:16;22;00:04:25;16;M
19;Hans Robert Arne Hellsmar;134;Menn sport;26:58:00;00:11:16;12;00:03:12;20;00:03:44;20;00:04:07;17;00:04:39;25;M
20;Frode Bredesen;92;Menn sport;28:12:00;00:12:09;21;00:03:16;21;00:03:59;23;00:04:17;24;00:04:31;19;M
21;Jonno Auton;42;Menn sport;28:17:00;00:12:18;22;00:03:17;22;00:04:03;25;00:04:13;20;00:04:26;18;M
22;Magnus Bengtsson;137;Menn sport;28:33:00;00:12:04;20;00:03:23;25;00:03:53;22;00:04:16;23;00:04:57;26;M
23;Oskar Brækhus;51;Menn sport;28:34:00;00:12:49;25;00:03:17;23;00:03:42;18;00:04:13;18;00:04:33;20;M
24;Bjørnar Bjørnsen;45;Menn sport;29:21:00;00:13:27;27;00:03:18;24;00:03:47;21;00:04:13;19;00:04:36;22;M
25;Knut Kolvig;48;Menn sport;30:49:00;00:12:43;24;00:03:35;26;00:04:06;26;00:04:52;26;00:05:33;30;M
26;Kieran Johnson;44;Menn sport;32:06:00;00:14:00;29;00:03:57;31;00:04:09;27;00:05:00;29;00:05:00;27;M
27;Daniel Melilla;71;Menn sport;33:19:00;00:15:12;32;00:03:48;27;00:04:14;28;00:04:53;27;00:05:12;29;M
28;Tommy Alvestad;53;Menn sport;33:45:00;00:14:21;30;00:04:05;32;00:04:50;32;00:05:18;31;00:05:11;28;M
29;Julius Kvietkauskas;52;Menn sport;33:48:00;00:13:58;28;00:03:48;28;00:04:43;31;00:05:32;32;00:05:47;32;M
30;Syver Øfsti;65;Menn sport;35:32:00;00:14:50;31;00:03:56;29;00:04:33;29;00:05:53;33;00:06:20;33;M
31;Per Omar Melilla;41;Menn sport;42:58:00;00:18:10;33;00:04:36;33;00:05:33;33;00:06:13;34;00:08:26;34;M
32;Klym Danish;30;Menn sport;59:37:00;00:41:21;34;00:03:56;30;00:04:41;30;00:05:01;30;00:04:38;24;M
33;Jakob Klaes;54;Menn sport;01:26;00:45:20;35;00:03:10;19;00:04:02;24;00:04:17;25;00:04:37;23;M
DNF;Paul Rhodes;38;Menn sport;DNF               ;DNF;36;DNS;;DNS;;00:04:59;28;00:05:38;31;M
DNF;Marius Stene;47;Menn sport;DNF               ;DNF;37;DNS;;DNS;;DNS;;;;M
DNF;Håvard Solbakken;49;Menn sport;DNF ;00:12:01;19;00:10:29;35;DNS;;DNS;;DNS;;M
DNF;Even Jahnsen;50;Menn sport;DNF ;00:12:53;26;00:09:54;34;DNS;;DNS;;DNS;;M
1;Hilde Sangesland Strædet;3;Kvinner senior;25:23:00;00:11:18;1;00:02:52;1;00:03:14;1;00:03:48;1;00:04:11;1;F
2;Anna Littorin-Sandbu;2;Kvinner senior;27:03:00;00:11:44;2;00:03:04;2;00:03:42;3;00:04:03;2;00:04:30;2;F
3;Henriette Bryhn;5;Kvinner senior;27:35:00;00:12:08;3;00:03:13;3;00:03:35;2;00:04:08;3;00:04:31;3;F
4;Susanne Beijer;1;Kvinner senior;29:49:00;00:12:58;4;00:03:19;4;00:03:51;4;00:04:54;4;00:04:47;4;F
5;Ida Rydland Nærum;4;Kvinner senior;33:17:00;00:14:03;6;00:03:49;6;00:04:29;5;00:04:55;5;00:06:01;5;F
DNF;Embla Stol Øyan;6;Kvinner senior;DNF ;00:13:05;5;00:03:39;5;00:04:37;6;DNF;;DNS;;F
1;Simen Smestad;121;Menn senior;20:11;00:09:08;2;00:02:18;1;00:02:35;1;00:02:54;1;00:03:16;1;M
2;Espen Bergli-Johnsen;102;Menn senior;21:06;00:09:21;4;00:02:22;2;00:02:45;4;00:03:07;4;00:03:31;3;M
2;Ole-Herman Bergby;124;Menn senior;21:06;00:09:25;5;00:02:24;3;00:02:40;2;00:03:07;3;00:03:30;2;M
4;Lars Sandviken;116;Menn senior;21:16;00:09:10;3;00:02:26;5;00:02:51;7;00:03:10;5;00:03:39;8;M
5;Ola Jåvold Landmark;97;Menn senior;21:17;00:09:04;1;00:02:24;4;00:02:45;3;00:03:04;2;00:04:00;15;M
6;Oskar Omdal;101;Menn senior;21:39;00:09:37;7;00:02:27;6;00:02:48;5;00:03:15;7;00:03:32;4;M
7;Anders G Skarstein;138;Menn senior;21:56;00:09:50;12;00:02:29;7;00:02:49;6;00:03:13;6;00:03:35;5;M
8;Gard Brovold;125;Menn senior;22:11;00:09:47;11;00:02:30;8;00:02:55;9;00:03:21;10;00:03:38;7;M
9;Bård Pettersen;107;Menn senior;22:12;00:09:34;6;00:02:34;12;00:02:56;10;00:03:20;9;00:03:48;11;M
9;Tobias Sandengen;104;Menn senior;22:12;00:09:44;10;00:02:31;10;00:03:02;12;00:03:18;8;00:03:37;6;M
11;Johannes Lund;103;Menn senior;22:22;00:09:43;9;00:02:33;11;00:02:53;8;00:03:23;11;00:03:50;12;M
12;Niklas Halvorsen;96;Menn senior;23:00;00:09:50;13;00:02:40;13;00:03:09;16;00:03:30;12;00:03:51;13;M
13;Jonas Olsson;117;Menn senior;23:25;00:10:15;14;00:02:41;16;00:03:03;13;00:03:32;13;00:03:54;14;M
14;Albin Littorin-Sandbu;95;Menn senior;23:28;00:10:19;16;00:02:40;15;00:03:04;15;00:03:42;18;00:03:43;10;M
15;Jens Bergmann;113;Menn senior;23:52;00:09:43;8;00:02:40;14;00:03:03;14;00:04:24;25;00:04:02;20;M
16;Niklas Bergström;81;Menn senior;24:03:00;00:10:18;15;00:02:49;18;00:03:16;19;00:03:39;15;00:04:01;16;M
17;Kristian Østlie;118;Menn senior;24:18:00;00:10:30;18;00:02:54;21;00:03:14;17;00:03:38;14;00:04:02;18;M
18;Gjermund Dalland;128;Menn senior;24:34:00;00:10:33;19;00:02:53;19;00:03:18;20;00:03:39;16;00:04:11;22;M
19;Christoffer Engebretsen Bak;105;Menn senior;24:53:00;00:10:38;20;00:02:59;25;00:03:24;21;00:03:42;19;00:04:10;21;M
20;Lukas Leiro;110;Menn senior;25:22:00;00:10:53;21;00:02:58;24;00:03:25;22;00:04:04;24;00:04:02;19;M
21;Simon Risan;99;Menn senior;25:26:00;00:11:50;26;00:02:45;17;00:03:01;11;00:03:49;20;00:04:01;17;M
22;Knut Erik Haugen;119;Menn senior;25:45:00;00:11:10;24;00:02:56;22;00:03:26;23;00:03:51;21;00:04:22;23;M
23;Tommy Pham;111;Menn senior;26:03:00;00:11:05;23;00:03:01;26;00:03:32;25;00:04:02;22;00:04:23;24;M
24;Ivar Haug;98;Menn senior;26:32:00;00:11:19;25;00:02:58;23;00:03:31;24;00:04:03;23;00:04:41;25;M
25;Kristoffer Westgaard;112;Menn senior;29:26:00;00:10:23;17;00:02:53;20;00:03:15;18;00:06:26;26;00:06:29;26;M
26;Atle Laakso;126;Menn senior;31:38:00;00:18:10;27;00:02:30;9;00:03:34;26;00:03:41;17;00:03:43;9;M
DNF;Stian Bjørnli;114;Menn senior;DNF ;00:11:04;22;00:03:11;27;DNS;;DNS;;DNS;;M
