Pos Klasse;name;bib;club;Class;chiptime;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;gender;
7;Didrik Rundfloen;27;;Menn 15-16;24:58;9;0:14:15;5;0:01:36;3;0:03:21;2;0:01:25;4;0:04:21;M;
DNF;Jesper Vea Halvorsen;21;Printing;Menn 15-16;DNF;7;0:03:36;7;0:01:45;DNF;;6;0:01:33;6;0:04:30;M;
DNF;Vetle Gikling Borthne;26;GB Enduro Team;Menn 15-16;DNF;2;0:02:51;DNF;;DNS;;DNS;;DNS;;M;
1;William Scheele;36;SK Rye Enduro/Santa Cruz;Menn 17-18;12:02;1;0:02:33;1;0:01:17;4;0:03:10;1;0:01:15;1;0:03:47;M;
2;Jannik Eschler;31;Bigfriends MTB Team;Menn 17-18;12:03;2;0:02:39;2;0:01:22;2;0:02:59;2;0:01:16;2;0:03:47;M;
3;Leo Solland;35;SK Rye;Menn 17-18;12:21;3;0:02:42;4;0:01:24;1;0:02:55;7;0:01:27;3;0:03:53;M;
4;Tobias Sandengen;38;Aron/VPG.no;Menn 17-18;12:33;4;0:02:45;3;0:01:24;3;0:03:02;3;0:01:20;4;0:04:02;M;
5;Henrik Langeland Nielsen;34;Kristiansand Cykleklubb;Menn 17-18;13:08;5;0:02:53;6;0:01:30;5;0:03:16;6;0:01:25;5;0:04:04;M;
6;Kevin Scott Johnsen;33;;Menn 17-18;13:18;6;0:02:59;5;0:01:26;6;0:03:23;4;0:01:22;6;0:04:08;M;
7;Oscar Saksvik;32;Asker Ck;Menn 17-18;17:24;7;0:03:07;7;0:01:31;7;0:07:05;5;0:01:23;7;0:04:18;M;
1;Bastien Rideau  ;41;Bastride;Menn Master;12:51;1;00:02:46;2;00:01:29;1;03:07;4;00:01:24;4;00:04:06;M;
2;Fredrik Lysakerrud;51;Odal Sk;Menn Master;12:57;2;0:02:50;3;0:01:30;3;0:03:20;1;0:01:20;1;0:03:57;M;
3;Simen Kalnæs Danielsen;42;Drøbak sykkelklubb;Menn Master;13:05;3;0:02:52;5;0:01:34;2;0:03:17;2;0:01:23;2;0:03:59;M;
4;Svein Kristoffersen;55;Glåmdal SK;Menn Master;13:47;4;0:02:55;1;0:01:28;5;0:03:27;9;0:01:30;8;0:04:27;M;
5;Joachim Bøhler;43;;Menn Master;14:02;5;0:02:58;7;0:01:36;8;0:03:43;8;0:01:29;6;0:04:16;M;
6;Kenneth Lømo;49;CKElverum;Menn Master;14:03;14;0:03:39;4;0:01:31;4;0:03:26;3;0:01:23;3;0:04:04;M;
7;Anders Disen;50;Odal SK;Menn Master;14:18;6;0:03:01;6;0:01:35;7;0:03:40;5;0:01:25;11;0:04:37;M;
8;Frode Bredesen;52;Harstad CK;Menn Master;14:31;11;0:03:22;11;0:01:41;6;0:03:36;7;0:01:28;7;0:04:24;M;
9;Bård Høstmark;48;Moss CK;Menn Master;14:41;12;0:03:24;13;0:01:44;11;0:03:52;6;0:01:27;5;0:04:14;M;
10;Kent Scott Johnsen;46;;Menn Master;15:00;9;0:03:19;10;0:01:38;12;0:03:56;11;0:01:34;9;0:04:33;M;
11;Jo Christer Frysjøenden;53;Glåmdal SK;Menn Master;15:01;7;0:03:17;8;0:01:37;9;0:03:45;16;0:01:47;10;0:04:35;M;
12;Mattias Olsson;40;Arvika Cykelklubb;Menn Master;15:18;8;0:03:18;9;0:01:37;10;0:03:47;15;0:01:37;15;0:04:59;M;
13;Hans Lindqvist;56;King Kong;Menn Master;15:54;10;0:03:21;12;0:01:44;15;0:04:16;12;0:01:35;14;0:04:58;M;
14;Marius Wilberg;54;Blaker Sykkel;Menn Master;15:56;13;0:03:25;15;0:01:47;14;0:04:15;14;0:01:36;12;0:04:53;M;
15;Rene Valen;47;;Menn Master;16:26;16;0:03:44;14;0:01:44;13;0:04:14;13;0:01:36;17;0:05:08;M;
16;Mads Wålberg;39;Arvika Cykelklubb;Menn Master;16:35;15;0:03:40;16;0:01:55;17;0:04:24;10;0:01:32;16;0:05:04;M;
17;Lars Lindgren;44;;Menn Master;17:12;17;0:04:10;17;0:01:58;16;0:04:20;17;0:01:50;13;0:04:54;M;
1;Ola Jåvold Landmark;101;Bærum Ock;Menn Senior;11:37;2;0:02:36;2;0:01:20;2;0:02:50;1;0:01:14;1;0:03:37;M;
2;Ole-Herman Bergby;61;Sportsklubben Rye;Menn Senior;11:50;1;0:02:30;1;0:01:19;1;0:02:48;2;0:01:14;7;0:03:59;M;
3;Niklas Halvorsen;109;KCK;Menn Senior;12:07;14;0:02:50;4;0:01:23;3;0:02:54;6;0:01:20;2;0:03:40;M;
4;André Røsvik;99;Grenduro;Menn Senior;12:26;3;0:02:40;7;0:01:24;5;0:03:03;26;0:01:26;4;0:03:53;M;
5;Håkon Uthus;102;CK Elverum;Menn Senior;12:28;4;0:02:41;5;0:01:23;6;0:03:04;8;0:01:20;10;0:04:00;M;
6;Ole Martin Nessemo;78;;Menn Senior;12:43;21;0:02:55;8;0:01:25;9;0:03:09;17;0:01:23;3;0:03:51;M;
7;Herman Knoop;92;Flow Enduro;Menn Senior;12:44;15;0:02:50;10;0:01:26;8;0:03:07;22;0:01:25;6;0:03:56;M;
8;Oskar Johansson;68;Arvika Cykelklubb;Menn Senior;12:47;10;0:02:49;22;0:01:30;4;0:03:02;13;0:01:22;12;0:04:04;M;
8;Andreas Aalby;111;Asker CK Enduro;Menn Senior;12:47;6;0:02:47;9;0:01:25;23;0:03:18;3;0:01:17;9;0:04:00;M;
10;Even Baardseth;90;Trysil;Menn Senior;12:48;9;0:02:48;30;0:01:31;13;0:03:12;14;0:01:22;5;0:03:55;M;
11;Kristoffer Westgaard;116;;Menn Senior;12:53;8;0:02:48;12;0:01:27;14;0:03:14;4;0:01:19;14;0:04:05;M;
12;Jonas Olsson;100;Sk Rye;Menn Senior;13:00;7;0:02:47;3;0:01:21;7;0:03:04;7;0:01:20;36;0:04:28;M;
13;Tom Are Grøv;65;Flow Enduro;Menn Senior;13:04;13;0:02:50;35;0:01:35;15;0:03:14;16;0:01:23;11;0:04:02;M;
14;Kim-Erik Larsen;84;Moss BMX;Menn Senior;13:05;27;0:02:58;15;0:01:28;11;0:03:10;5;0:01:19;20;0:04:10;M;
15;Joakim Fjeld Kristoffersen;83;BOC;Menn Senior;13:10;12;0:02:50;24;0:01:31;18;0:03:15;23;0:01:25;19;0:04:09;M;
16;Magnus Nyke Fagernes;115;;Menn Senior;13:12;17;0:02:51;13;0:01:27;25;0:03:20;31;0:01:28;17;0:04:06;M;
17;Dag Lofthus;110;;Menn Senior;13:15;26;0:02:58;26;0:01:31;22;0:03:17;12;0:01:22;18;0:04:07;M;
18;Pål Røsvik;85;Grenduro;Menn Senior;13:16;32;0:03:05;34;0:01:33;12;0:03:11;33;0:01:28;8;0:03:59;M;
19;Sindre Aarøy Holtet;66;;Menn Senior;13:17;5;0:02:46;18;0:01:29;31;0:03:27;15;0:01:23;24;0:04:12;M;
19;Tommy Pham;91;Flow Enduro;Menn Senior;13:17;28;0:03:03;27;0:01:31;17;0:03:15;18;0:01:23;15;0:04:05;M;
19;Martin Aasen;103;CK Elverum;Menn Senior;13:17;22;0:02:55;20;0:01:29;27;0:03:24;25;0:01:25;13;0:04:04;M;
19;Martin Kvisler;104;;Menn Senior;13:17;20;0:02:55;17;0:01:29;20;0:03:16;27;0:01:26;21;0:04:11;M;
23;Kjetil Øygard;95;Lillehammer CK;Menn Senior;13:18;24;0:02:57;21;0:01:30;19;0:03:15;19;0:01:24;22;0:04:12;M;
24;Mikael Hamran;96;;Menn Senior;13:19;19;0:02:53;25;0:01:31;26;0:03:22;10;0:01:21;23;0:04:12;M;
25;Peter Hjertson;87;OGSSK;Menn Senior;13:20;31;0:03:04;33;0:01:32;10;0:03:09;34;0:01:30;16;0:04:05;M;
26;Tim Hassel;73;;Menn Senior;13:23;11;0:02:49;14;0:01:27;24;0:03:19;20;0:01:25;32;0:04:23;M;
27;Knut Erik Haugen;71;CK Nittedal;Menn Senior;13:27;25;0:02:57;11;0:01:27;32;0:03:28;9;0:01:21;27;0:04:14;M;
28;Stian Bjørnli;93;Flow;Menn Senior;13:30;16;0:02:51;19;0:01:29;29;0:03:27;24;0:01:25;30;0:04:18;M;
29;Olav Engen;69;;Menn Senior;13:38;29;0:03:03;31;0:01:32;33;0:03:28;11;0:01:22;25;0:04:13;M;
30;Rickard Jönsson;74;;Menn Senior;13:50;23;0:02:56;23;0:01:30;21;0:03:17;48;0:01:43;33;0:04:24;M;
31;Knut Erik Håberget;106;CK Elverum;Menn Senior;14:00;30;0:03:04;28;0:01:31;38;0:03:46;29;0:01:26;26;0:04:13;M;
32;Magnus Heen;107;Folin Gjeng;Menn Senior;14:07;36;0:03:10;32;0:01:32;28;0:03:26;45;0:01:41;29;0:04:18;M;
33;Fredrik Johannessen;88;;Menn Senior;14:10;37;0:03:11;29;0:01:31;34;0:03:33;36;0:01:32;31;0:04:23;M;
34;Torbjørn Vedde;98;;Menn Senior;14:11;33;0:03:09;39;0:01:36;35;0:03:34;32;0:01:28;34;0:04:24;M;
35;Fredrik Bekkåsen;89;;Menn Senior;14:14;35;0:03:10;37;0:01:36;37;0:03:40;38;0:01:34;28;0:04:14;M;
36;Ola Nilsson;64;OK Tyr;Menn Senior;14:25;34;0:03:10;43;0:01:41;36;0:03:37;21;0:01:25;37;0:04:32;M;
37;Jan Erik Kørra;75;Solør CK;Menn Senior;14:34;47;0:03:58;16;0:01:29;16;0:03:14;28;0:01:26;35;0:04:27;M;
38;Øivind Aabye;81;IF Sykkeltirsdag;Menn Senior;14:37;38;0:03:13;36;0:01:35;40;0:03:49;30;0:01:27;38;0:04:33;M;
39;Marius Moe Ellefsrud;113;;Menn Senior;15:09;39;0:03:22;38;0:01:36;30;0:03:27;35;0:01:31;46;0:05:13;M;
40;Lars Erik Magnusson;62;Ok Tyr;Menn Senior;15:14;40;0:03:26;41;0:01:40;41;0:03:50;41;0:01:34;39;0:04:44;M;
41;Ronnie Dyhr-Nielsen;63;;Menn Senior;15:25;42;0:03:30;44;0:01:42;39;0:03:49;40;0:01:34;40;0:04:50;M;
42;Carl Engelstad;72;Shralpy gangstaboys;Menn Senior;15:41;43;0:03:30;45;0:01:43;42;0:03:50;39;0:01:34;43;0:05:04;M;
43;Terje Unnerud;108;Team Letth;Menn Senior;15:47;41;0:03:28;42;0:01:41;44;0:04:06;37;0:01:33;42;0:04:59;M;
44;Eivind Holtet;67;Heming IL;Menn Senior;15:55;46;0:03:53;40;0:01:40;43;0:03:53;42;0:01:38;41;0:04:51;M;
45;Stian Eilifsen;77;;Menn Senior;16:47;45;0:03:40;46;0:01:48;46;0:04:31;47;0:01:43;44;0:05:05;M;
46;Lars Vemund Solerød;114;Moss ck;Menn Senior;16:50;44;0:03:35;48;0:01:57;45;0:04:20;44;0:01:38;47;0:05:20;M;
47;Harald Hatten;82;;Menn Senior;18:07;48;0:04:08;51;0:02:34;47;0:04:41;43;0:01:38;45;0:05:06;M;
48;Jesper Smith;97;Moss CK;Menn Senior;19:45;49;0:04:24;49;0:02:17;48;0:05:02;50;0:01:53;48;0:06:09;M;
49;Martin Rosner Christensen;79;;Menn Senior;21:23;50;0:05:32;50;0:02:22;50;00:05:23;46;0:01:41;50;0:06:25;M;
50;Anders Nilsen;112;;Menn Senior;21:59;51;0:06:52;47;0:01:55;49;00:05:04;49;0:01:48;49;0:06:20;M;
DNF;Bastian Solbakken;80;;Menn Senior;DNF;18;0:02:52;6;0:01:23;DNF;;DNS;;DNS;;M;
;Per Omar Melilla;121;;Adventure;22:02;4;0:05:13;4;0:02:39;4;0:05:44;4;0:02:02;4;0:06:24;M;
;Ulrich Ohm;122;Kongsvinger;Adventure;DNF;5;0:08:34;5;0:04:04;5;0:11:41;DNS;00:00;DNS;00:0;M;
;Ståle Bjørdal;123;Vardeåsen;Adventure;15:52;1;0:03:34;1;0:01:48;1;0:04:33;2;0:01:29;1;0:04:28;M;
;Tor Frithjof Haug;124;;Adventure;16:49;2;0:03:50;2;0:01:50;2;0:04:53;1;0:01:29;2;0:04:47;M;
;Nicolai Kihle;125;;Adventure;18:46;3;0:04:43;3;0:02:01;3;0:05:00;3;0:01:42;3;0:05:20;M;
