rank;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;chiptime;diff;gender
;90;Lars Lindgren;Blaker IL sykkel;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;99;Mats Richard Mathisen;OSLO;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;102;Douglas Thom;Mississippiskogen sti & terrengsykkellag;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;80;Torjus Winther;Krokskogen Cykleklubb / Glade Hjul / Ringerikeenduro;Menn åpen klasse 17+;03:08;6;06:12;6;00:00;DNF;00:00;DNS;DNF;;M
1;14;Ola Jåvold Landmark;Bærum OCK;Menn senior;02:10;2;05:12;2;02:19;1;02:36;1;00:12:17;00:00;M
2;26;Kristian Holiman;SK Rye sykkel;Menn senior;02:11;3;05:08;1;02:20;2;02:41;2;00:12:20;00:03;M
3;12;Jens Bergmann;SK Rye sykkel / TEAM SKENO - SFIT HELSE;Menn senior;02:09;1;05:17;3;02:24;4;02:48;5;00:12:38;00:21;M
4;20;Kristoffer Ylven Westgaard;CK Nittedal;Menn senior;02:14;6;05:29;8;02:24;4;02:44;4;00:12:51;00:34;M
1;62;Edvin Almaas-Edvardsen;CK Elverum;Gutter 15-16;02:08;1;05:29;2;02:24;1;02:54;1;00:12:55;00:00;M
5;13;Timothy Pedersen;Asker CK / Riviera Rumble;Menn senior;02:12;5;05:39;11;02:21;3;02:43;3;00:12:55;00:38;M
6;15;Kristoffer Rakneberg;Bergen MTB Klubb;Menn senior;02:15;7;05:28;6;02:25;6;02:48;5;00:12:56;00:39;M
1;7;Jonas Oudalstøl;Kristiansands CK / KCK;Menn junior;02:14;2;05:33;2;02:22;2;02:48;1;00:12:57;00:00;M
7;27;Jonas Olsson;SK Rye sykkel / Team Bcsport;Menn senior;02:11;3;05:27;5;02:28;9;02:52;8;00:12:58;00:41;M
2;5;Vetle Gikling Borthne;TVK;Menn junior;02:13;1;05:26;1;02:25;3;02:56;2;00:13:00;00:03;M
1;41;Martin ØStberg;Aron Sportsklubb;Menn master 35+;02:18;4;05:36;4;02:21;1;02:46;2;00:13:01;00:00;M
8;19;Isak Solomon;SK Rye sykkel / Team Letth;Menn senior;02:16;8;05:28;6;02:27;8;02:55;11;00:13:06;00:49;M
2;29;Arild Heimli Johnsen;Siggerud IL - sykkel / Team Letth;Menn master 35+;02:15;1;05:46;7;02:22;2;02:44;1;00:13:07;00:06;M
3;6;Sindre Martin Moe Sollund;Molde CK;Menn junior;02:14;2;05:36;3;02:14;1;03:03;3;00:13:07;00:10;M
9;16;Mikal Dyngeland Vik;Fana IL Sykkel / Vik Active;Menn senior;02:37;13;05:25;4;02:25;6;02:48;5;00:13:15;00:58;M
3;32;Sindre Ødemark;Romeriksåsen SK;Menn master 35+;02:21;5;05:35;3;02:29;4;02:53;4;00:13:18;00:17;M
10;24;Niklas Halvorsen;Kristiansands CK;Menn senior;02:21;10;05:34;10;02:32;12;02:54;9;00:13:21;01:04;M
2;57;Eskil Hafskjold;SK Rye sykkel / Rye Enduro;Gutter 15-16;02:27;2;05:27;1;02:31;2;02:56;2;00:13:21;00:26;M
11;28;Karl-Oskar Sæther;Siggerud IL - sykkel / Team Letth;Menn senior;02:16;8;05:41;12;02:32;12;02:54;9;00:13:23;01:06;M
4;47;Håvard A. Sefland;Kristiansands CK;Menn master 35+;02:26;7;05:31;1;02:40;9;02:47;3;00:13:24;00:23;M
5;36;Anders Samnøy;Aron Sportsklubb;Menn master 35+;02:16;3;05:37;5;02:30;5;03:01;6;00:13:24;00:23;M
12;21;Mikkel Pedersen;IF Frøy;Menn senior;02:22;11;05:32;9;02:28;9;03:04;13;00:13:26;01:09;M
6;40;Kristian Gravdal;IL ROS / Gravdal VVS;Menn master 35+;02:15;1;05:33;2;02:43;11;03:05;8;00:13:36;00:35;M
7;44;Michal Ciesinski;Aron Sportsklubb / Aron SK Drammen;Menn master 35+;02:23;6;05:42;6;02:35;7;02:58;5;00:13:38;00:37;M
3;61;Marius Fenstad Skjærstad;SK Rye sykkel;Gutter 15-16;02:28;3;05:44;3;02:34;3;03:06;4;00:13:52;00:57;M
8;35;Pål Johansen;Aron Sportsklubb / Link Sykkel;Menn master 35+;02:29;8;06:01;10;02:34;6;03:02;7;00:14:06;01:05;M
9;31;Stian Rismyhr;Siggerud IL - sykkel / Team Letth;Menn master 35+;02:33;9;05:52;8;02:36;8;03:09;10;00:14:10;01:09;M
13;25;Anders Todal Johnsrud;Krokskogen Cykleklubb;Menn senior;02:47;16;05:48;13;02:31;11;03:06;14;00:14:12;01:55;M
1;2;Anette Røssum Bastnes;Aron Sportsklubb / Aron SK / Team Ibis Norge;K Senior;02:37;3;05:52;1;02:41;2;03:04;1;00:14:14;00:00;F
10;30;Vidar Olsen;Tangen Watt og Oksygen Cykleklubb;Menn master 35+;02:36;10;05:55;9;02:41;10;03:06;9;00:14:18;01:17;M
4;9;Karl Viktor Vatne;Kristiansands CK;Menn junior;02:33;4;06:01;4;02:41;4;03:15;4;00:14:30;01:33;M
1;65;Felix Tho Sveva;Sandefjord SK;Gutter 13-14;02:45;3;05:55;1;02:48;5;03:11;1;00:14:39;00:00;M
4;59;Oskar Myro;SK Rye sykkel;Gutter 15-16;02:43;4;06:05;4;02:47;4;03:04;3;00:14:39;01:44;M
2;64;Petter Sakshaug-Hansen;Drammen CK;Gutter 13-14;02:16;1;06:25;5;02:45;3;03:16;3;00:14:42;00:03;M
14;22;Fredrik Carlsen;Kristiansands CK / Mtboyz;Menn senior;02:37;13;06:11;16;02:43;15;03:15;16;00:14:46;02:29;M
2;3;Silje Kreken Almeland;Bærum OCK;K Senior;02:36;2;06:05;2;02:47;3;03:25;3;00:14:53;00:39;F
3;49;Hilde Strædet;Kristiansands CK;K Senior;02:32;1;06:45;3;02:38;1;03:09;2;00:15:04;00:50;F
11;38;Øystein Røed;Gui Sportsklubb / Hurum Sport;Menn master 35+;03:18;13;06:15;12;02:24;3;03:17;12;00:15:14;02:13;M
3;55;Johan Hartz Repshus;CK Elverum;Gutter 13-14;03:13;5;06:05;2;02:43;1;03:15;2;00:15:16;00:37;M
4;63;Christopher Jansen;BOC;Gutter 13-14;02:55;4;06:17;4;02:47;4;03:19;4;00:15:18;00:39;M
12;33;Marius Minster;Soon CK;Menn master 35+;03:13;12;06:13;11;02:46;12;03:15;11;00:15:27;02:26;M
5;56;Joel Holmgård;OK Tyr;Gutter 13-14;02:39;2;06:07;3;02:53;6;03:58;7;00:15:37;00:58;M
6;54;Niklas Tronstad Lia;Kristiansands CK / Kristiansand Cykle Klubb;Gutter 13-14;03:43;6;06:28;6;02:43;1;03:33;6;00:16:27;01:48;M
13;50;Tord Bern Hansen;SK Rye sykkel;Menn master 35+;03:32;14;06:22;13;03:01;14;03:37;14;00:16:32;03:31;M
4;4;Nora Stang;SK Rye sykkel / $Tilig / Herja;K Senior;03:02;5;06:58;5;03:02;5;03:33;4;00:16:35;02:21;F
5;46;Nadja Mlodyszewski;Siggerud IL - sykkel;K Senior;02:54;4;06:59;6;02:57;4;03:50;5;00:16:40;02:26;F
6;1;Mari Elise Hatlo;Aron Sportsklubb / Team Letth;K Senior;03:19;6;06:56;4;03:05;6;03:50;5;00:17:10;02:56;F
14;37;Trond Bentzen;Siggerud IL - sykkel / Team Letth;Menn master 35+;02:44;11;07:56;14;02:57;13;03:33;13;00:17:10;04:09;M
15;23;Bjørn-Kristian Bratlie;Sagene IF Sykkel;Menn senior;07:57;17;05:54;14;02:33;14;03:09;15;00:19:33;07:16;M
7;53;Sondre Hafskjold;SK Rye sykkel / Rye Enduro;Gutter 13-14;13:02;7;06:30;7;02:55;7;03:32;5;00:25:59;11:20;M
16;45;Knut Erik Haugen;CK Nittedal;Menn senior;02:36;12;00:00:00;DNF;00:00;DNF;02:56;12;02:13:42;02:01:25;M
;51;Lise Pettersen;Eidanger IL / Herja Endurolaug;Kvinner Elduro;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;F
;10;Fridtjof Richard Digre;Konnerud IL Sykkel / Fridtjof Digre;Menn junior;00:00;DNS;00:00;DNS;00:00;DNS;01:32:38;5;DNF;;M
;8;Jim-Runar Hansen;Horten og Omegn's Cykleklubb;Menn junior;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;42;Knut Arne Letterud;Asker CK;Menn master 35+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;34;Tore Nilsen;Romsås IL sykkel;Menn master 35+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;43;Runar Ranheim;Eidsvoll SK;Menn master 35+;00:00;DNS;00:00;DNS;00:00;DNS;04:36:06;15;DNS;;M
;39;David Rentzhog;Fossum IF Sykkel;Menn master 35+;02:25;15;07:29;15;04:47;15;00:00;DNF;DNF;;M
;11;Tobias Bjerknes;CK Nittedal;Menn senior;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;17;Simen Kalnæs Danielsen;Drøbak-Frogn IL Sykkel;Menn senior;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;60;Rasmus Mackenzie;SK Rye sykkel;Gutter 15-16;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;58;Markus Skeie-Lebreux;CK Nittedal;Gutter 15-16;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
