rank;bib;name;club;Cat;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
12th;6;Ola Ølnes Ødegårdstuen;;;Gutter 13-14;00:06:32;11;00:08:19;14;;;;;00:04:29;8;;;00:19:20;+00:03:49;M
13th;12;Storm Mitchell;Aron Skiklubb;;Gutter 13-14;00:06:43;12;00:08:05;12;;;;;00:04:34;10;;;00:19:22;+00:03:51;M
14th;5;Wilhelm Kollerud;Asker CK;;Gutter 13-14;00:07:50;14;00:08:05;12;;;;;00:04:53;13;;;00:20:48;+00:05:17;M
;14;Torje Husom Torgersen;Hafjell Freeride Klubb;;Gutter 13-14;DNS;DNS;DNS;DNS;;;;;DNS;DNS;;;DNS;;M
1st;85;Nora Stang;Herja;;Kvinner Åpen klasse 17+;00:06:33;1;00:07:26;1;00:07:36;1;00:04:38;1;00:04:23;1;00:06:03;1;00:36:39;;F
2nd;86;Celine Kirkeng;Letth;;Kvinner Åpen klasse 17+;00:07:00;2;00:07:37;2;00:08:21;2;00:04:59;2;00:04:35;2;00:06:50;2;00:39:22;00:02:43;F
;87;Linn Cathrine Owe;Herja Endurolag;;Kvinner Åpen klasse 17+;00:08:42;3;DNF;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNF;;F
1st;71;Linda Lønmo;Aron Skiklubb;;Kvinner Master 35+;00:06:23;1;00:07:06;1;00:07:28;1;00:04:35;1;00:04:22;1;00:06:06;1;00:36:00;;F
2nd;73;Ida Rydland Nærum;Eidanger IL;;Kvinner Master 35+;00:06:36;2;00:07:15;2;00:07:40;2;00:04:45;2;00:04:31;2;00:06:07;2;00:36:54;+00:00:54;F
3rd;74;Grete Westerlund;Aron Skiklubb;;Kvinner Master 35+;00:07:28;5;00:08:50;5;00:09:05;4;00:05:54;5;00:05:13;3;00:07:30;3;00:44:00;+00:08:00;F
4th;70;Silje Nedland Molnes;Sandefjord SK;;Kvinner Master 35+;00:07:23;3;00:08:07;3;00:08:35;3;00:05:47;4;00:05:21;4;00:10:00;4;00:45:13;+00:09:13;F
5th;72;Silje Gjerde;SK Rye sykkel;;Kvinner Master 35+;00:07:24;4;00:08:30;4;00:09:10;5;00:05:44;3;00:05:26;5;00:12:24;5;00:48:38;+00:12:38;F
1st;80;Anette Røssum Bastnes;Aron SK;;Kvinner Senior 19+;00:05:27;1;00:06:13;2;00:06:33;2;00:03:53;2;00:03:48;2;00:05:04;2;00:30:58;;F
2nd;76;Hilde Strædet;Kristiansands CK;;Kvinner Senior 19+;00:05:36;2;00:06:08;1;00:06:28;1;00:03:47;1;00:03:47;1;00:05:24;3;00:31:10;+00:00:12;F
3rd;79;Lene Pettersen;Eidanger IL;;Kvinner Senior 19+;00:05:51;3;00:06:21;3;00:06:41;3;00:03:56;3;00:03:53;3;00:04:57;1;00:31:39;+00:00:41;F
4th;81;Anna Littorin-Sandbu;Lillehammer CK;;Kvinner Senior 19+;00:07:27;6;00:06:24;4;00:06:47;4;00:04:04;4;00:03:58;4;00:05:29;4;00:34:09;+00:03:11;F
5th;83;Embla Stol Øyan;Sogn CK;;Kvinner Senior 19+;00:06:12;4;00:08:01;7;00:07:48;6;00:04:35;5;00:04:30;5;00:05:58;5;00:37:04;+00:06:06;F
6th;84;Andrea Kristiansen Rue;Kongsberg IF Sykkel;;Kvinner Senior 19+;00:06:34;5;00:07:40;6;00:07:51;7;00:04:56;6;00:04:37;6;00:06:10;6;00:37:48;+00:06:50;F
;77;Else Bratteland;SK Rye sykkel;;Kvinner Senior 19+;00:08:14;7;00:07:05;5;00:07:39;5;00:07:06;7;DNF;;DNS;;DNF;;F
;75;Alice Grindheim;IF Frøy;;Kvinner Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;F
;82;Silje Faleide;Siggerud IL – sykkel;;Kvinner Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;F
;78;Berit Nordsæter Resell;Lillehammer CK;;Kvinner Senior 19+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;F
1st;199;Erlend Hegrum Askjer;;;Menn Åpen klasse 17+;00:05:14;1;00:05:41;2;00:05:51;1;00:03:30;1;00:03:30;1;00:04:31;1;00:28:17;;M
2nd;159;Tom Haukom;;;Menn Åpen klasse 17+;00:05:18;2;00:05:40;1;00:05:58;2;00:03:34;2;00:03:34;2;00:04:41;2;00:28:45;+00:00:28;M
3rd;208;Torjus Røn Sonerud;Lørenskog CK;;Menn Åpen klasse 17+;00:05:23;3;00:05:45;3;00:06:21;5;00:03:48;4;00:03:48;7;00:04:45;3;00:29:50;+00:01:33;M
4th;155;Sam Mead;Lynher Dairies cheese co;;Menn Åpen klasse 17+;00:05:37;8;00:05:54;4;00:06:19;3;00:03:53;5;00:03:44;4;00:04:49;4;00:30:16;+00:01:59;M
5th;190;William Rø;Kongsberg;;Menn Åpen klasse 17+;00:05:30;5;00:06:03;6;00:06:30;6;00:03:47;3;00:03:41;3;00:05:06;8;00:30:37;+00:02:20;M
6th;189;Timothy Pedersen;Riviera Rumblers;;Menn Åpen klasse 17+;00:05:34;7;00:05:55;5;00:06:20;4;00:03:53;5;00:03:46;5;00:05:17;11;00:30:45;+00:02:28;M
7th;212;Stian Bjørnli;Flow Enduro;;Menn Åpen klasse 17+;00:05:27;4;00:06:03;6;00:06:30;6;00:04:00;9;00:03:49;9;00:04:57;5;00:30:46;+00:02:29;M
8th;184;Thomas Horgen;;;Menn Åpen klasse 17+;00:05:31;6;00:06:11;9;00:06:45;9;00:03:56;7;00:03:48;7;00:05:01;6;00:31:12;+00:02:55;M
9th;213;Peter Hjertson;;;Menn Åpen klasse 17+;00:05:41;10;00:06:09;8;00:06:34;8;00:04:02;10;00:03:46;5;00:05:05;7;00:31:17;+00:03:00;M
10th;182;Morten Pedersen;Team Shredding The Gnar;;Menn Åpen klasse 17+;00:05:44;11;00:06:27;13;00:06:53;10;00:03:58;8;00:04:01;12;00:05:16;10;00:32:19;+00:04:02;M
11th;211;Håvard Tverberg;Stiligsykkelklubb;;Menn Åpen klasse 17+;00:05:40;9;00:06:30;16;00:06:59;13;00:04:05;12;00:04:01;12;00:05:13;9;00:32:28;+00:04:11;M
12th;193;Torbjørn Vedde;MTBoyz;;Menn Åpen klasse 17+;00:05:52;16;00:06:28;14;00:06:57;12;00:04:15;19;00:03:57;10;00:05:26;14;00:32:55;+00:04:38;M
13th;195;Jonas Ivar Søderberg;Brannvakta il;;Menn Åpen klasse 17+;00:05:55;17;00:06:31;17;00:06:56;11;00:04:09;13;00:04:00;11;00:05:26;14;00:32:57;+00:04:40;M
14th;186;Andreas Horten;;;Menn Åpen klasse 17+;00:05:58;19;00:06:16;10;00:07:15;22;00:04:02;10;00:04:12;23;00:05:23;12;00:33:06;+00:04:49;M
15th;210;Roar Olsen;Follo SK;;Menn Åpen klasse 17+;00:05:45;13;00:06:38;21;00:07:03;15;00:04:17;20;00:04:01;12;00:05:27;17;00:33:11;+00:04:54;M
16th;197;Marcus Emil Sletten;;;Menn Åpen klasse 17+;00:06:00;21;00:06:29;15;00:07:01;14;00:04:11;14;00:04:05;17;00:05:26;14;00:33:12;+00:04:55;M
17th;185;Øyvind Hofseth;;;Menn Åpen klasse 17+;00:06:05;23;00:06:33;19;00:07:11;19;00:04:13;17;00:04:06;19;00:05:32;20;00:33:40;+00:05:23;M
18th;196;Mads Henrik Kjemperud;Team Sykleriet;;Menn Åpen klasse 17+;00:05:50;15;00:06:31;17;00:07:09;18;00:04:13;17;00:04:04;15;00:05:57;27;00:33:44;+00:05:27;M
19th;167;David Riiber;;;Menn Åpen klasse 17+;00:06:12;29;00:06:41;24;00:07:12;20;00:04:17;20;00:04:08;20;00:05:29;18;00:33:59;+00:05:42;M
20th;165;Rune Kvalø;Flow Enduro;;Menn Åpen klasse 17+;00:06:06;25;00:06:35;20;00:07:07;16;00:04:12;16;00:04:04;15;00:06:01;30;00:34:05;+00:05:48;M
21st;177;Henrik Jensen;Sti for voksne barn;;Menn Åpen klasse 17+;00:06:15;34;00:06:39;23;00:07:07;16;00:04:20;23;00:04:09;21;00:05:37;21;00:34:07;+00:05:50;M
22nd;183;Morten Eilertsen;Aron sk sykkel;;Menn Åpen klasse 17+;00:06:09;27;00:06:38;21;00:07:12;20;00:04:25;25;00:04:05;17;00:05:44;24;00:34:13;+00:05:56;M
23rd;170;Simon Nysæter;NTNUI Enduro;;Menn Åpen klasse 17+;00:05:59;20;00:07:00;29;00:07:29;25;00:04:19;22;00:04:16;24;00:05:51;26;00:34:54;+00:06:37;M
24th;179;Magnus Brandtzæg;Equinor BIL Oslo;;Menn Åpen klasse 17+;00:06:09;27;00:06:59;28;00:07:24;24;00:04:27;26;00:04:18;25;00:05:42;23;00:34:59;+00:06:42;M
25th;156;Matthew Holland;Bikebums;;Menn Åpen klasse 17+;00:06:12;29;00:06:50;26;00:07:19;23;00:04:39;34;00:04:27;30;00:05:38;22;00:35:05;+00:06:48;M
26th;188;Fredrik Nygaard;;;Menn Åpen klasse 17+;00:06:08;26;00:06:41;24;00:07:43;26;00:04:38;33;00:04:20;28;00:06:00;29;00:35:30;+00:07:13;M
27th;171;Terje Rasmussen;;;Menn Åpen klasse 17+;00:05:55;17;00:07:07;32;00:08:21;31;00:04:22;24;00:04:11;22;00:05:46;25;00:35:42;+00:07:25;M
28th;157;Kim Larsen;Flytsti;;Menn Åpen klasse 17+;00:06:15;34;00:06:52;27;00:08:01;27;00:04:29;27;00:04:29;32;00:06:17;32;00:36:23;+00:08:06;M
29th;168;Endre Aarvik;Nordstad Madrassutsalg;;Menn Åpen klasse 17+;00:06:05;23;00:06:18;11;00:10:15;44;00:04:11;14;00:04:18;25;00:05:23;12;00:36:30;+00:08:13;M
30th;201;Kristian Akselsen;;;Menn Åpen klasse 17+;00:06:12;29;00:07:08;33;00:08:31;33;00:04:34;30;00:04:25;29;00:05:59;28;00:36:49;+00:08:32;M
31st;166;Tore Nilsen;;;Menn Åpen klasse 17+;00:06:14;33;00:07:20;35;00:08:33;34;00:04:32;29;00:04:42;35;00:06:26;35;00:37:47;+00:09:30;M
32nd;192;Frithjof Narverud;;;Menn Åpen klasse 17+;00:06:29;39;00:07:34;37;00:08:09;29;00:04:37;32;00:04:39;33;00:06:20;34;00:37:48;+00:09:31;M
33rd;180;Markus Finholt;;;Menn Åpen klasse 17+;00:06:34;41;00:07:31;36;00:09:07;39;00:05:09;40;00:04:27;30;00:06:19;33;00:39:07;+00:10:50;M
34th;204;Arjan Boldingh;FTT Oslo Sykkelklubb;;Menn Åpen klasse 17+;00:06:04;22;00:07:16;34;00:08:01;27;00:04:34;30;00:06:33;43;00:06:44;36;00:39:12;+00:10:55;M
35th;158;Roy Dahl;;;Menn Åpen klasse 17+;00:06:27;38;00:07:39;38;00:08:23;32;00:05:10;41;00:04:57;39;00:07:20;42;00:39:56;+00:11:39;M
36th;187;Fredrik Carlsen;MTBoyz;;Menn Åpen klasse 17+;00:06:30;40;00:08:35;44;00:08:09;29;00:04:53;36;00:04:39;33;00:07:14;39;00:40:00;+00:11:43;M
37th;160;Axel Torjesen;Drammen Polarhundklubb;;Menn Åpen klasse 17+;00:07:00;47;00:08:03;42;00:08:40;35;00:05:02;39;00:04:54;36;00:07:02;37;00:40:41;+00:12:24;M
38th;169;Håkon Ytterland;MTBoyz;;Menn Åpen klasse 17+;00:06:36;42;00:09:29;47;00:08:47;38;00:04:44;35;00:04:56;38;00:06:15;31;00:40:47;+00:12:30;M
39th;191;Øystein Molberg;Skjæret huckeklubb;;Menn Åpen klasse 17+;00:06:46;44;00:07:44;39;00:08:40;35;00:05:42;43;00:04:55;37;00:07:18;40;00:41:05;+00:12:48;M
40th;202;Andreas Gjærde;VOTLNC;;Menn Åpen klasse 17+;00:06:12;29;00:06:26;12;00:15:12;45;00:04:29;27;00:04:19;27;00:05:30;19;00:42:08;+00:13:51;M
41st;181;Martin Nielsen;;;Menn Åpen klasse 17+;00:06:59;46;00:08:25;43;00:09:56;41;00:05:29;42;00:05:41;41;00:07:04;38;00:43:34;+00:15:17;M
42nd;214;Marcus Lagerkvist;;;Menn Åpen klasse 17+;00:07:03;48;00:08:41;45;00:10:05;43;00:06:18;44;00:05:48;42;00:08:25;43;00:46:20;+00:18:03;M
43rd;207;Kenneth Magnussen;Moss BMX;;Menn Åpen klasse 17+;00:23:36;50;00:07:06;31;00:09:13;40;00:04:54;37;00:05:13;40;00:07:19;41;00:57:21;+00:29:04;M
;198;Alexander Berg Olsen;;;Menn Åpen klasse 17+;00:06:15;34;00:07:51;41;00:10:04;42;00:05:01;38;DNF;;DNS;;DNF;;M
;173;Anders Skaarer;Sauda SK;;Menn Åpen klasse 17+;00:06:19;37;00:07:04;30;00:08:44;37;DNF;;DNS;;DNS;;DNF;;M
;172;Truls Baksetersveen;Team shredding the GNAR;;Menn Åpen klasse 17+;00:06:44;43;00:07:45;40;DNF;;DNS;;DNS;;DNS;;DNF;;M
;203;Fredrik Lia;Horten Høkk & Pøkk;;Menn Åpen klasse 17+;00:06:56;45;00:09:11;46;DNF;;DNS;;DNS;;DNS;;DNF;;M
;174;Bendik Walle;;;Menn Åpen klasse 17+;00:07:41;49;00:09:49;48;DNF;;DNS;;DNS;;DNS;;DNF;;M
;162;Jørn Huseby;;;Menn Åpen klasse 17+;00:05:46;14;00:11:23;49;DNF;;DNS;;DNS;;DNS;;DNF;;M
;175;Erlend Gustad;KONGSBERG;;Menn Åpen klasse 17+;00:05:44;11;DNF;;DNS;;DNS;;DNS;;DNS;;DNF;;M
;194;Arne Hanto Moen;Egg & Bacon Dessert;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;200;Trond Johannessen;Glåmdal SK;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;164;Olav Helland Stenersen;;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;178;Magnus Hermann;;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;206;Kristoffer Haugen;Aron Skiklubb;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;176;Henrik Olsen;Flow Enduro;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;161;Hein Volden;;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;205;Simen Brekke;IL Heming - sykkelgruppe;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;154;Nicolas Yann Couturier;SK Rye sykkel;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;163;Liam Hart;CK Nittedal;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;209;Daniel Melilla;;;Menn Åpen klasse 17+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
1st;92;William Scheele;SK Rye sykkel;;Menn Junior 17-18;00:04:57;1;00:05:21;1;00:05:43;1;00:03:24;1;00:03:22;1;00:04:04;1;00:26:51;;M
2nd;95;Jonas Oudalstøl;Kristiansands CK;;Menn Junior 17-18;00:05:13;2;00:05:28;2;00:05:58;2;00:03:34;2;00:03:34;2;00:04:31;2;00:28:18;+00:01:27;M
3rd;90;Mikkel Pedersen;IF Frøy;;Menn Junior 17-18;00:05:28;4;00:05:55;6;00:06:11;3;00:03:52;4;00:03:40;3;00:04:43;4;00:29:49;+00:02:58;M
4th;93;Theodor Bakken;Aron SK;;Menn Junior 17-18;00:05:27;3;00:05:54;5;00:06:22;4;00:03:45;3;00:03:45;5;00:04:53;5;00:30:06;+00:03:15;M
5th;94;Oscar Saksvik;Asker CK;;Menn Junior 17-18;00:05:31;5;00:05:50;3;00:06:22;4;00:04:05;8;00:03:41;4;00:04:40;3;00:30:09;+00:03:18;M
6th;97;Vetle Gikling Borthne;TVK;;Menn Junior 17-18;00:05:41;6;00:06:06;7;00:06:55;7;00:03:53;5;00:03:47;6;00:05:06;7;00:31:28;+00:04:37;M
7th;96;Alexander Sandengen;Aron Skiklubb;;Menn Junior 17-18;00:05:41;6;00:05:52;4;00:06:58;8;00:04:05;8;00:03:56;9;00:05:00;6;00:31:32;+00:04:41;M
8th;100;Jasem Rustad Downing;TVK;;Menn Junior 17-18;00:05:43;8;00:06:10;8;00:07:04;9;00:03:57;6;00:03:57;10;00:05:21;9;00:32:12;+00:05:21;M
9th;91;Sigurd Bjørndalen Mathisen;Aron Skiklubb;;Menn Junior 17-18;00:05:44;9;00:06:13;9;00:07:23;10;00:04:03;7;00:03:50;7;00:05:14;8;00:32:27;+00:05:36;M
10th;99;Karl Viktor Vatne;Kristiansands CK;;Menn Junior 17-18;00:06:01;11;00:06:22;10;00:06:38;6;00:04:10;10;00:03:53;8;00:05:31;10;00:32:35;+00:05:44;M
;98;Erlend Berget Østrem;Hafrsfjord SK;;Menn Junior 17-18;00:05:57;10;00:06:50;11;00:08:14;11;DNF;;DNS;;DNS;;DNF;;M
1st;103;Jostein Hole;Aron Skiklubb;;Menn Master 35+;00:05:24;4;00:05:37;1;00:05:49;1;00:03:29;1;00:03:27;1;00:04:24;1;00:28:10;;M
2nd;120;Martin Østberg;Aron Skiklubb;;Menn Master 35+;00:05:07;1;00:05:37;1;00:05:57;2;00:03:35;2;00:03:28;2;00:04:50;5;00:28:34;+00:00:24;M
3rd;115;Simen Kalnæs Danielsen;Drøbak-Frogn IL Sykkel;;Menn Master 35+;00:05:21;2;00:05:44;3;00:06:19;5;00:03:45;4;00:03:35;3;00:04:35;2;00:29:19;+00:01:09;M
4th;113;Pål Grotnes;Gresvik IF;;Menn Master 35+;00:05:23;3;00:06:03;7;00:06:16;3;00:03:49;7;00:03:41;5;00:04:43;4;00:29:55;+00:01:45;M
5th;117;Aslak Mørstad;Siggerud IL – sykkel;;Menn Master 35+;00:05:30;7;00:05:53;4;00:06:17;4;00:03:53;8;00:03:44;8;00:04:54;6;00:30:11;+00:02:01;M
6th;122;Arild Heimli Johnsen;Siggerud IL – sykkel;;Menn Master 35+;00:05:29;6;00:05:58;5;00:06:27;7;00:03:44;3;00:03:39;4;00:05:04;7;00:30:21;+00:02:11;M
7th;119;Pål Johansen;Aron Skiklubb;;Menn Master 35+;00:05:26;5;00:06:00;6;00:06:24;6;00:03:48;6;00:03:42;6;00:05:24;12;00:30:44;+00:02:34;M
8th;125;Karsten Hjelseth;IL Heming - sykkelgruppe;;Menn Master 35+;00:05:42;11;00:06:12;9;00:06:41;9;00:04:01;9;00:03:51;10;00:05:05;8;00:31:32;+00:03:22;M
9th;121;Terje Unnerud;Mjølkerampa SK;;Menn Master 35+;00:05:39;10;00:06:08;8;00:06:45;11;00:04:01;9;00:04:03;12;00:05:08;9;00:31:44;+00:03:34;M
10th;104;Kim-Erik Larsen;Moss BMX;;Menn Master 35+;00:06:40;25;00:06:32;15;00:06:33;8;00:03:47;5;00:03:43;7;00:04:42;3;00:31:57;+00:03:47;M
11th;118;Tom Ruud;Lillehammer CK;;Menn Master 35+;00:05:38;8;00:07:04;22;00:06:53;12;00:04:06;11;00:03:56;11;00:05:16;10;00:32:53;+00:04:43;M
12th;123;Marius Langum;Aron Skiklubb;;Menn Master 35+;00:06:04;18;00:06:26;14;00:07:02;14;00:04:23;16;00:04:06;14;00:05:24;12;00:33:25;+00:05:15;M
13th;127;Christopher Fredriksen;Kristiansands CK;;Menn Master 35+;00:05:55;14;00:06:25;13;00:07:02;14;00:04:13;13;00:04:11;17;00:05:44;16;00:33:30;+00:05:20;M
14th;112;Stian Carlsen;SK Rye sykkel;;Menn Master 35+;00:05:58;15;00:06:22;12;00:07:27;19;00:04:18;14;00:04:06;14;00:05:31;14;00:33:42;+00:05:32;M
15th;111;Knut Haugen;Lørenskog CK;;Menn Master 35+;00:05:52;12;00:06:35;17;00:07:00;13;00:04:38;18;00:04:13;19;00:05:45;17;00:34:03;+00:05:53;M
16th;102;Stefano Baldari;Hasle-Løren IL;;Menn Master 35+;00:06:11;20;00:06:51;20;00:07:25;18;00:04:10;12;00:04:05;13;00:05:22;11;00:34:04;+00:05:54;M
17th;108;Petter Anthonsen;Toten-Kranken CK;;Menn Master 35+;00:06:04;18;00:06:32;15;00:07:36;21;00:04:20;15;00:04:08;16;00:05:36;15;00:34:16;+00:06:06;M
18th;124;Christian Erga;Siggerud IL – sykkel;;Menn Master 35+;00:06:00;16;00:06:39;19;00:07:31;20;00:04:38;18;00:04:12;18;00:05:46;18;00:34:46;+00:06:36;M
19th;110;Kristian Eckhoff;SK Rye sykkel;;Menn Master 35+;00:06:03;17;00:06:38;18;00:07:20;16;00:04:24;17;00:04:18;20;00:06:11;20;00:34:54;+00:06:44;M
20th;109;Jan Henrik Høilund;Njård;;Menn Master 35+;00:06:23;21;00:06:56;21;00:07:21;17;00:04:43;20;00:04:18;20;00:06:02;19;00:35:43;+00:07:33;M
21st;129;Fredrik Lingvall;SK Rye sykkel;;Menn Master 35+;00:06:33;22;00:07:04;22;00:08:05;23;00:04:44;21;00:04:32;23;00:06:14;21;00:37:12;+00:09:02;M
22nd;126;Henrik Moberg;Arendal CC;;Menn Master 35+;00:06:33;22;00:07:13;24;00:07:45;22;00:04:55;23;00:04:46;25;00:06:38;24;00:37:50;+00:09:40;M
23rd;114;Jamieson Pothecary;SK Rye sykkel;;Menn Master 35+;00:06:34;24;00:07:31;25;00:08:31;25;00:04:48;22;00:04:31;22;00:06:21;22;00:38:16;+00:10:06;M
24th;101;Rodrigo Carrera;Arendal CC;;Menn Master 35+;00:06:48;26;00:07:44;27;00:08:28;24;00:04:59;25;00:04:34;24;00:06:24;23;00:38:57;+00:10:47;M
25th;130;Lars Lindgren;Blaker IL sykkel;;Menn Master 35+;00:07:09;27;00:07:39;26;00:08:35;26;00:04:55;23;00:05:01;26;00:07:53;25;00:41:12;+00:13:02;M
;105;Stian Lunn;Lillehammer CK;;Menn Master 35+;00:05:38;8;00:06:21;11;00:06:44;10;00:06:34;26;00:03:50;9;DNF;;DNF;;M
;116;Vidar Folden;SK Rye sykkel;;Menn Master 35+;00:05:54;13;00:06:15;10;DNF;DNS;DNS;DNS;DNS;DNS;DNS;;DNF;;M
;106;Marius Wilberg;Blaker IL sykkel;;Menn Master 35+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;128;Johan Anda Aronsen;SK Rye sykkel;;Menn Master 35+;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;;M
;107;Frode Dalen;Kjekkas IF;;Menn Master 35+;DNS;DNS;DNS;DNS;DNS;;DNS;;DNS;;DNS;DNS;DNS;;M
1st;135;Ola Jåvold Landmark;Bærum OCK;;Menn Senior 19+;00:04:59;1;00:05:21;1;00:05:33;1;00:03:24;1;00:03:25;3;00:04:03;1;00:26:45;;M
2nd;146;Oskar Omdal;Dalane SK;;Menn Senior 19+;00:05:04;5;00:05:26;2;00:05:54;5;00:03:30;4;00:03:20;2;00:04:20;3;00:27:34;+00:00:49;M
3rd;132;Bård S Pettersen;Drammen CK;;Menn Senior 19+;00:04:59;1;00:05:29;4;00:05:45;3;00:03:33;5;00:03:25;3;00:04:25;6;00:27:36;+00:00:51;M
4th;134;Anders Guttormson Skarstein;Hemsedal IL Sykkel;;Menn Senior 19+;00:05:02;4;00:05:26;2;00:05:45;3;00:03:28;2;00:03:55;15;00:04:22;5;00:27:58;+00:01:13;M
5th;141;Tobias Hoel Sandengen;Aron Skiklubb;;Menn Senior 19+;00:05:07;6;00:05:31;5;00:05:54;5;00:03:39;7;00:03:29;5;00:04:21;4;00:28:01;+00:01:16;M
6th;139;Lars Vatnebryn Sandviken;Drammen CK;;Menn Senior 19+;00:04:59;1;00:06:29;16;00:05:42;2;00:03:29;3;00:03:18;1;00:04:10;2;00:28:07;+00:01:22;M
7th;144;Niklas Halvorsen;Kristiansands CK;;Menn Senior 19+;00:05:21;9;00:05:51;7;00:06:22;12;00:03:40;9;00:03:38;8;00:04:51;11;00:29:43;+00:02:58;M
8th;152;Per Jørgen Sletto;Flow Racing;;Menn Senior 19+;00:05:40;15;00:06:02;10;00:06:16;9;00:03:48;11;00:03:40;9;00:04:43;8;00:30:09;+00:03:24;M
9th;143;Kristoffer Rakneberg;Bergen MTB Klubb;;Menn Senior 19+;00:05:29;10;00:06:02;10;00:06:24;13;00:03:48;11;00:03:45;13;00:04:46;10;00:30:14;+00:03:29;M
10th;153;Tommy Pham;Sogn CK;;Menn Senior 19+;00:05:33;12;00:05:58;9;00:06:18;11;00:03:49;13;00:03:43;11;00:04:56;12;00:30:17;+00:03:32;M
11th;138;Johannes LUND;Sogn CK;;Menn Senior 19+;00:05:17;7;00:05:32;6;00:06:16;9;00:03:39;7;00:03:29;5;00:06:12;18;00:30:25;+00:03:40;M
