bib;name;Class;gender;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;FE6 Pos;FE6;Club
62;Lavra Lund Balto;Menn senior;M;39;0:03:15;48;0:02:05;48;0:02:02;32;0:02:22;35;0:02:13;44;0:01:26;Bergen MTB
79;Andreas Gjærde;Menn senior;M;42;0:03:18;42;0:02:03;34;0:01:57;40;0:02:25;39;0:02:15;41;0:01:25;SK Rye
122;Tommy Pham;Menn senior;M;38;0:03:14;59;0:02:09;30;0:01:55;48;0:02:29;37;0:02:13;35;0:01:23;Flow Enduro
63;Jens-Martin Johnsrud;Menn senior;M;31;0:03:10;44;0:02:04;39;0:01:59;47;0:02:28;42;0:02:17;47;0:01:27;
157;Eric Larsson;Menn senior;M;28;0:03:09;39;0:02:02;27;0:01:54;35;0:02:22;64;0:02:32;56;0:01:28;Göteborgs Stigcyklister
166;Jonathan Paddon;Menn senior;M;52;0:03:22;38;0:02:02;53;0:02:03;46;0:02:28;33;0:02:11;33;0:01:22;
126;Tom Ruud;Menn senior;M;43;0:03:18;41;0:02:02;54;0:02:03;54;0:02:33;36;0:02:13;19;0:01:20;Lillehammer CK
121;Mads Pettersen;Menn senior;M;66;0:03:28;52;0:02:08;41;0:01:59;31;0:02:21;27;0:02:10;36;0:01:24;Follo SK
91;Andreas Holm;Menn senior;M;46;0:03:20;37;0:02:01;51;0:02:03;62;0:02:34;30;0:02:10;38;0:01:24;
132;Espen Strandbråten;Menn senior;M;54;0:03:22;57;0:02:09;47;0:02:02;41;0:02:25;40;0:02:16;58;0:01:29;
70;Magnus Brandtzæg;Menn senior;M;45;0:03:19;60;0:02:09;44;0:02:01;58;0:02:34;45;0:02:18;43;0:01:26;Equinor enduro
115;Robin Olofsson;Menn senior;M;30;0:03:09;84;0:02:28;57;0:02:04;38;0:02:25;38;0:02:14;51;0:01:28;Göteborgs Stigcyklister
116;Henrik Olsen;Menn senior;M;62;0:03:26;61;0:02:09;45;0:02:01;45;0:02:28;46;0:02:18;53;0:01:28;Flow Enduro
119;Timothy Pedersen;Menn senior;M;51;0:03:21;40;0:02:02;38;0:01:58;89;0:03:02;22;0:02:08;24;0:01:20;
112;Frode Nilsen;Menn senior;M;41;0:03:17;56;0:02:08;65;0:02:09;50;0:02:30;32;0:02:11;78;0:01:37;
133;Piotr Susfal;Menn senior;M;44;0:03:19;58;0:02:09;52;0:02:03;52;0:02:31;54;0:02:25;45;0:01:27;Burger King Sørlansparken 
123;Kristoffer Rakneberg;Menn senior;M;64;0:03:26;63;0:02:09;46;0:02:02;56;0:02:33;48;0:02:19;49;0:01:27;Bergen MTB
92;Magnus Innerdal;Menn senior;M;40;0:03:16;49;0:02:06;40;0:01:59;67;0:02:36;70;0:02:36;55;0:01:28;
139;Kristian Østlie;Menn senior;M;61;0:03:25;45;0:02:04;50;0:02:03;51;0:02:31;57;0:02:27;64;0:01:32;
101;Hans Jørgen Kvåle;Menn senior;M;77;0:03:41;74;0:02:20;42;0:02:00;42;0:02:26;34;0:02:12;40;0:01:24;Hadeland CK/Team Skør’n Offroad
71;Simon Börjars;Menn senior;M;68;0:03:29;53;0:02:08;69;0:02:10;60;0:02:34;41;0:02:16;57;0:01:29;Asker CK
102;Tord irgens Kylling;Menn senior;M;81;0:03:46;86;0:02:32;31;0:01:55;28;0:02:18;29;0:02:10;48;0:01:27;
108;Anders Mjøen;Menn senior;M;67;0:03:28;54;0:02:08;64;0:02:09;65;0:02:35;49;0:02:19;63;0:01:31;
124;Anders Rekdal;Menn senior;M;78;0:03:44;30;0:01:57;32;0:01:56;37;0:02:24;82;0:02:48;28;0:01:21;Hemsedal IL sykkel
69;Christoffer Borge Olsen;Menn senior;M;69;0:03:30;55;0:02:08;70;0:02:10;63;0:02:35;60;0:02:28;42;0:01:25;Aron SK
67;Johan Blomberg;Menn senior;M;65;0:03:27;47;0:02:05;60;0:02:07;53;0:02:32;74;0:02:40;52;0:01:28;
68;Sander Blomgren;Menn senior;M;71;0:03:33;64;0:02:11;63;0:02:08;44;0:02:27;55;0:02:25;74;0:01:35;Grimstad sk
131;Stian Storm;Menn senior;M;73;0:03:36;65;0:02:11;67;0:02:10;59;0:02:34;50;0:02:21;59;0:01:29;
74;Kristian Eckhoff;Menn senior;M;70;0:03:31;62;0:02:09;73;0:02:14;66;0:02:36;52;0:02:23;61;0:01:30;SK Rye
168;Knut Erik Haugen;Menn senior;M;57;0:03:23;92;0:02:42;62;0:02:08;39;0:02:25;44;0:02:17;54;0:01:28;CK Nittedal
97;Arne Diederik Kildahl;Menn senior;M;36;0:03:14;50;0:02:06;43;0:02:00;92;0:03:21;47;0:02:18;60;0:01:30;Bø Idrettslag
114;Fredrik Nygaard;Menn senior;M;63;0:03:26;68;0:02:13;75;0:02:15;83;0:02:53;53;0:02:24;62;0:01:31;
87;Alexander Hauger;Menn senior;M;53;0:03:22;46;0:02:05;91;0:03:07;43;0:02:26;43;0:02:17;46;0:01:27;Hakadal Enduro 
77;Samuel Geiseler;Menn senior;M;49;0:03:21;71;0:02:14;82;0:02:29;76;0:02:45;61;0:02:29;68;0:01:33;TromsøEnduro
125;Edvard Rokkan;Menn senior;M;80;0:03:45;67;0:02:13;74;0:02:14;69;0:02:38;62;0:02:30;67;0:01:32;SK Rye
120;Håkon Pettersen;Menn senior;M;76;0:03:39;72;0:02:17;68;0:02:10;71;0:02:40;67;0:02:34;70;0:01:34;
65;Fredrik Arnesen;Menn senior;M;59;0:03:23;88;0:02:34;61;0:02:07;70;0:02:39;75;0:02:42;86;0:01:43;Team Ibis
82;Emil Hagen-Kristiansen;Menn senior;M;86;0:03:54;73;0:02:19;76;0:02:16;72;0:02:41;56;0:02:27;72;0:01:35;
75;Stian Eilifsen;Menn senior;M;79;0:03:44;76;0:02:23;77;0:02:18;75;0:02:44;66;0:02:33;71;0:01:34;CK Nittedal
88;Sigurd Haukenes;Menn senior;M;82;0:03:46;77;0:02:23;66;0:02:09;80;0:02:47;79;0:02:44;79;0:01:37;
84;Carsten Harfallet;Menn senior;M;85;0:03:52;82;0:02:26;87;0:02:31;81;0:02:50;71;0:02:37;77;0:01:37;Bingsfoss sk
128;Magnus Sjöström;Menn senior;M;84;0:03:47;78;0:02:23;78;0:02:24;85;0:02:59;73;0:02:39;85;0:01:42;
94;Frank Johansen;Menn senior;M;83;0:03:46;85;0:02:32;90;0:02:32;74;0:02:43;81;0:02:46;84;0:01:41;Team Letth
72;Harald Cameron;Menn senior;M;91;0:04:08;79;0:02:24;86;0:02:31;87;0:02:59;58;0:02:27;65;0:01:32;Gutta krutt
118;Alexander Berg Olsen;Menn senior;M;92;0:04:10;81;0:02:25;79;0:02:27;77;0:02:46;77;0:02:44;76;0:01:37;
134;Jon Terje Svendsen;Menn senior;M;87;0:03:55;83;0:02:26;85;0:02:31;86;0:02:59;76;0:02:43;88;0:01:45;Aron SK
106;Morten Mathiesen;Menn senior;M;89;0:04:04;87;0:02:33;88;0:02:32;90;0:03:05;68;0:02:35;75;0:01:36;Førstereis
167;Atle Philip Gulliksen;Menn senior;M;90;0:04:07;90;0:02:36;81;0:02:28;84;0:02:58;78;0:02:44;87;0:01:44;OSI
99;Kristoffer Klingenberg;Menn senior;M;16;0:02:59;17;0:01:52;20;0:01:51;11;0:02:12;87;0:06:44;39;0:01:24;SK Rye
105;Simen Martinsen;Menn senior;M;93;0:04:23;89;0:02:36;89;0:02:32;91;0:03:17;83;0:02:49;82;0:01:39;Aron SK
80;Jo Vegard Goderstad;Menn senior;M;95;0:04:48;91;0:02:37;83;0:02:30;88;0:03:00;84;0:02:49;80;0:01:38;Gutta krutt
83;Kristian Hanstad;Menn senior;M;94;0:04:39;93;0:02:49;84;0:02:30;93;0:03:24;80;0:02:46;81;0:01:39;
73;Christer Diesen;Menn senior;M;55;0:03:23;75;0:02:21;93;0:06:52;64;0:02:35;63;0:02:30;69;0:01:33;Equinor enduro
66;Jonno Auton;Menn senior;M;47;0:03:20;28;0:01:57;56;0:02:03;18;0:02:15;88;0:08:17;50;0:01:27;
98;Erik Andreas Kleven;Menn senior;M;72;0:03:34;70;0:02:14;55;0:02:03;73;0:02:42;89;0:14:34;73;0:01:35;Team Follo Ung
117;Tormod Brg Olsen;Menn senior;M;96;0:08:34;94;0:03:56;92;0:04:12;94;0:04:52;86;0:04:50;89;0:02:15;
103;Ola Jåvold Landmark;Menn senior;M;3;0:02:46;10;0:01:50;3;0:01:41;1;0:02:00;DNF;00:00:00;DNS;00:00:00;BOC
148;Kristian Holiman;Menn senior;M;15;0:02:57;6;0:01:45;11;0:01:47;DNF;00:00:00;DNF;00:00:00;DNS;00:00:00;Team Santa Cruz
109;Petter Mouland;Menn senior;M;48;0:03:21;51;0:02:06;58;0:02:05;79;0:02:47;DNF;00:00:00;DNS;00:00:00;BOC
100;Dag Erik Kristoffersen;Menn senior;M;58;0:03:23;43;0:02:03;59;0:02:06;55;0:02:33;85;0:02:58;DNS;00:00:00;O.I.L
96;Matias Kallevik;Menn senior;M;74;0:03:36;66;0:02:13;71;0:02:11;57;0:02:33;DNF;00:00:00;DNS;00:00:00;
127;Ola Sandboe;Menn senior;M;60;0:03:24;69;0:02:14;72;0:02:11;78;0:02:47;DNF;00:00:00;DNS;00:00:00;kolbotn sykkelklubb
85;Ivar Haug;Menn senior;M;75;0:03:39;DNF;00:00:00;DNS;00:00:00;68;0:02:37;DNF;00:00:00;66;0:01:32;
135;Lars Thomte;Menn senior;M;88;0:03:57;80;0:02:25;DNS;00:00:00;82;0:02:50;69;0:02:35;83;0:01:40;Nots
163;Torfinn Dahl;Menn senior;M;25;0:03:08;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNS;;SK Rye
24;Pål Grotnes;Master Menn;M;2;0:03:02;1;0:01:50;1;0:01:51;2;0:02:17;1;0:02:02;1;0:01:17;Gresvikifstisyklister
21;Fredrik Lysakerrud;Master Menn;M;1;0:03:01;2;0:01:55;4;0:01:55;1;0:02:11;16;0:02:25;2;0:01:22;Odal Sk
22;Øyvind Hem;Master Menn;M;5;0:03:09;4;0:02:00;2;0:01:53;6;0:02:25;2;0:02:10;19;0:01:32;
23;Arild Gravdal;Master Menn;M;10;0:03:21;11;0:02:07;8;0:02:01;10;0:02:27;6;0:02:15;4;0:01:23;Bergen MTB
39;Morten Iversen Stordahl;Master Menn;M;7;0:03:15;21;0:02:13;7;0:02:00;9;0:02:27;10;0:02:16;9;0:01:27;Team Lapierre Norge 
52;Audun Wichmann;Master Menn;M;9;0:03:19;7;0:02:05;14;0:02:07;7;0:02:26;8;0:02:16;5;0:01:25;Nesodden SK
28;Espen Kebely;Master Menn;M;12;0:03:22;13;0:02:09;9;0:02:01;12;0:02:28;14;0:02:18;14;0:01:29;Flytsti
30;Pierre Magnusson;Master Menn;M;14;0:03:26;9;0:02:06;15;0:02:07;11;0:02:28;4;0:02:13;16;0:01:30;Perbellum SS
38;Håvard Rishoff;Master Menn;M;16;0:03:28;8;0:02:05;10;0:02:02;14;0:02:31;11;0:02:17;13;0:01:29;
32;Knut Haugen;Master Menn;M;13;0:03:24;14;0:02:10;12;0:02:03;18;0:02:36;9;0:02:16;8;0:01:27;Lørenskog CK
50;Lars Mouland;Master Menn;M;17;0:03:33;20;0:02:12;11;0:02:02;13;0:02:29;5;0:02:15;11;0:01:28;BOC
46;Stian Østen;Master Menn;M;4;0:03:07;12;0:02:07;3;0:01:54;24;0:02:44;7;0:02:16;27;0:01:54;
34;Tor Erik Drangsland;Master Menn;M;15;0:03:28;17;0:02:11;17;0:02:08;15;0:02:32;13;0:02:18;7;0:01:27;Høvik Verks Rullende Gutter
29;Fredrik Andersson;Master Menn;M;3;0:03:07;3;0:01:56;28;0:03:11;3;0:02:18;12;0:02:17;3;0:01:22;CK KulTur
26;Anders Disen;Master Menn;M;11;0:03:22;10;0:02:06;13;0:02:03;8;0:02:27;23;0:02:37;26;0:01:37;Odal Sk
44;Cato Johnsen;Master Menn;M;20;0:03:34;23;0:02:13;23;0:02:15;19;0:02:37;15;0:02:21;12;0:01:28;Team Lille Tøyen
42;Marius Wilberg;Master Menn;M;19;0:03:34;16;0:02:11;18;0:02:09;17;0:02:34;26;0:02:43;10;0:01:28;Blaker IL Sykkel
33;Geir Inge Sandnes;Master Menn;M;18;0:03:33;25;0:02:17;19;0:02:10;21;0:02:40;21;0:02:32;17;0:01:31;#haterliason
35;Geir Bjørndalen;Master Menn;M;22;0:03:39;22;0:02:13;21;0:02:14;20;0:02:38;20;0:02:31;18;0:01:31;Nedtur gir opptur!
40;Håvard Arnstad;Master Menn;M;24;0:03:43;18;0:02:11;20;0:02:12;23;0:02:41;17;0:02:25;24;0:01:37;SK Rye
31;Tor Ivan Rudi;Master Menn;M;25;0:03:51;15;0:02:10;16;0:02:07;26;0:02:47;18;0:02:29;15;0:01:29;Røyken CK
49;Fredrik Lingvall;Master Menn;M;23;0:03:40;24;0:02:14;22;0:02:15;22;0:02:40;22;0:02:34;25;0:01:37;SK Rye
27;Hans Mattsson;Master Menn;M;6;0:03:14;5;0:02:00;5;0:01:57;5;0:02:22;29;0:04:08;6;0:01:26;CFBC
37;Frode Bredesen;Master Menn;M;26;0:04:08;19;0:02:12;24;0:02:18;16;0:02:32;19;0:02:30;21;0:01:33;Nordnorges største by
48;Alexander Bjerke;Master Menn;M;28;0:04:26;26;0:02:23;26;0:02:23;29;0:02:55;25;0:02:40;20;0:01:32;BOC
45;Frode Kaafjeld;Master Menn;M;29;0:04:30;28;0:02:29;25;0:02:18;25;0:02:45;27;0:02:45;23;0:01:37;
41;Carlos Canales;Master Menn;M;27;0:04:17;29;0:02:31;27;0:02:37;27;0:02:48;24;0:02:38;22;0:01:34;
43;Tom Sandboe;Master Menn;M;8;0:03:18;6;0:02:04;6;0:01:58;4;0:02:19;3;0:02:11;DNS;00:00:00;kolbotn sykkelklubb
47;Bjørn Tscherning Hjulstad;Master Menn;M;21;0:03:38;27;0:02:24;29;0:05:49;28;0:02:54;28;0:03:27;DNF;00:00:00;Sagene IF Sykkel
204;Steinar Holoes;Explorer menn;M;1;0:03:25;1;0:02:12;2;0:02:09;1;0:02:32;2;0:02:20;1;0:01:26;Lynvingen
201;Magnus Grønset;Explorer menn;M;2;0:03:26;2;0:02:13;1;0:02:05;2;0:02:46;1;0:02:17;2;0:01:31;Bikings
214;Karl-Oskar Sæther;Explorer menn;M;4;0:04:18;6;0:02:33;3;0:02:26;3;0:02:47;3;0:02:31;3;0:01:33;
210;Truls Skare;Explorer menn;M;3;0:03:52;3;0:02:23;8;0:02:44;4;0:02:54;6;0:02:44;4;0:01:39;
205;Kjell Ivar Moland;Explorer menn;M;7;0:04:23;7;0:02:39;6;0:02:34;10;0:03:19;7;0:02:52;5;0:01:42;Follo SK
209;Brage Raknes;Explorer menn;M;5;0:04:18;4;0:02:32;4;0:02:33;6;0:02:57;5;0:02:40;6;0:01:45;
207;Christophe Pons;Explorer menn;M;6;0:04:19;8;0:02:47;7;0:02:39;7;0:03:02;8;0:02:59;7;0:01:53;
211;Paal Kongshaug;Explorer menn;M;11;0:04:56;9;0:02:53;10;0:03:06;8;0:03:09;9;0:03:04;8;0:01:54;Follo SK
203;Phillip Mayhew;Explorer menn;M;8;0:04:23;5;0:02:32;5;0:02:34;5;0:02:55;4;0:02:40;9;0:01:55;
212;Erik Haug;Explorer menn;M;9;0:04:41;10;0:02:55;9;0:02:57;9;0:03:18;10;0:03:08;10;0:01:57;Follo SK
216;Mike Connors;Explorer menn;M;10;0:04:55;12;0:03:42;12;0:03:55;12;0:04:13;12;0:04:02;11;0:02:01;
215;Rune Kyllenstjerna;Explorer menn;M;12;0:05:33;11;0:03:38;11;0:03:51;11;0:04:01;11;0:03:46;12;0:02:11;
202;Linn Maria Odnes Jensen;Explorer kvinner;F;1;0:05:06;1;0:03:22;1;0:03:26;1;0:04:07;DNF;00:00:00;1;0:02:09;
213;Ida Kjær;Explorer kvinner;F;2;0:09:10;2;0:06:07;2;0:08:17;2;0:06:56;1;0:07:18;2;0:03:40;
