Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
8th;41;Sune Bjerke;Rye;M15-16;3:50.35;6;3:56.79;6;2:13.88;10;2:09.50;10;3:49.85;7;16:00.37;+1:09.09;M
9th;64;Olav Gotehus;n/a;M15-16;4:03.59;14;4:07.48;12;2:15.63;12;2:03.67;7;3:43.30;11;16:13.67;+1:22.39;M
10th;54;Malte Andreas Torp Bure;Gresvik IF;M15-16;3:50.11;5;4:04.32;10;2:16.06;14;2:15.50;18;3:50.78;9;16:16.77;+1:25.49;M
11th;43;Tallak Hustoft;CK Nittedal;M15-16;3:48.81;4;4:14.36;19;2:15.05;11;2:14.90;17;3:47.75;12;16:20.87;+1:29.59;M
12th;42;Jacob Vebostad;CK Nittedal;M15-16;3:57.31;13;4:07.14;11;2:21.55;19;2:11.63;13;3:56.67;16;16:34.30;+1:43.02;M
13th;65;Oliver Säfstrøm-Stokke;Drammen CK;M15-16;4:13.45;20;4:09.65;14;2:13.14;8;2:13.72;16;4:00.42;17;16:50.38;+1:59.10;M
14th;62;Sigurd Grønvik Bråten;Eidsvoll SK;M15-16;4:12.95;19;4:18.95;21;2:16.73;15;2:10.30;11;4:00.63;23;16:59.56;+2:08.28;M
15th;63;Ludvik Bang-Johansen;IF Frøy;M15-16;3:55.94;11;4:02.40;8;2:20.13;18;2:20.41;22;4:22.38;8;17:01.26;+2:09.98;M
16th;66;Henrik Kristengård;Eidsvoll SK;M15-16;4:41.21;27;4:11.55;15;2:13.63;9;2:12.10;14;3:46.47;18;17:04.96;+2:13.68;M
17th;67;Martin Haugseth;Eidsvoll SK;M15-16;4:12.38;17;4:19.70;22;2:24.93;22;2:12.75;15;4:01.03;15;17:10.79;+2:19.51;M
18th;60;Ole Jakob Aas Hersløv;SK Rye sykkel;M15-16;4:34.12;25;4:11.75;16;2:17.60;16;2:07.40;9;4:00.08;19;17:10.95;+2:19.67;M
19th;44;Jonathan Olsen;SK Rye sykkel;M15-16;4:13.70;21;4:19.88;23;2:25.40;23;2:16.94;19;4:01.85;21;17:17.77;+2:26.49;M
20th;59;Halvor Korsmo;Eidsvoll SK;M15-16;3:54.32;10;4:12.81;17;2:23.31;20;2:45.53;26;4:12.14;20;17:28.11;+2:36.83;M
21st;52;Andreas Aaserød Staff;IF Frøy;M15-16;4:12.54;18;4:28.00;25;2:23.65;21;2:19.53;21;4:10.35;13;17:34.07;+2:42.79;M
22nd;47;Jasper Johannessen Faurby;CK Nittedal;M15-16;4:20.15;24;4:56.04;27;2:19.57;17;2:10.50;12;3:58.18;22;17:44.44;+2:53.16;M
23rd;48;Tobias Haugen Opsahl;Asker CK;M15-16;4:08.85;16;4:13.21;18;2:50.60;26;2:25.62;23;4:16.78;14;17:55.06;+3:03.78;M
24th;57;Adam Tormodsønn Solberg;SK Rye sykkel;M15-16;4:16.28;22;4:15.22;20;2:51.17;27;2:50.85;27;4:00.00;25;18:13.52;+3:22.24;M
25th;53;Anders Skinstad-Bermingrud;Drammen CK;M15-16;4:19.76;23;4:27.88;24;2:25.98;24;2:18.23;20;4:43.35;24;18:15.20;+3:23.92;M
26th;55;William Bergan;Eidsvoll SK;M15-16;4:35.50;26;4:35.78;26;2:50.52;25;2:36.25;24;4:40.95;26;19:19.00;+4:27.72;M
27th;51;Oskar Wicha;n/a;M15-16;4:52.00;28;5:24.47;28;2:59.16;28;2:38.95;25;5:18.40;27;21:12.98;+6:21.70;M
;49;Teodor Johnsen Alexander;IF Frøy;M15-16;3:53.77;9;4:09.41;13;2:07.38;4;18:23.83;28;DNF;;DNF;;M
1st;68;Alexander Halvorsen;Gresvik IF;M17-18;3:27.61;1;3:34.75;1;2:08.77;1;1:56.02;1;3:21.12;1;14:28.27;;M
2nd;69;Oskar Mollatt Wirstad;SK Rye sykkel;M17-18;3:31.14;2;3:50.00;2;2:09.55;2;1:56.50;2;3:29.27;2;14:56.46;+0:28.19;M
3rd;71;Oskar Myro;SK Rye sykkel;M17-18;3:50.22;3;4:04.80;4;2:17.30;3;2:01.50;3;3:40.13;3;15:53.95;+1:25.68;M
4th;70;Marius Fenstad Skjærstad;SK Rye sykkel;M17-18;4:46.20;4;4:00.25;3;2:19.00;4;2:04.50;4;3:57.78;4;17:07.73;+2:39.46;M
