Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
6;82;Aadne Førsund Hjelmtvedt;Re SK;Gutter 15-16;3:29.9;6;3:38.2;8;6:43.9;4;1:48.3;7;7:31.9;7;23:12.2;;M
7;92;Alfred Heurlin;Falun;Gutter 15-16;3:40.1;10;3:46.4;10;6:50.9;8;1:50.4;8;7:50.9;8;23:58.7;;M
8;84;Sverre Heen;Ringerike SK;Gutter 15-16;3:31.0;8;3:48.1;11;6:59.1;9;1:57.5;11;8:06.5;10;24:22.2;;M
9;87;Fredrik Stensby;Eidsvoll SK;Gutter 15-16;3:52.9;14;3:44.1;9;7:18.0;12;1:53.9;10;8:11.2;11;25:00.1;;M
10;91;Vetle Tyskerud Breivik;Hafrsfjord SK;Gutter 15-16;3:46.0;13;3:35.5;7;8:44.8;17;1:51.4;9;7:12.1;6;25:09.8;;M
11;81;Sigurd Høibjelke Sæternes;SK Rye sykkel;Gutter 15-16;3:22.3;1;3:55.9;13;7:04.0;10;2:02.5;12;8:50.9;13;25:15.6;;M
12;98;Olai Samuelsen;CK Haugaland;Gutter 15-16;3:54.0;15;4:08.7;18;7:16.9;11;2:13.5;14;8:11.5;12;25:44.6;;M
13;89;Oliver Raastad-Hoel;Aron Sportsklubb;Gutter 15-16;4:15.7;18;3:55.0;12;8:02.2;14;2:04.5;13;7:59.8;9;26:17.2;;M
14;94;Sjur Holo Leikarnes;Molde CK;Gutter 15-16;3:43.6;11;4:07.4;16;7:30.7;13;2:34.3;15;9:06.1;14;27:02.1;;M
15;96;Snorre Strand -Løvseth;Vesterålen SK;Gutter 15-16;3:44.9;12;4:04.4;15;8:06.5;15;2:50.3;17;9:29.4;16;28:15.5;;M
16;80;Sverre Granviken;SK Rye sykkel;Gutter 15-16;4:14.3;17;4:03.0;14;8:49.8;18;3:10.7;19;9:41.7;17;29:59.5;;M
17;95;Sindre Nilsen Østensjø;CK Haugaland;Gutter 15-16;4:10.1;16;4:07.9;17;8:31.0;16;2:47.9;16;10:49.3;18;30:26.2;;M
18;97;Magnus Risan-Helgesen;Vesterålen SK;Gutter 15-16;4:33.4;20;4:18.9;20;9:17.4;20;3:12.7;20;9:26.7;15;30:49.1;;M
19;99;Sindre Hynne-Øye;CK Nittedal;Gutter 15-16;3:30.2;7;3:33.7;4;6:45.8;6;1:40.9;3;16:02.9;20;31:33.5;;M
20;79;Theo Jørgensen;Vesterålen SK;Gutter 15-16;04:23.8;19;04:12.2;19;09:02.2;19;03:10.1;18;16:02.9;20;32.31.8;;M
;83;Andreas Rasmussen;Hafrsfjord SK;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
;86;Håkon Leander Skoe;Lunde;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
1;63;Astrid Melheim;Sogn CK;Jenter 13-14;5:02.5;10;5:03.3;11;;;5:31.9;11;14:01.9;11;29:39.6;;F
1;109;Kine Haugom;Bosch Ebike Systems;Kvinner EL-sykkel;3:30.4;12;3:55.2;21;7:00.9;10;2:23.1;22;8:25.2;15;25:14.8;;F
2;137;Emma Smith;Trysil;Kvinner EL-sykkel;3:41.9;19;3:54.2;18;7:11.2;11;2:31.4;24;8:40.5;18;25:59.2;;F
1;8;Emily Skeie-Lebreux;CK Nittedal;Kvinner junior;4:02.3;29;3:41.4;18;7:34.2;24;1:47.9;16;7:54.3;20;25:00.1;;F
2;26;Izabela Lidzbarska;Bergen CK;Kvinner junior;4:06.1;31;3:52.0;27;7:50.5;30;1:59.6;24;8:33.0;30;26:21.2;;F
1;11;Julia Hamre;Øyer-Tretten IF;Kvinner master;4:02.5;30;4:13.7;34;7:48.9;29;2:16.8;28;8:47.2;31;27:09.1;;F
2;24;Mari Aarrestad;Siggerud IL;Kvinner master;4:16.3;33;4:14.0;35;8:11.9;33;2:10.9;27;9:23.6;33;28:16.7;;F
3;21;Synnøve Lofthus;Romsås IL sykkel;Kvinner master;4:07.9;32;4:15.0;36;8:34.6;35;3:14.8;36;10:16.1;36;30:28.4;;F
4;10;Anette Dale;Vennesla OCK;Kvinner master;4:16.9;34;4:31.5;38;9:15.2;38;4:08.6;38;11:55.8;37;34:08.0;;F
1;37;Anette Røssum Bastnes;Aron Sportsklubb;Kvinner senior;3:42.5;25;3:52.3;28;7:15.3;21;1:57.3;22;8:11.3;23;24:58.7;;F
2;14;Nadja Mlodyszewski;Siggerud IL;Kvinner senior;3:48.5;27;3:47.9;24;7:39.6;27;1:54.1;21;8:16.5;26;25:26.6;;F
3;46;Anna Littorin-Sandbu;SK Rye sykkel;Kvinner senior;3:35.4;22;3:59.6;32;7:39.2;26;2:03.6;25;8:16.3;25;25:34.1;;F
4;4;Veronika Ask Stuksrud;Bergen MTB Klubb;Kvinner senior;4:31.6;36;4:09.4;33;8:23.1;34;2:21.6;30;9:33.4;34;28:59.1;;F
5;9;Trine Sunde Dahl;NTNUI;Kvinner senior;4:35.1;37;4:25.0;37;8:46.8;36;3:33.6;37;12:05.4;38;33:25.9;;F
1;112;Else Bratteland;Arendal CC;Kvinner sport;3:41.2;18;3:49.6;12;7:19.7;15;1:52.8;8;8:09.1;11;24:52.4;;F
2;134;Anne Melbo;;Kvinner sport;4:15.9;28;4:15.5;27;8:30.5;28;2:17.6;20;9:14.1;25;28:33.6;;F
1;106;Michael Overbeck Cook;IK Hero / Ik Hero Catering;Menn EL-sykkel;3:07.9;3;3:35.6;6;5:50.8;1;1:42.2;5;7:09.1;4;21:25.6;;M
4;125;Frode Kristian Møller Ditlefsen;JAR;Menn EL-sykkel;3:20.3;7;3:54.8;20;6:41.8;8;2:56.1;27;9:01.2;20;25:54.2;;M
5;129;Jan Morten Stobbe Lunde;;Menn EL-sykkel;3:48.3;23;4:02.0;22;7:23.8;17;2:15.8;18;9:01.6;21;26:31.5;;M
6;138;Olve Norderhaug;;Menn EL-sykkel;3:47.4;22;4:18.2;28;7:49.0;24;2:45.0;25;8:49.8;19;27:29.4;;M
7;133;Tore Strand;;Menn EL-sykkel;3:53.7;25;4:19.3;29;8:46.7;29;3:28.2;29;10:47.8;29;31:15.7;;M
2;123;Eirik Siira Jahren;Siljan Terrengsykkel Klubb;Menn EL-sykkel;3:22.7;8;3:53.9;16;6:35.8;5;2:09.4;15;8:19.6;14;24:21.4;;M
3;136;Mareks Kravalis;Trysil;Menn EL-sykkel;3:29.3;11;3:54.6;19;6:35.9;6;2:23.3;23;8:18.3;12;8:18.3;;M
1;141;Kjetil Melheim;;Menn Funduro;04:23.7;1;08:57.2;1;;;12:37.7;1;23:09.2;1;23:09.2;;M
1;32;Simen Føsker;Lørenskog CK;Menn junior;3:05.7;4;3:29.3;9;6:15.7;1;6:15.7;6;1:35.4;4;21:33.6;;M
2;38;Bård Gujord Røisli;CK Nittedal;Menn junior;3:20.0;14;3:34.7;14;6:40.5;4;6:40.5;13;1:38.3;7;21:57.9;;M
3;16;Marius Nakken;Molde CK;Menn junior;3:18.6;11;3:39.7;17;6:38.4;3;6:38.4;12;1:44.9;12;22:13.2;;M
4;33;Sune Bjerke;SK Rye sykkel;Menn junior;3:15.5;7;3:27.7;7;6:31.6;2;6:31.6;10;1:39.6;8;22:16.7;;M
5;13;Tallak Hustoft;CK Nittedal;Menn junior;3:33.4;19;3:35.3;15;7:05.3;6;7:05.3;18;1:53.2;20;22:42.6;;M
6;30;Torjus Sandvik-Are;SK Rye sykkel;Menn junior;3:26.5;16;3:44.2;21;7:04.1;5;7:04.1;17;1:47.1;14;22:50.0;;M
7;25;Magnus Stige;Molde CK;Menn junior;3:36.9;23;3:51.1;26;7:55.6;31;2:27.6;31;8:32.4;29;26:23.6;;M
8;18;Sigurd Alstad;Skogn IL Sykkel;Menn junior;3:44.6;26;3:58.3;31;8:10.1;32;2:40.6;35;9:02.4;32;27:36.0;;M
9;6;Wesim Benhassen;Glåmdal SK;Menn junior;4:18.1;35;3:57.6;30;9:14.8;37;2:38.9;34;9:54.9;35;30:04.3;;M
;40;Sondre Oldervik Andersen;IF Frøy;Menn junior;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;20;Jacob Vebostad;CK Nittedal;Menn junior;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
;47;Vetle Lie Karlsen;Re SK;Menn junior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
;7;Tobias Malmstrøm-Johansen;Hafrsfjord SK;Menn junior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
;2;Andreas Aaserød Staff;IF Frøy;Menn junior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
1;42;Jean-Christophe Barbier;TVK;Menn master;3:08.2;6;3:28.2;8;6:30.3;2;6:30.3;9;1:41.3;9;22:17.7;;M
2;34;Dag Lofthus;TVK;Menn master;3:19.6;12;3:31.5;11;6:34.9;3;6:34.9;11;1:48.9;17;22:31.0;;M
3;43;Eric Aksdal;Bergen MTB Klubb;Menn master;3:34.2;21;3:33.3;12;7:06.6;5;7:06.6;19;1:41.5;10;22:46.0;;M
4;1;Håvard A. Sefland;Kristiansands CK;Menn master;3:25.2;15;3:54.5;29;6:43.0;4;6:43.0;14;1:58.8;23;23:08.2;;M
5;15;Tord Krüger Nese;Harstad CK;Menn master;5:21.1;38;3:27.3;5;6:21.9;1;6:21.9;7;1:49.0;18;23:12.7;;M
6;44;Martin Liane;Harstad CK;Menn master;3:30.0;18;3:43.0;20;7:14.2;20;2:08.5;26;8:02.8;22;8:02.8;;M
7;29;Øystein Wallin;Kongsberg IF Sykkel;Menn master;3:17.1;8;3:42.8;19;7:22.9;22;2:21.1;29;7:57.9;21;24:41.8;;M
8;35;Hans Ivar Ramsøy;Bergen MTB Klubb;Menn master;3:49.7;28;3:47.5;23;7:43.0;28;1:50.9;19;7:44.4;17;24:55.5;;M
9;39;Jarl Jørgensen;Kolbotn SK;Menn master;3:38.9;24;3:47.1;22;7:37.3;25;2:28.8;32;8:12.0;24;25:44.1;;M
10;27;Frode Bredesen;Harstad CK;Menn master;3:33.8;20;3:48.0;25;7:25.0;23;2:38.8;33;8:25.3;28;25:50.9;;M
1;3;William Scheele;SK Rye sykkel / Cube Action Team;Menn senior;2:48.5;1;3:17.4;1;5:50.5;1;5:50.5;1;1:34.7;3;19:55.6;;M
2;23;Ola Jåvold Landmark;Bærum OCK;Menn senior;2:59.1;2;3:21.1;2;5:57.1;2;5:57.1;2;1:36.5;6;20:34.6;;M
3;45;Lars Dreyer;Hafrsfjord SK;Menn senior;3:02.0;3;3:24.1;3;6:14.9;5;6:14.9;5;1:33.0;1;20:59.8;;M
4;36;Jo Gujord Røisli;CK Nittedal;Menn senior;3:06.7;5;3:27.4;6;6:07.6;3;6:07.6;3;1:33.4;2;21:18.5;;M
5;31;Henrik Falkenberg Dokset;NTNUI;Menn senior;3:19.7;13;3:24.5;4;6:10.7;4;6:10.7;4;1:36.3;5;21:32.6;;M
6;28;Henrik Alstad;Skogn IL Sykkel;Menn senior;3:17.2;10;3:34.4;13;6:27.6;6;6:27.6;8;1:46.4;13;22:22.8;;M
7;22;Sindre Martin Moe Sollund;Molde CK;Menn senior;3:27.2;17;3:31.1;10;6:44.8;7;6:44.8;15;1:42.4;11;22:29.0;;M
8;19;Simon Risan;SK Rye sykkel;Menn senior;3:17.1;8;3:39.2;16;6:46.0;8;6:46.0;16;1:47.6;15;22:34.7;;M
;17;Kristoffer Apeland;CK Haugaland;Menn senior;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
1;107;Lo Zetterlund;Karlstad;Menn sport;3:04.5;2;3:29.6;4;6:31.0;3;1:34.7;1;6:47.0;1;21:26.8;;M
2;12;Harry Åberg;Falun;Menn sport;3:13.7;5;3:28.1;2;6:36.5;7;1:35.4;2;6:53.2;2;21:46.9;;M
3;41;Hannes Heurlin;Falun;Menn sport;3:14.3;6;3:29.2;3;6:26.1;2;1:41.8;4;7:04.9;3;21:56.3;;M
4;48;Lionel Gottier;Wichtrach;Menn sport;3:02.9;1;3:23.7;1;7:15.8;14;1:37.7;3;7:12.6;5;7:12.6;;M
5;121;Martin Reiersen Kvisler;Trysil;Menn sport;3:12.8;4;3:31.8;5;6:35.7;4;1:49.4;7;8:01.0;8;23:10.7;;M
6;111;Veigar Thor Thorsteinsson;Gnarmageddon;Menn sport;3:22.7;8;3:43.5;8;6:56.6;9;1:43.9;6;7:41.0;6;23:27.7;;M
7;122;Fredrik Bekkåsen;Siggerud;Menn sport;3:26.8;10;3:48.9;11;7:37.5;20;1:54.2;10;8:00.8;7;24:48.2;;M
8;113;Simon Nysæter;Gnarmageddon;Menn sport;3:32.7;13;3:50.1;13;7:23.2;16;1:59.5;12;8:06.8;10;24:52.3;;M
9;135;Tim Hassel;Skåner;Menn sport;3:34.1;15;3:41.6;7;7:28.8;18;1:53.7;9;8:18.4;13;24:56.6;;M
10;110;Sivert Strømman;Matrand IL sykkel;Menn sport;3:32.8;14;3:46.7;9;7:45.1;23;1:57.7;11;8:05.5;9;25:07.8;;M
11;127;Nino Vignes;Wheelywankers;Menn sport;3:34.1;15;3:52.6;15;7:13.9;12;2:02.9;13;8:33.7;16;25:17.2;;M
12;108;Markus Baust;Wheelywankers;Menn sport;3:43.2;20;3:50.8;14;7:13.9;12;2:07.0;14;8:37.0;17;25:31.9;;M
13;131;Christoffer Fremstad;Årvoll Øl og sykkel;Menn sport;3:38.1;12;3:54.0;14;7:36.7;11;2:12.2;13;9:10.1;14;26.31.1;;M
14;128;Petter Føsund Christiansen;Bergen;Menn sport;3:46.1;21;3:46.7;9;7:39.8;22;2:13.8;17;9:28.2;26;26:54.6;;M
17;124;Øystein Beddari;Vesterålen SK;Menn sport;3:59.0;26;4:10.3;25;8:20.2;25;2:53.4;26;10:22.9;28;29:45.8;;M
18;126;Tomas Langlo;Ranheim;Menn sport;4:03.9;27;4:10.2;24;8:29.1;27;3:02.5;28;10:03.6;27;29:49.3;;M
15;116;David Kirk;Eiksmarka;Menn sport;3:48.5;15;4:05.5;15;7:37.6;13;2:17.1;15;9:13.7;15;27:02.4;;M
16;114;Bjarte Samuelsen;CK Haugaland;Menn sport;4:17.3;18;4:14.4;18;8:22.9;17;2:22.9;16;9:09.9;13;28:27.4;;M
;132;Eirik Østensjø;CK Haugaland;Menn sport;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
;118;Borge Håmsjø;Eiksmarka;Menn sport;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M
;130;Emilien Luyton;Trondheim;Menn sport;;DNF;;DNS;;DNS;;DNS;;DNS;DNF;;M
