bib;name;gender;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class
25;Lavra Lund Balto;M;00:02:35;34;00:05:33;30;00:07:13;39;00:05:51;51;00:04:20;57;00:25:32;;Menn senior
24;Jakob Høvik;M;00:02:41;56;00:05:38;40;00:07:28;47;00:05:40;44;00:04:10;44;00:25:37;;Menn senior
64;Audun Wichmann;M;00:02:40;50;00:05:52;57;00:07:23;44;00:05:44;47;00:03:58;28;00:25:37;;Menn senior
36;Morten Iversen Stordahl;M;00:02:46;66;00:05:38;41;00:07:05;31;00:06:02;59;00:04:19;56;00:25:50;;Menn senior
128;Leiv Tvenning;M;00:02:34;29;00:05:41;43;00:07:46;61;00:05:33;38;00:04:23;58;00:25:57;;Menn senior
76;Ole Jacob Hauge;M;00:02:36;38;00:05:49;51;00:07:48;64;00:05:41;46;00:04:13;46;00:26:07;;Menn senior
35;Philip Bjørkesett;M;00:02:28;10;00:06:00;59;00:08:12;71;00:05:25;32;00:04:14;50;00:26:19;;Menn senior
82;Oskar Åsander;M;00:02:37;41;00:06:00;61;00:08:05;68;00:05:36;40;00:04:15;52;00:26:33;;Menn senior
29;Anders Disen;M;00:02:40;52;00:05:51;55;00:07:19;41;00:06:21;64;00:04:29;59;00:26:40;;Menn senior
39;Mads Øftshus;M;00:02:42;58;00:06:05;66;00:08:01;66;00:05:54;53;00:04:03;36;00:26:45;;Menn senior
66;Thomas Wold;M;00:02:47;68;00:05:49;52;00:07:39;55;00:05:58;55;00:04:32;61;00:26:45;;Menn senior
132;Sebastian Andreassen;M;00:02:36;36;00:06:19;75;00:08:23;76;00:05:23;28;00:04:05;37;00:26:46;;Menn senior
42;Piotr Susfal;M;00:02:52;74;00:05:58;58;00:07:35;51;00:06:15;63;00:04:07;41;00:26:47;;Menn senior
86;Anders Jørstad;M;00:02:39;49;00:05:51;56;00:07:43;58;00:05:51;50;00:04:44;65;00:26:48;;Menn senior
21;Petter Anthonsen;M;00:02:39;45;00:06:17;73;00:07:46;60;00:05:55;54;00:04:14;51;00:26:51;;Menn senior
1;Vera Leivsdottir;F;00:02:42;2;00:06:15;4;00:08:11;4;00:05:32;1;00:04:11;1;00:26:51;;Kvinner senior
3;Alice Grindheim;F;00:02:40;1;00:06:07;2;00:08:05;3;00:05:34;2;00:04:26;2;00:26:52;;Kvinner senior
135;Christian Hauglunm;M;00:02:40;51;00:05:43;44;00:07:08;34;00:06:29;68;00:04:54;67;00:26:54;;Menn senior
30;Vegard Arnesen;M;00:02:48;70;00:05:50;53;00:07:47;62;00:05:21;26;00:05:11;76;00:26:57;;Menn senior
49;Ian Plaine;M;00:02:34;27;00:06:15;72;00:08:38;82;00:05:31;37;00:04:03;35;00:27:01;;Menn senior
45;Fredrik Tøien;M;00:02:43;63;00:06:13;71;00:07:44;59;00:06:10;61;00:04:15;53;00:27:05;;Menn senior
58;Aleksander Ødegård;M;00:02:42;57;00:06:07;69;00:07:40;57;00:06:27;66;00:04:31;60;00:27:27;;Menn senior
122;Espen Kebely;M;00:02:43;64;00:05:38;39;00:07:34;50;00:06:28;67;00:05:10;75;00:27:33;;Menn senior
127;Jon Vegar Aga Kjærgaard;M;00:02:46;67;00:06:05;68;00:08:16;74;00:05:58;56;00:04:36;63;00:27:41;;Menn senior
11;Berit  Nordsæter Resell;F;00:02:53;5;00:05:39;1;00:07:12;1;00:06:45;6;00:05:14;7;00:27:43;;Kvinner senior
125;Geir Jørgensen;M;00:02:42;59;00:05:47;50;00:08:03;67;00:06:33;69;00:04:55;68;00:28:00;;Menn senior
134;Magnus Bengtson;M;00:03:06;88;00:06:01;62;00:07:29;48;00:06:49;73;00:04:43;64;00:28:08;;Menn senior
133;Oscar Leion;M;00:02:50;71;00:06:03;65;00:07:48;63;00:06:24;65;00:05:03;73;00:28:08;;Menn senior
44;Fredrik Lingvall;M;00:02:54;77;00:06:02;63;00:07:36;53;00:06:45;72;00:05:04;74;00:28:21;;Menn senior
69;Andre Skutle;M;00:02:54;76;00:06:05;67;00:08:16;73;00:07:04;75;00:04:34;62;00:28:53;;Menn senior
6;Anna Littorin-Sandbu;F;00:02:44;3;00:06:11;3;00:08:03;2;00:06:54;7;00:05:14;6;00:29:06;;Kvinner senior
5;Anne Melbø;F;00:02:52;4;00:06:34;5;00:08:33;6;00:06:29;5;00:04:43;3;00:29:11;;Kvinner senior
4;Elin Berg;F;00:02:56;6;00:06:44;6;00:08:16;5;00:06:23;4;00:04:58;5;00:29:17;;Kvinner senior
22;Ole Henrik Eriksen;M;00:02:53;75;00:06:19;74;00:08:11;70;00:07:08;77;00:04:50;66;00:29:21;;Menn senior
87;Vidar Nore Mossige;M;00:02:56;80;00:06:07;70;00:07:32;49;00:07:58;84;00:04:59;71;00:29:32;;Menn senior
70;Kristoffer Berdal;M;00:02:44;65;00:06:41;83;00:08:27;79;00:06:45;71;00:04:56;69;00:29:33;;Menn senior
92;Eivind Bjerke;M;00:02:43;62;00:06:25;77;00:09:01;86;00:06:37;70;00:05:00;72;00:29:46;;Menn senior
8;Marte Lund;F;00:03:00;7;00:07:04;7;00:08:39;7;00:06:19;3;00:04:45;4;00:29:47;;Kvinner senior
95;Stian Eilifsen;M;00:02:55;79;00:06:34;79;00:08:10;69;00:07:18;80;00:05:42;81;00:30:39;;Menn senior
74;Stig Berthelsen Wagner;M;00:03:02;84;00:05:50;54;00:07:39;56;00:08:09;85;00:06:23;86;00:31:03;;Menn senior
62;Henrik Bergman Johansen;M;00:02:52;73;00:06:36;81;00:08:14;72;00:07:11;78;00:06:13;85;00:31:06;;Menn senior
57;Francisco Macedo;M;00:03:02;83;00:06:59;87;00:08:36;81;00:06:54;74;00:05:36;80;00:31:07;;Menn senior
46;Jan Henrik Høilund;M;00:03:30;91;00:06:30;78;00:07:57;65;00:07:42;82;00:05:31;78;00:31:10;;Menn senior
81;Vidar Eileraas;M;00:03:02;85;00:06:49;84;00:08:43;84;00:07:32;81;00:05:28;77;00:31:34;;Menn senior
79;Aiken Balto;M;00:02:47;69;00:06:38;82;00:09:49;89;00:07:07;76;00:05:32;79;00:31:53;;Menn senior
84;Jostein Semb;M;00:02:58;81;00:06:23;76;00:08:26;78;00:08:42;87;00:05:48;82;00:32:17;;Menn senior
51;Rasmus Jørgensen;M;00:03:21;90;00:07:07;89;00:08:42;83;00:07:53;83;00:06:10;83;00:33:13;;Menn senior
53;Håkon Trydal;M;00:02:52;72;00:06:50;85;00:09:40;88;00:07:16;79;00:06:44;88;00:33:22;;Menn senior
52;Andreas Alstrup;M;00:03:05;87;00:07:06;88;00:08:30;80;00:08:57;89;00:06:30;87;00:34:08;;Menn senior
38;Jonathan Paddon;M;00:02:39;44;00:06:02;64;00:15:34;91;00:05:59;57;00:04:13;47;00:34:27;;Menn senior
68;Fabio Machado Van Zeller;M;00:03:11;89;00:07:44;90;00:09:37;87;00:08:40;86;00:08:13;90;00:37:25;;Menn senior
83;Ken Richard Røstvik;M;00:03:04;86;00:08:36;91;00:10:26;90;00:10:34;90;00:07:40;89;00:40:20;;Menn senior
2;Anette Røssum Bastnes;F;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Kvinner senior
7;Julia Hamre;F;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Kvinner senior
9;Elinborg Olafsdottir;F;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Kvinner senior
10;Mari Guton Olsen;F;00:03:15;8;00:07:36;8;00:09:40;8;;DNF;00:06:00;8;00:00:00;;Kvinner senior
23;Andreas Gjærde;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
26;Rune Tangen;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
31;Mathias Huuse Marley;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
37;Colin Furmston;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
40;Magnus Kalstad Forseth;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
41;Alexander Hauger;M;00:02:55;78;;DNF;;DNS;;DNS;;DNS;00:00:00;;Menn senior
43;Roy Ripe;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
47;Tov Lerheim;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
50;Mikkel Tjellesen;M;00:03:01;82;00:06:58;86;00:08:46;85;;DNF;00:06:11;84;00:00:00;;Menn senior
54;Joar Wæhle;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
56;Tobias Andreassen Pedersen;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
59;Thomas Rambekk Henriksen;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
78;Adam Halsall;M;;DNF;00:06:34;80;00:08:24;77;00:08:45;88;00:04:57;70;00:00:00;;Menn senior
85;Henrik Myhrvold;M;00:02:23;4;00:05:45;47;00:08:18;75;00:04:42;4;;DNS;00:00:00;;Menn senior
94;Hans Christian Kåsen;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
105;Ole Christian Fagerli;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
109;Jon Bokrantz;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
110;Harald Brekke;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
113;Björn Larsson;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
119;Lars Sandviken;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
131;Johan Albertson;M;;DNS;;DNS;;DNS;;DNS;;DNS;00:00:00;;Menn senior
