bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;chiptime;Pos Klasse;gender
4;Kine Lidsheim;Kvinner;CK Nittedal;18;0:07:29;18;0:05:20;17;0:09:16;17;0:06:56;;;F
111;Gard Brovold;Menn;Atomic Speed Goats;3;0:03:50;6;0:03:16;1;0:05:15;2;0:03:48;;;M
109;Ola Jåvold Landmark;Menn;Bærum OCK / Team Young Guns;4;0:03:50;14;0:03:21;2;0:05:17;1;0:03:43;;;M
30;Svenn Fjeldheim;Menn;Aron SK;2;0:03:49;2;0:03:04;4;0:05:36;3;0:03:48;;;M
95;Anders Skarstein;Menn;Team Santa Cruz;13;0:04:12;3;0:03:09;3;0:05:33;6;0:03:53;;;M
110;Magnus Slinger Sørli;Menn;Svelvik SK / Team Young Guns;1;0:03:48;1;0:03:03;28;0:06:10;4;0:03:48;;;M
113;Andreas Hegrum Askjer;Menn;Lillehammer CK;5;0:04:00;5;0:03:13;9;0:05:45;7;0:03:55;;;M
90;Jostein Hole;Menn;Nedre Buskerud Nerroverlag / Aron SK ;7;0:04:02;11;0:03:20;5;0:05:38;8;0:03:58;;;M
125;Ove Tigergutt Grøndal;Menn;Trailhead Nesbyen;9;0:04:05;4;0:03:12;8;0:05:44;10;0:04:02;;;M
88;Fredrik Lysakerrud;Menn;Odal Sk;8;0:04:03;10;0:03:18;7;0:05:43;9;0:04:01;;;M
104;Andre Aamodt;Menn;Team SantaCruz norge;6;0:04:01;9;0:03:17;17;0:05:57;5;0:03:52;;;M
106;Erlend Hegrum Askjer;Menn;Horten OCK - TeamYoungGuns;10;0:04:07;8;0:03:17;11;0:05:49;11;0:04:06;;;M
50;Christian Rief;Menn;Hadeland CK;18;0:04:15;7;0:03:16;10;0:05:48;15;0:04:13;;;M
69;Eirik Stærkeby Jelstad;Menn;Vikersund;17;0:04:15;12;0:03:21;13;0:05:52;20;0:04:15;;;M
103;Hans Jørgen Kvåle;Menn;Hadeland CK;14;0:04:12;22;0:03:28;16;0:05:53;13;0:04:10;;;M
66;Martin Steen;Menn;Krokskogen ck;11;0:04:10;38;0:03:35;14;0:05:52;12;0:04:07;;;M
107;Thomas Rambekk Henriksen;Menn;HHL;15;0:04:13;16;0:03:25;15;0:05:52;17;0:04:14;;;M
38;Karsten Hjelseth;Menn;;12;0:04:10;20;0:03:28;12;0:05:49;23;0:04:18;;;M
98;Kim-Erik Larsen;Menn;Augerød øl og sykkel;29;0:04:29;18;0:03:26;6;0:05:43;14;0:04:12;;;M
112;Haakon Larssen;Menn;Svelvik sykleklubb ;20;0:04:16;17;0:03:26;20;0:05:59;18;0:04:14;;;M
94;Anders Samnøy;Menn;Atomic Speed Goats;19;0:04:15;25;0:03:31;18;0:05:58;22;0:04:17;;;M
102;Kjetil Øygard;Menn;Lillehammer CK;32;0:04:29;13;0:03:21;19;0:05:58;19;0:04:15;;;M
68;Ola Bjølgerud;Menn;Vikersund ;16;0:04:15;19;0:03:27;25;0:06:07;28;0:04:22;;;M
86;Audun Wichmann;Menn;Nesodden SK;23;0:04:21;21;0:03:28;26;0:06:08;25;0:04:19;;;M
75;Christian Granbakken;Menn;Team Santa Cruz;35;0:04:30;24;0:03:31;21;0:06:01;21;0:04:16;;;M
57;Christian Coll;Menn;Grimstad sk;34;0:04:30;33;0:03:34;22;0:06:02;16;0:04:13;;;M
42;Jostein Authen;Menn;;22;0:04:21;15;0:03:22;23;0:06:04;52;0:04:39;;;M
63;Espen Strandbråten;Menn;;21;0:04:17;40;0:03:36;34;0:06:13;37;0:04:28;;;M
87;Håvard Rishoff;Menn;;30;0:04:29;30;0:03:33;30;0:06:11;26;0:04:21;;;M
72;Martin Solheim Sigley;Menn;Hadeland CK ;24;0:04:25;34;0:03:35;37;0:06:18;27;0:04:22;;;M
100;Jørgen Ertnes;Menn;Sagene sykkel;28;0:04:28;26;0:03:31;27;0:06:08;42;0:04:33;;;M
81;Roy Kjetil Håkelien;Menn;Odal Sykleklubb;43;0:04:38;31;0:03:34;24;0:06:04;30;0:04:25;;;M
80;Roy Ripe;Menn;Team Ibis Norge;25;0:04:27;28;0:03:32;43;0:06:21;31;0:04:26;;;M
77;Anders Disen;Menn;Odal SK;27;0:04:28;43;0:03:39;29;0:06:10;41;0:04:30;;;M
37;Tor Erik Drangsland;Menn;;33;0:04:30;44;0:03:40;38;0:06:18;36;0:04:28;;;M
36;Kornelius Drange Hole;Menn;Aas-Jakobsen BIL;39;0:04:36;27;0:03:32;33;0:06:12;48;0:04:37;;;M
55;Christoffer Borge Olsen;Menn;Aron SK;31;0:04:29;50;0:03:43;41;0:06:19;34;0:04:27;;;M
49;Simon Börjars;Menn;;42;0:04:38;37;0:03:35;35;0:06:13;49;0:04:38;;;M
33;Morten Iversen Stordahl;Menn;Team Lapierre Norge ;38;0:04:35;47;0:03:41;32;0:06:12;47;0:04:37;;;M
39;Kenneth Melsom-Hansen;Menn;;41;0:04:38;39;0:03:35;46;0:06:24;40;0:04:30;;;M
85;Knut Haugen;Menn;Lørenskog CK;37;0:04:33;45;0:03:40;48;0:06:26;39;0:04:29;;;M
91;Nicolas Yann Couturier;Menn;SK Rye;48;0:04:45;29;0:03:33;49;0:06:27;32;0:04:26;;;M
108;Sander Sølvberg;Menn;Team Santacruz Norge;60;0:04:55;23;0:03:30;39;0:06:18;38;0:04:28;;;M
41;Arild Heimli Johnsen;Menn;;44;0:04:38;56;0:03:49;42;0:06:20;35;0:04:27;;;M
105;Karl Andreas Sagadalen;Menn;hadeland ck;47;0:04:44;36;0:03:35;31;0:06:12;58;0:04:44;;;M
71;Jon-Gunnar Fredriksen;Menn;Bikebums;26;0:04:27;51;0:03:44;55;0:06:37;33;0:04:27;;;M
22;Morten Nagel Muri;Menn;Team Santa Cruz;50;0:04:45;35;0:03:35;54;0:06:37;24;0:04:19;;;M
74;Nickolas Grelland;Menn;;56;0:04:50;32;0:03:34;45;0:06:24;55;0:04:40;;;M
99;Thomas Hannestad;Menn;Krokskogen CK;45;0:04:40;64;0:03:56;36;0:06:18;45;0:04:36;;;M
101;Anders Hamborg;Menn;Kloppa Offroad Klubb/Muttabråten Sykkel;53;0:04:48;52;0:03:44;47;0:06:24;44;0:04:35;;;M
45;Fredrik Nygaard;Menn;;49;0:04:45;42;0:03:38;51;0:06:31;50;0:04:38;;;M
60;Anders Johnsrud;Menn;Slapp krank;55;0:04:50;46;0:03:41;52;0:06:32;46;0:04:36;;;M
43;Jostein Semb;Menn;CK Nittedal Enduro;51;0:04:46;49;0:03:43;50;0:06:29;57;0:04:42;;;M
82;Kristian Øksdahl;Menn;Odal sk ;73;0:05:13;53;0:03:45;40;0:06:19;29;0:04:24;;;M
84;Tor Ivan Rudi;Menn;Røyken Cykleklubb;36;0:04:31;41;0:03:36;67;0:06:59;53;0:04:39;;;M
58;Kristoffer Løken;Menn;;57;0:04:50;59;0:03:52;44;0:06:23;56;0:04:41;;;M
31;Alexander Hauger;Menn;Hakadal Enduro ;40;0:04:37;48;0:03:41;74;0:07:09;51;0:04:38;;;M
76;Stein Roger Sollien;Menn;Soon CK;52;0:04:46;78;0:04:13;53;0:06:36;43;0:04:34;;;M
44;Stian Eilfsen;Menn;CK Nittedal/Team Hakadal Enduro;59;0:04:51;57;0:03:51;60;0:06:49;54;0:04:40;;;M
27;Geir Bjørndalen;Menn;;46;0:04:42;58;0:03:52;56;0:06:42;67;0:04:58;;;M
92;Frode Kristian Ditlefsen;Menn;;66;0:05:00;60;0:03:53;61;0:06:51;60;0:04:50;;;M
46;Kristian Akselsen;Menn;;69;0:05:04;55;0:03:49;59;0:06:49;65;0:04:54;;;M
79;Tobias Bjerknes;Menn;CK Nittedal;58;0:04:51;62;0:03:54;65;0:06:57;68;0:04:58;;;M
52;Magnus Øren;Menn;;68;0:05:01;66;0:03:57;62;0:06:53;61;0:04:51;;;M
62;Sondre Arneberg;Menn;Aron Sk;63;0:04:56;69;0:03:59;66;0:06:58;63;0:04:52;;;M
40;Henning Ardraa;Menn;Eiker Kvikk CK;65;0:04:58;63;0:03:56;64;0:06:57;73;0:05:01;;;M
61;Fredrik Haslestad Hansen;Menn;Aron SK;67;0:05:00;73;0:04:03;63;0:06:55;66;0:04:56;;;M
35;Geir Inge Sandnes;Menn;#Haterlaison;61;0:04:56;61;0:03:53;72;0:07:07;76;0:05:05;;;M
56;Ivar Haug;Menn;Holmsbu IF;71;0:05:08;67;0:03:57;69;0:07:00;72;0:05:00;;;M
67;Tommy Marthinsen;Menn;Krokskogen ck /slapp krank;82;0:05:35;71;0:04:00;58;0:06:44;62;0:04:51;;;M
51;Colin Furmston;Menn;;54;0:04:49;89;0:04:54;57;0:06:42;59;0:04:46;;;M
34;Eirik Nøkleby;Menn;Blodsmak SK;64;0:04:57;74;0:04:04;78;0:07:27;71;0:05:00;;;M
64;Petter Storm;Menn;Slapp Krank;70;0:05:05;65;0:03:57;79;0:07:30;69;0:04:59;;;M
65;Mikal Gravdal;Menn;;74;0:05:14;80;0:04:15;68;0:06:59;75;0:05:04;;;M
54;Rune Jansberg;Menn;Odal SK;75;0:05:18;75;0:04:06;70;0:07:00;78;0:05:13;;;M
83;Jan Henrik Høilund;Menn;Njård;76;0:05:21;70;0:04:00;71;0:07:07;77;0:05:10;;;M
21;Svein Tore Aakerlund;Menn;Hadeland CK;79;0:05:25;77;0:04:11;76;0:07:17;74;0:05:04;;;M
89;Tor Einar Løberg;Menn;Eidanger;72;0:05:09;82;0:04:21;77;0:07:20;79;0:05:14;;;M
97;Henning Mjør Hagen;Menn;Hadeland CK ;80;0:05:26;79;0:04:14;73;0:07:09;80;0:05:30;;;M
73;Stian Lie Håkenrud;Menn;Asker CK;78;0:05:22;68;0:03:58;85;0:08:12;70;0:04:59;;;M
53;Nicklas Ulven-Røsby;Menn;;85;0:05:57;72;0:04:02;83;0:08:03;81;0:05:34;;;M
48;Henning Raastad;Menn;;86;0:05:59;85;0:04:33;81;0:07:51;82;0:05:38;;;M
32;Christopher Omtvedt;Menn;;83;0:05:40;81;0:04:19;87;0:08:16;84;0:05:55;;;M
28;Rune Straume;Menn;;84;0:05:55;86;0:04:42;86;0:08:13;85;0:05:55;;;M
29;Christian Ruhs;Menn;Rye;89;0:06:16;90;0:04:56;82;0:07:54;83;0:05:53;;;M
23;Frank Werner Olsen;Menn;Hammerfest Sykkelklubb;88;0:06:10;83;0:04:29;84;0:08:10;87;0:06:17;;;M
130;Henrik Fjeldstad Drabløs;Menn;;90;0:06:58;87;0:04:49;88;0:08:27;86;0:06:11;;;M
20;Marius Diseth;Menn;;87;0:06:04;88;0:04:53;89;0:09:11;88;0:06:29;;;M
47;Samuel Geiseler;Menn;;62;0:04:56;54;0:03:48;91;0:14:31;64;0:04:53;;;M
70;Anders Ulimoen;Menn;;92;0:07:39;92;0:05:29;90;0:10:10;89;0:07:15;;;M
26;Svein Hetland;Menn;;81;0:05:30;76;0:04:07;75;0:07:15;90;0:23:30;;;M
24;Geir Dahl;Menn;Kartverkets BIL;93;0:07:39;91;0:05:29;92;0:17:16;DNS;00:00:00;;;M
25;Stein Kåre Øfjord;Menn;CK Nittedal/Team Hakadal Enduro;91;0:07:36;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;;;M
78;Remi Bjerknes;Menn;CK Nittedal;77;0:05:21;84;0:04:30;80;0:07:43;DNS;00:00:00;;;M
122;Ulf Holck Skretteberg;EL sykkel mix;Ulf only ;1;0:04:27;1;0:03:32;1;0:05:56;2;0:04:35;;;M
120;Dagfinn Lærum;EL sykkel mix;;2;0:05:58;3;0:04:44;3;0:07:49;3;0:05:42;;;M
121;Amund Gårdhammer;EL sykkel mix;Ådal IL;4;0:21:37;2;0:03:40;2;0:06:23;1;0:04:31;;;M
123;Richard Hals Gylseth;EL sykkel mix;;3;0:08:11;4;0:05:34;4;0:27:02;DNS;00:00:00;;;M
