Pos Klasse;bib;name;club;;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
17th;20;Birk Laupet Martinsen;Modum cykleklubb;;Gutter 13-14;00:07:49;17;00:01:39;14;00:01:51;19;;;;;;;00:11:19;+00:02:08;M
18th;26;Kasper Thingelstad Mayer;Modum CK;;Gutter 13-14;00:07:54;19;00:01:46;18;00:01:47;18;;;;;;;00:11:27;+00:02:16;M
19th;32;Olav Sengebusch;Aron Sportsklubb;;Gutter 13-14;00:07:51;18;00:01:50;19;00:01:52;20;;;;;;;00:11:33;+00:02:22;M
20th;36;Simen Ansteinsson-Flatvad;BOC;;Gutter 13-14;00:28:04;20;00:14:34;20;00:01:34;7;;;;;;;00:44:12;+00:35:01;M
;35;Shawn Marcussen;IF Frøy;;Gutter 13-14;;DNS;;DNS;;DNS;;;;;;;;;M
;28;Mads Agner Matheson;Bærum OCK;;Gutter 13-14;;DNS;;DNS;;DNS;;;;;;;;;M
;25;Iver Pettersen;SK Rye sykkel;;Gutter 13-14;;DNS;;DNS;;DNS;;;;;;;;;M
1st;83;Trond Egil Gjelsvik-Bakke;Hafrsfjord SK;;Menn Funduro 17+;00:06:16;1;00:07:00;1;00:01:33;1;00:01:40;1;;;;;00:16:29;;M
;82;Per Nyberg;Drøbak-Frogn IL Sykkel;;Menn Funduro 17+;;;;;;DNF;;;;;;;;;M
1st;84;Jørgen Kjøde;;;Menn Funduro El-sykkel 17;00:06:28;1;00:07:22;1;00:01:44;1;00:01:40;1;;;;;00:17:14;;M
;85;Tommy Lauritzen;;;Menn Funduro El-sykkel 17;00:07:33;2;;;;;DNF;;;;;;;;M
1st;61;Noah Heieren;SK Rye sykkel;;Gutter 15-16;00:05:09;1;00:05:47;1;00:01:13;1;00:01:19;3;;;;;00:13:28;;M
2nd;48;Edvin Almaas-Edvardsen;CK Elverum;;Gutter 15-16;00:05:14;3;00:05:49;2;00:01:14;2;00:01:18;1;;;;;00:13:35;+00:00:07;M
3rd;60;Markus Skeie-Lebreux;CK Nittedal;;Gutter 15-16;00:05:16;4;00:05:51;4;00:01:14;2;00:01:18;1;;;;;00:13:39;+00:00:11;M
4th;54;Jo Røisli;CK Nittedal;;Gutter 15-16;00:05:24;5;00:05:50;3;00:01:17;5;00:01:21;4;;;;;00:13:52;+00:00:24;M
5th;62;Oliver Gjelsvik-Bakke;Hafrsfjord SK;;Gutter 15-16;00:05:12;2;00:05:52;5;00:01:16;4;00:01:23;6;;;;;00:13:53;+00:00:25;M
6th;69;Teodor Skare;Kristiansands CK;;Gutter 15-16;00:05:30;6;00:06:01;6;00:01:18;6;00:01:30;11;;;;;00:14:19;+00:00:51;M
7th;58;Marius Fenstad Skjærstad;SK Rye sykkel;;Gutter 15-16;00:05:34;9;00:06:03;7;00:01:21;7;00:01:26;7;;;;;00:14:24;+00:00:56;M
8th;43;Adam O'reilly;Lillehammer CK;;Gutter 15-16;00:05:43;10;00:06:19;8;00:01:21;7;00:01:21;4;;;;;00:14:44;+00:01:16;M
9th;64;Oskar Myro;SK Rye sykkel;;Gutter 15-16;00:05:46;11;00:06:26;9;00:01:21;7;00:01:28;9;;;;;00:15:01;+00:01:33;M
10th;51;Fabian Helle;Drammen CK;;Gutter 15-16;00:05:33;8;00:06:36;13;00:01:32;15;00:01:26;7;;;;;00:15:07;+00:01:39;M
11th;46;Ask Gikling Borthne;;;Gutter 15-16;00:06:04;13;00:06:43;14;00:01:25;10;00:01:28;9;;;;;00:15:40;+00:02:12;M
12th;42;Abel Elias Døli;;;Gutter 15-16;00:06:19;18;00:06:32;11;00:01:26;11;00:01:30;11;;;;;00:15:47;+00:02:19;M
13th;44;Adrian Van Lengen Berge;SK Rye sykkel;;Gutter 15-16;00:06:06;15;00:06:47;15;00:01:28;12;00:01:35;16;;;;;00:15:56;+00:02:28;M
14th;65;Rasmus Mackenzie;SK Rye sykkel;;Gutter 15-16;00:06:15;17;00:06:50;16;00:01:28;12;00:01:36;17;;;;;00:16:09;+00:02:41;M
15th;56;Joakim Torsø;;;Gutter 15-16;00:06:28;19;00:07:04;17;00:01:37;17;00:01:33;15;;;;;00:16:42;+00:03:14;M
16th;57;Johannes Pernu;;;Gutter 15-16;00:06:09;16;00:07:29;19;00:01:31;14;00:01:40;19;;;;;00:16:49;+00:03:21;M
17th;68;Simon Ulvevadet;Rye;;Gutter 15-16;00:06:46;21;00:07:31;20;00:01:41;18;00:01:38;18;;;;;00:17:36;+00:04:08;M
18th;49;Emre Gjelsvik-Bakke;Hafrsfjord SK;;Gutter 15-16;00:06:41;20;00:07:28;18;00:01:43;19;00:01:56;20;;;;;00:17:48;+00:04:20;M
19th;45;Amund Groven;IF Frøy;;Gutter 15-16;00:05:46;11;00:06:32;11;00:05:11;20;00:01:30;11;;;;;00:18:59;+00:05:31;M
20th;63;Oskar Mollatt Wirstad;SK Rye sykkel;;Gutter 15-16;00:05:32;7;00:18:32;21;00:01:32;15;00:01:31;14;;;;;00:27:07;+00:13:39;M
;71;Vegard Vartdal Sund;Bærum OCK;;Gutter 15-16;00:06:05;14;00:06:26;9;;;;DNF;;;;;;;M
;53;Håkon Hofoss;CK Nittedal;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;70;Tobias Hjelset;CK Nittedal;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;47;Cornelius Varden Økern;SK Rye sykkel;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;67;Simon Rylandsholm;Bærum OCK;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;50;Eskil Hafskjold;SK Rye sykkel;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;52;Frithjof Nilsen;Bærum OCK;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;66;Sigurd Foss Andersen;CK Nittedal;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;55;Jo Sebastian Naustvik;Bærum OCK;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
;59;Markos Woldegabriel Sollien;SK Rye sykkel;;Gutter 15-16;;;;;;DNF;;;;;;;;;M
1st;211;Åshild Jenssen;NTNUI Enduro;;Kvinner Åpen klasse 17+;00:05:08;2;00:04:41;2;00:06:57;2;00:07:41;1;00:01:44;1;00:01:50;2;00:28:01;;F
2nd;212;Kjersti Brynestad;;;Kvinner Åpen klasse 17+;00:04:44;1;00:04:38;1;00:06:47;1;00:08:48;2;00:02:04;2;00:01:49;1;00:28:50; +00:00:49;F
1st;213;Lise Pettersen;Eidanger IL;;Kvinner Åpen klasse El-sykkel;00:05:49;1;00:05:01;1;00:07:29;1;00:08:13;1;00:01:58;1;00:01:50;1;00:30:20;;F
1st;103;Kristel Linnea Mulelid;IF Frøy;;Kvinner Master 35+;00:05:00;4;00:04:38;1;00:07:09;1;00:08:06;1;00:01:44;1;00:01:48;1;00:28:25;;F
2nd;104;Louise Irtelius;;;Kvinner Master 35+;00:04:48;1;00:04:45;3;00:07:21;3;00:08:09;2;00:01:49;3;00:01:55;2;00:28:47;+00:00:22;F
3rd;102;Ingrid Dos Santos;Aron Sportsklubb;;Kvinner Master 35+;00:04:56;3;00:04:43;2;00:07:09;1;00:08:14;3;00:01:50;4;00:01:55;2;00:28:47;+00:00:22;F
4th;105;Pernille Aas;Bærum OCK;;Kvinner Master 35+;00:04:50;2;00:04:47;4;00:07:22;4;00:08:32;4;00:01:45;2;00:02:00;5;00:29:16;+00:00:51;F
5th;101;Ida Karine Nesbø;Siggerud IL - sykkel;;Kvinner Master 35+;00:05:21;5;00:05:04;5;00:07:50;5;00:08:54;5;00:01:53;5;00:01:59;4;00:31:01;+00:02:36;F
;106;Silje Kreken Almeland;Bærum OCK;;Kvinner Master 35+;;;;;;;DNF;;;;;;;;F
1st;110;Helena Nyhus;IF Frøy;;Kvinner Senior 19+;00:04:03;1;00:03:52;2;00:05:53;1;00:06:34;1;00:01:28;3;00:01:28;1;00:23:18;;F
2nd;107;Anette Røssum Bastnes;Aron Sportsklubb;;Kvinner Senior 19+;00:04:11;3;00:03:45;1;00:05:54;2;00:06:38;2;00:01:27;2;00:01:31;3;00:23:26;+00:00:08;F
3rd;113;Lene Pettersen;Eidanger IL;;Kvinner Senior 19+;00:04:09;2;00:03:57;3;00:05:55;3;00:06:41;3;00:01:23;1;00:01:29;2;00:23:34;+00:00:16;F
4th;109;Celine Kirkeng;Aron Sportsklubb;;Kvinner Senior 19+;00:04:34;4;00:04:11;4;00:06:17;4;00:07:00;4;00:01:32;4;00:01:34;4;00:25:08;+00:01:50;F
5th;108;Anna Vihovde;NTNUI;;Kvinner Senior 19+;00:04:34;4;00:04:20;5;00:06:28;5;00:07:05;5;00:01:33;5;00:01:41;5;00:25:41;+00:02:23;F
6th;114;Mari Elise Hatlo;Aron Sportsklubb;;Kvinner Senior 19+;00:04:45;6;00:04:26;6;00:06:49;6;00:07:38;6;00:01:43;6;00:01:48;6;00:27:09;+00:03:51;F
7th;112;Kaja Thoresen;Asker CK;;Kvinner Senior 19+;00:04:54;7;00:04:31;7;00:06:52;7;00:07:52;7;00:01:48;7;00:01:50;7;00:27:47;+00:04:29;F
;115;Nora Stang;SK Rye sykkel;;Kvinner Senior 19+;;;;;;;DNF;;;;;;;;F
1st;226;Erlend Hegrum Askjer;;;Menn Åpen klasse 17+;00:03:37;1;00:03:29;1;00:05:13;2;00:05:42;1;00:01:10;1;00:01:20;1;00:20:31;;M
2nd;223;Christoffer Engebretsen Bakke;SK Rye sykkel;;Menn Åpen klasse 17+;00:03:39;2;00:03:31;2;00:05:12;1;00:05:43;2;00:01:13;2;00:01:20;1;00:20:38;+00:00:07;M
3rd;235;Henrik Olsen;Flow;;Menn Åpen klasse 17+;00:03:47;4;00:03:36;3;00:05:27;4;00:06:02;4;00:01:17;4;00:01:22;4;00:21:31;+00:01:00;M
4th;218;Are Tallaksrud;SantaCruzsykler.no;;Menn Åpen klasse 17+;00:03:44;3;00:03:37;5;00:05:31;5;00:05:54;3;00:01:18;6;00:01:33;26;00:21:37;+00:01:06;M
5th;255;Ola Myklatun Krosness;SK Rye sykkel;;Menn Åpen klasse 17+;00:03:48;5;00:03:36;3;00:05:32;6;00:06:04;5;00:01:20;9;00:01:32;21;00:21:52;+00:01:21;M
6th;264;Tommy Pham;Sogn CK;;Menn Åpen klasse 17+;00:03:51;6;00:03:42;6;00:05:35;7;00:06:08;6;00:01:17;4;00:01:23;5;00:21:56;+00:01:25;M
7th;217;Andreas Horten;;;Menn Åpen klasse 17+;00:03:54;9;00:03:43;8;00:05:20;3;00:06:20;13;00:01:13;2;00:01:26;8;00:21:56;+00:01:25;M
8th;263;Tim Spickermann;NTNUI;;Menn Åpen klasse 17+;00:03:51;6;00:03:46;14;00:05:36;8;00:06:14;8;00:01:20;9;00:01:26;8;00:22:13;+00:01:42;M
9th;233;Håvar Vold;NTNUI Enduro;;Menn Åpen klasse 17+;00:03:57;12;00:03:43;8;00:05:38;10;00:06:11;7;00:01:20;9;00:01:27;10;00:22:16;+00:01:45;M
10th;219;Bastian Haug;;;Menn Åpen klasse 17+;00:03:54;9;00:03:45;13;00:05:52;19;00:06:15;10;00:01:18;6;00:01:21;3;00:22:25;+00:01:54;M
11th;265;Tor Erik Drangsland;Høvik TrailRållers;;Menn Åpen klasse 17+;00:03:59;15;00:03:44;12;00:05:40;11;00:06:16;11;00:01:20;9;00:01:29;15;00:22:28;+00:01:57;M
12th;243;Jon Sandvand;DTBS;;Menn Åpen klasse 17+;00:04:07;21;00:03:43;8;00:05:37;9;00:06:23;16;00:01:18;6;00:01:25;7;00:22:33;+00:02:02;M
13th;260;Sander Hole;Aron Sportsklubb;;Menn Åpen klasse 17+;00:03:54;9;00:03:43;8;00:05:45;15;00:06:24;17;00:01:24;18;00:01:28;12;00:22:38;+00:02:07;M
14th;256;Øyvind Hofseth;Kongsberg Slowriders Elite;;Menn Åpen klasse 17+;00:03:58;13;00:03:48;15;00:05:51;17;00:06:21;15;00:01:23;15;00:01:27;10;00:22:48;+00:02:17;M
15th;222;Bjørnar Bjørnsen;;;Menn Åpen klasse 17+;00:03:52;8;00:03:54;18;00:05:51;17;00:06:25;18;00:01:21;13;00:01:30;20;00:22:53;+00:02:22;M
16th;244;Jonas Søderberg;;;Menn Åpen klasse 17+;00:04:06;20;00:03:49;16;00:05:48;16;00:06:20;13;00:01:24;18;00:01:29;15;00:22:56;+00:02:25;M
17th;214;Anders Anker-Rasch;Bærum OCK;;Menn Åpen klasse 17+;00:04:11;24;00:03:49;16;00:06:02;23;00:06:19;12;00:01:22;14;00:01:28;12;00:23:11;+00:02:40;M
18th;254;Morten Pedersen;Team Shredding The Gnar;;Menn Åpen klasse 17+;00:04:01;17;00:03:54;18;00:05:43;14;00:06:38;23;00:01:23;15;00:01:32;21;00:23:11;+00:02:40;M
19th;259;Rune Kvalø;Lødingen SK;;Menn Åpen klasse 17+;00:03:58;13;00:03:42;6;00:05:42;12;00:06:14;8;00:02:17;48;00:01:28;12;00:23:21;+00:02:50;M
20th;262;Thomas Rambekk Henriksen;Herkules IF;;Menn Åpen klasse 17+;00:04:04;19;00:03:57;21;00:06:00;22;00:06:38;23;00:01:23;15;00:01:24;6;00:23:26;+00:02:55;M
21st;237;Jakub Kristof;Oslo Sykleklubb;;Menn Åpen klasse 17+;00:04:34;40;00:04:02;28;00:05:42;12;00:06:31;20;00:01:25;21;00:01:34;30;00:23:48;+00:03:17;M
22nd;221;Bjørn Ankre;DTBS;;Menn Åpen klasse 17+;00:04:12;26;00:04:12;32;00:05:55;20;00:06:36;22;00:01:28;26;00:01:32;21;00:23:55;+00:03:24;M
23rd;227;Eskild Carlsen;NTNUI Enduro;;Menn Åpen klasse 17+;00:04:18;31;00:03:59;25;00:06:14;28;00:06:35;21;00:01:24;18;00:01:29;15;00:23:59;+00:03:28;M
24th;236;Herman Taxerås;Heggedal il;;Menn Åpen klasse 17+;00:04:00;16;00:03:57;21;00:06:16;29;00:06:53;28;00:01:30;27;00:01:33;26;00:24:09;+00:03:38;M
25th;234;Henrik Jensen;;;Menn Åpen klasse 17+;00:04:07;21;00:04:03;30;00:06:08;25;00:06:52;27;00:01:32;31;00:01:33;26;00:24:15;+00:03:44;M
26th;228;Fredrik Carlsen;Kristiansands CK;;Menn Åpen klasse 17+;00:04:13;28;00:04:02;28;00:06:12;26;00:06:43;25;00:01:30;27;00:01:36;33;00:24:16;+00:03:45;M
27th;252;Mats Kvaalen;Herkules IF;;Menn Åpen klasse 17+;00:04:11;24;00:03:59;25;00:06:17;30;00:06:54;29;00:01:27;23;00:01:32;21;00:24:20;+00:03:49;M
28th;251;Marius Minster;;;Menn Åpen klasse 17+;00:04:19;32;00:04:09;31;00:06:07;24;00:06:54;29;00:01:30;27;00:01:29;15;00:24:28;+00:03:57;M
29th;261;Sean Jonathan Knutsson;Heggedal IL;;Menn Åpen klasse 17+;00:04:07;21;00:04:00;27;00:06:18;31;00:07:02;32;00:01:27;23;00:01:35;32;00:24:29;+00:03:58;M
30th;245;Knut Arne Letterud;Asker CK;;Menn Åpen klasse 17+;00:04:16;29;00:03:58;24;00:06:20;32;00:07:07;33;00:01:30;27;00:01:33;26;00:24:44;+00:04:13;M
31st;229;Fredrik Foerster-Massey;DTBS;;Menn Åpen klasse 17+;00:04:32;37;00:04:13;33;00:06:13;27;00:06:49;26;00:01:27;23;00:01:32;21;00:24:46;+00:04:15;M
32nd;247;Kristoffer Eriksen;Aron Sportsklubb;;Menn Åpen klasse 17+;00:04:12;26;00:04:13;33;00:06:40;37;00:06:58;31;00:01:33;33;00:01:38;35;00:25:14;+00:04:43;M
33rd;231;Fredrik Nygaard;;;Menn Åpen klasse 17+;00:04:33;38;00:04:20;39;00:06:35;35;00:07:07;33;00:01:36;34;00:01:39;36;00:25:50;+00:05:19;M
34th;225;Daniel Melilla;;;Menn Åpen klasse 17+;00:04:27;33;00:04:16;35;00:06:29;33;00:07:30;38;00:01:36;34;00:01:37;34;00:25:55;+00:05:24;M
35th;232;Frithjof Narverud;Team Shred69;;Menn Åpen klasse 17+;00:04:31;35;00:04:16;35;00:06:31;34;00:07:18;37;00:01:37;37;00:01:47;41;00:26:00;+00:05:29;M
36th;242;Johan Harris-Christensen;Horten og Omegn's Cykleklubb;;Menn Åpen klasse 17+;00:04:37;41;00:04:24;40;00:06:38;36;00:07:17;36;00:01:38;38;00:01:40;37;00:26:14;+00:05:43;M
37th;250;Magnus Lia;;;Menn Åpen klasse 17+;00:04:27;33;00:04:27;42;00:06:51;38;00:07:12;35;00:01:36;34;00:01:42;39;00:26:15;+00:05:44;M
38th;224;Christoffer Fremstad;Årvoll øl- og sykkelklubb;;Menn Åpen klasse 17+;00:04:39;42;00:04:24;40;00:06:55;39;00:07:43;41;00:01:38;38;00:01:41;38;00:27:00;+00:06:29;M
39th;215;Anders Skaarer;Sauda SK;;Menn Åpen klasse 17+;00:04:33;38;00:04:18;37;00:07:07;41;00:07:38;39;00:01:40;40;00:01:47;41;00:27:03;+00:06:32;M
40th;240;Jens Andre Jensen;Eiker CK;;Menn Åpen klasse 17+;00:04:51;44;00:04:41;46;00:07:06;40;00:07:41;40;00:01:51;43;00:01:47;41;00:27:57;+00:07:26;M
41st;258;Per Omar Melilla;;;Menn Åpen klasse 17+;00:05:02;47;00:04:33;43;00:07:11;42;00:07:57;42;00:01:41;41;00:01:48;44;00:28:12;+00:07:41;M
42nd;230;Fredrik Lia;Horten Høkk & Pøkk;;Menn Åpen klasse 17+;00:04:55;46;00:04:36;44;00:07:12;43;00:08:21;45;00:01:43;42;00:01:43;40;00:28:30;+00:07:59;M
43rd;266;Tor Hjelset;CK Nittedal;;Menn Åpen klasse 17+;00:04:48;43;00:04:37;45;00:07:16;44;00:08:13;44;00:01:52;44;00:01:49;45;00:28:35;+00:08:04;M
44th;241;Joachim Bernhardsen;DTBS;;Menn Åpen klasse 17+;00:04:16;29;00:03:57;21;00:05:57;21;00:11:59;48;00:01:32;31;00:01:34;30;00:29:15;+00:08:44;M
45th;239;Jan-Andre Granheim;;;Menn Åpen klasse 17+;00:04:52;45;00:04:54;47;00:07:55;45;00:08:36;46;00:01:53;46;00:01:53;47;00:30:03;+00:09:32;M
46th;246;Kristian Rekstad;Team Shred69;;Menn Åpen klasse 17+;00:05:23;48;00:04:56;48;00:08:07;46;00:09:10;47;00:02:03;47;00:01:59;48;00:31:38;+00:11:07;M
47th;238;Jan Kristian Lund;;;Menn Åpen klasse 17+;00:04:31;35;00:04:19;38;00:15:03;47;00:08:08;43;00:01:52;44;00:01:51;46;00:35:44;+00:15:13;M
;268;Vegard Bjørnsen;;;Menn Åpen klasse 17+;00:04:02;18;00:03:55;20;;00:06:25;18;00:01:25;21;00:01:29;15;DNF;;;M
;267;Truls Baksetersveen;Team shredding the gnar;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
;220;Bendik Walle;Team Shred69;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
;257;Pål Ødegaard;;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
;216;Andreas Christensen;Bærum OCK;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
;249;Lars Mouland;Bærum OCK;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
;253;Matthew Holland;;;Menn Åpen klasse 17+;;;;;;;DNF;;;;;;;;M
1st;77;Lasse Eriksen Årnes;Aron Sportsklubb;;Menn Åpen klasse El-sykke;00:03:39;1;00:03:38;2;00:05:24;1;00:05:46;1;00:01:17;1;00:01:22;2;00:21:06;;M
2nd;78;Pål Grotnes;Gresvik IF;;Menn Åpen klasse El-sykke;00:03:40;2;00:03:34;1;00:05:27;2;00:05:49;2;00:01:19;2;00:01:18;1;00:21:07;+00:00:01;M
3rd;269;Are Pedersen;Herkules IF;;Menn Åpen klasse El-sykke;00:04:19;5;00:03:58;4;00:06:02;5;00:06:41;3;00:01:25;3;00:01:32;3;00:23:57;+00:02:51;M
4th;79;Thomas Eriksen;;;Menn Åpen klasse El-sykke;00:04:21;6;00:04:12;5;00:05:57;4;00:06:42;4;00:01:32;4;00:01:36;4;00:24:20;+00:03:14;M
5th;270;Gunnar Lysaker;Kongsberg IF Sykkel;;Menn Åpen klasse El-sykke;00:04:26;7;00:04:16;6;00:06:32;6;00:06:53;5;00:01:37;5;00:01:36;4;00:25:20;+00:04:14;M
;76;Gunnar Westholm;www.tunetsport.no;;Menn Åpen klasse El-sykke;00:03:50;3;00:03:48;3;00:05:43;3;00:12:43;6;;;DNF;;;;M
;80;Tomas Langlo;;;Menn Åpen klasse El-sykke;00:04:16;4;00:04:17;7;;;;;DNF;;;;;;M
1st;120;Mads Langeland;Kristiansands CK;;Menn Junior 17-18;00:03:33;1;00:03:23;1;00:05:04;1;00:05:46;1;00:01:15;1;00:01:20;2;00:20:21;;M
2nd;126;Torben Hjelset;CK Nittedal;;Menn Junior 17-18;00:03:44;2;00:03:36;3;00:05:33;4;00:05:59;2;00:01:17;2;00:01:19;1;00:21:28;+00:01:07;M
3rd;117;Fridtjof Richard Digre;Konnerud IL Sykkel;;Menn Junior 17-18;00:03:56;4;00:03:37;4;00:05:26;2;00:06:03;3;00:01:22;6;00:01:26;4;00:21:50;+00:01:29;M
4th;124;Sindre Martin Moe Sollund;Molde CK;;Menn Junior 17-18;00:03:59;5;00:03:44;6;00:05:27;3;00:06:05;4;00:01:18;3;00:01:25;3;00:21:58;+00:01:37;M
5th;127;Vetle Gikling Borthne;TVK;;Menn Junior 17-18;00:04:11;8;00:03:43;5;00:05:47;8;00:06:17;5;00:01:21;5;00:01:26;4;00:22:45;+00:02:24;M
6th;121;Oskar Brækhus;Kongsberg IF Sykkel;;Menn Junior 17-18;00:04:14;9;00:03:55;9;00:05:42;6;00:06:19;6;00:01:19;4;00:01:29;6;00:22:58;+00:02:37;M
7th;122;Philip Sander Alnes;Konnerud IL Sykkel;;Menn Junior 17-18;00:04:15;10;00:04:01;10;00:06:09;9;00:06:53;8;00:01:27;7;00:01:33;7;00:24:18;+00:03:57;M
8th;125;Sondre Spieler;Kristiansands CK;;Menn Junior 17-18;00:03:54;3;00:03:33;2;00:06:30;10;00:35:32;10;00:01:51;8;00:01:33;7;00:52:53;+00:32:32;M
;118;Jim-Runar Hansen;Horten og Omegn's Cykleklubb;;Menn Junior 17-18;00:04:06;6;00:03:51;8;00:05:43;7;00:06:38;7;;;DNF;;;;M
;119;Karl Viktor Vatne;Kristiansands CK;;Menn Junior 17-18;00:04:06;6;00:03:47;7;00:05:40;5;00:23:14;9;;;DNF;;;;M
;123;Sigurd Bjørndalen Mathisen;Aron Sportsklubb;;Menn Junior 17-18;;;;;;;DNF;;;;;;;;M
;116;Alexander Sandengen;Aron Sportsklubb;;Menn Junior 17-18;;;;;;;DNF;;;;;;;;M
1st;145;Jostein Hole;Aron Sportsklubb;;Menn Master 35+;00:03:21;1;00:03:19;1;00:04:51;1;00:05:25;1;00:01:11;1;00:01:16;1;00:19:23;;M
2nd;157;Martin Østberg;Aron Sportsklubb;;Menn Master 35+;00:03:45;8;00:03:21;2;00:05:18;4;00:05:44;2;00:01:13;2;00:01:25;10;00:20:46;+00:01:23;M
3rd;148;Kim-Erik Larsen;Moss BMX;;Menn Master 35+;00:03:37;2;00:03:24;3;00:05:23;8;00:05:52;4;00:01:15;5;00:01:20;2;00:20:51;+00:01:28;M
4th;171;Svenn Fjeldheim;Aron Sportsklubb;;Menn Master 35+;00:03:39;3;00:03:28;4;00:05:13;3;00:05:53;5;00:01:16;7;00:01:24;9;00:20:53;+00:01:30;M
5th;128;Anders Røkenes;Harstad CK;;Menn Master 35+;00:03:45;8;00:03:29;5;00:05:10;2;00:06:00;9;00:01:15;5;00:01:22;7;00:21:01;+00:01:38;M
6th;130;Arild Heimli Johnsen;Siggerud IL - sykkel;;Menn Master 35+;00:03:40;4;00:03:35;7;00:05:18;4;00:05:58;8;00:01:13;2;00:01:21;5;00:21:05;+00:01:42;M
7th;167;Sindre Ødemark;Romeriksåsen SK;;Menn Master 35+;00:03:42;5;00:03:36;8;00:05:24;9;00:05:54;7;00:01:14;4;00:01:21;5;00:21:11;+00:01:48;M
8th;129;Anders Samnøy;Aron Sportsklubb;;Menn Master 35+;00:03:44;7;00:03:36;8;00:05:24;9;00:05:53;5;00:01:16;7;00:01:20;2;00:21:13;+00:01:50;M
9th;131;Aslak Mørstad;Siggerud IL - sykkel;;Menn Master 35+;00:03:45;8;00:03:40;11;00:05:21;7;00:05:50;3;00:01:21;13;00:01:25;10;00:21:22;+00:01:59;M
10th;166;Sebastian Kartfjord;Rennesøy SK;;Menn Master 35+;00:03:43;6;00:03:38;10;00:05:38;18;00:06:00;9;00:01:17;10;00:01:20;2;00:21:36;+00:02:13;M
11th;161;Pål Johansen;Aron Sportsklubb;;Menn Master 35+;00:03:48;12;00:03:41;12;00:05:26;11;00:06:02;11;00:01:21;13;00:01:29;20;00:21:47;+00:02:24;M
