place;bib;name;Country;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;total time;diff;Class;gender
11;27;Sindre Aarøy Holtet;NOR;4:50.02;10;1:12.11;8;3:24.52;13;9:26.65;1:16.08;Menn senior;M
14;33;Magne Hølland;NOR;4:56.77;14;1:18.92;16;3:24.73;14;9:40.42;1:29.85;Menn senior;M
18;37;Anders Ekkje Slettebø;NOR;5:06.19;18;1:24.54;26;3:25.64;15;9:56.37;1:45.80;Menn senior;M
17;29;Fredrik Minde;NOR;4:58.73;16;1:20.78;20;3:28.81;16;9:48.32;1:37.75;Menn senior;M
13;45;Mikal Dyngeland Vik;NOR;4:42.35;6;1:15.00;12;3:36.57;17;9:33.92;1:23.35;Menn senior;M
16;26;Oddbjørn Egge Ødegaard;NOR;4:52.67;11;1:13.65;9;3:40.71;18;9:47.03;1:36.46;Menn senior;M
22;35;Håvard Gerner;NOR;5:37.44;26;1:20.81;21;3:40.72;19;10:38.97;2:28.40;Menn senior;M
23;42;Jon Vabø;NOR;5:36.59;25;1:16.04;13;3:48.35;20;10:40.98;2:30.41;Menn senior;M
19;55;Kristian Fauskanger;NOR;5:16.21;20;1:19.86;17;3:52.51;21;10:28.58;2:18.01;Menn senior;M
24;34;Halvor Larsen;NOR;5:28.04;23;1:22.89;23;3:54.35;22;10:45.28;2:34.71;Menn senior;M
20;48;Ove Tillung;NOR;5:12.66;19;1:27.02;28;3:54.77;23;10:34.45;2:23.88;Menn senior;M
21;51;Magnus Jørgensen;NOR;5:22.73;22;1:17.99;15;3:55.14;24;10:35.86;2:25.29;Menn senior;M
27;39;Daniel Meling;NOR;5:46.07;27;1:21.00;22;3:59.76;25;11:06.83;2:56.26;Menn senior;M
25;31;Pål Tørud;NOR;5:31.94;24;1:20.61;19;4:00.34;26;10:52.89;2:42.32;Menn senior;M
26;38;Asle Hansen;NOR;5:21.06;21;1:31.23;31;4:02.33;27;10:54.62;2:44.05;Menn senior;M
29;52;Edvard Boge;NOR;6:05.85;29;1:27.38;29;4:13.84;28;11:47.07;3:36.50;Menn senior;M
30;49;Geir Storesund;NOR;6:13.76;30;1:23.52;25;4:13.90;29;11:51.18;3:40.61;Menn senior;M
28;46;Dennis Myrland;NOR;5:48.50;28;1:27.63;30;4:16.24;30;11:32.37;3:21.80;Menn senior;M
31;40;Stian Fremmersvik;NOR;6:20.95;31;1:23.48;24;4:27.34;31;12:11.77;4:01.20;Menn senior;M
32;58;Espen Flage;NOR;6:43.48;33;1:35.13;32;5:22.45;32;13:41.06;5:30.49;Menn senior;M
36;59;Ole Henrik Østreng Nes;NOR;6:22.88;32;DNS;33;DNS;33;;;Menn senior;M
33;47;John Torvald Indrebø;NOR;DNS;34;DNS;34;DNS;34;;;Menn senior;M
34;50;Frode Bredesen;NOR;DNS;35;DNS;35;DNS;35;;;Menn senior;M
35;57;Even Hægland;NOR;DNS;36;DNS;36;DNS;36;;;Menn senior;M
