rank;bib;name;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender;Class;Pos klasse
1st;12;Hedda Brenningen Bjørklund;Lillehammer CK;00:06:17;1;00:03:40;1;00:03:36;1;00:04:00;1;00:06:07;1;00:04:41;1;00:28:21;;F;Kvinner junior;
1st;15;Fredrik Lysakerrud;Odal SK;00:06:00;2;00:03:32;1;00:03:29;1;00:03:42;2;00:05:41;1;00:04:19;1;00:26:43;;M;Menn master;
2nd;25;Karsten Hjelseth;;00:05:59;1;00:03:36;2;00:03:34;2;00:03:39;1;00:05:44;2;00:04:21;2;00:26:53;+00:00:10;M;Menn master;
3rd;17;Arild Heimli Johnsen;Team Letth;00:06:00;2;00:03:54;13;00:03:37;3;00:03:45;3;00:06:01;7;00:04:55;10;00:28:12;+00:01:29;M;Menn master;
4th;36;Vidar Folden;SK Rye sykkel;00:06:20;9;00:03:42;3;00:03:56;12;00:03:50;4;00:06:00;5;00:04:26;3;00:28:14;+00:01:31;M;Menn master;
5th;23;Aslak Mørstad;Siggerud IL Â– sykkel;00:06:16;5;00:03:48;7;00:03:45;7;00:03:54;6;00:05:56;4;00:04:35;4;00:28:14;+00:01:31;M;Menn master;
6th;29;Morgan Bakken;Kragerø SK;00:06:24;10;00:03:43;4;00:03:40;4;00:03:55;7;00:05:49;3;00:04:49;8;00:28:20;+00:01:37;M;Menn master;
7th;14;Svein Kristoffersen;Glåmdal SK;00:06:17;6;00:03:48;7;00:03:46;8;00:03:56;8;00:06:05;8;00:04:43;6;00:28:35;+00:01:52;M;Menn master;
8th;24;Tor Erik Drangsland;Høvik Verks Rullende;00:06:17;6;00:03:49;9;00:03:51;9;00:03:57;9;00:06:13;10;00:04:55;10;00:29:02;+00:02:19;M;Menn master;
9th;34;Anders Mjøen;;00:06:36;13;00:03:52;11;00:03:56;12;00:04:01;10;00:06:06;9;00:04:51;9;00:29:22;+00:02:39;M;Menn master;
10th;35;Anders Disen;Odal SK;00:06:27;12;00:03:53;12;00:03:52;10;00:04:06;11;00:06:19;11;00:05:05;12;00:29:42;+00:02:59;M;Menn master;
11th;21;Erlend Gustad;;00:06:24;10;00:03:51;10;00:03:55;11;00:04:20;15;00:06:28;13;00:05:17;16;00:30:15;+00:03:32;M;Menn master;
12th;18;Fredrik Lingvall;SK Rye sykkel;00:06:50;15;00:04:07;18;00:04:02;15;00:04:17;14;00:06:33;15;00:05:13;13;00:31:02;+00:04:19;M;Menn master;
13th;19;Jo Christer Frysjøenden;Glåmdal SK;00:06:48;14;00:03:58;14;00:04:02;15;00:04:20;15;00:06:41;16;00:05:16;15;00:31:05;+00:04:22;M;Menn master;
14th;28;Are Pedersen;Herkules IF;00:07:05;19;00:04:03;15;00:04:01;14;00:04:15;13;00:06:29;14;00:05:19;18;00:31:12;+00:04:29;M;Menn master;
15th;31;Erik Martinsen;Kolbotn SK;00:07:04;18;00:04:05;16;00:04:06;18;00:04:23;18;00:06:51;20;00:05:14;14;00:31:43;+00:05:00;M;Menn master;
16th;22;Joakim Karlsson;Bikebums;00:06:17;6;00:03:45;6;00:03:41;6;00:07:26;24;00:06:00;5;00:04:35;4;00:31:44;+00:05:01;M;Menn master;
17th;13;Kristian Eckhoff;SK Rye sykkel;00:07:43;24;00:04:05;16;00:04:02;15;00:04:10;12;00:06:26;12;00:05:20;20;00:31:46;+00:05:03;M;Menn master;
18th;38;Jamieson Pothecary;SK Rye sykkel;00:07:08;20;00:04:09;19;00:04:09;19;00:04:20;15;00:06:49;19;00:05:19;18;00:31:54;+00:05:11;M;Menn master;
19th;37;Kent Scott Johnsen;;00:06:54;16;00:04:37;23;00:04:14;22;00:04:27;20;00:06:46;18;00:05:18;17;00:32:16;+00:05:33;M;Menn master;
20th;26;Christian Erga;;00:07:19;22;00:04:17;20;00:04:09;19;00:04:26;19;00:06:45;17;00:05:29;21;00:32:25;+00:05:42;M;Menn master;
21st;20;Tom Ruud;Lillehammer CK;00:06:04;4;00:03:43;4;00:03:40;4;00:03:52;5;00:10:49;24;00:04:47;7;00:32:55;+00:06:12;M;Menn master;
22nd;32;Jan Henrik Høilund;Njård;00:07:09;21;00:04:20;21;00:04:18;23;00:04:44;21;00:07:00;21;00:05:41;23;00:33:12;+00:06:29;M;Menn master;
23rd;27;Anders Skaarer;Sauda SK;00:07:35;23;00:04:21;22;00:04:13;21;00:04:44;21;00:07:14;22;00:05:39;22;00:33:46;+00:07:03;M;Menn master;
24th;16;Bengt Olsson;Sk Rye;00:09:11;25;00:05:28;24;00:05:20;24;00:06:08;23;00:08:35;23;00:07:38;24;00:42:20;+00:15:37;M;Menn master;
;115;Morten Westberg;;00:06:54;16;;DNF;;DNS;;DNS;;DNS;;DNS;;;M;Menn master;
;30;Geir Ottar Kvernstuen;SK Rye sykkel;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M;Menn master;
;33;Fredrik Smith;Njård;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M;Menn master;
1st;39;Linda Lønmo;Aron Skiklubb;00:07:12;1;00:04:19;1;00:04:21;1;00:04:22;1;00:06:59;1;00:05:27;1;00:32:40;;F;Kvinner master;
2nd;45;Kristine Skeie;CK Nittedal;00:07:45;3;00:04:43;4;00:04:23;2;00:04:45;2;00:07:20;2;00:06:07;2;00:35:03;+00:02:23;F;Kvinner master;
3rd;40;Janniche Ødegård;;00:08:30;6;00:04:33;3;00:04:39;3;00:04:46;3;00:07:22;3;00:06:11;3;00:36:01;+00:03:21;F;Kvinner master;
4th;44;Vibeke Ansteinsson;Team Letth;00:07:30;2;00:04:27;2;00:04:47;4;00:04:56;4;00:08:14;5;00:06:46;4;00:36:40;+00:04:00;F;Kvinner master;
5th;43;Kari Olstad;Hadeland CK;00:08:16;4;00:04:44;5;00:04:53;5;00:05:13;5;00:07:59;4;00:06:53;5;00:37:58;+00:05:18;F;Kvinner master;
6th;42;Elin Morgan;;00:08:24;5;00:04:59;6;00:04:58;6;00:05:18;6;00:08:17;6;00:07:04;6;00:39:00;+00:06:20;F;Kvinner master;
;41;Aina Prestholdt;Herja endurolaug;00:11:31;7;00:05:12;7;;DNF;;DNS;;DNS;;DNS;DNF;;F;Kvinner master;
1st;93;Lars Vatnebryn Sandviken;Drammen CK;00:05:22;2;00:03:15;2;00:03:08;1;00:03:22;1;00:05:20;1;00:03:58;1;00:24:25;;M;Menn senior;
2nd;117;Kristian Holiman;SK Rye sykkel;00:05:33;5;00:03:19;3;00:03:15;2;00:03:25;2;00:05:22;2;00:04:09;6;00:25:03;+00:00:38;M;Menn senior;
3rd;79;Bård S Pettersen;Drammen CK;00:05:26;3;00:03:24;4;00:03:18;3;00:03:29;3;00:05:26;5;00:04:08;5;00:25:11;+00:00:46;M;Menn senior;
4th;99;Emil Aamli Carlson;SK Rye sykkel;00:05:36;6;00:03:24;4;00:03:20;4;00:03:35;5;00:05:25;3;00:04:04;3;00:25:24;+00:00:59;M;Menn senior;
5th;101;Oskar Omdal;;00:05:30;4;00:03:27;7;00:03:24;6;00:03:37;9;00:05:35;8;00:04:11;7;00:25:44;+00:01:19;M;Menn senior;
6th;55;Erlend Hegrum Askjer;;00:05:42;7;00:03:30;10;00:03:24;6;00:03:35;5;00:05:33;7;00:04:03;2;00:25:47;+00:01:22;M;Menn senior;
7th;116;Jonas Olsson;SK Rye sykkel;00:05:50;10;00:03:25;6;00:03:28;10;00:03:30;4;00:05:28;6;00:04:12;9;00:25:53;+00:01:28;M;Menn senior;
8th;54;Johannes Lund;Sogn CK;00:05:46;8;00:03:28;9;00:03:26;9;00:03:35;5;00:05:40;9;00:04:11;7;00:26:06;+00:01:41;M;Menn senior;
9th;70;Niklas Halvorsen;Kristiansands CK;00:06:06;16;00:03:31;11;00:03:24;6;00:03:36;8;00:05:25;3;00:04:15;11;00:26:17;+00:01:52;M;Menn senior;
10th;64;Kristoffer Ylven Westgaard;Asker CK;00:05:49;9;00:03:27;7;00:03:22;5;00:03:40;10;00:05:53;18;00:04:07;4;00:26:18;+00:01:53;M;Menn senior;
11th;53;Tom Are Grøv;Flow Enduro;00:05:53;11;00:03:33;13;00:03:29;11;00:03:45;14;00:05:40;9;00:04:13;10;00:26:33;+00:02:08;M;Menn senior;
12th;73;Knut Erik Haugen;CK Nittedal;00:05:53;11;00:03:33;13;00:03:32;15;00:03:45;14;00:05:47;13;00:04:19;12;00:26:49;+00:02:24;M;Menn senior;
13th;87;Kristoffer Rakneberg;Bergen MTB Klubb;00:06:05;15;00:03:32;12;00:03:29;11;00:03:44;13;00:05:53;18;00:04:22;17;00:27:05;+00:02:40;M;Menn senior;
14th;72;Herman Knoop;Flow Enduro;00:06:07;18;00:03:39;18;00:03:34;17;00:03:40;10;00:05:50;15;00:04:19;12;00:27:09;+00:02:44;M;Menn senior;
15th;48;Christian Rief;Hadeland CK;00:06:10;20;00:03:39;18;00:03:31;14;00:03:45;14;00:05:46;12;00:04:19;12;00:27:10;+00:02:45;M;Menn senior;
16th;97;Ola Myklatun Krosness;;00:05:57;13;00:03:43;24;00:03:29;11;00:03:52;24;00:05:52;17;00:04:22;17;00:27:15;+00:02:50;M;Menn senior;
17th;62;Tommy Pham;Flow Enduro;00:06:06;16;00:03:40;20;00:03:38;20;00:03:47;18;00:05:44;11;00:04:23;19;00:27:18;+00:02:53;M;Menn senior;
18th;103;Thomas Rambekk Henriksen;Herkules IF;00:06:16;24;00:03:38;17;00:03:32;15;00:03:47;18;00:05:53;18;00:04:21;16;00:27:27;+00:03:02;M;Menn senior;
19th;85;Thomas Horgen;;00:06:12;22;00:03:35;15;00:03:45;30;00:03:51;22;00:05:55;23;00:04:28;21;00:27:46;+00:03:21;M;Menn senior;
20th;91;John Ola Buøy;Orkla CK;00:06:09;19;00:03:40;20;00:03:34;17;00:04:02;31;00:06:01;24;00:04:30;23;00:27:56;+00:03:31;M;Menn senior;
21st;69;Harald Brekke;SK Rye sykkel;00:06:20;28;00:03:41;22;00:03:42;25;00:03:51;22;00:05:53;18;00:04:30;23;00:27:57;+00:03:32;M;Menn senior;
22nd;106;Martin Østberg;Aron Skiklubb;00:06:13;23;00:03:41;22;00:03:39;22;00:03:46;17;00:05:48;14;00:04:50;33;00:27:57;+00:03:32;M;Menn senior;
23rd;65;Ivar Haug;Holmsbu IF;00:06:24;30;00:03:44;25;00:03:41;24;00:03:52;24;00:05:50;15;00:04:40;27;00:28:11;+00:03:46;M;Menn senior;
24th;49;Peter Hjertson;;00:05:59;14;00:03:36;16;00:03:42;25;00:03:50;20;00:06:40;45;00:04:29;22;00:28:16;+00:03:51;M;Menn senior;
25th;114;Vemund Hoholm;;00:06:19;26;00:03:52;30;00:03:37;19;00:03:50;20;00:06:26;34;00:04:19;12;00:28:23;+00:03:58;M;Menn senior;
26th;111;Joakim Melby;;00:06:19;26;00:03:45;26;00:03:43;27;00:03:55;26;00:06:07;25;00:04:34;26;00:28:23;+00:03:58;M;Menn senior;
27th;92;Sindre Aarøy Holtet;;00:06:17;25;00:03:50;29;00:03:39;22;00:03:56;28;00:06:11;27;00:04:32;25;00:28:25;+00:04:00;M;Menn senior;
28th;107;Kristoffer Heian;;00:06:24;30;00:03:49;28;00:03:44;29;00:03:55;26;00:06:08;26;00:04:44;29;00:28:44;+00:04:19;M;Menn senior;
29th;67;Andreas Horten;;00:06:21;29;00:03:57;37;00:03:49;33;00:03:42;12;00:06:29;37;00:04:27;20;00:28:45;+00:04:20;M;Menn senior;
30th;102;Joakim Fjeld Kristoffersen;Bærum OCK;00:06:38;38;00:03:48;27;00:03:43;27;00:03:56;28;00:05:54;22;00:04:47;31;00:28:46;+00:04:21;M;Menn senior;
31st;59;Håvard Tverberg;Stiligsykkelklubb;00:06:29;33;00:03:52;30;00:03:54;37;00:04:01;30;00:06:22;33;00:04:44;29;00:29:22;+00:04:57;M;Menn senior;
32nd;66;Jonathan Paddon;;00:06:32;35;00:03:53;32;00:03:50;34;00:04:05;33;00:06:16;28;00:04:56;36;00:29:32;+00:05:07;M;Menn senior;
33rd;51;Karl-Oskar Sæther;Team Letth;00:06:35;36;00:03:59;40;00:03:51;35;00:04:02;31;00:06:21;31;00:05:01;38;00:29:49;+00:05:24;M;Menn senior;
34th;50;Stian Rismyhr;Team Letth;00:06:37;37;00:04:02;42;00:03:54;37;00:04:08;37;00:06:27;35;00:04:49;32;00:29:57;+00:05:32;M;Menn senior;
35th;82;Håkon Trydal;Arendal singletrack;00:06:40;39;00:03:53;32;00:03:53;36;00:04:07;35;00:06:28;36;00:05:00;37;00:30:01;+00:05:36;M;Menn senior;
36th;94;Kjetil Voldhaug;;00:06:59;45;00:03:58;38;00:03:55;39;00:04:06;34;00:06:21;31;00:04:43;28;00:30:02;+00:05:37;M;Menn senior;
37th;57;Torbjørn Vedde;;00:06:28;32;00:03:53;32;00:03:48;31;00:04:44;58;00:06:32;39;00:04:53;34;00:30;+00:05:53;M;Menn senior;
38th;95;Mats Kvaalen;Herkules IF;00:06:51;41;00:04:07;46;00:03:59;42;00:04:10;38;00:06:30;38;00:05:04;39;00:30:41;+00:06:16;M;Menn senior;
39th;105;Martin Strøm;Aron sk;00:06:59;45;00:03:58;38;00:03:55;39;00:04:07;35;00:06:36;42;00:05:15;45;00:30:50;+00:06:25;M;Menn senior;
40th;88;Kristoffer Haugen;Aron Skiklubb;00:06:59;45;00:04:11;49;00:04:04;45;00:04:14;43;00:06:17;29;00:05:08;41;00:30:53;+00:06:28;M;Menn senior;
41st;98;Tobias Bjerknes;CK Nittedal;00:06:29;33;00:03:55;36;00:03:48;31;00:04:13;42;00:07:36;58;00:04:53;34;00:30:54;+00:06:29;M;Menn senior;
42nd;108;William Midtskogen;Aron Skiklubb;00:06:59;45;00:04:01;41;00:04:03;44;00:04:11;41;00:06:37;44;00:05:04;39;00:30:55;+00:06:30;M;Menn senior;
43rd;75;Terje Unnerud;Mjølkerampa SK;00:06:40;39;00:03:54;35;00:03:55;39;00:04:16;44;00:06:55;50;00:05:34;54;00:31:14;+00:06:49;M;Menn senior;
44th;61;Nikolai Fekjær;Gresvik IF;00:07:48;59;00:04:17;54;00:04:01;43;00:04:10;38;00:06:17;29;00:05:08;41;00:31;+00:07:16;M;Menn senior;
45th;76;Rune Kvalø;Flow Enduro;00:06:58;44;00:04:36;61;00:04:05;46;00:04:20;46;00:06:32;39;00:05:17;46;00:31:48;+00:07:23;M;Menn senior;
46th;104;Knut Arne Letterud;Asker CK;00:06:57;43;00:04:15;51;00:04:14;52;00:04:20;46;00:06:34;41;00:05:30;52;00:31:50;+00:07:25;M;Menn senior;
47th;100;Magnus Brandtzæg;Equinor BIL Oslo;00:07:09;51;00:04:10;47;00:04:13;51;00:04:24;48;00:06:36;42;00:05:19;47;00:31:51;+00:07:26;M;Menn senior;
48th;78;Gavin Steder;BC Verksted;00:07:15;53;00:04:04;43;00:04:09;48;00:04:10;38;00:06:57;51;00:05:31;53;00:32:06;+00:07:41;M;Menn senior;
49th;56;Aleksander Wassum;Oslomarka Crossaint- og Cruxeklubb;00:07:06;50;00:04:05;44;00:04:08;47;00:04:30;51;00:07:06;54;00:05:14;44;00:32:09;+00:07:44;M;Menn senior;
50th;60;Magnus Berger;;00:07:24;54;00:04:10;47;00:04:15;53;00:04:16;44;00:06:49;46;00:05:29;51;00:32:23;+00:07:58;M;Menn senior;
51st;86;Sigve Wanvik Krogstadmo;Stiligsykkelklubb;00:07:09;51;00:04:16;53;00:04:22;57;00:04:37;55;00:06:51;47;00:05:09;43;00:32:24;+00:07:59;M;Menn senior;
52nd;80;Fredrik Nygaard;;00:07:05;49;00:04:18;55;00:04:15;53;00:04:39;56;00:06:52;49;00:05:35;55;00:32:44;+00:08:19;M;Menn senior;
53rd;109;Olav Helland Stenersen;;00:06:54;42;00:04:05;44;00:04:16;55;00:04:56;59;00:07:14;56;00:05:24;48;00:32:49;+00:08:24;M;Menn senior;
54th;63;Sondre Eidsten;Stiligsykkelklubb;00:07:26;56;00:04:20;57;00:04:12;50;00:04:27;50;00:06:58;52;00:05:26;49;00:32:49;+00:08:24;M;Menn senior;
55th;58;William Kempton;Oslomarka Croissant- og Cruxeklubb;00:07:26;56;00:04:13;50;00:04:10;49;00:04:30;51;00:06:51;47;00:05:39;57;00:32:49;+00:08:24;M;Menn senior;
56th;68;Håkon Ytterland;;00:08:22;64;00:04:27;59;00:04:48;62;00:04:41;57;00:07:26;57;00:05:35;55;00:35:19;+00:10:54;M;Menn senior;
57th;52;Tore Nilsen;;00:07:31;58;00:04:20;57;00:04:24;58;00:04:33;54;00:07:07;55;00:07:35;60;00:35:30;+00:11:05;M;Menn senior;
58th;47;Fredrik Lia;Horten og Omegn's Cykleklubb;00:08:08;63;00:04:40;62;00:04:39;60;00:05:02;60;00:07:53;59;00:06:13;58;00:36:35;+00:12:10;M;Menn senior;
59th;112;Eirik Melby;;00:07:58;62;00:04:34;60;00:04:35;59;00:05:06;61;00:09:20;60;00:06:52;59;00:38:25;+00:14:00;M;Menn senior;
60th;77;Kristian Akselsen;;00:14:10;65;00:04:18;55;00:04:18;56;00:04:25;49;00:06:59;53;00:05:28;50;00:39:38;+00:15:13;M;Menn senior;
;110;Magnus Fuglerud;;00:07:24;54;00:04:15;51;00:04:39;60;00:04:31;53;00:15:13;61;;DNS;;;M;Menn senior;
;113;Kevin Solberg;;00:07:54;60;00:04:40;62;00:05:06;63;00:05:11;62;;DNF;;DNS;;;M;Menn senior;
;46;Even Baardseth;Trysil Team Flytsti;00:06:11;21;00:16:17;64;00:03:38;20;00:07:34;63;;DNF;;DNS;;;M;Menn senior;
;74;Ola Jåvold Landmark;Bærum OCK;00:05:19;1;00:03:12;1;;DNF;;DNS;;DNS;;DNS;;;M;Menn senior;
;83;Dag Erik Kristoffersen;Hadeland CK;00:07:57;61;;DNF;;DNS;;DNS;;DNS;;DNS;;;M;Menn senior;
;81;Eskil Norevkveim;;;;;;;;;;;;;DNS;;;M;Menn senior;
;96;Ole Westersund;;;;;;;;;;;;;DNS;;;M;Menn senior;
;90;Anders Samnøy;Aron Skilkubb;;;;;;;;;;;;DNS;;;M;Menn senior;
;89;Ola Gulbrandsen;;;;;;;;;;;;;DNS;;;M;Menn senior;
;71;Kristian Østlie;CK Nittedal;;;;;;;;;;;;DNS;;;M;Menn senior;
;84;Eirik Jelstad;Kjølstadkara;;;;;;;;;;;;DNS;;;M;Menn senior;
1st;120;Lene Pettersen;Eidanger IL;00:06:25;2;00:03:51;2;00:03:48;1;00:04:00;1;00:06:14;2;00:04:33;1;00:28:51;;F;Kvinner senior;
2nd;127;Anna Littorin-Sandbu;Lillehammer CK;00:06:17;1;00:04:01;7;00:03:50;3;00:04:01;2;00:06:12;1;00:04:35;2;00:28:56;+00:00:05;F;Kvinner senior;
3rd;122;Berit Nordsæter Resell;Lillehammer CK;00:06:27;3;00:03:50;1;00:03:49;2;00:04:03;3;00:06:15;3;00:04:57;4;00:29:21;+00:00:30;F;Kvinner senior;
4th;128;Anette Røssum Bastnes;SK Rye sykkel;00:06:40;4;00:03:56;3;00:03:50;3;00:04:13;4;00:06:21;5;00:04:47;3;00:29:47;+00:00:56;F;Kvinner senior;
5th;142;Sunniva Dring;Sagene IF Sykkel;00:06:44;6;00:03:56;3;00:03:50;3;00:04:16;5;00:06:18;4;00:05:13;6;00:30:17;+00:01:26;F;Kvinner senior;
6th;140;Marte Eide;;00:06:41;5;00:04:00;6;00:04:01;8;00:04:27;8;00:06:36;6;00:05:14;8;00:30:59;+00:02:08;F;Kvinner senior;
7th;132;Julia Hamre;Værfast Ringebu;00:06:55;7;00:04:06;8;00:04:00;7;00:04:18;6;00:06:40;7;00:05:03;5;00:31:02;+00:02:11;F;Kvinner senior;
8th;136;Runa Buene;;00:06:57;8;00:03:59;5;00:03:56;6;00:04:33;11;00:06:42;8;00:05:13;6;00:31:20;+00:02:29;F;Kvinner senior;
9th;125;Embla Stol Øyan;;00:06:59;9;00:04:07;9;00:04:04;9;00:04:21;7;00:06:59;10;00:05:21;9;00:31:51;+00:03:00;F;Kvinner senior;
10th;130;Ida Rydland Nærum;CK Nittedal;00:07:13;10;00:04:17;10;00:04:14;10;00:04:32;10;00:06:55;9;00:05:27;10;00:32:38;+00:03:47;F;Kvinner senior;
11th;129;Ingrid Mork Nygård;;00:07:14;11;00:04:24;12;00:04:30;14;00:04:28;9;00:07:12;11;00:05:50;12;00:33:38;+00:04:47;F;Kvinner senior;
12th;139;Vibeke Brandvold;Herja Endurolaug / NOBIL;00:07:35;13;00:04:37;14;00:04:25;13;00:04:51;14;00:07:21;13;00:05:34;11;00:34:23;+00:05:32;F;Kvinner senior;
13th;126;Anniken Helene Aalerud;;00:07:47;14;00:04:23;11;00:04:23;12;00:04:51;14;00:07:19;12;00:05:54;13;00:34:37;+00:05:46;F;Kvinner senior;
14th;123;Solveig Mostad;;00:08:17;17;00:04:37;14;00:04:38;15;00:04:47;13;00:07:43;16;00:05:59;14;00:36:01;+00:07:10;F;Kvinner senior;
15th;118;Silje Nedland Molnes;Sandefjord SK;00:08:07;15;00:04:40;17;00:04:38;15;00:05:08;19;00:07:25;14;00:06:46;17;00:36:44;+00:07:53;F;Kvinner senior;
16th;137;Stine Martine Lefdal;Byåsen IL;00:08:15;16;00:04:42;19;00:05:11;19;00:05:04;17;00:08:06;19;00:06:19;15;00:37:37;+00:08:46;F;Kvinner senior;
17th;141;Tina Wang Jacobsen;;00:08:32;18;00:04:40;17;00:04:52;17;00:05:07;18;00:07:50;17;00:07:03;19;00:38:04;+00:09:13;F;Kvinner senior;
18th;138;Maiken Kallesen;IF Frøy;00:09:01;19;00:04:51;20;00:04:52;17;00:05:30;20;00:08:19;20;00:07:33;20;00:40:06;+00:11:15;F;Kvinner senior;
19th;124;Martine Reinholt;;00:12:09;21;00:04:39;16;00:05:11;19;00:05:02;16;00:07:51;18;00:06:44;16;00:41:36;+00:12:45;F;Kvinner senior;
20th;135;Svanhild Helgeland;;00:09:43;20;00:05:20;21;00:05:20;21;00:05:54;21;00:10:01;22;00:09:20;21;00:45:38;+00:16:47;F;Kvinner senior;
;134;Silje Faleide;Team Letth;00:53:19;22;;DNF;;DNS;00:05:58;22;00:09:00;21;00:06:58;18;;;F;Kvinner senior;
;131;Bergljot Støer;;00:07:33;12;00:04:28;13;00:04:20;11;00:04:38;12;00:07:26;15;;DNF;;;F;Kvinner senior;
DSQ;119;Hilde Strædet;Kristiansands CK;00:06:08;;00:03:43;;00:03:37;;00:03:53;;00:06:00;;00:04:34;;DSQ;DSQ;F;Kvinner senior;DSQ
DNS;121;Alice Grindheim;SK Rye sykkel;;;;;;;;;;;;;DNS;;F;Kvinner senior;
DNS;133;Stine Grønås;;;;;;;;;;;;;;DNS;;F;Kvinner senior;
