Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;chiptime;diff;gender
9;;Birk Gunnar Selquist;Harstad CK;M 24-39;10:52.8;25;2:42.7;3;2:06.3;11;1:42.4;7;2:36.7;6;3:53.9;10;0:51.1;11;24:45.9;2:56.0;M
10;;Lars Erik Grande;Kabelvåg;M 24-39;10:01.1;13;2:53.6;12;2:18.7;22;1:54.4;18;2:44.8;17;4:03.3;17;0:52.2;13;24:48.1;2:58.2;M
11;;Markus Finholt;Nots;M 24-39;10:18.3;20;2:52.1;10;2:15.2;20;1:43.7;11;2:39.9;10;4:03.0;16;1:09.7;36;25:01.9;3:12.0;M
12;;Martin Røkenes;Borkenes;M 24-39;10:04.2;17;3:09.1;24;2:10.4;16;1:56.0;20;2:45.7;19;4:08.8;19;0:50.8;10;25:05.0;3:15.1;M
13;;Lukas Mark;Svolvær;M 24-39;10:31.4;21;3:05.3;21;2:22.6;24;2:00.7;23;3:05.4;25;4:29.6;24;1:01.1;26;26:36.1;4:46.2;M
14;;Johannes Bjørkmann Vikhaug;Harstad;M 24-39;11:58.6;33;3:22.8;31;2:35.4;29;2:18.4;33;3:07.2;27;6:16.6;36;1:05.9;32;30:44.9;8:55.0;M
15;;Svein Helge Blakstad;Harstad;M 24-39;14:52.4;40;3:20.1;28;2:53.7;36;2:23.9;36;3:06.8;26;4:55.1;27;1:05.8;31;32:37.8;10:47.9;M
16;;Thor Aslak Haanes Waagan;Grundstad SK;M 24-39;11:56.6;32;3:22.1;29;2:55.3;37;2:25.4;37;3:23.3;36;10:58.3;40;1:22.4;40;36:23.4;14:33.5;M
1;;Anders Røkenes;Harstad CK;M 40-49;8:58.2;2;2:54.1;13;1:54.2;3;1:41.5;6;2:35.3;5;3:30.6;3;0:45.4;1;22:19.3;0:29.4;M
2;;Einar Frønum;Harstad CK;M 40-49;9:21.0;4;2:44.6;4;1:55.1;4;1:38.4;3;2:30.3;3;3:29.6;2;0:47.5;4;22:26.5;0:36.6;M
3;;Martin Liane;Harstad CK / HCK;M 40-49;9:30.9;6;2:55.9;14;2:01.7;5;1:47.5;14;2:32.5;4;3:44.8;8;0:48.2;6;23:21.5;1:31.6;M
4;;Stian Storeng;Harstad CK;M 40-49;9:36.6;8;2:51.4;8;2:05.4;9;1:39.6;4;2:40.6;12;3:44.2;7;0:48.8;7;23:26.6;1:36.7;M
5;;Martin Mathisen;Harstad CK / HCK;M 40-49;9:33.8;7;2:44.9;5;2:12.4;19;1:43.3;10;2:39.3;8;3:58.3;13;0:54.2;18;23:46.2;1:56.3;M
6;;Christoffer Borge Olsen;Aron Sportsklubb;M 40-49;9:49.8;11;2:53.0;11;2:11.7;17;1:51.4;17;2:40.6;12;4:08.5;18;0:53.5;15;24:28.5;2:38.6;M
7;;Kristoffer Kristoffersen;Senja CK;M 40-49;10:03.9;15;2:56.7;15;2:08.5;14;1:45.7;13;2:40.3;11;3:59.9;14;0:54.5;19;24:29.5;2:39.6;M
8;;Knut-Geir Aga;UiT BIL;M 40-49;10:40.9;23;3:02.5;19;2:11.9;18;2:00.8;24;2:48.4;21;4:36.2;25;0:54.9;20;26:15.6;4:25.7;M
9;;Roger Berge;Harstad CK;M 40-49;11:42.4;30;3:09.4;25;2:22.2;23;1:58.5;21;2:57.0;24;4:20.0;23;0:54.1;17;27:23.6;5:33.7;M
10;;Ole-Martin Jakobsen;Hck;M 40-49;10:57.1;26;3:24.9;33;2:42.2;33;2:17.8;32;3:07.6;28;4:38.8;26;0:59.0;23;28:07.4;6:17.5;M
11;;Øystein Beddari;Vesterålen Sykkelklubb VSK;M 40-49;11:18.6;28;3:22.3;30;2:36.6;32;2:14.2;29;3:10.2;29;5:25.8;31;1:08.4;34;29:16.1;7:26.2;M
12;;Ola Vollmo;Harstad;M 40-49;11:25.0;29;3:27.9;36;2:31.6;27;2:13.1;28;3:31.0;38;5:02.2;28;1:05.4;30;29:16.2;7:26.3;M
13;;Stian Kristoffer Evensen;Harstad CK / Velosolutions;M 40-49;10:47.4;24;3:43.1;38;2:45.7;35;2:10.1;26;3:15.4;33;6:17.9;37;1:06.6;33;30:06.2;8:16.3;M
14;;Espen Henriksen Harper;Tromsø;M 40-49;13:18.6;37;3:25.7;34;2:57.7;38;2:21.6;34;3:18.7;35;5:59.0;34;1:08.5;35;32:29.8;10:39.9;M
15;;Martin Haugland;Harstad CK;M 40-49;14:01.9;39;3:34.5;37;2:24.5;25;2:10.5;27;3:18.4;34;6:15.3;35;1:00.0;24;32:45.1;10:55.2;M
16;;Håkon Vangen Iversen;Vesterålen SK;M 40-49;11:55.9;31;3:24.1;32;2:35.4;29;2:26.0;38;4:17.9;40;7:17.4;38;1:13.1;37;33:09.8;11:19.9;M
1;;Frode Bredesen;Harstad CK;M 50-59;10:32.2;22;3:00.1;18;2:18.0;21;1:58.6;22;2:43.6;16;4:13.0;21;0:57.7;22;25:43.2;3:53.3;M
2;;Christian Hestdahl;Harstad;M 50-59;10:17.6;19;3:08.7;23;2:31.7;28;2:09.9;25;2:55.0;23;4:10.7;20;1:00.3;25;26:13.9;4:24.0;M
3;;Arnulf Prestbakmo;Harstad CK;M 50-59;11:08.6;27;3:10.6;26;2:29.7;26;2:15.2;30;3:10.7;30;5:10.2;29;1:03.8;28;28:28.8;6:38.9;M
4;;Peter Nilsson;Vesterålen SK;M 50-59;12:13.7;35;3:15.4;27;2:35.7;31;2:23.5;35;3:13.4;31;5:40.5;33;1:04.2;29;30:26.4;8:36.5;M
5;;William Salminen;Harstad CK / HCK;M 50-59;;DNF;;DNF;;DNF;;DNF;;DNF;;DNF;;DNF;DNF;;M
6;;Svein Are Andreassen;Harstad CK;M 50-59;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;0:00.0;DNS;M
1;;Bent Ebeltoft;Stokmarknes IL;M 60-69;13:22.4;38;4:14.6;40;3:09.0;40;2:26.6;39;3:43.3;39;7:37.4;39;1:13.3;38;35:46.6;13:56.7;M
1;;Ingvald Olsen;Harstad CK;M 15-16;9:12.8;1;2:30.4;1;1:48.4;1;1:43.3;2;2:25.6;2;3:12.3;1;0:43.5;1;21:36.3;0:00.0;M
2;;Emil Larsen Wiik;Harstad CK / HCK;M 15-16;9:13.9;2;2:39.8;2;1:50.9;2;1:37.3;1;2:23.5;1;3:12.3;1;0:45.1;2;21:42.8;0:06.5;M
3;;Snorre Strand-Løvseth;Vesterålen SK;M 15-16;10:04.9;3;2:55.4;3;2:05.6;3;1:52.3;4;2:44.6;4;4:21.9;6;0:53.4;4;24:58.1;3:21.8;M
4;;Jonathan Pettersen;Harstad Cykleklubb;M 15-16;10:21.5;4;3:01.4;4;2:18.9;5;1:46.6;3;2:43.3;3;4:04.2;3;0:51.1;3;25:07.0;3:30.7;M
5;;Tommy Sandberg Addis;Harstad CK / Møkkagjengen;M 15-16;10:31.4;6;3:01.8;5;2:33.5;7;2:05.4;6;2:59.0;6;4:15.9;4;1:04.3;9;26:31.3;4:55.0;M
6;;Trym Vangen Iversen;Vesterålen SK;M 15-16;10:25.0;5;3:19.7;7;2:26.3;6;2:12.1;7;3:03.1;7;4:25.4;7;0:57.5;6;26:49.1;5:12.8;M
7;;Jonathan Antonsen;Harstad CK / Hck/Møkkagjengen;M 15-16;13:48.4;10;3:08.9;6;2:15.5;4;2:00.3;5;2:56.0;5;4:21.4;5;0:57.6;7;29:28.1;7:51.8;M
8;;Aksel Levoll-Schulz;Harstad CK;M 15-16;10:40.7;7;3:36.4;10;3:09.1;10;2:13.7;9;3:13.4;10;6:08.5;11;0:55.7;5;29:57.5;8:21.2;M
9;;Emil Mørken;Harstad CK;M 15-16;11:02.8;8;3:29.0;9;3:35.0;11;2:13.4;8;3:10.6;9;5:46.0;10;1:02.6;8;30:19.4;8:43.1;M
10;;Magnus Risan-Helgesen;Vesterålen SK / VSK;M 15-16;12:33.1;9;3:20.8;8;3:06.4;8;2:36.2;11;3:09.7;8;4:50.5;8;1:07.0;10;30:43.7;9:07.4;M
1;;Erle Berg Liane;Harstad CK / HCK;K 15-16;14:25.6;11;3:48.4;11;3:06.6;9;2:24.7;10;3:34.9;11;5:43.6;9;1:14.5;11;34:18.3;12:42.0;F
11;;Theo Jørgensen;Vesterålen SK;M 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;0:00.0;DNS;M
12;;Ola Løkstad Kristoffersen;Senja CK;M 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;0:00.0;DNS;M
13;;Olav Uttakleiv;Harstad CK;M 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;0:00.0;DNS;M
1;;Erik Holen;Senja CK;M 13-14;10:01.5;;2:45.7;;2:02.7;;1:46.5;;2:38.4;;;;0:51.2;;20:06.0;3:29.4;M
2;;Liam Haukebøe Storeng;Harstad CK;M 13-14;10:12.4;;2:59.6;;2:13.4;;1:58.9;;2:53.6;;;;0:51.9;;21:09.8;2:25.6;M
3;;Henrik Kvam Frønum;Harstad CK;M 13-14;10:38.1;;2:57.5;;2:18.2;;1:51.6;;2:44.8;;;;0:50.3;;21:20.5;2:14.9;M
4;;Eivind Nermark;Harstad CK;M 13-14;10:42.7;;3:03.5;;2:21.6;;1:54.6;;2:49.2;;;;0:50.2;;21:41.8;1:53.6;M
5;;Edward Olsen;Harstad CK;M 13-14;11:10.4;;3:18.1;;2:27.9;;2:02.6;;3:01.4;;;;0:59.5;;22:59.9;0:35.5;M
6;;Ailo Helgesen;Harstad CK;M 13-14;11:06.6;;3:22.5;;2:32.7;;2:06.1;;3:06.2;;;;0:58.9;;23:13.0;0:22.4;M
7;;Isak Wiik;Harstad CK;M 13-14;12:15.4;;2:58.1;;2:17.1;;1:55.3;;3:05.8;;;;0:52.0;;23:23.7;0:11.7;M
8;;Jonathan Myhre Farstadberg;Harstad CK;M 13-14;11:23.4;;3:17.7;;2:41.5;;2:08.8;;3:03.1;;;;1:00.9;;23:35.4;0:00.0;M
9;;Marvin Similox;Harstad CK;M 13-14;11:16.6;;3:09.7;;3:02.3;;2:02.9;;3:01.2;;;;1:03.1;;23:35.8;0:00.4;M
10;;Liam Mikalsen Marskar;Harstad CK;M 13-14;12:11.5;;3:20.3;;3:17.7;;2:28.5;;3:27.1;;;;1:09.3;;25:54.4;2:19.0;M
11;;Sander Røkenes;Harstad CK;M 13-14;11:42.9;;3:26.6;;3:03.0;;3:08.4;;4:52.5;;;;1:01.1;;27:14.5;3:39.1;M
12;;Elias Gravrok;Harstad CK;M 13-14;12:52.1;;4:03.0;;3:06.1;;2:33.9;;3:59.2;;;;1:10.9;;27:45.2;4:09.8;M
13;;Amund Løkstad Kristoffersen;Senja CK;M 13-14;;DNS;;DNS;;DNS;;DNS;;;;;;DNS;DNS;;M
