bib;name;gender;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class;status
71;Frank Nedregaard;M;;00:07:46;19;00:06:28;13;00:03:20;22;00:04:47;18;00:05:24;17;00:27:45;;Menn senior;
49;Andreas Holm;M;;00:07:49;23;00:06:38;18;00:03:27;28;00:04:41;15;00:05:16;15;00:27:51;;Menn senior;
23;Øyvind Hem;M;;00:07:46;20;00:06:40;21;00:03:10;17;00:04:52;21;00:05:31;20;00:27:59;;Menn senior;
36;Stian Storeng;M;;00:07:47;22;00:06:37;15;00:03:24;24;00:04:40;14;00:05:35;21;00:28:03;;Menn senior;
80;Martin Myrvang;M;;00:07:41;17;00:06:46;23;00:03:26;27;00:04:51;19;00:05:28;18;00:28:12;;Menn senior;
84;Sondre Skjelvik;M;;00:07:43;18;00:06:38;17;00:03:10;16;00:04:58;23;00:05:47;29;00:28:16;;Menn senior;
78;Jon Vegar Aga Kjærgaard;M;;00:07:50;24;00:07:05;26;00:03:06;15;00:05:13;29;00:05:14;13;00:28:28;;Menn senior;
3;Anette Røssum Bastnes;F;;00:07:51;1;00:06:54;1;00:03:21;2;00:04:56;2;00:05:30;1;00:28:32;;Kvinner senior;
51;Jon Håvard Appelkvist;M;;00:07:52;25;00:06:43;22;00:03:38;32;00:04:41;16;00:05:59;35;00:28:53;;Menn senior;
5;Hilde Strædet;F;;00:08:29;5;00:06:58;2;00:03:03;1;00:04:52;1;00:05:39;3;00:29:01;;Kvinner senior;
34;Gard Johannes Gauteplass;M;;00:08:09;30;00:07:07;27;00:03:17;20;00:04:53;22;00:05:44;27;00:29:10;;Menn senior;
62;Martin Klette;M;;00:08:08;29;00:07:01;24;00:03:23;23;00:05:15;30;00:05:36;22;00:29:23;;Menn senior;
37;Leiv Tvenning;M;;00:07:53;26;00:07:04;25;00:03:38;33;00:05:09;24;00:05:43;25;00:29:27;;Menn senior;
4;Vera Leivsdottir;F;;00:08:04;3;00:07:11;6;00:03:28;4;00:05:08;5;00:05:36;2;00:29:27;;Kvinner senior;
21;Geir Jørgensen;M;;00:07:55;28;00:07:16;32;00:03:24;25;00:05:15;31;00:05:41;24;00:29:31;;Menn senior;
6;Anne Melbø;F;;00:07:54;2;00:07:10;5;00:03:24;3;00:05:05;4;00:06:07;5;00:29:40;;Kvinner senior;
32;Torjus Winther;M;;00:07:53;27;00:07:16;31;00:03:15;19;00:05:22;34;00:05:55;34;00:29:41;;Menn senior;
2;Alice Grindheim;F;;00:08:39;7;00:07:01;4;00:03:29;5;00:05:01;3;00:05:52;4;00:30:02;;Kvinner senior;
41;Jack Corby;M;;00:08:26;35;00:07:21;35;00:03:24;26;00:05:15;32;00:05:55;33;00:30:21;;Menn senior;
38;Viktor Linnerö;M;;00:08:19;32;00:07:08;28;00:03:56;38;00:05:11;28;00:05:55;32;00:30:29;;Menn senior;
54;Lavra Lund Balto;M;;00:08:16;31;00:07:10;29;00:03:51;37;00:05:09;25;00:06:10;40;00:30:36;;Menn senior;
85;Bjørn-Ståle Larsen;M;;00:08:37;40;00:07:28;39;00:03:14;18;00:05:22;33;00:06:01;36;00:30:42;;Menn senior;
86;Andreas Klette;M;;00:08:27;36;00:07:28;38;00:03:49;36;00:05:37;39;00:05:44;28;00:31:05;;Menn senior;
55;Ole Henrik Eriksen;M;;00:08:27;37;00:08:05;46;00:03:34;30;00:05:11;27;00:05:55;31;00:31:12;;Menn senior;
59;Kjell Magne Sivertsen;M;;00:08:20;33;00:07:13;30;00:04:28;45;00:05:23;35;00:05:48;30;00:31:12;;Menn senior;
7;Lene Pedersen;F;;00:08:11;4;00:07:01;3;00:04:29;9;00:05:42;6;00:06:15;7;00:31:38;;Kvinner senior;
22;Geir Hanssen;M;;00:08:49;45;00:07:26;37;00:03:57;39;00:06:06;50;00:05:39;23;00:31:57;;Menn senior;
27;Ketil Lindberg;M;;00:08:45;43;00:07:38;41;00:03:44;34;00:05:33;36;00:06:20;42;00:32:00;;Menn senior;
8;Julie E. H. Appelkvist;F;;00:08:38;6;00:07:23;7;00:03:35;6;00:06:15;8;00:06:13;6;00:32:04;;Kvinner senior;
42;Jørn Johansen;M;;00:08:52;46;00:07:29;40;00:04:07;41;00:05:34;37;00:06:09;39;00:32:11;;Menn senior;
35;Christian Hillestad;M;;00:08:55;47;00:07:24;36;00:04:00;40;00:06:02;49;00:06:07;38;00:32:28;;Menn senior;
77;Lars-Petter Riedl;M;;00:08:29;38;00:07:19;34;00:05:08;50;00:05:37;40;00:06:04;37;00:32:37;;Menn senior;
46;Terje Dypfest;M;;00:08:44;42;00:07:57;45;00:04:52;48;00:05:58;48;00:06:24;44;00:33:55;;Menn senior;
39;Christian Aronsen;M;;00:08:57;49;00:08:07;48;00:04:12;42;00:05:55;43;00:06:53;50;00:34:04;;Menn senior;
30;Torbjørn Fiva Bech;M;;00:09:28;56;00:08:21;53;00:03:35;31;00:06:16;51;00:06:40;48;00:34:20;;Menn senior;
50;Lars Hepsøe;M;;00:09:13;53;00:07:53;44;00:05:14;52;00:05:38;41;00:06:22;43;00:34:20;;Menn senior;
57;Viktor Hatch;M;;00:09:34;57;00:08:40;56;00:03:47;35;00:05:48;42;00:06:33;45;00:34:22;;Menn senior;
26;Will Clark;M;;00:11:31;63;00:07:44;43;00:03:34;29;00:05:36;38;00:06:15;41;00:34:40;;Menn senior;
43;Erik Hjemgaard Nilsen;M;;00:09:05;51;00:08:16;51;00:04:36;46;00:06:19;52;00:06:38;47;00:34:54;;Menn senior;
91;Magnus Jansson;M;;00:09:26;55;00:08:12;49;00:04:55;49;00:05:55;44;00:06:43;49;00:35:11;;Menn senior;
44;Mats Kristian Svendsen;M;;00:09:45;58;00:08:29;54;00:04:12;43;00:05:58;46;00:06:57;54;00:35:21;;Menn senior;
45;Sindre Daae Torsteinsen;M;;00:09:02;50;00:08:13;50;00:05:10;51;00:06:25;54;00:06:37;46;00:35:27;;Menn senior;
63;Ørjan Eilertsin;M;;00:10:04;59;00:07:18;33;00:05:27;53;00:05:56;45;00:06:56;51;00:35:41;;Menn senior;
60;Isak Johan  Uri;M;;00:08:32;39;00:08:07;47;00:06:01;56;00:06:25;55;00:06:56;52;00:36:01;;Menn senior;
9;Sanna Bostad Kvaal;F;;00:10:05;8;00:08:31;8;00:04:17;7;00:06:21;9;00:06:58;8;00:36:12;;Kvinner senior;
56;Jonas Aksmo;M;;00:09:05;52;00:08:39;55;00:04:36;47;00:06:25;53;00:07:51;55;00:36:36;;Menn senior;
48;Stian Sørensen;M;;00:09:17;54;00:08:17;52;00:05:32;54;00:06:48;56;00:06:56;53;00:36:50;;Menn senior;
10;Sofia Ahlback;F;;00:10:50;9;00:08:50;9;00:04:18;8;00:06:09;7;00:07:34;9;00:37:41;;Kvinner senior;
33;Ole-Martin Kjellmo;M;;00:08:23;34;00:15:54;59;00:03:02;14;00:05:11;26;00:05:43;26;00:38:13;;Menn senior;
40;Andreas Nome;M;;00:10:18;60;00:09:24;57;00:05:41;55;00:07:03;57;00:07:55;56;00:40:21;;Menn senior;
88;Jakub Bedlinski;M;;00:11:27;62;00:09:49;58;00:06:43;57;00:07:04;58;00:08:17;57;00:43:20;;Menn senior;
61;Håkon Johan Tunes;M;;00:07:12;9;00:06:39;19;00:20:07;58;00:04:35;10;00:04:57;7;00:43:30;;Menn senior;
1;Silje Gjerde;F;;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;;Kvinner senior;
24;Øystein Svendsen;M;;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;;Menn senior;
31;Kjetil Nordø;M;;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;;Menn senior;
76;Gøran Jenssen;M;;00:07:46;21;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:07:46;;Menn senior;
29;Patrick Karlsen;M;;00:08:41;41;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:08:41;;Menn senior;
28;Sindre Støer;M;;00:08:45;44;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:08:45;;Menn senior;
58;Arne Falk Skålbones;M;;00:10:55;61;00:00:00;0;00:00:00;0;00:00:00;0;00:00:00;0;00:10:55;;Menn senior;
87;Mikael Vold;M;;00:07:05;6;00:06:20;10;00:00:00;0;00:00:00;0;00:00:00;0;00:13:25;;Menn senior;
53;Marius Lund;M;;00:08:55;48;00:07:38;42;00:04:24;44;00:05:58;47;00:00:00;0;00:26:55;;Menn senior;
