Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;Status
1;69;Reinis Martins;Prieditis;M;LV;Veloshops;FE1;Menn senior 17-39;2:40.3;0:00.0
4;28;Oda;Førlie;F;NO;NARVIK;FE1;Kvinner senior 17-39;4:41.5;1:14.3
13;4;Kristoffer;Kristoffersen;M;NO;Senja CK / Senja Sport AS;FE1;Menn master;0:00.0;2:49.8
13;36;Joar;Nilsen;M;NO;Narvik CK;FE1;Menn master;0:00.0;2:49.8
36;18;Hendrik;Kurrikoff;M;EE;Velosolutions;FE1;Menn senior 17-39;0:00.0;2:40.3
36;71;Gustav;Sandström;M;SE;Velosolution;FE1;Menn senior 17-39;0:00.0;2:40.3
36;41;Rasmus;Moxnes;M;NO;Hestesletta Bikers;FE1;Menn senior 17-39;0:00.0;2:40.3
36;62;Emil;Kloster Snekkevik;M;NO;TROMSØ;FE1;Menn senior 17-39;0:00.0;2:40.3
13;49;Stig;Solheim;M;NO;Harstad CK;FE1;Menn master;0:00.0;2:49.8
1;5;Einar;Frønum;M;NO;Harstad CK;FE2;Menn senior 17-39;4:10.3;0:00.0
2;22;Armands;ZARINS;M;LV;Velosolutions Scandinavia;FE2;Menn senior 17-39;4:13.2;0:02.9
3;68;Gusts;Osmucnieks;M;LV;Beerduro;FE2;Menn senior 17-39;4:16.9;0:06.6
4;40;Edvard;Vea Iversen;M;NO;Terråk;FE2;Menn senior 17-39;4:17.1;0:06.8
5;57;Martin;Klette;M;NO;BODØ;FE2;Menn senior 17-39;4:24.6;0:14.3
6;58;Sigurd Salberg;Pedersen;M;NO;TROMSØ;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
6;58;Sigurd Salberg;Pedersen;M;NO;TROMSØ;FE2;Menn senior 17-39;4:26.4;0:16.1
1;1;Anders;Røkenes;M;NO;Harstad CK;FE2;Menn master;4:26.9;0:00.0
7;60;Tord;Nese;M;NO;Bjørn Bygg;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
7;60;Tord;Nese;M;NO;Bjørn Bygg;FE2;Menn senior 17-39;4:27.3;0:17.0
8;31;Mikael;Vold;M;NO;Bodø Terrengsykkelklubb / Bodø Terrengsykkkelklubb;FE2;Menn senior 17-39;4:33.1;0:22.8
9;2;Fredrik;Leonhardsen;M;NO;HARSTAD;FE2;Menn senior 17-39;4:38.4;0:28.1
2;54;Stian;Storeng;M;NO;Harstad CK;FE2;Menn master;4:39.2;0:12.3
2;54;Stian;Storeng;M;NO;Harstad CK;FE3;Menn master;00:00.0;05:00.0;DNF
10;33;Vidar;Wensel;M;NO;Senja CK;FE2;Menn senior 17-39;4:39.4;0:29.1
11;16;Amund;Korvald;M;NO;SOGNDAL;FE2;Menn senior 17-39;4:40.5;0:30.2
12;17;Ole-Martin;Kjellmo;M;NO;BARDUFOSS;FE2;Menn senior 17-39;4:42.3;0:32.0
13;38;Lars Linaker;Berglund;M;NO;Tromsø Enduro;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
13;38;Lars Linaker;Berglund;M;NO;Tromsø Enduro;FE2;Menn senior 17-39;4:47.8;0:37.5
3;39;William;Salminen;M;NO;Harstad CK;FE2;Menn master;4:49.1;0:22.2
14;27;Tore;Joramo;M;NO;BARDUFOSS;FE2;Menn senior 17-39;4:50.7;0:40.4
15;3;Håvard;Krey Hansen;M;NO;Senja CK;FE2;Menn senior 17-39;4:52.1;0:41.8
16;14;Håvard;Torvanger;M;NO;Harstad CK;FE2;Menn senior 17-39;4:53.6;0:43.3
4;46;Martin;Liane;M;NO;Harstad CK;FE1;Menn master;00:00.0;05:00.0;DNS
4;46;Martin;Liane;M;NO;Harstad CK;FE2;Menn master;4:54.1;0:27.2
17;25;Rickard;Wessberg;M;SE;Consto Nord;FE2;Menn senior 17-39;4:56.6;0:46.3
5;59;Frode;Bredesen;M;NO;Harstad CK;FE2;Menn master;5:00.4;0:33.5
18;42;Tor-Øyvind;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE2;Menn senior 17-39;5:01.4;0:51.1
18;42;Tor-Øyvind;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE3;Menn senior 17-39;00:00.0;00:00.0;DNF
19;35;Viktor;Larsson;M;SE;DUVED;FE2;Menn senior 17-39;5:03.9;0:53.6
6;70;Bjørn-Ståle;Larsen;M;NO;Lofoten Ekstremsportklubb;FE1;Menn master;00:00.0;00:00.0;DNS
6;70;Bjørn-Ståle;Larsen;M;NO;Lofoten Ekstremsportklubb;FE2;Menn master;5:04.6;0:37.7
7;47;Arnulf;Prestbakmo;M;NO;Harstad CK;FE2;Menn master;5:05.9;0:39.0
20;63;Trond;Kleven;M;NO;Harstad CK / HCK;FE2;Menn senior 17-39;5:09.2;0:58.9
20;63;Trond;Kleven;M;NO;Harstad CK / HCK;FE3;Menn senior 17-39;00:00.0;00:00.0;DNF
21;26;Jesper;Stattin;M;DK;Harstad CK;FE2;Menn senior 17-39;5:11.1;1:00.8
8;13;Gisle;Enge;M;NO;HARSTAD;FE2;Menn master;5:15.8;0:48.9
22;53;Knut;Joramo;M;NO;BARDUFOSS;FE2;Menn senior 17-39;5:17.1;1:06.8
23;24;Thomas;Ebeltoft;M;NO;STOKMARKNES;FE2;Menn senior 17-39;5:18.6;1:08.3
9;32;Jimmy;Johansen;M;NO;Lofoten Ekstremsportklubb;FE2;Menn master;5:18.9;0:52.0
10;48;Finn;Kuntze;M;NO;Harstad CK;FE1;Menn master;00:00.0;00:00.0;DNS
10;48;Finn;Kuntze;M;NO;Harstad CK;FE2;Menn master;5:23.9;0:57.0
11;7;Jonas;Aksmo;M;NO;Lofoten Ekstremsportklubb / Jonas Aksmo;FE2;Menn master;5:27.0;1:00.1
12;21;Peter;Nilsson;M;SE;Vesterålen SK;FE2;Menn master;5:27.7;1:00.8
24;45;Andreas;Seger;M;NO;NARVIK;FE2;Menn senior 17-39;5:30.1;1:19.8
25;66;Marius;Stamnes;M;NO;Harstad CK;FE2;Menn senior 17-39;5:31.0;1:20.7
26;8;Edgar;Korenkov;M;LV;STOKMARKNES;FE2;Menn senior 17-39;5:35.2;1:24.9
27;29;Espen;Karlsen;M;NO;BFT;FE2;Menn senior 17-39;5:36.4;1:26.1
28;72;Eirik;Djønne;M;NO;HARSTAD;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
28;72;Eirik;Djønne;M;NO;HARSTAD;FE2;Menn senior 17-39;5:41.7;1:31.4
13;34;Fred;Olsen;M;NO;Harstad CK;FE2;Menn master;5:44.9;1:18.0
29;51;Jahn-Erik;Solheim;M;NO;HARSTAD;FE2;Menn senior 17-39;5:46.7;1:36.4
30;15;Jan-Ove;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE2;Menn senior 17-39;6:04.7;1:54.4
31;20;Håvar;Marsteen;M;NO;TROMSØ;FE2;Menn senior 17-39;6:05.1;1:54.8
14;56;Gjøran;Sommarset;M;NO;HARSTAD;FE1;Menn master;00:00.0;00:00.0;DNS
14;56;Gjøran;Sommarset;M;NO;HARSTAD;FE2;Menn master;6:06.4;1:39.5
15;43;Paul;Silester;M;NO;HARSTAD;FE2;Menn master;6:10.0;1:43.1
32;10;Espen Henriksen;Harper;M;NO;TROMSØ;FE2;Menn senior 17-39;6:14.4;2:04.1
33;23;Yngve;Rogstadkjærnet;M;NO;Lofoten Ekstremsportklubb;FE2;Menn senior 17-39;6:56.2;2:45.9
34;61;Anders;Lagerström;M;SE;HARSTAD;FE2;Menn senior 17-39;7:27.9;3:17.6
35;19;Thomas;Hansen;M;NO;Harstad CK;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
35;19;Thomas;Hansen;M;NO;Harstad CK;FE2;Menn senior 17-39;7:36.5;3:26.2
36;12;Morten Monland;Olavsbråten;M;NO;NARVIK;FE2;Menn senior 17-39;8:14.3;4:04.0
37;11;Pål-Gunnar;Skog;M;NO;HARSTAD;FE2;Menn senior 17-39;8:57.0;4:46.7
38;67;Roger;Berge;M;NO;Harstad CK;FE2;Menn senior 17-39;11:01.6;6:51.3
16;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE2;Menn master;8:59.7;4:32.8
16;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE3;Menn master;00:00.0;00:00.0; DNF
16;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE4;Menn master;00:00.0;00:00.0; DNS
17;4;Kristoffer;Kristoffersen;M;NO;Senja CK / Senja Sport AS;FE2;Menn master;0:00.0;4:26.9
39;62;Emil;Kloster Snekkevik;M;NO;TROMSØ;FE2;Menn senior 17-39;0:00.0;4:10.3
17;49;Stig;Solheim;M;NO;Harstad CK;FE2;Menn master;0:00.0;4:26.9
39;18;Hendrik;Kurrikoff;M;EE;Velosolutions;FE2;Menn senior 17-39;0:00.0;4:10.3
39;41;Rasmus;Moxnes;M;NO;Hestesletta Bikers;FE2;Menn senior 17-39;0:00.0;4:10.3
39;71;Gustav;Sandström;M;SE;Velosolution;FE2;Menn senior 17-39;0:00.0;4:10.3
17;36;Joar;Nilsen;M;NO;Narvik CK;FE2;Menn master;0:00.0;4:26.9
;89;Daniel;Bø-Ludviksen;M;NO;HARSTAD;FE2;Junior 13-14;7:38.3;0:00.0
;86;Marcus;Bugge;M;NO;LEKNES;FE2;Junior 13-14;5:30.4;2:07.9
;99;Iver;Fjellaksel;M;NO;HARSTAD;FE2;Junior 13-14;8:52.8;1:14.5
;96;Julie Kvam;Frønum;F;NO;Harstad CK;FE2;Junior 11-12;8:38.7;0:00.0
;93;Ida;Haugsmark;F;NO;Harstad CK / HCK;FE2;Junior 13-14;8:31.4;0:53.1
;75;Cora;Heggen;F;NO;Hck;FE2;Junior 11-12;11:52.6;3:13.9
;87;Daniel;Helgese;M;NO;Harstad CK / HCK;FE2;Junior 13-14;5:45.3;1:53.0
;73;Einar;Instanes;M;NO;Harstad CK;FE2;Junior 13-14;6:26.0;1:12.3
;83;Roel-Johan;Johansen;M;NO;Lofoten Ekstremsportklubb;FE2;Junior 15-16;5:40.8;0:00.0
;92;Iver Wenrui;Karlsen;M;NO;HARSTAD;FE2;Junior 11-12;6:59.6;1:39.1
;77;Darinna;Kellere;F;NO;Harstad CK;FE2;Junior 13-14;9:07.5;1:29.2
;85;Stine;Klaussen;F;NO;Harstad Cykleklubb;FE2;Junior 11-12;8:19.4;0:19.3
;95;Ulrik;Kristensen;M;NO;Harstad CK / Harstad;FE2;Junior 11-12;6:39.0;1:59.7
;88;Ola;Løkstad Kristoffersen;M;NO;Senja CK / Senja Sport AS;FE2;Junior 11-12;5:56.4;2:42.3
;79;Ingvald;Olsen;M;NO;HCK;FE2;Junior 11-12;8:55.4;0:16.7
;98;Henrik Amund;Prestbakmo;M;NO;HARSTAD;FE2;Junior 13-14;12:56.7;5:18.4
;100;Amund;Røkenes;M;NO;Harstad CK;FE2;Junior 13-14;5:13.1;2:25.2
;76;Frida;Røkenes;F;NO;Harstad CK;FE2;Junior 11-12;8:02.9;0:35.8
;78;Viktor;Stattin;M;NO;Harstad CK;FE2;Junior 13-14;6:12.7;1:25.6
;97;Kasper Varg;Stokmo;M;NO;Harstad CK;FE2;Junior 13-14;8:13.7;0:35.4
;81;Snorre;Strand-Løvseth;M;NO;Tromsø CK;FE2;Junior 11-12;8:42.1;0:03.4
;84;Olav Hilding;Uttakleiv;M;NO;Harstad CK;FE2;Junior 11-12;9:25.7;0:47.0
;90;Sivert Jacob;Uttakleiv;M;NO;Harstad CK;FE2;Junior 13-14;6:07.4;1:30.9
;74;Fredrik;Weines;M;NO;Harstad CK;FE2;Junior 13-14;8:29.2;0:50.9
;80;Sigurd;Klefstad;M;NO;Harstad CK;FE2;Junior 15-16;0:00.0;5:40.8
;91;Oliver M;Solheim;M;NO;Harstad CK;FE2;Junior 11-12;0:00.0;8:38.7
1;60;Tord;Nese;M;NO;Bjørn Bygg;FE3;Menn senior 17-39;4:51.6;0:00.0
2;5;Einar;Frønum;M;NO;Harstad CK;FE3;Menn senior 17-39;4:52.5;0:00.9
3;40;Edvard;Vea Iversen;M;NO;Terråk;FE3;Menn senior 17-39;4:54.1;0:02.5
4;58;Sigurd Salberg;Pedersen;M;NO;TROMSØ;FE3;Menn senior 17-39;4:57.9;0:06.3
5;31;Mikael;Vold;M;NO;Bodø Terrengsykkelklubb / Bodø Terrengsykkkelklubb;FE3;Menn senior 17-39;5:02.7;0:11.1
6;68;Gusts;Osmucnieks;M;LV;Beerduro;FE3;Menn senior 17-39;5:04.5;0:12.9
7;57;Martin;Klette;M;NO;BODØ;FE3;Menn senior 17-39;5:05.6;0:14.0
1;1;Anders;Røkenes;M;NO;Harstad CK;FE3;Menn master;5:10.6;0:00.0
8;17;Ole-Martin;Kjellmo;M;NO;BARDUFOSS;FE3;Menn senior 17-39;5:13.5;0:21.9
9;33;Vidar;Wensel;M;NO;Senja CK;FE3;Menn senior 17-39;5:18.4;0:26.8
2;39;William;Salminen;M;NO;Harstad CK;FE3;Menn master;5:22.3;0:11.7
10;14;Håvard;Torvanger;M;NO;Harstad CK;FE3;Menn senior 17-39;5:26.9;0:35.3
11;29;Espen;Karlsen;M;NO;BFT;FE3;Menn senior 17-39;5:27.0;0:35.4
3;46;Martin;Liane;M;NO;Harstad CK;FE3;Menn master;5:29.2;0:18.6
12;2;Fredrik;Leonhardsen;M;NO;HARSTAD;FE3;Menn senior 17-39;5:29.5;0:37.9
13;16;Amund;Korvald;M;NO;SOGNDAL;FE3;Menn senior 17-39;5:30.3;0:38.7
14;3;Håvard;Krey Hansen;M;NO;Senja CK;FE3;Menn senior 17-39;5:31.9;0:40.3
15;53;Knut;Joramo;M;NO;BARDUFOSS;FE3;Menn senior 17-39;5:36.7;0:45.1
16;38;Lars Linaker;Berglund;M;NO;Tromsø Enduro;FE3;Menn senior 17-39;5:36.8;0:45.2
17;25;Rickard;Wessberg;M;SE;Consto Nord;FE3;Menn senior 17-39;5:37.4;0:45.8
18;27;Tore;Joramo;M;NO;BARDUFOSS;FE3;Menn senior 17-39;5:43.6;0:52.0
4;59;Frode;Bredesen;M;NO;Harstad CK;FE3;Menn master;5:48.1;0:37.5
5;13;Gisle;Enge;M;NO;HARSTAD;FE3;Menn master;5:50.4;0:39.8
6;47;Arnulf;Prestbakmo;M;NO;Harstad CK;FE3;Menn master;5:53.9;0:43.3
19;35;Viktor;Larsson;M;SE;DUVED;FE3;Menn senior 17-39;5:54.2;1:02.6
7;48;Finn;Kuntze;M;NO;Harstad CK;FE3;Menn master;5:54.4;0:43.8
20;65;Birk;Selquist;M;NO;Tromsø CK;FE1;Menn senior 17-39;00:00.0;00:00.0;DNS
20;65;Birk;Selquist;M;NO;Tromsø CK;FE2;Menn senior 17-39;00:00.0;00:00.0;DNS
20;65;Birk;Selquist;M;NO;Tromsø CK;FE3;Menn senior 17-39;5:55.1;1:03.5
21;26;Jesper;Stattin;M;DK;Harstad CK;FE3;Menn senior 17-39;5:56.8;1:05.2
22;23;Yngve;Rogstadkjærnet;M;NO;Lofoten Ekstremsportklubb;FE3;Menn senior 17-39;5:58.9;1:07.3
23;66;Marius;Stamnes;M;NO;Harstad CK;FE3;Menn senior 17-39;6:00.3;1:08.7
24;24;Thomas;Ebeltoft;M;NO;STOKMARKNES;FE3;Menn senior 17-39;6:02.4;1:10.8
25;55;Erik Eide;Bye;M;NO;NARVIK;FE2;Menn senior 17-39;00:00.0;00:00.0;DNS
25;55;Erik Eide;Bye;M;NO;NARVIK;FE3;Menn senior 17-39;6:03.4;1:11.8
8;70;Bjørn-Ståle;Larsen;M;NO;Lofoten Ekstremsportklubb;FE3;Menn master;6:03.8;0:53.2
1;37;Linda;Butkus;F;LV;SALASPILS;FE3;Kvinner senior 17-39;6:07.1;0:00.0
9;7;Jonas;Aksmo;M;NO;Lofoten Ekstremsportklubb / Jonas Aksmo;FE3;Menn master;6:10.1;0:59.5
10;21;Peter;Nilsson;M;SE;Vesterålen SK;FE3;Menn master;6:14.0;1:03.4
26;15;Jan-Ove;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE3;Menn senior 17-39;6:18.1;1:26.5
27;45;Andreas;Seger;M;NO;NARVIK;FE3;Menn senior 17-39;6:19.5;1:27.9
28;8;Edgar;Korenkov;M;LV;STOKMARKNES;FE3;Menn senior 17-39;6:28.1;1:36.5
1;6;Louise;Engan;F;NO;Bodø Terrengsykkelklubb;FE3;Kvinner master;6:28.7;0:00.0
11;32;Jimmy;Johansen;M;NO;Lofoten Ekstremsportklubb;FE3;Menn master;6:30.6;1:20.0
29;51;Jahn-Erik;Solheim;M;NO;HARSTAD;FE3;Menn senior 17-39;6:31.8;1:40.2
12;34;Fred;Olsen;M;NO;Harstad CK;FE3;Menn master;6:34.4;1:23.8
30;22;Armands;ZARINS;M;LV;Velosolutions Scandinavia;FE3;Menn senior 17-39;6:34.9;1:43.3
30;22;Armands;ZARINS;M;LV;Velosolutions Scandinavia;FE4;Menn senior 17-39;00:00.0;00:00.0;DNF
31;72;Eirik;Djønne;M;NO;HARSTAD;FE3;Menn senior 17-39;6:36.1;1:44.5
2;52;Siv;Kristoffersen;F;NO;Harstad CK;FE3;Kvinner senior 17-39;6:42.1;0:35.0
3;9;Marte;Bergmann;F;NO;NARVIK;FE3;Kvinner senior 17-39;6:52.0;0:44.9
32;61;Anders;Lagerström;M;SE;HARSTAD;FE3;Menn senior 17-39;6:53.9;2:02.3
33;10;Espen Henriksen;Harper;M;NO;TROMSØ;FE3;Menn senior 17-39;6:59.5;2:07.9
34;20;Håvar;Marsteen;M;NO;TROMSØ;FE3;Menn senior 17-39;7:12.9;2:21.3
13;56;Gjøran;Sommarset;M;NO;HARSTAD;FE3;Menn master;7:16.4;2:05.8
14;43;Paul;Silester;M;NO;HARSTAD;FE3;Menn master;7:42.9;2:32.3
35;11;Pål-Gunnar;Skog;M;NO;HARSTAD;FE3;Menn senior 17-39;7:43.8;2:52.2
4;28;Oda;Førlie;F;NO;NARVIK;FE3;Kvinner senior 17-39;8:08.4;2:01.3
5;30;Rebekka;Laanke;F;NO;LEKNES;FE3;Kvinner senior 17-39;8:33.1;2:26.0
36;12;Morten Monland;Olavsbråten;M;NO;NARVIK;FE3;Menn senior 17-39;18:58.2;14:06.6
37;67;Roger;Berge;M;NO;Harstad CK;FE3;Menn senior 17-39;0:00.0;4:51.6
15;4;Kristoffer;Kristoffersen;M;NO;Senja CK / Senja Sport AS;FE3;Menn master;0:00.0;5:10.6
37;62;Emil;Kloster Snekkevik;M;NO;TROMSØ;FE3;Menn senior 17-39;0:00.0;4:51.6
15;49;Stig;Solheim;M;NO;Harstad CK;FE3;Menn master;0:00.0;5:10.6
37;18;Hendrik;Kurrikoff;M;EE;Velosolutions;FE3;Menn senior 17-39;0:00.0;4:51.6
37;41;Rasmus;Moxnes;M;NO;Hestesletta Bikers;FE3;Menn senior 17-39;0:00.0;4:51.6
37;71;Gustav;Sandström;M;SE;Velosolution;FE3;Menn senior 17-39;0:00.0;4:51.6
15;36;Joar;Nilsen;M;NO;Narvik CK;FE3;Menn master;0:00.0;5:10.6
15;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE3;Menn master;0:00.0;5:10.6
1;5;Einar;Frønum;M;NO;Harstad CK;FE4;Menn senior 17-39;4:25.4;0:00.0
2;40;Edvard;Vea Iversen;M;NO;Terråk;FE4;Menn senior 17-39;4:29.1;0:03.7
3;68;Gusts;Osmucnieks;M;LV;Beerduro;FE4;Menn senior 17-39;4:36.8;0:11.4
1;1;Anders;Røkenes;M;NO;Harstad CK;FE4;Menn master;4:37.8;0:00.0
4;57;Martin;Klette;M;NO;BODØ;FE4;Menn senior 17-39;4:38.4;0:13.0
5;58;Sigurd Salberg;Pedersen;M;NO;TROMSØ;FE4;Menn senior 17-39;4:40.5;0:15.1
6;33;Vidar;Wensel;M;NO;Senja CK;FE4;Menn senior 17-39;4:44.1;0:18.7
7;16;Amund;Korvald;M;NO;SOGNDAL;FE4;Menn senior 17-39;4:48.5;0:23.1
8;31;Mikael;Vold;M;NO;Bodø Terrengsykkelklubb / Bodø Terrengsykkkelklubb;FE4;Menn senior 17-39;4:51.5;0:26.1
9;17;Ole-Martin;Kjellmo;M;NO;BARDUFOSS;FE4;Menn senior 17-39;4:55.8;0:30.4
2;39;William;Salminen;M;NO;Harstad CK;FE4;Menn master;5:00.0;0:22.2
10;2;Fredrik;Leonhardsen;M;NO;HARSTAD;FE4;Menn senior 17-39;5:05.9;0:40.5
11;53;Knut;Joramo;M;NO;BARDUFOSS;FE4;Menn senior 17-39;5:07.6;0:42.2
3;46;Martin;Liane;M;NO;Harstad CK;FE4;Menn master;5:07.7;0:29.9
12;14;Håvard;Torvanger;M;NO;Harstad CK;FE4;Menn senior 17-39;5:10.0;0:44.6
13;3;Håvard;Krey Hansen;M;NO;Senja CK;FE4;Menn senior 17-39;5:10.6;0:45.2
14;29;Espen;Karlsen;M;NO;BFT;FE4;Menn senior 17-39;5:11.4;0:46.0
15;25;Rickard;Wessberg;M;SE;Consto Nord;FE4;Menn senior 17-39;5:13.7;0:48.3
16;35;Viktor;Larsson;M;SE;DUVED;FE4;Menn senior 17-39;5:15.2;0:49.8
17;42;Tor-Øyvind;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE4;Menn senior 17-39;5:21.0;0:55.6
1;6;Louise;Engan;F;NO;Bodø Terrengsykkelklubb;FE4;Kvinner master;5:21.8;0:00.0
4;54;Stian;Storeng;M;NO;Harstad CK;FE4;Menn master;5:23.0;0:45.2
18;27;Tore;Joramo;M;NO;BARDUFOSS;FE4;Menn senior 17-39;5:23.7;0:58.3
19;26;Jesper;Stattin;M;DK;Harstad CK;FE4;Menn senior 17-39;5:25.0;0:59.6
20;63;Trond;Kleven;M;NO;Harstad CK / HCK;FE4;Menn senior 17-39;5:26.3;1:00.9
21;23;Yngve;Rogstadkjærnet;M;NO;Lofoten Ekstremsportklubb;FE4;Menn senior 17-39;5:27.8;1:02.4
5;47;Arnulf;Prestbakmo;M;NO;Harstad CK;FE4;Menn master;5:29.0;0:51.2
1;37;Linda;Butkus;F;LV;SALASPILS;FE4;Kvinner senior 17-39;5:29.9;0:00.0
