bib;name;gender;Club;Class;Pos Klasse;chiptime;diff;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos
25;Knut-Geir Aga;M;Tromsø Enduro;Menn 40-49;10;19:15.2;4:15.000;5:26.4;10;5:22.5;14;5:03.6;12;2:25.7;10;0:57.0;7
26;Stian Storeng;M;Harstad CK;Menn 40-49;11;20:35.7;5:35.500;7:51.6;12;4:53.6;9;4:41.9;4;2:16.6;3;0:52.0;3
27;Rune Stenberg;M;Consto;Menn 40-49;12;20:42.1;5:41.900;5:58.2;11;5:32.6;15;5:15.5;14;2:46.1;13;1:09.7;13
28;Anders Røkenes;M;Harstad CK;Menn 40-49;13;24:30.8;9:30.600;11:55.6;14;4:33.7;4;4:47.5;8;2:26.0;7;0:48.0;2
29;Arne Elvevoll;M;Stend Quickie Left;Menn 40-49;14;32:09.6;17:09.400;8:42.6;13;9:12.0;16;8:32.9;15;3:54.7;14;1:47.4;14
30;Håvard Krey Hansen;M;Senja CK;Menn 40-49;15;DNF;-1;3:46.5;;5:01.6;10;4:47.5;9;12:21.2;15;;DNF
31;Kristoffer Kristoffersen;M;Senja CK;Menn 40-49;16;DNF;-3;3:50.4;;4:51.6;8;;DNS;;DNS;;DNS
32;Marius Stamnes;M;Harstad CK;Menn 40-49;17;DNF;-4;22:08.0;;;DNF;;DNS;;DNS;;DNS
33;Mari Nilsen;F;;Kvinner 40-49;1;26:25.4;0:00.000;7:28.6;1;7:09.3;1;6:50.3;1;3:16.1;1;1:41.1;1
34;Reinis Priedits;M;WBPN AS Velosolutions;Menn 24-39;1;14:05.7;0:00.000;3:13.9;1;4:02.7;1;4:04.8;1;1:59.0;2;0:45.3;1
35;Edvard Vea Iversen;M;Bindal SK;Menn 24-39;2;14:28.2;0:22.500;3:25.1;2;4:11.0;2;4:07.4;3;1:58.7;1;0:46.0;2
36;Jon Vegar Aga Kjærgaard;M;Bergen MTB Klubb;Menn 24-39;3;15:04.1;0:58.400;3:36.6;3;4:15.3;4;4:11.9;4;2:11.5;7;0:48.8;3
37;Tord Krüger Nese;M;Consto;Menn 24-39;4;15:05.8;1:00.100;3:50.1;6;4:12.7;3;4:05.4;2;2:08.1;3;0:49.5;4
38;Sigurd Salberg Pedersen;M;;Menn 24-39;5;15:23.6;1:17.900;3:41.5;5;4:23.0;6;4:17.0;5;2:08.2;4;0:53.9;11
39;Ole-Martin Kjellmo;M;TK BIL;Menn 24-39;6;15:46.6;1:40.900;3:39.7;4;4:33.8;8;4:28.7;8;2:12.9;9;0:51.5;7
40;Martin Borge Olsen;M;Aron Sportsklubb;Menn 24-39;7;15:47.7;1:42.000;3:52.7;7;4:30.0;7;4:24.7;7;2:10.1;6;0:50.2;5
41;Fredrik Leonhardsen;M;;Menn 24-39;8;15:57.1;1:51.400;4:14.4;10;4:22.7;5;4:19.7;6;2:10.0;5;0:50.3;6
42;Antti Heikkilä;M;Klapy;Menn 24-39;9;16:17.4;2:11.700;4:01.8;8;4:36.6;9;4:33.4;9;2:12.1;8;0:53.5;9
43;Simon Clements;M;Tråkk 9000;Menn 24-39;10;16:43.0;2:37.300;4:02.9;9;4:46.6;11;4:42.5;11;2:17.4;11;0:53.6;10
44;Christoffer Borge Olsen;M;Aron Sportsklubb;Menn 24-39;11;17:32.4;3:26.700;4:29.8;11;4:44.6;10;4:50.5;13;2:27.6;14;0:59.9;12
45;Tore Joramo;M;;Menn 24-39;12;17:37.1;3:31.400;4:49.2;13;4:55.1;12;4:43.0;12;2:16.6;10;0:53.2;8
46;Douglas Thom;M;MSSL;Menn 24-39;13;17:41.6;3:35.900;4:38.5;12;5:03.8;15;4:37.4;10;2:19.7;12;1:02.2;17
47;Martin Røkenes;M;;Menn 24-39;14;18:22.1;4:16.400;4:58.0;16;5:02.6;14;4:53.0;14;2:26.1;13;1:02.4;18
48;Thomas Ebeltoft;M;;Menn 24-39;15;18:34.5;4:28.800;4:50.4;14;5:06.0;16;5:02.0;15;2:34.1;15;1:02.0;16
49;Martin Haugland;M;Harstad CK;Menn 24-39;16;19:25.2;5:19.500;5:10.9;17;5:14.7;17;5:21.9;16;2:36.9;16;1:00.8;13
50;René Christian Schultz;M;Harstad CK;Menn 24-39;17;20:23.4;6:17.700;5:14.0;19;5:48.0;18;5:25.2;17;2:47.2;19;1:09.0;20
51;Håvard Torvanger;M;Harstad CK;Menn 24-39;18;20:37.0;6:31.300;4:54.2;15;4:56.4;13;6:17.3;23;3:09.8;23;1:19.3;23
52;Kristoffer Refsnes;M;Skrubbsår og skratt;Menn 24-39;19;20:37.9;6:32.200;5:12.6;18;5:54.9;19;5:48.0;20;2:40.7;17;1:01.7;14
53;Krister Halonen;M;Sirbma IL;Menn 24-39;20;20:59.3;6:53.600;5:28.0;20;6:16.6;20;5:26.5;18;2:42.0;18;1:06.2;19
54;Ola Vollmo;M;;Menn 24-39;21;22:51.4;8:45.700;5:49.1;21;6:56.2;22;5:52.7;21;2:58.1;21;1:15.3;22
55;Espen Henriksen Harper;M;;Menn 24-39;22;23:01.7;8:56.000;5:49.7;22;6:35.4;21;6:12.2;22;3:09.2;22;1:15.2;21
56;Roger Berge;M;Harstad CK;Menn 24-39;23;24:04.2;9:58.500;6:54.0;23;7:30.2;23;5:43.9;19;2:54.2;20;1:01.9;15
57;Anna Littorin-Sandbu;F;SK Rye sykkel;Kvinner 24-39;1;18:47.2;0:00.000;5:17.6;5;5:03.9;1;4:54.7;1;2:30.0;2;1:01.0;2
58;Karoline Dallager;F;;Kvinner 24-39;2;18:48.9;0:01.700;4:43.3;2;5:28.8;3;5:09.0;2;2:29.7;1;0:58.1;1
59;Siv Kristoffersen;F;Harstad CK;Kvinner 24-39;3;19:15.6;0:28.400;4:44.3;3;5:23.2;2;5:20.6;3;2:38.4;3;1:09.1;3
60;Line Tjetland;F;;Kvinner 24-39;4;19:41.3;0:54.100;4:30.9;1;5:42.2;4;5:31.9;55;2:44.7;4;1:11.6;4
61;Marte Bergmann;F;Narvik pushbikers;Kvinner 24-39;5;20:11.2;1:24.000;4:48.5;4;5:49.2;5;5:24.1;4;2:51.1;5;1:18.3;5
62;Karina Endresen;F;;Kvinner 24-39;6;22:41.6;3:54.400;5:34.0;6;6:27.1;6;6:03.3;6;3:06.5;6;1:30.7;6
63;Daniel Helgesen;M;HCK;Gutter 15-16;1;15:11.7;0:00.000;3:34.2;1;4:19.8;1;4:16.0;1;2:10.7;1;0:51.0;2
64;Iver Johan Stenkjær;M;Bodø Terrengsykkelklubb;Gutter 15-16;2;15:50.4;0:38.700;3:51.0;2;4:32.3;2;4:22.5;2;2:13.8;2;0:50.8;1
65;Fredrik Weines;M;Harstad CK;Gutter 15-16;3;17:04.0;1:52.300;4:39.1;3;4:37.0;3;4:25.6;3;2:16.7;3;1:05.6;3
66;Kristian Ingdal Kolstad;M;Bodø Terrengsykkelklubb;Gutter 15-16;4;26:35.0;11:23.300;4:59.1;4;5:11.6;4;5:02.6;4;2:30.8;4;8:50.9;4
67;Lars A. Uttakleiv;M;Harstad CK;Menn 50-59;1;15:43.5;0:00.000;3:44.6;1;4:31.4;1;4:29.1;1;2:08.2;1;0:50.2;1
68;Hugo Nygård Pettersen;M;Harstad ck;Menn 50-59;2;17:36.3;1:52.800;4:17.6;2;5:03.6;4;4:53.0;4;2:23.2;3;0:58.9;4
69;Sten Andre Stenkjær;M;Bodø Terrengsykkelklubb;Menn 50-59;3;17:40.5;1:57.000;4:32.5;3;4:51.1;2;4:52.5;3;2:27.6;5;0:56.8;3
70;Svein Are Andreassen;M;Harstad CK;Menn 50-59;4;17:59.6;2:16.100;5:01.6;4;4:53.2;3;4:51.6;2;2:19.7;2;0:53.5;2
71;Ole Tunes;M;Harstad CK;Menn 50-59;5;20:49.8;5:06.300;5:55.0;6;5:43.7;5;5:18.4;5;2:27.3;4;1:25.4;8
72;Truls Haugsmark;M;Harstad CK;Menn 50-59;6;21:56.6;6:13.100;6:21.7;7;6:01.8;6;5:43.4;7;2:41.6;6;1:08.1;5
73;Peter Nilsson;M;Vesterålen SK;Menn 50-59;7;22:07.7;6:24.200;5:15.0;5;6:56.4;8;5:48.1;8;2:53.2;7;1:15.0;6
74;Kjell Ingdal;M;Bodø Terrengsykkelklubb;Menn 50-59;8;24:41.4;8:57.900;7:55.4;9;6:54.7;7;5:31.3;6;3:00.6;8;1:19.4;7
75;Florian Praël;M;;Menn 50-59;9;26:51.2;11:07.700;7:22.3;8;7:48.5;9;6:39.6;9;3:24.8;9;1:36.0;9
78;Bent Ebeltoft;M;Vesterålen SK;Menn 60-69;1;26:26.7;0:00.000;6:54.8;1;7:23.5;1;7:05.0;1;3:46.3;1;1:17.1;1
79;Erle Berg Liane;F;Harstad CK;Jenter 13-14;1;17:51.1;;;1;6:49.1;1;6:24.0;1;3:03.1;1;1:34.9;1
