bib;name;gender;Club;Class;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;chiptime;;
128;Thorstein Gallefoss;M;BMK;Menn senior;16;0:07:18;17;0:03:51;10;0:03:08;21;0:05:16;19;0:04:23;00:23:56;;
124;Emil Carlson;M;SK Rye TREK Sweet Protection CamelBak;Menn senior;22;0:07:28;19;0:03:52;16;0:03:12;26;0:05:20;16;0:04:19;00:24:11;;
130;Adrian Hilde;M;KCK;Menn senior;21;0:07:28;24;0:03:57;20;0:03:17;15;0:05:09;17;0:04:20;00:24:11;;
143;Bård Stærkebye Pettersen;M;Team Sykleriet Nedover;Menn senior;45;0:08:18;13;0:03:42;11;0:03:08;11;0:04:53;12;0:04:13;00:24:14;;
90;Carl Blomqvist;M;Ck master ;Menn senior;24;0:07:31;16;0:03:51;21;0:03:17;24;0:05:18;20;0:04:24;00:24:21;;
121;Andreas Øhrn;M;NTG Lillehammer;Menn senior;7;0:06:40;75;0:05:26;9;0:03:07;12;0:04:53;15;0:04:18;00:24:24;;
131;Baard Hellebostad;M;Aron SK;Menn senior;15;0:07:17;32;0:04:04;24;0:03:23;19;0:05:13;29;0:04:36;00:24:33;;
123;Joachim Ski Torp;M;Aron SK;Menn senior;27;0:07:41;22;0:03:55;25;0:03:23;16;0:05:09;23;0:04:26;00:24:34;;
73;Harald Brekke;M;Team Ibis Norge;Menn senior;28;0:07:43;20;0:03:53;23;0:03:22;23;0:05:16;21;0:04:24;00:24:38;;
76;Gard Brovold;M;Maridalen skiklubb;Menn senior;23;0:07:30;18;0:03:52;33;0:03:31;28;0:05:27;18;0:04:21;00:24:41;;
144;Bjørn Ballangrud;M;NTG Lillehammer;Menn senior;26;0:07:37;28;0:04:03;31;0:03:30;27;0:05:21;25;0:04:31;00:25:02;;
64;Øyvind Sætra;M;Sogn CK;Menn senior;20;0:07:24;53;0:04:26;41;0:03:42;25;0:05:19;22;0:04:25;00:25:16;;
56;John Ola Buøy;M;Team Ibis Norge;Menn senior;34;0:07:50;30;0:04:03;28;0:03:26;29;0:05:27;27;0:04:35;00:25:21;;
51;Oskar Omdal;M;sokndal idrettsklubb;Menn senior;25;0:07:35;39;0:04:10;34;0:03:32;35;0:05:40;28;0:04:36;00:25:33;;
132;Simon Johansson;M;IK HERO;Menn senior;37;0:07:55;37;0:04:08;32;0:03:31;31;0:05:28;26;0:04:32;00:25:34;;
48;Kristian Holiman;M;Santa Cruz Norge;Menn senior;29;0:07:45;35;0:04:07;29;0:03:27;34;0:05:36;36;0:04:42;00:25:37;;
87;Simon Halt;M;CF Fricyklister;Menn senior;39;0:07:59;34;0:04:05;43;0:03:43;30;0:05:27;24;0:04:30;00:25:44;;
85;Niklas Bergström;M;MK Orion;Menn senior;41;0:08:02;31;0:04:04;35;0:03:37;40;0:05:51;37;0:04:45;00:26:19;;
46;Niklas Halvorsen;M;KCK;Menn senior;18;0:07:21;77;0:05:29;22;0:03:19;32;0:05:32;33;0:04:40;00:26:21;;
79;Björn Larsson;M;Åre Bergscyklister;Menn senior;50;0:08:24;27;0:04:02;38;0:03:41;33;0:05:36;34;0:04:41;00:26:24;;
74;Sigmund Horrig;M;Aron SK;Menn senior;36;0:07:55;45;0:04:16;52;0:03:51;36;0:05:42;42;0:04:48;00:26:32;;
92;Timo Johansson;M;Hunneberg sport och morion;Menn senior;35;0:07:54;29;0:04:03;42;0:03:43;38;0:05:44;63;0:05:12;00:26:36;;
55;Ola Myklatun Krosness;M;;Menn senior;38;0:07:56;38;0:04:09;50;0:03:51;46;0:05:57;50;0:04:53;00:26:46;;
78;Kristoffer Apeland;M;Ck haugaland;Menn senior;31;0:07:47;25;0:03:57;30;0:03:29;42;0:05:53;68;0:05:41;00:26:47;;
122;Simen Kalnæs Danielsen;M;Drøbak SK;Menn senior;46;0:08:18;40;0:04:11;40;0:03:42;51;0:06:02;30;0:04:37;00:26:50;;
86;Daniel Skarp;M;Team Sportspec.se;Menn senior;42;0:08:11;46;0:04:18;36;0:03:38;50;0:05:58;40;0:04:46;00:26:51;;
67;Jonas Olsson;M;SK Rye;Menn senior;49;0:08:23;44;0:04:15;39;0:03:41;39;0:05:47;39;0:04:46;00:26:52;;
80;Pontus Bard;M;Norrköping SK;Menn senior;43;0:08:11;43;0:04:15;57;0:03:56;37;0:05:43;44;0:04:49;00:26:54;;
60;Jonathan Paddon;M;;Menn senior;44;0:08:15;41;0:04:13;49;0:03:47;49;0:05:58;48;0:04:51;00:27:04;;
65;Fredrik Smith;M;Njård;Menn senior;48;0:08:21;42;0:04:13;46;0:03:47;53;0:06:06;45;0:04:50;00:27:17;;
38;Joffrey Thevenon;M;;Menn senior;52;0:08:31;49;0:04:23;44;0:03:45;44;0:05:55;41;0:04:47;00:27:21;;
82;Henrik Lilja;M;Crème Fraiche Bicycle Club;Menn senior;53;0:08:32;50;0:04:23;54;0:03:53;43;0:05:53;38;0:04:45;00:27:26;;
31;Jono Cook;M;Kangaroos ;Menn senior;40;0:08:01;36;0:04:08;59;0:03:56;62;0:06:30;53;0:04:57;00:27:32;;
57;Tage Rickard Sundell;M;Sogn CK;Menn senior;55;0:08:34;48;0:04:22;53;0:03:52;56;0:06:10;31;0:04:38;00:27:36;;
43;Ola Ranes;M;BMK;Menn senior;51;0:08:27;55;0:04:27;51;0:03:51;41;0:05:52;56;0:05:00;00:27:37;;
81;Mårten stål Sjöberg;M;Team Nava;Menn senior;47;0:08:19;58;0:04:30;37;0:03:40;55;0:06:08;58;0:05:02;00:27:39;;
93;Jacob Ekström;M;Västerås CK;Menn senior;32;0:07:47;76;0:05:28;47;0:03:47;45;0:05:57;35;0:04:41;00:27:40;;
58;Thomas Rambekk Henriksen;M;Solum TSK;Menn senior;60;0:08:42;57;0:04:28;48;0:03:47;47;0:05:57;47;0:04:51;00:27:45;;
63;Eirik Lind Hånes;M;Team Shredalot;Menn senior;59;0:08:37;54;0:04:26;63;0:04:05;48;0:05:58;43;0:04:48;00:27:54;;
72;Sander Sølvberg;M;Santa Cruz Norge;Menn senior;58;0:08:35;60;0:04:32;58;0:03:56;52;0:06:03;52;0:04:56;00:28:02;;
69;Ole André Tveit;M;Kragerø Sykkelklubb;Menn senior;56;0:08:34;62;0:04:37;61;0:03:58;54;0:06:07;49;0:04:52;00:28:08;;
59;Lavra Lund Balto;M;BMK;Menn senior;54;0:08:33;51;0:04:24;62;0:04:01;59;0:06:20;54;0:05:00;00:28:18;;
47;Anders Hereid;M;BMK;Menn senior;57;0:08:35;59;0:04:30;60;0:03:58;57;0:06:15;61;0:05:08;00:28:26;;
77;JENS-MARTIN JOHNSRUD;M;Sykleriet;Menn senior;67;0:09:02;64;0:04:37;45;0:03:47;58;0:06:18;51;0:04:56;00:28:40;;
42;Rickard Wessberg;M;Team Nava;Menn senior;69;0:09:04;61;0:04:34;65;0:04:11;61;0:06:29;64;0:05:16;00:29:34;;
32;Campbell Stannard;M;Kangaroos;Menn senior;70;0:09:05;52;0:04:26;66;0:04:12;68;0:06:54;60;0:05:07;00:29:44;;
91;Dan Freiman;M;;Menn senior;66;0:08:57;67;0:04:40;76;0:04:48;60;0:06:24;57;0:05:01;00:29:50;;
62;Knut Erik Haugen;M;CK Nittedal;Menn senior;65;0:08:57;63;0:04:37;67;0:04:14;63;0:06:30;67;0:05:33;00:29:51;;
71;Fredrik Tøien;M;Torshov World Cup Team;Menn senior;71;0:09:06;66;0:04:38;74;0:04:44;65;0:06:34;62;0:05:09;00:30:11;;
36;Nicolas Yann Couturier;M;;Menn senior;73;0:09:34;69;0:04:45;69;0:04:18;67;0:06:44;66;0:05:22;00:30:43;;
89;Alexander Hellevik;M;;Menn senior;75;0:09:50;71;0:04:52;71;0:04:27;64;0:06:31;65;0:05:22;00:31:02;;
61;Oskar Brodin;M;Hemsedal IL Sykkel;Menn senior;72;0:09:19;73;0:05:03;72;0:04:35;69;0:07:08;69;0:05:45;00:31:50;;
41;Rob McDonald;M;;Menn senior;68;0:09:02;68;0:04:43;64;0:04:11;73;0:09:15;59;0:05:02;00:32:13;;
33;Colin Furmston;M;;Menn senior;76;0:10:44;74;0:05:20;73;0:04:44;70;0:07:18;70;0:05:45;00:33:51;;
35;Scott Wilson;M;;Menn senior;64;0:08:52;79;0:08:53;75;0:04:44;72;0:07:45;72;0:06:12;00:36:26;;
40;Atle Philip Gulliksen;M;OSI;Menn senior;77;0:12:09;78;0:06:22;78;0:06:01;74;0:09:24;73;0:06:48;00:40:44;;
52;Kristian Hauglum;M;Njård;Menn senior;61;0:08:44;56;0:04:27;55;0:03:54;75;0:23:11;46;0:04:51;00:45:07;;
45;Andreas Aalby;M;Asker CK;Menn senior;30;0:07:46;26;0:04:01;26;0:03:24;76;0:28:51;55;0:05:00;00:49:02;;
146;Preben Alexander Nøkleby;M;BMK;Menn senior;79;0:17:43;11;0:03:40;18;0:03:13;18;0:05:12;74;0:19:28;00:49:16;;
147;Frikk Hess-Bolstad;M;IK HERO;Menn senior;81;0:31:49;15;0:03:44;27;0:03:24;22;0:05:16;71;0:05:49;00:50:02;;
84;Wilmer Hareskog;M;Tullinge SK;Menn senior;62;0:08:46;65;0:04:37;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;00:13:23;;
140;Anton Karlsson;M;Ulricehamn CK ;Menn senior;13;0:07:07;80;0:09:29;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;00:16:36;;
39;Inge Flaat;M;Team Nava;Menn senior;74;0:09:36;70;0:04:50;68;0:04:17;DNS;00:00:00;DNS;00:00:00;00:18:43;;
68;Petter Anthonsen;M;Toten-kranken CK;Menn senior;63;0:08:51;47;0:04:22;56;0:03:54;66;0:06:38;DNS;00:00:00;00:23:45;;
125;Andre Aamodt;M;Santa Cruz Norge;Menn senior;78;0:13:37;81;0:10:59;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;00:24:36;;
54;Magnus Grönberg;M;Hemsedal IL Sykkel;Menn senior;33;0:07:48;23;0:03:56;77;0:05:30;71;0:07:33;DNS;00:00:00;00:24:47;;
49;Andreas Torgersen;M;KCK;Menn senior;80;0:18:27;72;0:05:03;70;0:04:19;DNS;00:00:00;DNS;00:00:00;00:27:49;;
109;Fredrik Lysakerrud;M;Odal SK ;Master Menn;4;0:07:55;3;0:04:07;3;0:03:32;2;0:05:30;1;0:04:24;00:25:28;;
116;Daniel Sjölander;M;Crème Fraiche Bicycle Club;Master Menn;3;0:07:52;1;0:04:05;2;0:03:30;1;0:05:24;4;0:04:41;00:25:32;;
108;Stig Ove Simensen;M;;Master Menn;7;0:08:12;2;0:04:06;1;0:03:25;4;0:05:35;2;0:04:28;00:25:46;;
103;Øyvind Hem;M;;Master Menn;2;0:07:45;6;0:04:17;4;0:03:32;3;0:05:35;5;0:04:43;00:25:52;;
115;Johan Schjerve;M;Team Nava;Master Menn;1;0:07:41;5;0:04:11;8;0:03:50;6;0:05:45;6;0:04:44;00:26:11;;
114;Arild Gravdal;M;BMK;Master Menn;5;0:08:01;7;0:04:20;6;0:03:39;5;0:05:39;3;0:04:39;00:26:18;;
105;Shane Kroeger;M;Derailed;Master Menn;6;0:08:05;4;0:04:07;5;0:03:34;8;0:05:58;7;0:04:46;00:26:30;;
104;Espen Kebely;M;Flytsti;Master Menn;8;0:08:39;10;0:04:40;9;0:03:53;7;0:05:50;8;0:04:49;00:27:51;;
113;Anders Lantz;M;Team Sportspec.se;Master Menn;9;0:08:45;8;0:04:22;7;0:03:50;9;0:06:22;9;0:05:02;00:28:21;;
102;Rune Hennie;M;Odal SK ;Master Menn;10;0:08:57;12;0:04:41;10;0:03:58;10;0:06:32;11;0:05:19;00:29:27;;
53;Anders Disen;M;Odal SK ;Master Menn;11;0:09:12;11;0:04:41;11;0:04:02;11;0:06:40;14;0:05:37;00:30:12;;
111;Christian Aronsen;M;BMK;Master Menn;13;0:09:39;13;0:04:50;13;0:04:27;13;0:07:30;12;0:05:27;00:31:53;;
110;Hans Hellsmark;M;Göteborgs Stigcyklister;Master Menn;14;0:09:55;14;0:04:58;12;0:04:22;14;0:07:44;13;0:05:36;00:32:35;;
101;Gunnar Westholm;M;Hemsedal IL Sykkel;Master Menn;15;0:10:42;15;0:05:24;15;0:04:44;12;0:07:15;15;0:05:44;00:33:49;;
112;Geir Hanssen;M;Stiftstaden sykkelklubb;Master Menn;12;0:09:19;9;0:04:38;14;0:04:36;DNS;00:00:00;10;0:05:18;00:23:51;;
27;Frank Jonny Brenno;M;;Explorer klasse;2;0:09:05;2;0:04:36;2;0:04:02;1;0:05:50;1;0:04:56;00:28:29;;
28;Joakim Ericsson;M;;Explorer klasse;3;0:09:50;3;0:04:59;5;0:04:31;2;0:06:18;2;0:05:20;00:30:58;;
22;Michael Lund;M;SK Rye;Explorer klasse;4;0:10:17;4;0:04:59;3;0:04:19;4;0:06:42;3;0:05:22;00:31:39;;
24;Eirik Monsen;M;Baerum OC;Explorer klasse;1;0:08:32;1;0:04:16;1;0:03:52;3;0:06:42;4;0:05:44;00:29:06;;
23;Rasmus Larsson;M;;Explorer klasse;5;0:10:43;5;0:05:10;6;0:04:46;5;0:07:20;5;0:05:47;00:33:46;;
21;Martin Strømstad;M;;Explorer klasse;8;0:39:23;8;0:05:48;7;0:04:47;6;0:49:58;6;0:06:23;01:46:19;;
25;Odin Gundesø;M;;Explorer klasse;6;0:10:48;6;0:05:10;4;0:04:20;DNF;00:00:00;7;0:15:20;00:35:38;;
