Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
36;4;Henning;Hovlan;M;NOR;BÆRUMS VERK;FE 1;M Senior;5:23.0;1:24.9;2016-08-28T10:25:23.0480000;BÆRUMS VERK
37;121;Rune;Gundersen;M;NOR;Oppdal SK;FE 1;M Senior;5:25.0;1:26.9;2016-08-28T10:42:55.9400000;VOGNILL
38;31;Bård;Smestad;M;NOR;JAKOBSLI;FE 1;M Senior;5:25.6;1:27.5;2016-08-28T10:19:56.4010000;JAKOBSLI
39;107;Tom;Ruud;M;NOR;Lillehammer CK;FE 1;M Senior;5:26.7;1:28.6;2016-08-28T10:32:27.3440000;Lillehammer
40;88;Per Christian;Dahl;M;NOR;Hemsedal IL Sykkel;FE 1;M Senior;5:26.8;1:28.7;2016-08-28T10:27:58.1890000;HEMSEDAL
41;154;Mathias;Strøm;M;NOR;TVK;FE 1;M Senior;5:32.9;1:34.8;2016-08-28T10:40:34.0630000;Namsos
42;19;Øystein T.;Christensen;M;NOR;TRONDHEIM;FE 1;M Senior;5:34.1;1:36.0;2016-08-28T10:37:04.8040000;TRONDHEIM
43;48;Daniel;Bengtsson;M;SWE;DUVED;FE 1;M Senior;5:34.2;1:36.1;2016-08-28T10:55:35.0740000;Duved
44;119;Håkon;Mæhle;M;NOR;Oppdal SK;FE 1;M Senior;5:35.4;1:37.3;2016-08-28T10:16:06.3130000;
45;134;Odd Magnus;Guldal;M;NOR;SK Rye sykkel;FE 1;M Senior;5:36.3;1:38.2;2016-08-28T10:59:07.3930000;Oslo
46;153;Frode;Sørøy;M;NOR;TVK;FE 1;M Senior;5:36.6;1:38.5;2016-08-28T10:36:37.2400000;HEIMDAL
47;34;Magnus;Innerdal;M;NOR;RANHEIM;FE 1;M Senior;5:37.0;1:38.9;2016-08-28T10:46:07.7840000;RANHEIM
48;64;Mads;Øftshus;M;NOR;Bergen MTB Klubb;FE 1;M Senior;5:37.8;1:39.7;2016-08-28T10:21:38.8730000;BERGEN
49;139;Harald;Brekke;M;NOR;SK Rye sykkel;FE 1;M Senior;5:42.6;1:44.5;2016-08-28T10:58:43.2240000;Snarøya
50;76;Christoffer Engebretsen;Bakke;M;NOR;Drøbak-Frogn IL Sykkel;FE 1;M Senior;5:43.9;1:45.8;2016-08-28T10:24:44.6600000;VESTBY
51;158;Olav;Fosshaugen;M;NOR;OSLO;FE 1;M Senior;5:44.4;1:46.3;2016-08-28T10:35:15.4620000;OSLO
52;26;Tommy;Pham;M;NOR;OSLOSLO;FE 1;M Senior;5:45.2;1:47.1;2016-08-28T10:19:46.1100000;OSLOslo
53;44;Jon-Gunnar;Fredriksen;M;NOR;OSLO;FE 1;M Senior;5:45.2;1:47.1;2016-08-28T10:28:46.2120000;Oslo
54;82;Trym;Flaget;M;NOR;Hemsedal IL Sykkel;FE 1;M Senior;5:46.0;1:47.9;2016-08-28T10:29:47.2230000;Hemsedal
55;90;Andreas Strømsvåg;Francke;M;NOR;IF Frøy;FE 1;M Senior;5:46.7;1:48.6;2016-08-28T10:29:17.7220000;Oslo
56;73;Aleksander;Ødegård;M;NOR;Drammen CK;FE 1;M Senior;5:46.9;1:48.8;2016-08-28T10:57:47.6370000;KONGSBERG
57;137;Nicolas Yann;Couturier;M;FRA;SK Rye sykkel;FE 1;M Senior;5:47.6;1:49.5;2016-08-28T11:00:18.3350000;Oslo
58;7;Geir;Jørgensen;M;NOR;OSLO;FE 1;M Senior;5:49.3;1:51.2;2016-08-28T10:39:50.4280000;OSLO
59;61;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;FE 1;M Senior;5:49.8;1:51.7;2016-08-28T10:46:50.5530000;BERGEN
60;20;Viktor;Linnerö;M;SWE;ÅRE;FE 1;M Senior;5:52.6;1:54.5;2016-08-28T10:55:23.4160000;Åre
61;49;Jørgen;Heir;M;NOR;Aron Skiklubb;FE 1;M Senior;5:53.0;1:54.9;2016-08-28T10:15:23.9560000;Kongsberg
62;81;Jørgen;Tollefsrud;M;NOR;Hasle-Løren IL;FE 1;M Senior;5:53.1;1:55.0;2016-08-28T10:32:24.0120000;Oslo
63;155;Marius;Hopen;M;NOR;TVK;FE 1;M Senior;5:53.7;1:55.6;2016-08-28T10:36:24.3340000;HEIMDAL
64;29;Colin;Furmston;M;AUS;OTTESTAD;FE 1;M Senior;5:58.0;1:59.9;2016-08-28T10:45:58.4420000;OTTESTAD
65;151;Frank Sindre;Thoresen;M;NOR;Stiftstaden SK Trondheim;FE 1;M Senior;6:02.9;2:04.8;2016-08-28T10:22:33.3550000;TRONDHEIM
66;40;Stian;Engebretsen;M;NOR;SKEDSMOKORSET;FE 1;M Senior;6:03.2;2:05.1;2016-08-28T10:44:03.9950000;SKEDSMOKORSET
67;132;Dag Harald;Bakken;M;NOR;Røros IL Sykkel;FE 1;M Senior;6:07.1;2:09.0;2016-08-28T10:24:08.3420000;RØROS
68;79;Robert;Torp;M;NOR;Gresvik IF;FE 1;M Senior;6:08.6;2:10.5;2016-08-28T10:34:09.4680000;Fredrikstad
69;93;Eivind;Bjerke;M;NOR;IK Hero;FE 1;M Senior;6:14.3;2:16.2;2016-08-28T10:39:44.7640000;OSLO
70;94;Stian;Hammer;M;NOR;IL Norodd;FE 1;M Senior;6:18.1;2:20.0;2016-08-28T10:38:18.6400000;Oslo
71;11;Eirik;Bækken;M;NOR;OS I ØSTERDALEN;FE 1;M Senior;6:18.7;2:20.6;2016-08-28T10:15:19.5210000;OS I ØSTERDALEN
72;59;Henrik;Muhlbradt;M;NOR;Bærum OCK;FE 1;M Senior;6:19.6;2:21.5;2016-08-28T10:45:50.2150000;Oslo
73;14;Kasper;Madsen;M;NOR;BEITOSTØLEN;FE 1;M Senior;6:20.5;2:22.4;2016-08-28T10:51:51.3280000;BEITOSTØLEN
74;35;Lars Thore;Aarrestad;M;NOR;TRONDHEIM;FE 1;M Senior;6:27.0;2:28.9;2016-08-28T10:52:27.4750000;TRONDHEIM
75;127;Stian;Eilifsen;M;NOR;Romeriksåsen SK;FE 1;M Senior;6:27.5;2:29.4;2016-08-28T10:49:58.3590000;SKJETTEN
76;42;Svenn Morten;Iversen;M;NOR;NAMSOS;FE 1;M Senior;6:31.2;2:33.1;2016-08-28T10:35:32.0010000;NAMSOS
77;12;Anders;Lundestad;M;NOR;MOSJØEN;FE 1;M Senior;6:31.4;2:33.3;2016-08-28T10:43:02.6500000;MOSJØEN
78;45;Lasse;Storholt;M;NOR;HYGGEN;FE 1;M Senior;6:32.5;2:34.4;2016-08-28T10:27:33.3690000;HYGGEN
79;128;Geir Vidar;Bjørndalen;M;NOR;Romeriksåsen SK;FE 1;M Senior;6:34.3;2:36.2;2016-08-28T10:51:05.0040000;Gjerdrum
80;23;Ketil;Lindberg;M;NOR;TRONDHEIM;FE 1;M Senior;6:34.9;2:36.8;2016-08-28T10:23:35.9450000;TRONDHEIM
81;150;Geir;Hanssen;M;NOR;Stiftstaden SK Trondheim;FE 1;M Senior;6:35.3;2:37.2;2016-08-28T10:53:35.8840000;Trondheim
82;47;Jostein;Semb;M;NOR;GJERDRUM;FE 1;M Senior;6:43.8;2:45.7;2016-08-28T10:50:44.6920000;GJERDRUM
83;68;Andreas;Klette;M;NOR;Bodø Freeride Team;FE 1;M Senior;6:45.1;2:47.0;2016-08-28T10:53:15.9830000;BODØ
84;95;Tomas;Hånde;M;NOR;IL Norodd;FE 1;M Senior;6:50.8;2:52.7;2016-08-28T10:48:51.6950000;KRISTIANSUND N
85;116;Sindre;Støer;M;NOR;Oppdal SK;FE 1;M Senior;6:53.0;2:54.9;2016-08-28T10:57:53.5650000;Gjettum
86;101;Morten;Ligård;M;NOR;Kongsberg IF Sykkel;FE 1;M Senior;6:54.9;2:56.8;2016-08-28T10:54:25.5390000;Kongsberg
87;25;Ole Henrik Løland;Eriksen;M;NOR;OSLO;FE 1;M Senior;7:01.8;3:03.7;2016-08-28T10:41:32.8620000;OSLO
88;36;Stein Kåre;Øfjord;M;NOR;NITTEDAL;FE 1;M Senior;7:12.0;3:13.9;2016-08-28T10:28:43.2150000;NITTEDAL
89;41;Peter;Weir;M;NOR;NYBORG;FE 1;M Senior;7:17.3;3:19.2;2016-08-28T10:48:48.4010000;NYBORG
90;18;Magnus;Jansson;M;NOR;ÅRE;FE 1;M Senior;7:25.2;3:27.1;2016-08-28T10:57:55.9130000;Åre
91;56;Torolv;Bjørnsgaard;M;NOR;Asker CK;FE 1;M Senior;7:27.2;3:29.1;2016-08-28T10:58:57.7600000;Lommedalen
92;22;Tor Arne;Holen;M;NOR;TORP;FE 1;M Senior;7:37.6;3:39.5;2016-08-28T10:55:38.2270000;TORP
93;27;Bartek;Wichrowski;M;NOR;KRISTIANSUND N;FE 1;M Senior;7:39.3;3:41.2;2016-08-28T10:43:10.3200000;KRISTIANSUND N
94;1;Adam;Hahne;M;NOR;KOLBOTN;FE 1;M Senior;7:41.4;3:43.3;2016-08-28T10:44:41.4000000;Kolbotn
95;24;Preben Lunde;Simonsen;M;NOR;TRONDHEIM;FE 1;M Senior;8:31.7;4:33.6;2016-08-28T11:01:02.5650000;TRONDHEIM
96;143;Lars Kristian;Günther;M;NOR;Skjeberg CK;FE 1;M Senior;8:37.5;4:39.4;2016-08-28T10:57:08.2180000;DEGERNES
97;77;Hallvard;Futterer-Wannebo;M;NOR;Follo SK;FE 1;M Senior;8:57.4;4:59.3;2016-08-28T10:28:28.4250000;ÅS
98;9;Nikolai;Sele;M;NOR;SANDANE;FE 1;M Senior;15:18.3;11:20.2;2016-08-28T10:23:48.9320000;SANDANE
99;159;Martin;Haugland;M;NOR;IL Norodd;FE 1;M Senior;17:32.0;13:33.9;2016-08-28T10:50:02.9020000;KRISTIANSUND N
1;160;Hilde;Strædet;F;NOR;Kristiansands CK;FE 2;K Senior;11:12.5;0:00.0;2016-08-28T11:47:23.0000000;Kristiansand S
2;53;Stina;Bondehagen;F;NOR;Aron Skiklubb;FE 2;K Senior;11:25.5;0:13.0;2016-08-28T11:49:07.0000000;Oslo
3;84;Helene Thon;Moland;F;NOR;Hemsedal IL Sykkel;FE 2;K Senior;12:08.1;0:55.6;2016-08-28T11:48:28.0000000;Hosle
4;109;Anne;Melbo;F;NOR;Molde CK;FE 2;K Senior;12:09.2;0:56.7;2016-08-28T12:28:59.0000000;Molde
5;161;Ida;Håkonsson;F;NOR;SK Rye Sykkel;FE 2;K Senior;12:27.5;1:15.0;2016-08-28T12:28:12.0000000;Oslo
6;74;Alice;Grindheim;F;NOR;Drammen CK;FE 2;K Senior;12:42.6;1:30.1;2016-08-28T12:27:25.0000000;Oslo
7;43;Anette Røssum;Bastnes;F;NOR;OSLO;FE 2;K Senior;12:43.8;1:31.3;2016-08-28T12:28:40.0000000;Oslo
8;91;Marte;Lund;F;NOR;IF Frøy;FE 2;K Senior;13:57.8;2:45.3;2016-08-28T12:01:34.0000000;Oslo
9;98;Julie;Appelkvist;F;NOR;IL Stjørdals-Blink;FE 2;K Senior;14:02.5;2:50.0;2016-08-28T12:22:33.0000000;TRONDHEIM
10;105;Julia;Hamre;F;SWE;Lågen CK;FE 2;K Senior;14:13.0;3:00.5;2016-08-28T12:10:53.0000000;Ringebu
11;122;Eva;Spilleth;F;NOR;Oppdal SK;FE 2;K Senior;14:37.3;3:24.8;2016-08-28T12:30:33.0000000;VOGNILL
12;50;Silje Katarina;Holmsen;F;NOR;Aron Skiklubb;FE 2;K Senior;14:37.4;3:24.9;2016-08-28T12:08:18.0000000;Drammen
13;6;Marit;Rolvsjord;F;NOR;OPPDAL;FE 2;K Senior;14:48.7;3:36.2;2016-08-28T12:31:00.0000000;OPPDAL
14;97;Siv;Kristoffersen;F;NOR;IL Norodd;FE 2;K Senior;16:39.2;5:26.7;2016-08-28T12:32:48.0000000;Kristiansund N
15;52;Silje;Gjerde;F;NOR;Aron Skiklubb;FE 2;K Senior;18:59.7;7:47.2;2016-08-28T12:20:58.0000000;OSLO
1;141;Zakarias Blom;Johansen;M;NOR;SK Rye sykkel;FE 2;M Senior;8:43.3;0:00.0;2016-08-28T11:34:46.0000000;Kolsås
2;66;Espen;Johnsen;M;NOR;Bergen MTB Klubb;FE 2;M Senior;9:12.3;0:29.0;2016-08-28T11:35:30.0000000;Bergen
3;63;Preben;Nøkleby;M;NOR;Bergen MTB Klubb;FE 2;M Senior;9:16.5;0:33.2;2016-08-28T11:37:06.0000000;BERGEN
4;115;Andreas;Øhrn;M;NOR;Oppdal SK;FE 2;M Senior;9:22.0;0:38.7;2016-08-28T11:38:12.0000000;OPPDAL
5;72;Lars;Sandviken;M;NOR;Drammen CK;FE 2;M Senior;9:35.3;0:52.0;2016-08-28T11:37:36.0000000;KONGSBERG
6;120;Snorre;Setrom;M;NOR;Oppdal SK;FE 2;M Senior;9:43.8;1:00.5;2016-08-28T11:42:07.0000000;OPPDAL
7;142;Thomas;Klingenberg;M;NOR;SK Rye sykkel;FE 2;M Senior;9:45.8;1:02.5;2016-08-28T11:36:14.0000000;Oslo
8;92;Simon;Johansson;M;SWE;IK Hero;FE 2;M Senior;9:48.3;1:05.0;2016-08-28T11:39:52.0000000;Slependen
9;157;Kristoffer;Haugland;M;NOR;OSLO;FE 2;M Senior;9:53.3;1:10.0;2016-08-28T11:36:46.0000000;OSLO
10;17;Magnus;Drøpping;M;NOR;TRONDHEIM;FE 2;M Senior;10:04.2;1:20.9;2016-08-28T11:43:22.0000000;TRONDHEIM
11;51;Baard;Hellebostad;M;NOR;Aron Skiklubb;FE 2;M Senior;10:07.6;1:24.3;2016-08-28T11:41:44.0000000;Borgen
12;149;Øyvind;Sætra;M;NOR;Sogn CK;FE 2;M Senior;10:08.0;1:24.7;2016-08-28T11:40:31.0000000;Sogndal
13;148;Tage Rickard;Sundell;M;SWE;Sogn CK;FE 2;M Senior;10:08.1;1:24.8;2016-08-28T11:40:56.0000000;LEIKANGER
14;89;Erlend Hegrum;Askjer;M;NOR;Horten og Omegn's Cykleklubb;FE 2;M Senior;10:10.2;1:26.9;2016-08-28T12:04:07.0000000;Horten
15;112;Johan;Schjerve;M;NOR;Namdal SK;FE 2;M Senior;10:12.9;1:29.6;2016-08-28T11:39:29.0000000;Namsos
16;111;Pål;Nakken;M;NOR;Molde CK;FE 2;M Senior;10:15.9;1:32.6;2016-08-28T11:50:50.0000000;Molde
17;80;Pål;Grotnes;M;NOR;Gresvik IF;FE 2;M Senior;10:26.6;1:43.3;2016-08-28T11:50:28.0000000;Fredrikstad
18;57;Mathias Huuse;Marley;M;NOR;Bærum OCK;FE 2;M Senior;10:35.3;1:52.0;2016-08-28T11:43:08.0000000;Oslo
19;125;John Ola;Buøy;M;NOR;Orkla CK;FE 2;M Senior;10:36.5;1:53.2;2016-08-28T11:49:31.0000000;Buvika
20;85;Magnus;Grönberg;M;NOR;Hemsedal IL Sykkel;FE 2;M Senior;10:45.1;2:01.8;2016-08-28T11:56:10.0000000;Hemsedal
21;126;Nils Bjarne;Krohn;M;NOR;Rauma SK;FE 2;M Senior;10:46.3;2:03.0;2016-08-28T12:13:52.0000000;Åndalsnes
22;8;Espen;Kebely;M;NOR;NØTTERØY;FE 2;M Senior;10:48.3;2:05.0;2016-08-28T11:46:31.0000000;Nøtterøy
23;78;Eirik;Semb;M;NOR;Follo SK;FE 2;M Senior;10:49.5;2:06.2;2016-08-28T11:55:54.0000000;Ski
24;118;Simen Bjerke;Bekken;M;NOR;Oppdal SK;FE 2;M Senior;10:51.3;2:08.0;2016-08-28T11:45:51.0000000;OPPDAL
25;3;Björn;Larsson;M;SWE;JÄRPEN;FE 2;M Senior;10:53.3;2:10.0;2016-08-28T12:21:51.0000000;Järpen
26;37;Øyvind;Hem;M;NOR;OPPDAL;FE 2;M Senior;10:57.7;2:14.4;2016-08-28T11:44:52.0000000;Oppdal
27;65;Anders;Veland;M;NOR;Bergen MTB Klubb;FE 2;M Senior;11:04.5;2:21.2;2016-08-28T12:02:23.0000000;SOGNDAL
28;103;Morgan;Bakken;M;NOR;Kragerø SK;FE 2;M Senior;11:08.0;2:24.7;2016-08-28T11:42:26.0000000;Kragerø
29;108;Kenneth;Bjørseth;M;NOR;Molde CK;FE 2;M Senior;11:08.8;2:25.5;2016-08-28T11:51:47.0000000;Molde
30;60;Arild;Gravdal;M;NOR;Bergen MTB Klubb;FE 2;M Senior;11:09.6;2:26.3;2016-08-28T12:02:00.0000000;Øvre Ervik
31;99;Kim;Andersen;M;NOR;Kolbotn SK;FE 2;M Senior;11:14.8;2:31.5;2016-08-28T12:14:55.0000000;SOFIEMYR
32;119;Håkon;Mæhle;M;NOR;Oppdal SK;FE 2;M Senior;11:21.7;2:38.4;2016-08-28T11:44:17.0000000;
33;30;Martin;Svendsen;M;NOR;OSLO;FE 2;M Senior;11:22.3;2:39.0;2016-08-28T11:54:04.0000000;Oslo
34;58;Pål Einar;Spilleth;M;NOR;Bærum OCK;FE 2;M Senior;11:26.3;2:43.0;2016-08-28T12:01:54.0000000;OSLO
35;31;Bård;Smestad;M;NOR;JAKOBSLI;FE 2;M Senior;11:29.8;2:46.5;2016-08-28T11:55:05.0000000;JAKOBSLI
36;107;Tom;Ruud;M;NOR;Lillehammer CK;FE 2;M Senior;11:32.1;2:48.8;2016-08-28T11:53:36.0000000;Lillehammer
37;139;Harald;Brekke;M;NOR;SK Rye sykkel;FE 2;M Senior;11:38.0;2:54.7;2016-08-28T12:25:56.0000000;Snarøya
38;4;Henning;Hovlan;M;NOR;BÆRUMS VERK;FE 2;M Senior;11:41.1;2:57.8;2016-08-28T11:53:19.0000000;BÆRUMS VERK
39;154;Mathias;Strøm;M;NOR;TVK;FE 2;M Senior;11:43.1;2:59.8;2016-08-28T12:05:11.0000000;Namsos
40;158;Olav;Fosshaugen;M;NOR;OSLO;FE 2;M Senior;11:48.9;3:05.6;2016-08-28T12:06:05.0000000;OSLO
41;106;Magnus Kalstad;Forseth;M;NOR;Lillehammer CK;FE 2;M Senior;11:50.3;3:07.0;2016-08-28T11:53:27.0000000;LILLEHAMMER
42;49;Jørgen;Heir;M;NOR;Aron Skiklubb;FE 2;M Senior;11:54.0;3:10.7;2016-08-28T11:45:32.0000000;Kongsberg
43;76;Christoffer Engebretsen;Bakke;M;NOR;Drøbak-Frogn IL Sykkel;FE 2;M Senior;11:55.3;3:12.0;2016-08-28T12:04:12.0000000;VESTBY
44;134;Odd Magnus;Guldal;M;NOR;SK Rye sykkel;FE 2;M Senior;11:55.5;3:12.2;2016-08-28T12:30:20.0000000;Oslo
45;61;Leiv;Tvenning;M;NOR;Bergen MTB Klubb;FE 2;M Senior;11:57.1;3:13.8;2016-08-28T12:14:38.0000000;BERGEN
46;48;Daniel;Bengtsson;M;SWE;DUVED;FE 2;M Senior;11:57.6;3:14.3;2016-08-28T12:23:24.0000000;Duved
47;121;Rune;Gundersen;M;NOR;Oppdal SK;FE 2;M Senior;11:58.0;3:14.7;2016-08-28T12:00:34.0000000;VOGNILL
48;19;Øystein T.;Christensen;M;NOR;TRONDHEIM;FE 2;M Senior;11:58.5;3:15.2;2016-08-28T12:08:55.0000000;TRONDHEIM
49;88;Per Christian;Dahl;M;NOR;Hemsedal IL Sykkel;FE 2;M Senior;11:59.9;3:16.6;2016-08-28T11:56:04.0000000;HEMSEDAL
50;64;Mads;Øftshus;M;NOR;Bergen MTB Klubb;FE 2;M Senior;12:07.0;3:23.7;2016-08-28T12:03:30.0000000;BERGEN
51;155;Marius;Hopen;M;NOR;TVK;FE 2;M Senior;12:10.1;3:26.8;2016-08-28T12:07:17.0000000;HEIMDAL
52;81;Jørgen;Tollefsrud;M;NOR;Hasle-Løren IL;FE 2;M Senior;12:12.5;3:29.2;2016-08-28T11:59:20.0000000;Oslo
53;34;Magnus;Innerdal;M;NOR;RANHEIM;FE 2;M Senior;12:12.5;3:29.2;2016-08-28T12:12:06.0000000;RANHEIM
54;137;Nicolas Yann;Couturier;M;FRA;SK Rye sykkel;FE 2;M Senior;12:14.1;3:30.8;2016-08-28T12:27:27.0000000;Oslo
