Pos Klasse;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;FE8;FE8 Pos;chiptime;diff;gender
1st;235;Oliver Gjelsvik-Bakke;Hafrsfjord SK;Gutter 15-17;00:01:12;1;00:02:01;1;00:01:54;1;00:01:39;2;00:03:03;1;00:01:01;1;00:02:20;2;00:00:31;1;00:13:41;;M
2nd;246;Markus Skeie-Lebreux;CK Nittedal;Gutter 15-17;00:01:13;2;00:02:02;2;00:01:54;1;00:01:40;3;00:03:04;3;00:01:03;2;00:02:21;3;00:00:31;1;00:13:48;+00:00:07;M
3rd;239;Noah Heieren;SK Rye sykkel;Gutter 15-17;00:01:14;3;00:02:06;4;00:01:54;1;00:01:44;5;00:03:07;5;00:01:03;2;00:02:21;3;00:00:31;1;00:14:00;+00:00:19;M
4th;245;Sindre Martin Moe Sollund;Molde CK;Gutter 15-17;00:01:16;5;00:02:08;6;00:01:55;4;00:01:44;5;00:03:05;4;00:01:04;4;00:02:26;6;00:00:33;6;00:14:11;+00:00:30;M
5th;243;Torben Hjelset;CK Nittedal;Gutter 15-17;00:01:19;8;00:02:11;9;00:02:02;7;00:01:42;4;00:03:19;8;00:01:07;7;00:02:26;6;00:00:34;9;00:14:40;+00:00:59;M
6th;248;Eskil Hafskjold;SK Rye sykkel;Gutter 15-17;00:01:16;5;00:02:08;6;00:01:58;5;00:01:46;10;00:03:15;6;00:01:09;11;00:02:40;12;00:00:34;9;00:14:46;+00:01:05;M
7th;240;Teodor Skare;Kristiansands CK;Gutter 15-17;00:01:18;7;00:02:12;12;00:02:03;8;00:01:51;17;00:03:21;9;00:01:07;7;00:02:24;5;00:00:32;4;00:14:48;+00:01:07;M
8th;238;Fridtjof Richard Digre;Konnerud IL Sykkel;Gutter 15-17;00:01:19;8;00:02:09;8;00:02:05;10;00:01:44;5;00:03:21;9;00:01:09;11;00:02:29;8;00:00:37;17;00:14:53;+00:01:12;M
9th;230;Jo Gujord Røisli;CK Nittedal;Gutter 15-17;00:02:31;34;00:02:03;3;00:01:58;5;00:01:37;1;00:03:03;1;00:01:04;4;00:02:19;1;00:00:32;4;00:15:07;+00:01:26;M
10th;226;Anders Grinilia;;Gutter 15-17;00:01:22;14;00:02:07;5;00:02:11;14;00:01:51;17;00:03:16;7;00:01:08;10;00:02:42;14;00:00:34;9;00:15:11;+00:01:30;M
11th;244;Jo Sebastian Naustvik;Bærum OCK;Gutter 15-17;00:01:25;20;00:02:11;9;00:02:03;8;00:01:51;17;00:03:28;12;00:01:04;4;00:02:40;12;00:00:33;6;00:15:15;+00:01:34;M
12th;228;Marcus Arnesen;Modum CK/ Team sykleriet;Gutter 15-17;00:01:21;11;00:02:16;13;00:02:07;12;00:01:45;8;00:03:41;18;00:01:11;13;00:02:45;18;00:00:34;9;00:15:40;+00:01:59;M
13th;247;Marius Løken;CK Nittedal;Gutter 15-17;00:01:23;16;00:02:16;13;00:02:23;22;00:01:49;13;00:03:28;12;00:01:12;15;00:02:37;11;00:00:35;14;00:15:43;+00:02:02;M
14th;242;Nikolai Braaten;SK Rye sykkel;Gutter 15-17;00:01:23;16;00:02:20;17;00:02:16;17;00:01:50;14;00:03:36;16;00:01:13;17;00:02:36;10;00:00:36;15;00:15:50;+00:02:09;M
15th;241;Marius Fenstad Skjærstad;SK Rye sykkel;Gutter 15-17;00:01:21;11;00:02:19;16;00:02:18;19;00:01:53;21;00:03:37;17;00:01:13;17;00:02:44;17;00:00:37;17;00:16:02;+00:02:21;M
16th;237;Amandus Strand;Halden CK;Gutter 15-17;00:01:22;14;00:02:21;19;00:02:22;20;00:01:45;8;00:03:33;14;00:01:18;23;00:02:45;18;00:00:37;17;00:16:03;+00:02:22;M
17th;251;Oskar Mollatt Wirstad;SK Rye sykkel;Gutter 15-17;00:01:15;4;00:02:11;9;00:03:15;33;00:01:47;11;00:03:24;11;00:01:07;7;00:02:32;9;00:00:33;6;00:16:04;+00:02:23;M
18th;236;Tarjei Nordbø Braut;Hafrsfjord SK;Gutter 15-17;00:01:37;29;00:02:18;15;00:02:13;15;00:01:50;14;00:03:34;15;00:01:11;13;00:02:47;20;00:00:37;17;00:16:07;+00:02:26;M
19th;256;Øyvind Karimrasmussen;SK Rye sykkel;Gutter 15-17;00:01:27;21;00:02:23;20;00:02:17;18;00:01:50;14;00:03:42;19;00:01:17;20;00:02:43;16;00:00:40;24;00:16:19;+00:02:38;M
20th;227;Floris De Boer;CK Nittedal;Gutter 15-17;00:01:32;28;00:02:28;24;00:02:10;13;00:02:02;27;00:04:03;24;00:01:12;15;00:02:50;21;00:00:34;9;00:16:51;+00:03:10;M
21st;220;Felix Tho Sveva;Sandefjord SK;Gutter 15-17;00:01:23;16;00:02:23;20;00:02:24;23;00:01:48;12;00:03:57;22;00:01:24;26;00:02:56;24;00:00:38;22;00:16:53;+00:03:12;M
22nd;221;Lorenzo Tosi;Hafrsfjord SK;Gutter 15-17;00:01:29;24;00:02:31;25;00:02:15;16;00:01:59;25;00:04:03;24;00:01:13;17;00:02:52;23;00:00:36;15;00:16:58;+00:03:17;M
23rd;253;Oskar Myro;SK Rye sykkel;Gutter 15-17;00:01:48;33;00:02:25;22;00:02:22;20;00:01:57;23;00:03:42;19;00:01:17;20;00:02:56;24;00:00:42;26;00:17:09;+00:03:28;M
24th;254;Rasmus Mackenzie;SK Rye sykkel;Gutter 15-17;00:01:24;19;00:02:26;23;00:02:50;30;00:01:59;25;00:03:48;21;00:01:17;20;00:02:50;21;00:00:37;17;00:17:11;+00:03:30;M
25th;223;Erik Fridholm Finden;Stathelle og Omegn Idrettslag - Sykkel;Gutter 15-17;00:01:29;24;00:02:35;28;00:02:24;23;00:01:53;21;00:04:14;28;00:01:20;24;00:03:05;26;00:00:40;24;00:17:40;+00:03:59;M
26th;250;Håkon Hofoss;CK Nittedal;Gutter 15-17;00:01:30;26;00:02:33;26;00:02:27;25;00:02:03;29;00:04:07;26;00:01:25;27;00:03:15;29;00:00:38;22;00:17:58;+00:04:17;M
27th;252;Adrian Van Lengen Berge;SK Rye sykkel;Gutter 15-17;00:01:28;23;00:02:34;27;00:02:29;26;00:01:58;24;00:04:07;26;00:01:39;31;00:03:20;30;00:00:44;28;00:18:19;+00:04:38;M
28th;233;Markus Jarfonn Hegna;SK Rye sykkel;Gutter 15-17;00:01:41;31;00:02:43;30;00:02:32;27;00:02:04;30;00:04:18;29;00:01:28;28;00:03:11;28;00:00:43;27;00:18:40;+00:04:59;M
29th;231;Abel Elias Døli;;Gutter 15-17;00:01:21;11;00:02:20;17;00:02:06;11;00:01:51;17;00:04:01;23;00:01:39;31;00:02:42;14;00:03:10;33;00:19:10;+00:05:29;M
30th;225;Syver Tormodsgard;;Gutter 15-17;00:01:27;21;00:02:41;29;00:02:53;31;00:02:02;27;00:04:58;30;00:01:20;24;00:03:06;27;00:00:46;31;00:19:13;+00:05:32;M
31st;234;Oliver Gåre Andresen;Solum TSK;Gutter 15-17;00:01:31;27;00:03:02;32;00:02:40;28;00:02:14;33;00:05:10;31;00:01:28;28;00:03:40;31;00:00:44;28;00:20:29;+00:06:48;M
32nd;232;Kristoffer Finden;Stathelle og Omegn Idrettslag - Sykkel;Gutter 15-17;00:01:44;32;00:02:57;31;00:02:48;29;00:02:06;31;00:05:25;32;00:01:31;30;00:03:40;31;00:00:44;28;00:20:55;+00:07:14;M
33rd;224;Miko Nyborg;Eidenger sykkel;Gutter 15-17;00:01:39;30;00:03:10;33;00:03:14;32;00:02:12;32;00:05:45;33;00:01:44;33;00:04:15;33;00:00:47;32;00:22:46;+00:09:05;M
;229;Sverre Spenningsby;Team Spenningsby;Gutter 15-17;00:04:59;35;DNF;;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
v;249;Vegard Vartdal Sund;Bærum OCK;Gutter 15-17;00:01:20;10;;DNF;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;222;Adam O'reilly;Lillehammer CK;Gutter 15-17;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;255;Sigurd Foss Andersen;CK Nittedal;Gutter 15-17;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
1st;257;Maren Stærkebye-Ellingsen;Modum CK;Jenter 15-17;00:02:34;1;00:03:34;1;00:03:19;1;00:02:24;1;00:05:31;1;00:02:05;1;00:04:08;1;00:00:51;1;00:24:26;;F
1st;161;Linda Lønmo;Aron Sportsklubb;Master Kvinner;00:01:30;2;00:02:39;1;00:02:32;1;00:02:01;1;00:04:04;1;00:01:23;1;00:03:00;1;00:00:40;1;00:17:49;;F
2nd;162;Kristel Linnea Mulelid;IF Frøy;Master Kvinner;00:01:38;3;00:02:49;3;00:02:36;3;00:02:08;3;00:04:17;2;00:01:31;4;00:03:14;2;00:00:44;3;00:18:57;+00:01:08;F
3rd;165;Louise Irtelius;Team Letth;Master Kvinner;00:01:43;5;00:02:54;4;00:02:46;4;00:02:11;4;00:04:33;3;00:01:32;5;00:03:16;3;00:00:46;4;00:19:41;+00:01:52;F
4th;164;Vibeke Ansteinsson;;Master Kvinner;00:01:29;1;00:02:39;1;00:02:33;2;00:02:02;2;00:05:12;5;00:01:23;1;00:03:33;4;00:00:50;5;00:19:41;+00:01:52;F
5th;163;Ida Karine Nesbø;Siggerud IL sykkel;Master Kvinner;00:01:40;4;00:02:58;5;00:02:57;5;00:02:12;5;00:04:34;4;00:01:27;3;00:03:34;5;00:00:43;2;00:20:05;+00:02:16;F
;160;Mirja Luukkonen;;Master Kvinner;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;F
1st;210;Piotr Susfal;Wolves Enduro Team;Master Menn;00:01:15;1;00:02:06;1;00:02:02;4;00:01:39;1;00:03:04;1;00:01:05;2;00:02:21;1;00:00:33;1;00:14:05;;M
2nd;205;Arild Heimli Johnsen;Siggerud IL sykkel;Master Menn;00:01:15;1;00:02:08;2;00:02:01;2;00:01:44;5;00:03:08;2;00:01:05;2;00:02:24;2;00:00:34;4;00:14:19;+00:00:14;M
3rd;183;Stian Lunn;Lillehammer CK;Master Menn;00:01:17;3;00:02:08;2;00:01:58;1;00:01:42;4;00:03:12;4;00:01:03;1;00:02:27;5;00:00:33;1;00:14:20;+00:00:15;M
4th;198;Aslak Mørstad;Siggerud IL sykkel;Master Menn;00:01:18;5;00:02:10;4;00:02:04;7;00:01:40;3;00:03:12;4;00:01:07;6;00:02:24;2;00:00:35;5;00:14:30;+00:00:25;M
5th;196;Anders Samnøy;Aron Sportsklubb;Master Menn;00:01:17;3;00:02:11;5;00:02:03;5;00:01:46;7;00:03:10;3;00:01:07;6;00:02:26;4;00:00:33;1;00:14:33;+00:00:28;M
6th;192;Kristian Hauglum;;Master Menn;00:01:21;8;00:02:11;5;00:02:01;2;00:01:39;1;00:03:16;6;00:01:05;2;00:02:31;7;00:00:36;6;00:14:40;+00:00:35;M
7th;211;Christofer Engström;Eidanger IL;Master Menn;00:01:20;7;00:02:13;7;00:02:03;5;00:01:48;11;00:03:35;13;00:01:05;2;00:02:35;8;00:00:36;6;00:15:15;+00:01:10;M
8th;180;Michael Sæther Reinboth;Bø idrettslag;Master Menn;00:01:21;8;00:02:18;9;00:02:08;8;00:01:47;8;00:03:27;7;00:01:12;11;00:02:30;6;00:00:37;10;00:15:20;+00:01:15;M
9th;201;Bjørn-Kristian Bratlie;Sagene IF Sykkel;Master Menn;00:01:18;5;00:02:21;13;00:02:11;10;00:01:47;8;00:03:29;8;00:01:10;8;00:02:35;8;00:00:36;6;00:15:27;+00:01:22;M
10th;195;Stian Carlsen;SK Rye sykkel;Master Menn;00:01:24;12;00:02:16;8;00:02:12;12;00:01:48;11;00:03:33;10;00:01:10;8;00:02:45;11;00:00:36;6;00:15:44;+00:01:39;M
11th;206;Marius Langum;Aron Sportsklubb;Master Menn;00:01:24;12;00:02:19;11;00:02:08;8;00:01:47;8;00:03:32;9;00:01:14;13;00:02:45;11;00:00:38;14;00:15:47;+00:01:42;M
12th;194;Knut Haugen;Lørenskog CK;Master Menn;00:01:22;11;00:02:23;15;00:02:16;16;00:01:45;6;00:03:33;10;00:01:18;22;00:02:41;10;00:00:37;10;00:15:55;+00:01:50;M
13th;171;Stefano Baldari;Hasle-Løren IL;Master Menn;00:01:25;17;00:02:24;16;00:02:15;13;00:01:53;17;00:03:34;12;00:01:11;10;00:02:49;15;00:00:39;18;00:16:10;+00:02:05;M
14th;174;Morten Engan;;Master Menn;00:01:24;12;00:02:25;18;00:02:16;16;00:01:53;17;00:03:49;17;00:01:14;13;00:02:46;14;00:00:38;14;00:16:25;+00:02:20;M
15th;179;Henning Ardraa;;Master Menn;00:01:26;19;00:02:27;21;00:02:15;13;00:01:53;17;00:03:42;15;00:01:15;19;00:02:50;16;00:00:38;14;00:16:26;+00:02:21;M
16th;177;Fattern Bjørntvedt;;Master Menn;00:01:21;8;00:02:24;16;00:02:29;27;00:01:53;17;00:03:50;18;00:01:14;13;00:02:45;11;00:00:37;10;00:16:33;+00:02:28;M
17th;186;Jan Henrik Høilund;SK Rye sykkel;Master Menn;00:01:24;12;00:02:25;18;00:02:20;22;00:01:49;13;00:03:52;19;00:01:16;20;00:02:53;22;00:00:39;18;00:16:38;+00:02:33;M
18th;208;Karl Christoffer Sveva;Sandefjord SK;Master Menn;00:01:24;12;00:02:18;9;00:02:11;10;00:01:50;15;00:04:11;29;00:01:14;13;00:02:52;19;00:00:39;18;00:16:39;+00:02:34;M
19th;199;Christian Austenå;Arendal CC;Master Menn;00:01:28;25;00:02:33;26;00:02:22;25;00:01:51;16;00:03:45;16;00:01:14;13;00:02:50;16;00:00:40;27;00:16:43;+00:02:38;M
20th;207;Christian Erga;Siggerud IL sykkel;Master Menn;00:01:26;19;00:02:29;23;00:02:15;13;00:01:56;25;00:03:59;21;00:01:17;21;00:02:50;16;00:00:40;27;00:16:52;+00:02:47;M
21st;187;Roy Ripe;Nesodden SK;Master Menn;00:01:27;23;00:02:26;20;00:02:18;19;00:01:55;23;00:03:56;20;00:01:21;26;00:02:52;19;00:00:39;18;00:16:54;+00:02:49;M
22nd;200;Fredrik Arnesen;Moss CK;Master Menn;00:01:26;19;00:02:22;14;00:02:16;16;00:01:55;23;00:04:06;23;00:01:13;12;00:02:58;28;00:00:39;18;00:16:55;+00:02:50;M
23rd;197;Jamieson Pothecary;SK Rye sykkel;Master Menn;00:01:28;25;00:02:28;22;00:02:20;22;00:01:53;17;00:03:59;21;00:01:14;13;00:02:57;26;00:00:39;18;00:16:58;+00:02:53;M
24th;185;Frode Dalen;Kjekkas IF;Master Menn;00:01:26;19;00:02:20;12;00:02:18;19;00:01:49;13;00:03:36;14;00:02:00;33;00:02:52;19;00:00:39;18;00:17:00;+00:02:55;M
25th;172;Tommy Strandvold;Follo SK;Master Menn;00:01:25;17;00:02:32;25;00:02:21;24;00:01:58;29;00:04:08;25;00:01:19;23;00:03:03;30;00:00:39;18;00:17:25;+00:03:20;M
26th;176;Bjørnar Siljan;;Master Menn;00:01:32;28;00:02:30;24;00:02:19;21;00:01:53;17;00:04:19;30;00:01:20;25;00:02:57;26;00:00:38;14;00:17:28;+00:03:23;M
27th;178;Fredrik Nygaard;;Master Menn;00:01:30;27;00:02:36;27;00:02:24;26;00:01:57;27;00:04:09;27;00:01:22;27;00:02:56;24;00:00:41;29;00:17:35;+00:03:30;M
28th;189;Trond Egil Gjelsvik-Bakke;Hafrsfjord SK;Master Menn;00:01:27;23;00:02:39;30;00:02:39;32;00:01:57;27;00:04:08;25;00:01:19;23;00:02:53;22;00:00:37;10;00:17:39;+00:03:34;M
29th;209;Knut Holm;Holmers;Master Menn;00:01:32;28;00:02:37;28;00:02:31;30;00:01:56;25;00:04:07;24;00:01:23;28;00:02:56;24;00:00:42;30;00:17:44;+00:03:39;M
30th;184;Trond Johannessen;Glåmdal SK;Master Menn;00:01:37;33;00:02:39;30;00:02:29;27;00:01:58;29;00:04:10;28;00:01:24;30;00:02:59;29;00:00:39;18;00:17:55;+00:03:50;M
31st;203;Tor Hjelset;CK Nittedal;Master Menn;00:01:35;31;00:02:41;33;00:02:41;33;00:02:03;33;00:04:22;31;00:01:23;28;00:03:09;32;00:00:44;31;00:18:38;+00:04:33;M
32nd;204;Trond Brunborg;Aron Sportsklubb;Master Menn;00:01:33;30;00:02:39;30;00:02:36;31;00:01:58;29;00:04:36;32;00:01:25;31;00:03:08;31;00:00:44;31;00:18:39;+00:04:34;M
33rd;170;Jean-Christophe Dupont;;Master Menn;00:01:35;31;00:02:37;28;00:02:29;27;00:02:02;32;00:04:51;33;00:01:29;32;00:03:17;33;00:00:44;31;00:19:04;+00:04:59;M
;173;Kjetil Mikaelsen;;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;190;Rune Tangen;Romeriksåsen SK;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;202;Steffen Johannesen;Bergen MTB Klubb;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;191;Knut Espen Bryhn;Drøbak-Frogn IL Sykkel;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;193;Morgan Bakken;Kragerø SK;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;182;Karl Marius Norschau;Arendal single track;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
;175;Sindre Rasmussen;Gresvik IF;Master Menn;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;;M
1st;6;Anette Røssum Bastnes;Aron Sportsklubb;Senior Kvinner;00:01:26;4;00:02:21;3;00:02:08;2;00:01:46;1;00:03:20;1;00:01:09;1;00:02:38;1;00:00:35;1;00:15:23;;F
2nd;5;Lene Pettersen;Eidanger IL;Senior Kvinner;00:01:21;1;00:02:18;2;00:02:07;1;00:01:53;4;00:03:35;4;00:01:13;3;00:02:42;3;00:00:35;1;00:15:44;+00:00:21;F
3rd;7;Anna Littorin-Sandbu;SK Rye sykkel;Senior Kvinner;00:01:24;3;00:02:22;4;00:02:13;3;00:01:48;2;00:03:29;2;00:01:10;2;00:02:42;3;00:00:36;3;00:15:44;+00:00:21;F
4th;4;Ida Håkonsson;SK Rye sykkel;Senior Kvinner;00:01:23;2;00:02:16;1;00:02:15;4;00:01:51;3;00:03:33;3;00:01:13;3;00:02:41;2;00:00:36;3;00:15:48;+00:00:25;F
5th;10;Nora Stang;$tilig / Herja;Senior Kvinner;00:01:29;5;00:02:34;6;00:02:18;5;00:02:00;6;00:04:12;7;00:01:19;6;00:02:56;5;00:00:37;5;00:17:25;+00:02:02;F
6th;13;Julia Hamre;Vinstra IL;Senior Kvinner;00:01:32;7;00:02:33;5;00:02:24;6;00:02:02;7;00:04:04;6;00:01:18;5;00:03:05;7;00:00:41;7;00:17:39;+00:02:16;F
7th;12;Mari Elise Hatlo;Team Letth;Senior Kvinner;00:01:31;6;00:02:37;7;00:02:30;8;00:01:58;5;00:03:55;5;00:01:25;8;00:03:01;6;00:00:44;9;00:17:41;+00:02:18;F
8th;2;Hilde Stormsen;Arendal sykkelklubb;Senior Kvinner;00:01:34;8;00:02:42;8;00:02:29;7;00:02:02;7;00:04:30;9;00:01:22;7;00:03:12;9;00:00:43;8;00:18:34;+00:03:11;F
9th;9;Andrea Kristiansen Rue;Kongsberg IF Sykkel;Senior Kvinner;00:01:34;8;00:02:46;9;00:02:31;9;00:02:03;9;00:04:29;8;00:01:33;10;00:03:07;8;00:00:40;6;00:18:43;+00:03:20;F
10th;8;Ingrid Dos Santos;Aron Sportsklubb;Senior Kvinner;00:01:34;8;00:02:49;10;00:02:49;11;00:02:14;11;00:05:10;10;00:01:32;9;00:03:32;10;00:00:48;10;00:20:28;+00:05:05;F
11th;11;Pernille Aas;Team Letth;Senior Kvinner;00:01:43;12;00:03:02;13;00:02:58;12;00:02:15;12;00:05:10;10;00:01:43;12;00:04:07;11;00:00:48;10;00:21:46;+00:06:23;F
12th;1;Nina Næspe;Team Letth/Herja Endurolaug;Senior Kvinner;00:01:46;13;00:03:01;12;00:03:07;13;00:02:19;13;00:07:02;12;00:01:42;11;00:04:14;12;00:00:52;12;00:24:03;+00:08:40;F
;3;Lise Marie Wiik;Team Letth;Senior Kvinner;00:01:38;11;00:02:52;11;00:02:40;10;00:02:08;10;;;DNF;;;;;;;;F
1st;76;Ola Jåvold Landmark;Bærum OCK;Senior Menn;00:01:10;2;00:01:56;2;00:01:50;1;00:01:33;2;00:02:47;1;00:00:59;2;00:02:07;1;00:00:30;1;00:12:52;;M
2nd;97;Andreas Aalby;Asker CK;Senior Menn;00:01:10;2;00:01:58;4;00:01:52;2;00:01:32;1;00:02:52;3;00:01:01;5;00:02:16;4;00:00:32;4;00:13:13;+00:00:21;M
3rd;104;Niklas Halvorsen;Kristiansands CK;Senior Menn;00:01:11;5;00:02:01;9;00:01:54;4;00:01:34;4;00:02:54;6;00:01:00;3;00:02:17;5;00:00:30;1;00:13:21;+00:00:29;M
4th;71;Bård Pettersen;Drammen CK;Senior Menn;00:01:10;2;00:01:58;4;00:01:59;13;00:01:37;5;00:02:52;3;00:01:01;5;00:02:15;2;00:00:32;4;00:13:24;+00:00:32;M
5th;80;Jens Bergmann;SK Rye sykkel;Senior Menn;00:01:09;1;00:01:57;3;00:01:57;10;00:01:33;2;00:02:48;2;00:01:01;5;00:02:32;25;00:00:32;4;00:13:29;+00:00:37;M
6th;74;Anders Guttormson Skarstein;Asker CK;Senior Menn;00:01:15;11;00:02:00;6;00:01:52;2;00:01:39;12;00:02:53;5;00:00:58;1;00:02:21;8;00:00:32;4;00:13:30;+00:00:38;M
7th;88;Kristian Holiman;SK Rye sykkel;Senior Menn;00:01:13;7;00:02:00;6;00:01:54;4;00:01:38;6;00:03:01;9;00:01:00;3;00:02:18;6;00:00:33;12;00:13:37;+00:00:45;M
8th;70;Jonas Olsson;SK Rye sykkel;Senior Menn;00:01:16;12;00:02:01;9;00:01:54;4;00:01:38;6;00:02:57;8;00:01:01;5;00:02:19;7;00:00:32;4;00:13:38;+00:00:46;M
9th;60;Anders Ruud Gundersen;Flytsti;Senior Menn;00:01:22;38;00:02:03;11;00:01:54;4;00:01:39;12;00:03:11;15;00:01:01;5;00:02:15;2;00:00:31;3;00:13:56;+00:01:04;M
10th;113;Timothy Pedersen;Asker CK;Senior Menn;00:01:14;8;00:02:08;17;00:01:58;12;00:01:41;15;00:03:11;15;00:01:02;11;00:02:23;10;00:00:32;4;00:14:09;+00:01:17;M
11th;52;Bjørnar Gjesdal;;Senior Menn;00:01:16;12;00:02:05;13;00:02:02;20;00:01:42;18;00:03:08;11;00:01:03;13;00:02:24;11;00:00:34;17;00:14:14;+00:01:22;M
12th;118;Jørn Huseby;;Senior Menn;00:01:16;12;00:02:06;14;00:01:57;10;00:01:38;6;00:03:11;15;00:01:08;25;00:02:27;18;00:00:33;12;00:14:16;+00:01:24;M
13th;77;Kristoffer Ylven Westgaard;CK Nittedal;Senior Menn;00:01:16;12;00:02:07;16;00:02:01;16;00:01:38;6;00:03:07;10;00:01:07;19;00:02:25;14;00:00:35;24;00:14:16;+00:01:24;M
14th;112;Nikolai Alvestad;Asker CK;Senior Menn;00:01:14;8;00:02:12;24;00:01:55;8;00:01:47;36;00:03:13;20;00:01:01;5;00:02:24;11;00:00:32;4;00:14:18;+00:01:26;M
15th;103;Kristoffer Rakneberg;Bergen MTB Klubb;Senior Menn;00:01:17;17;00:02:11;21;00:02:01;16;00:01:41;15;00:03:09;13;00:01:07;19;00:02:25;14;00:00:34;17;00:14:25;+00:01:33;M
16th;78;Christian Coll;Arendal CC;Senior Menn;00:01:14;8;00:02:09;18;00:02:03;21;00:01:41;15;00:03:11;15;00:01:08;25;00:02:29;20;00:00:33;12;00:14:28;+00:01:36;M
17th;106;Isak Solomon;SK Rye sykkel;Senior Menn;00:01:17;17;00:02:04;12;00:01:56;9;00:01:44;24;00:03:12;19;00:01:18;69;00:02:25;14;00:00:33;12;00:14:29;+00:01:37;M
18th;125;Lachlan Cruickshank;;Senior Menn;00:01:17;17;00:02:10;19;00:01:59;13;00:01:38;6;00:03:16;22;00:01:06;17;00:02:29;20;00:00:34;17;00:14:29;+00:01:37;M
19th;75;Adrian Hilde;Kristiansands CK;Senior Menn;00:01:16;12;00:02:17;37;00:02:04;22;00:01:40;14;00:03:21;27;00:01:05;15;00:02:24;11;00:00:33;12;00:14:40;+00:01:48;M
20th;101;Christopher Christophersen;Mississippiskogen sti & terrengsykkellag;Senior Menn;00:01:23;47;00:02:10;19;00:02:04;22;00:01:43;21;00:03:14;21;00:01:05;15;00:02:30;22;00:00:35;24;00:14:44;+00:01:52;M
21st;119;Kristian Gravdal;Ros IL;Senior Menn;00:01:18;22;00:02:12;24;00:01:59;13;00:01:43;21;00:03:24;32;00:01:07;19;00:02:33;27;00:00:34;17;00:14:50;+00:01:58;M
