Pos klasse;Total;Diff;name;bib;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;club;Class;gender
11;27:03:00;05:16;Morten Iversen Stordahl;33;00:08:05;13;00:01:45;14;00:08:08;12;00:03:16;11;00:05:49;12;Nesodden Sykkelklubb;Menn master;M
12;27:11:00;05:24;Fredrik Lingvall;32;00:08:00;10;00:01:45;12;00:08:17;13;00:03:21;12;00:05:48;11;Sk Rye;Menn master;M
13;28:02:00;06:15;Trond Johannessen;46;00:08:33;14;00:01:45;13;00:08:19;15;00:03:21;13;00:06:04;13;Glåmdal SK/Team LETTH!;Menn master;M
14;29:07:00;07:20;Rene Valen;39;00:08:55;15;00:01:54;15;00:08:45;16;00:03:27;14;00:06:06;14;;Menn master;M
15;31:15:00;09:28;Andreas Hansson;41;00:09:28;17;00:02:00;17;00:09:31;17;00:03:28;16;00:06:48;15;Perbellum SS;Menn master;M
16;31:32:00;09:45;Svein Hetland;34;00:08:59;16;00:01:56;16;00:08:19;14;00:03:32;17;00:08:46;16;Njård;Menn master;M
17;33:08:00;11:21;Svein Kristoffersen;44;00:07:17;7;00:01:33;7;00:06:49;6;00:02:59;7;00:14:30;17;Glåmdal SK;Menn master;M
1;19:59;;Jens Bergmann;75;00:06:02;1;00:01:20;2;00:06:07;4;00:02:31;4;00:03:59;1;Sk Rye;Menn senior;M
2;20:12;00:13;Andreas Aalby;113;00:06:10;2;00:01:22;6;00:06:02;2;00:02:27;2;00:04:11;4;Asker CK Enduro;Menn senior;M
3;20:33;00:34;Sigurd Salberg Pedersen;79;00:06:14;3;00:01:23;8;00:06:08;5;00:02:31;3;00:04:17;5;Lillehammer Cykleklubb;Menn senior;M
4;20:36;00:37;Emil Carlson;125;00:06:16;5;00:01:21;4;00:06:04;3;00:02:47;12;00:04:08;3;SK Rye;Menn senior;M
5; 20:37;00:38;Martin Siggerud;82;00:06:31;7;00:01:22;5;00:06:02;1;00:02:24;1;00:04:18;6;Soon CK;Menn senior;M
6; 20:43;00:44;Espen Bergli-johnsen;111;00:06:30;6;00:01:21;3;00:06:08;6;00:02:38;6;00:04:06;2;Bergenmountainbike klubb;Menn senior;M
7; 20:54;00:55;Arne Varhaug;110;00:06:14;4;00:01:23;10;00:06:15;7;00:02:37;5;00:04:25;10;;Menn senior;M
8; 21:32;01:33;Anders Skarstein;114;00:06:39;8;00:01:22;7;00:06:27;10;00:02:42;8;00:04:22;9;Team Santacruzsykler.no / Hemsedal IL;Menn senior;M
9; 21:35;01:36;Johannes Lund;112;00:06:40;9;00:01:24;11;00:06:27;11;00:02:39;7;00:04:25;11;Sogn CK;Menn senior;M
10;21:41;01:42;Robin von Braun;87;00:06:43;11;00:01:20;1;00:06:29;12;00:02:49;16;00:04:20;7;;Menn senior;M
11;21:50;01:51;Kristoffer Ylven Westgaard;77;00:06:54;15;00:01:29;27;00:06:23;8;00:02:43;10;00:04:21;8;Asker CK;Menn senior;M
12;22:19;02:20;Christian Rief;93;00:06:46;12;00:01:28;20;00:06:41;14;00:02:52;20;00:04:32;14;Hadeland CK;Menn senior;M
13;22:22;02:23;Kjetil Øygard;118;00:06:59;20;00:01:27;17;00:06:36;13;00:02:53;25;00:04:27;12;Lillehammer CK;Menn senior;M
14;22:24;02:25;Andre Aamodt;117;00:06:42;10;00:01:23;9;00:06:27;9;00:02:52;18;00:05:00;31;;Menn senior;M
15;22:39;02:40;John Ola Buøy;119;00:07:02;22;00:01:27;15;00:06:45;15;00:02:53;24;00:04:32;13;Team Ibis Norge;Menn senior;M
16;22:41;02:42;Magnus Grönberg;48;00:06:55;16;00:01:28;19;00:06:51;21;00:02:49;14;00:04:38;15;Hemsedal IL Sykkel;Menn senior;M
17;22:46;02:47;Hans Jørgen Kvåle;60;00:06:58;19;00:01:31;29;00:06:46;17;00:02:43;9;00:04:48;24;;Menn senior;M
18;22:49;02:50;Christoffer Engebretsen Bakke;83;00:06:49;14;00:01:29;26;00:06:50;19;00:02:56;32;00:04:45;20;;Menn senior;M
19;22:56;02:57;Kristoffer Rakneberg;51;00:07:06;23;00:01:25;14;00:06:51;20;00:02:53;26;00:04:41;16;Bergen MTB Klubb;Menn senior;M
20;23:00;03:01;Espen Helgesen;91;00:07:07;24;00:01:36;37;00:06:46;18;00:02:49;15;00:04:42;17;Lørenskog CK;Menn senior;M
21;23:01;03:02;Knut Erik Haugen;59;00:07:09;26;00:01:27;18;00:06:45;16;00:02:52;23;00:04:48;22;CK Nittedal;Menn senior;M
22;23:06;03:07;Per Jonsson Öhlin;74;00:07:00;21;00:01:27;16;00:06:54;22;00:02:47;13;00:04:58;29;;Menn senior;M
23;23:21;03:22;Ola Ranes;116;00:07:08;25;00:01:31;30;00:07:05;29;00:02:52;22;00:04:45;21;BMK;Menn senior;M
24;23:24;03:25;Kristian Østlie;57;00:06:56;17;00:01:29;25;00:06:56;24;00:02:55;30;00:05:08;35;CK Nittedal;Menn senior;M
25;23:34;03:35;Mikael Hamran;72;00:07:22;37;00:01:29;22;00:07:06;31;00:02:52;21;00:04:45;19;;Menn senior;M
26;23:42;03:43;Hans Johansson;65;00:07:22;36;00:01:24;12;00:07:11;34;00:02:52;19;00:04:53;27;Töttns änglar;Menn senior;M
27;23:42;03:43;Per Buttingsrud;70;00:06:57;18;00:01:39;46;00:06:58;25;00:02:46;11;00:05:22;43;Lillehammer CK;Menn senior;M
28;23:44;03:45;Tim Hassel;66;00:07:20;35;00:01:24;13;00:07:05;30;00:03:11;45;00:04:44;18;;Menn senior;M
29;23:46;03:47;Dag Lofthus;53;00:06:49;13;00:01:29;23;00:07:16;35;00:02:55;29;00:05:17;41;;Menn senior;M
30;23:47;03:48;Geir Byberg;78;00:07:14;29;00:01:29;24;00:07:10;33;00:02:57;33;00:04:57;28;;Menn senior;M
31;23:48;03:49;Tommy Pham;52;00:07:19;34;00:01:31;31;00:06:58;26;00:02:54;27;00:05:06;34;Flow Enduro;Menn senior;M
32;23:55;03:56;Andreas Rief;89;00:07:14;30;00:01:28;21;00:07:02;28;00:03:02;35;00:05:09;37;Hadeland CK;Menn senior;M
33;24:00:00;04:01;Bjørn William Moe;49;00:07:11;27;00:01:30;28;00:07:00;27;00:03:09;39;00:05:10;38;Røyken CK;Menn senior;M
34;24:03:00;04:04;Justinas Leveika;69;00:07:17;32;00:01:38;41;00:07:22;38;00:02:56;31;00:04:50;25;Savalen SK;Menn senior;M
35;24:12:00;04:13;Ivar Haug;55;00:07:18;33;00:01:34;35;00:06:55;23;00:03:17;46;00:05:08;36;Holmsbu IF;Menn senior;M
36;24:17:00;04:18;Knut Erik Håberget;85;00:07:11;28;00:01:33;33;00:07:08;32;00:02:54;28;00:05:31;46;CK Elverum;Menn senior;M
37;24:34:00;04:35;Steinar Haugros;56;00:07:36;39;00:01:33;32;00:07:37;43;00:02:58;34;00:04:50;26;;Menn senior;M
38;24:37:00;04:38;Jonathan Paddon;54;00:07:32;38;00:01:38;43;00:07:20;36;00:03:08;37;00:04:59;30;;Menn senior;M
39;24:39:00;04:40;Martin Kvisler;67;00:08:01;44;00:01:36;38;00:07:24;39;00:02:50;17;00:04:48;23;Gresvik IF;Menn senior;M
40;24:52:00;04:53;Karl Andreas Sagadalen;40;00:07:41;41;00:01:36;39;00:07:24;40;00:03:10;43;00:05:01;32;hadeland ck;Menn senior;M
41;25:03:00;05:04;Magnus Kalstad Forseth;80;00:07:43;42;00:01:38;42;00:07:35;42;00:03:04;36;00:05:03;33;Lillehammer Cykleklubb;Menn senior;M
42;25:12:00;05:13;Torbjørn Vedde;86;00:07:40;40;00:01:40;49;00:07:22;37;00:03:10;42;00:05:20;42;;Menn senior;M
43;25:35:00;05:36;Anders Lundberg;58;00:08:06;46;00:01:33;34;00:07:31;41;00:03:09;38;00:05:16;40;Ytre Dalsfjord Terrengsykkelklubb;Menn senior;M
44;25:45:00;05:46;Hans Kristian Blichfeldt;50;00:07:16;31;00:01:38;44;00:07:58;47;00:03:11;44;00:05:42;49;Holmsbu IF;Menn senior;M
45;26:45:00;06:46;Levi Aasen;81;00:08:13;48;00:01:35;36;00:07:58;46;00:03:26;54;00:05:33;47;Hain Tykje;Menn senior;M
46;26:51:00;06:52;Morten Nagel Muri;109;00:08:23;51;00:01:47;57;00:07:51;44;00:03:26;53;00:05:24;44;;Menn senior;M
47;26:54:00;06:55;Oskar Brodin;120;00:08:25;52;00:01:37;40;00:07:52;45;00:03:10;41;00:05:50;51;Hemsedal IL Sykkel;Menn senior;M
48;26:58:00;06:59;Marius rønningen Diseth;37;00:08:14;49;00:01:39;45;00:08:11;49;00:03:17;48;00:05:37;48;ck nittedal;Menn senior;M
49;27:01:00;07:02;Simon Gustavsson;129;00:08:26;53;00:01:39;47;00:08:23;51;00:03:18;49;00:05:15;39;;Menn senior;M
50;27:13:00;07:14;Jonas Molin;64;00:08:22;50;00:01:46;56;00:08:09;48;00:03:10;40;00:05:46;50;Töttns Änglar;Menn senior;M
51;27:16:00;07:17;Bjørn Sætnan;92;00:07:59;43;00:01:45;55;00:08:35;54;00:03:30;55;00:05:27;45;;Menn senior;M
52;28:11:00;08:12;Kent Scott Johnsen;95;00:08:36;55;00:01:44;54;00:08:19;50;00:03:17;47;00:06:15;52;;Menn senior;M
53;28:33:00;08:34;Lars Blichfeldt;94;00:08:02;45;00:01:42;51;00:08:24;52;00:03:22;51;00:07:03;55;Holmsbu IF;Menn senior;M
54;29:04:00;09:05;Carsten Harfallet;61;00:09:00;57;00:01:42;52;00:08:25;53;00:03:21;50;00:06:36;53;Blaker sykkel;Menn senior;M
DNF;DNF;;Eirik Reinertsen;68;00:08:27;54;00:01:40;48;00:09:13;56;;DNS;;DNS;Helgeland Kvæssers AB;Menn senior;M
DNF;DNF;;Rikard Bjørklund;76;00:09:35;58;00:01:40;50;;DNS;00:03:24;52;00:07:24;56;;Menn senior;M
DNF;DNF;;Morten Mathiesen;88;00:08:11;47;00:01:44;53;00:09:06;55;;DNS;00:06:47;54;;Menn senior;M
DNF;DNF;;Ole Kristian Bing Johnsen;90;00:08:51;56;;DNS;;DNS;;DNS;;DNS;Helgeland Kvæssers AB;Menn senior;M
1;21:05;;Knut Røhme;108;00:05:59;1;00:01:21;2;00:06:02;1;00:02:33;1;00:05:10;13;Romeriksåsen SK / Team Sørensen Racing;U21 menn 17-20 år;M
2;21:21;00:16;Ole-Hermann Bergby;128;00:06:56;6;00:01:21;3;00:06:20;3;00:02:35;2;00:04:09;2;;U21 menn 17-20 år;M
3;21:25;00:20;Kristian Holiman;122;00:06:31;3;00:01:26;6;00:06:27;4;00:02:43;5;00:04:18;3;SK Rye;U21 menn 17-20 år;M
4;21:40;00:35;Albin Littorin-Sandbu;121;00:06:39;4;00:01:21;1;00:06:19;2;00:03:01;14;00:04:20;4;Sk Rye;U21 menn 17-20 år;M
5;22:22;01:17;Aleksander Dokset;104;00:06:54;5;00:01:30;12;00:06:41;6;00:02:39;4;00:04:38;8;Sk rye;U21 menn 17-20 år;M
6;22:30;01:25;Simen Engedahl;101;00:07:04;9;00:01:27;8;00:06:42;7;00:02:43;6;00:04:34;5;Svelvik SK;U21 menn 17-20 år;M
7;22:40;01:35;Leo Solland;106;00:06:57;7;00:01:27;7;00:06:52;9;00:02:49;9;00:04:35;6;SK Rye / Team Santa Cruz Sykler;U21 menn 17-20 år;M
8;23:00;01:55;Even Bekkevold;99;00:07:03;8;00:01:27;9;00:06:56;10;00:02:56;12;00:04:38;10;Asker Enduro;U21 menn 17-20 år;M
9;23:06;02:01;Haakon Larssen;105;00:07:07;11;00:01:30;13;00:06:58;11;00:02:51;10;00:04:40;11;;U21 menn 17-20 år;M
9;23:06;02:01;Ola Jåvold Landmark;124;00:06:28;2;00:01:23;5;00:08:30;16;00:02:38;3;00:04:07;1;Bærum Ock;U21 menn 17-20 år;M
11;23:11;02:06;Magnus Slinger Sørli;123;00:07:31;15;00:01:22;4;00:06:40;5;00:03:02;15;00:04:36;7;Svelvik SK/Team Santa Cruz Sykler;U21 menn 17-20 år;M
12;23:22;02:17;Peder Kirkebøen;96;00:07:18;13;00:01:30;11;00:07:05;12;00:02:51;11;00:04:38;9;Hemsedal il sykkelgruppa;U21 menn 17-20 år;M
13;23:28;02:23;Sigve Ulleland;98;00:07:05;10;00:01:28;10;00:06:44;8;00:02:44;7;00:05:27;14;Molde CK;U21 menn 17-20 år;M
14;23:42;02:37;Oskar Omdal;97;00:07:17;12;00:01:31;14;00:07:11;13;00:03:00;13;00:04:43;12;;U21 menn 17-20 år;M
15;24:45:00;03:40;Lars Hesby Hurum;103;00:07:24;14;00:01:34;15;00:07:14;14;00:02:46;8;00:05:47;16;SK Rye;U21 menn 17-20 år;M
16;26:55:00;05:50;Tobias Bjerknes;100;00:08:05;16;00:01:36;16;00:08:24;15;00:03:14;16;00:05:36;15;CK Nittedal;U21 menn 17-20 år;M
17;29:36:00;08:31;Edvard Skei Tønset;84;00:08:38;17;00:01:48;17;00:09:06;17;00:03:42;17;00:06:22;17;;U21 menn 17-20 år;M
;31:23:00;;Henning Tomren;131;00:09:23;;00:01:48;;00:09:52;;00:04:03;;00:06:17;;Kvam o2 / PwC;Explorer;M
;28:00:00;;Erik Thorsell;132;00:08:31;;00:01:44;;00:08:13;;00:03:15;;00:06:17;;Dellner IK;Explorer;M
;30:51:00;;Joacim Kullinger;133;00:09:25;;00:01:49;;00:09:47;;00:03:40;;00:06:10;;Västerås cykelklubb;Explorer;M
;26:29:00;;Trygve Nyborg;134;00:08:06;;00:01:34;;00:07:43;;00:03:26;;00:05:40;;;Explorer;M
;30:12:00;;Odd Uno Sigvartsen;135;00:09:17;;00:01:59;;00:08:50;;00:03:38;;00:06:28;;Eidskog Sykkel;Explorer;M
;32:53:00;;Bård Kristensen;136;00:10:18;;00:02:12;;00:09:19;;00:03:34;;00:07:30;;Solsiden MTB;Explorer;M
;26:07:00;;Even Windju;137;00:09:52;;00:01:42;;00:10:18;;00:04:15;;;;Sofasliterne;Explorer;M
