Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;113;Sjur Todnem;Hafrsfjord SK;Gutter 15-16;04:22.4;22;4:04.7;20;2:34.1;18;4:30.1;17;9:34.8;16;25:06.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;92;Mikkel August Myrvold;SK Rye sykkel;Gutter 15-16;04:41.1;24;4:37.5;23;3:01.1;24;4:35.6;18;11:31.7;20;28:27.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;105;Linus Sivertsen;Romeriksåsen SK;Gutter 15-16;04:14.5;19;4:44.0;24;2:46.5;20;8:23.9;23;9:43.9;17;29:52.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;102;Vetle Lie Karlsen;Re SK;Gutter 15-16;04:32.7;23;4:54.2;25;3:13.1;25;5:13.2;20;12:14.4;21;30:07.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;100;Christian Marstein Olsen;Romeriksåsen SK;Gutter 15-16;05:32.9;27;5:17.1;27;3:40.4;27;5:54.6 ;22;14:11.6 ;22;34:36.6 ;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;93;Olav Hungnes Nordrehaug;Romeriksåsen SK;Gutter 15-16;12:10.7;28;5:04.7;26;3:31.2;26;5:29.7 ;21;11:11.8 ;19;37:28.1 ;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;97;Julian Hoff;Skedsmokorset;Gutter 15-16;04:58.5;26;4:36.0;22;3:00.6;23;4:43.3;;;DNF;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;108;Sindre Hynne-Øye;CK Nittedal;Gutter 15-16;03:55.2;12;3:33.8;12;2:22.3;13;8:59.1 ;24;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;89;Emil Hernes;SK Rye sykkel;Gutter 15-16;03:36.1;4;3:21.2;4;2:27.6;15;;DNF;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;103;Brede Roløkken Tretterud;Andebarkji TSK;Gutter 15-16;04:20.8;21;3:49.1;16;2:53.3;21;;DNF;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;104;Magnus Stige;Molde CK;Gutter 15-16;04:06.0;16;12:55.0;28;2:57.4;22;;DNF;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;88;Andreas Flaten;Romeriksåsen SK;Gutter 15-16;04:42.7;25; 4:24.1;21;;DNF;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;110;Jon Bache-Wiig;SK Rye sykkel;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;98;Emil Mo Fuglevik;Bergen CK;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;91;Leif Martin Syversrud;Nes SK;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;101;Trym Vik;Bergen CK;Gutter 15-16;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;94;Emily Skeie-Lebreux;CK Nittedal;Jenter 15-16;04:30.1;1;3:52.0;1;2:41.3;1;4:10.3;1;9:18.4;1;24:32.1;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;128;Martin Kvisler;Trysil;Menn sport;03:39.4;1;3:24.6;1;2:09.7;1;3:38.2;1;7:58.9;1;20:50.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;118;Tim Hassel;Dal;Menn sport;3:47.7;2;3:38.8;3;2:15.5;2;3:55.2;3;8:46.1;3;22:23.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;137;Eivind Tørset;Rennebu Sykkelklubb;Menn sport;3:55.9;3;3:45.6;4;2:38.6;6;4:13.0;4;8:51.1;4;23:24.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;139;Mikael Hamran;Nærbø;Menn sport;4:13.3;7;3:59.2;6;2:29.6;4;4:17.7;5;8:37.0;2;23:36.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;131;Robin Von Braun;Seidel Sykkelklubb;Menn sport;4:05.7;6;3:38.6;2;2:18.6;3;3:51.1;2;10:05.6;7;23:59.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;124;Marius Monssveen;Move Kiropraktikk;Menn sport;3:59.9;4;3:58.9;5;2:57.7;8;4:20.5;7;9:05.7;5;24:22.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;136;Fredrik Grøtte;Rennebu Sykkelklubb;Menn sport;4:02.6;5;4:09.6;7;2:29.8;5;4:19.0;6;9:29.7;6;24:30.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;125;Fredrik Bekkåsen;Siggerud;Menn sport;4:36.4;8;4:31.6;8;2:57.2;7;4:45.8;8;11:58.7;11;28:49.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;123;Jo Emil Holen;Oslo;Menn sport;4:41.0;9;4:52.2;10;3:17.5;10;4:59.4;9;11:30.5;10;29:20.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bart Visser;Oslo;Menn sport;4:58.3;10;4:43.9;9;3:10.1;9;5:19.9;12;11:18.3;9;29:30.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;130;Mikael Jansson;Bauhaus Sportklubb;Menn sport;05:02.6;11;4:57.4;11;3:21.6;11;5:16.2;10;10:56.0;8;29:33.8;11;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;129;Magnus Wolff Sørlie;Nsgp - Norsk Sekt : Golden Power;Menn sport;5:56.4;13;5:29.0;12;3:46.4;13;5:17.8;11;13:53.7;12;34:23.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;126;Fredrik Nygaard;Drøbak-Frogn IL Sykkel;Menn sport;05:22.8;12;5:37.5;13;3:46.2;12;;DNF;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;119;Andreas Bache-Wiig;Oslo;Menn sport;;DNS;;DNS;;DNS;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;64;Tess Van Weerdhuizen;IF Frøy;Jenter 13-14;04:22.7;1;4:07.5;1;3:13.1;1;;;9:20.9;1;21:04.2;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;68;Astrid Melheim;;Jenter 13-14;08:14.9;2;9:11.0;2;4:44.6;2;;;16:25.6;2;38:36.1;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;58;Simen Østraat Hauken;Hafrsfjord SK;Gutter 13-14;03:46.3;1;3:32.8;1;2:25.3;1;;;7:55.9;1;17:40.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;62;Sverre Heen;Ringerike SK;Gutter 13-14;04:11.0;2;3:46.9;2;2:26.5;2;;;8:45.2;2;19:09.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;56;Edvald Bang-Johansen;IF Frøy;Gutter 13-14;04:22.5;4;4:00.7;3;2:35.6;3;;;9:10.8;3;20:09.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;72;André Mathisen;IF Frøy;Gutter 13-14;04:37.8;6;4:10.3;5;2:42.2;5;;;9:06.6;4;20:36.9;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;65;Thomas Sandvik Reiersen;IF Frøy;Gutter 13-14;04:18.8;3;4:10.6;4;2:43.9;4;;;9:38.2;5;20:51.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;73;Gustav Hoddell;Hafrsfjord SK;Gutter 13-14;04:30.3;5;4:30.7;6;2:39.3;6;;;9:35.4;6;21:15.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;71;Sverre Granviken;SK Rye sykkel;Gutter 13-14;04:39.0;7;4:29.5;7;2:50.6;7;;;9:21.7;7;21:20.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;57;Iver Bjella Unneberg;IF Frøy;Gutter 13-14;05:10.3;10;4:37.7;8;3:17.1;9;;;9:55.7;8;23:00.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;69;Hugo Gabart-Gill;Hafrsfjord SK;Gutter 13-14;05:02.0;8;4:47.2;9;2:54.9;8;;;10:28.0;9;23:12.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;61;Sjur Holo Leikarnes;Molde CK;Gutter 13-14;05:02.5;9;4:59.1;10;3:17.9;10;;;10:59.7;10;24:19.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;67;Aksel Roløkken Tretterud;Andebarkji TSK;Gutter 13-14;05:28.0;11;5:07.4;11;6:52.7;12;;;10:42.6;11;28:10.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;66;Edvard Røed-Bottenvann;Ringerike SK;Gutter 13-14;06:21.8;12;5:53.6;12;3:53.0;11;;;13:50.7;12;29:59.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;70;Thomas Wiel Bjørkøy;CK Nittedal;Gutter 13-14;;DNS;;DNS;;DNS;;;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;63;Trym Remmen-Bottolfs;Modum CK;Gutter 13-14;;DNS;;DNS;;DNS;;;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;60;Axel Tindre Schybergson;SK Rye sykkel;Gutter 13-14;;DNS;;DNS;;DNS;;;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;59;Aksel Valen-Sendstad;CK Nittedal;Gutter 13-14;;DNS;;DNS;;DNS;;;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;29;Tatiana Furnes;SK Rye sykkel;Kvinner junior;04:30.1;1;4:25.2;1;3:00.0;1;5:12.1;1;9:52.9;1;27:00.3;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;20;Maja Tangen Risheim;IF Frøy;Kvinner junior;05:12.5;2;5:07.9;2;3:24.7;2;5:27.4;2;12:57.7;2;32:10.2;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2;Silje Kreken Almeland;Bærum OCK;Kvinner master;4:45.3;1;4:33.6;1;3:26.8;1;5:11.8;1;11:18.7;1;28:56.2;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;36;Celine Kirkeng;Aron Sportsklubb;Kvinner master;5:45.0;4;5:22.8;3;3:11.1;2;5:48.9;2;11:49.2;2;31:57.0;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;22;Mari Aarrestad;Siggerud IL – sykkel;Kvinner master;5:19.4;2;5:18.2;2;3:51.1;3;6:20.6;3;12:37.3;3;33:26.6;;F;;;;;;;;;;;;;;;;;;;;;;;;;;05:33.7;3;5:33.7;3;
;51;Silje Nedland Molnes;Sandefjord SK;Kvinner master;5:33.7;3;5:43.8;4;;DNF;;DNS;;DNS;DNF;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;DNF;DNF;DNF
1;45;Anna Littorin-Sandbu;SK Rye sykkel;Kvinner senior;04:04.4;1;3:58.6;1;2:23.8;1;4:21.1;1;9:25.6;3;24:13.5;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;21;Anette Røssum Bastnes;Aron Sportsklubb;Kvinner senior;04:16.0;2;3:59.2;2;2:42.9;4;4:24.8;2;9:11.1;1;24:34.0;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;19;Vera Leivsdottir Knapstad;Bergen MTB Klubb;Kvinner senior;04:25.0;3;3:53.2;3;2:41.9;3;4:25.8;3;9:18.6;2;24:44.5;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;6;Nora Stang;SK Rye sykkel;Kvinner senior;04:35.0;4;4:13.4;4;2:41.4;2;4:46.8;4;9:38.4;4;25:55.0;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;34;Simen Føsker;Lørenskog CK;Menn junior;3:25.0;1;3:14.3;1;2:07.4;1;3:36.1;1;7:59.6;1;20:22.4;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;38;Laurits Kjøpstad Høgset;Molde CK;Menn junior;3:40.6;2;3:27.6;3;2:06.9;2;3:41.8;2;7:47.7;2;20:44.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;5;Sondre Oldervik Andersen;IF Frøy;Menn junior;3:43.2;3;3:21.5;2;2:11.7;3;3:58.8;3;7:45.8;3;21:01.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;25;Alexander Halvorsen;Gresvik IF;Menn junior;3:44.6;4;3:35.0;4;2:27.5;5;3:56.2;5;7:52.7;4;21:36.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;41;Florian Vanbuggenhout-Mogensen;Lillehammer CK;Menn junior;3:45.9;5;3:39.1;6;2:15.5;4;3:52.1;4;8:05.2;5;21:37.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;15;Mats Laeskogen;CK Nittedal;Menn junior;4:11.3;7;3:35.5;7;2:22.6;7;3:54.5;6;8:02.3;6;22:06.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;49;Jasper Johannessen Faurby;CK Nittedal;Menn junior;3:54.9;6;3:29.3;5;2:40.3;6;4:04.4;7;8:01.6;7;22:10.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;32;Ludvik Bang-Johansen;IF Frøy;Menn junior;4:19.2;8;4:10.1;8;2:31.8;8;4:28.4;8;10:20.3;8;25:49.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;8;Teodor Johnsen Alexander;IF Frøy / Frøy Gravity;Menn junior;3:35.9;10;3:20.7;9;2:26.2;9;3:50.1;9;8:21.2;9;26:34.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;10;William Johnsen;IF Frøy;Menn junior;3:57.2;11;3:24.0;10;2:18.5;10;3:58.5;10;8:07.5;10;26:45.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;18;Markus Lia Reenskaug;IF Frøy;Menn junior;4:07.3;12;3:56.7;11;2:30.9;11;4:34.7;11;10:35.4;11;30:45.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Adam O'reilly;Lillehammer CK;Menn junior;5:28.0;12;;DNF;;DNF;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;Tobias Malmstrøm-Johansen;Hafrsfjord SK / Malmstrøm-Johansen;Menn junior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17;Jørgen Solås;SK Rye sykkel;Menn junior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;44;Kim-Erik Larsen;Moss BMX;Menn master;3:23.9;1;3:06.1;1;2:13.5;1;3:42.7;1;7:32.8;1;19:59.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;30;Tom Ole Haukom;Kongsberg;Menn master;3:34.0;3;3:21.9;3;2:08.3;3;3:37.8;2;7:42.5;2;20:24.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;52;Hamish Ryan;SK Rye sykkel;Menn master;3:34.1;4;3:23.6;5;2:14.1;4;3:51.7;3;7:43.4;3;20:46.9;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;31;Arild Heimli Johnsen;Kolbotn SK;Menn master;3:31.7;2;3:24.6;4;2:32.6;5;3:50.6;4;8:18.7;4;21:38.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;9;Isak Solomon;SK Rye sykkel;Menn master;3:40.3;7;3:34.2;7;2:20.6;7;3:59.5;5;8:21.5;5;21:56.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;28;Kristoffer Rakneberg;Bergen MTB Klubb;Menn master;3:50.4;8;3:40.5;8;2:24.2;8;3:51.5;7;8:21.6;6;22:08.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;138;Martin Borge Olsen;Aron Sportsklubb;Menn master;3:35.7;6;3:34.4;6;2:24.1;6;4:07.9;6;8:41.9;7;22:24.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;35;Baard Hellebostad;Aron Sportsklubb;Menn master;3:54.9;11;3:36.2;9;2:26.2;9;4:02.4;8;8:34.8;8;22:34.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;54;Håvard A. Sefland;Kristiansands CK;Menn master;3:52.9;10;3:48.9;11;2:19.2;10;4:04.3;9;8:44.4;9;22:49.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;23;Hans Ivar Ramsøy;Bergen MTB Klubb;Menn master;3:51.8;9;3:42.6;10;2:29.0;11;4:13.7;10;8:59.1;10;23:16.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;26;Teodor Wedum;Lillehammer;Menn master;4:20.2;13;3:51.5;12;2:42.5;12;4:15.5;11;8:55.3;11;24:05.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;33;Leiv Tvenning;Molde CK;Menn master;4:31.6;15;4:11.3;15;2:44.2;13;4:27.7;12;9:48.5;12;25:43.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;55;Christoffer Borge Olsen;Aron Sportsklubb;Menn master;4:23.5;14;4:12.3;14;2:52.5;14;4:33.4;13;10:21.6;13;26:23.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;42;Jan Henrik Høilund;SK Rye sykkel;Menn master;4:37.3;17;4:28.6;17;3:03.7;17;5:07.7;17;10:13.9;14;27:31.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;46;Marius Minster;Soon CK;Menn master;4:53.9;18;4:21.2;18;2:54.4;16;4:43.4;15;11:00.8;15;27:53.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;53;Alexander Berg;Moss BMX;Menn master;4:34.2;16;4:13.7;16;3:12.9;15;4:44.6;14;12:19.8;16;29:05.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;16;Karl-Oskar Sæther;Kolbotn SK;Menn master;05:18.1;19;4:57.9;19;2:31.5;11;4:19.2;12;;DNF;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;12;Emil Aamli Carlson;Vang Skiløperforening Sykkel;Menn master;03:35.0;5;3:20.3;2;2:08.7;2;;DNF;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;Bjørn-Kristian Bratlie;SK Rye sykkel;Menn master;04:05.5;12;4:09.4;13;;DNF;;DNS;;DNS;DNF;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;3;William Scheele;SK Rye sykkel;Menn senior;3:04.7;1;2:51.7;1;1:56.2;1;3:16.4;1;6:36.6;1;17:45.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;47;Even Bekkevold;Aron Sportsklubb;Menn senior;3:06.9;2;2:54.0;2;1:55.6;2;3:17.5;2;6:44.0;2;17:58.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;50;Eskil Hafskjold;SK Rye sykkel;Menn senior;3:11.1;3;2:59.6;4;1:57.0;4;3:20.9;3;6:52.0;3;18:20.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;13;Gard Brovold;IL Heming - sykkelgruppe;Menn senior;3:11.1;4;2:53.0;3;1:56.3;3;3:42.0;4;7:00.4;4;18:42.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;48;Jo Gujord Røisli;CK Nittedal;Menn senior;3:24.5;5;3:17.8;5;2:04.1;5;3:27.6;5;7:07.5;5;19:21.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;24;Lars Dreyer;NTNUI;Menn senior;3:33.3;7;3:10.0;6;2:05.6;6;3:28.0;6;7:10.4;6;19:27.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;1;Albin Littorin-Sandbu;SK Rye sykkel;Menn senior;3:32.6;6;3:14.0;7;2:04.7;7;3:32.2;7;7:10.7;7;19:34.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;11;Per Einar Brovold;IL Heming - sykkelgruppe;Menn senior;3:40.2;9;3:16.2;8;2:13.7;8;3:36.1;8;7:29.2;8;20:15.4;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;39;Bård Pettersen;Modum CK;Menn senior;3:43.0;10;3:22.1;9;2:11.7;9;3:39.3;9;7:47.5;9;20:43.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;37;Marius Fenstad Skjærstad;SK Rye sykkel;Menn senior;3:39.3;8;3:27.9;10;2:17.7;10;3:56.7;10;8:11.2;10;21:32.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;43;Rasmus Mackenzie;SK Rye sykkel;Menn senior;4:11.9;11;3:26.3;11;2:12.7;11;4:02.1;11;8:20.2;11;22:13.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;4;Matthew Geraghty;IL Heming - sykkelgruppe;Menn senior;4:35.4;12;4:28.3;12;2:49.8;12;4:26.0;12;9:41.1;12;26:00.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;Ola Jåvold Landmark;Bærum OCK;Menn senior;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;120;Eric Aksdal;Bergen MTB Klubb;Menn EL-sykkel;03:54.5;2;3:42.7;1;2:19.0;1;3:58.8;1;8:17.9;1;22:12.9;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;117;Bror Brurberg;Oppdal;Menn EL-sykkel;04:00.7;3;4:01.6;3;2:38.9;3;4:19.2;3;8:24.6;2;23:25.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;127;Michal Ciesinski;Aron Sportsklubb;Menn EL-sykkel;03:51.5;1;3:44.1;2;2:29.0;2;4:10.2;2;11:08.6;5;25:23.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;141;Mareks Kravalis;Trysil;Menn EL-sykkel;04:17.4;4;4:24.7;4;2:45.3;4;4:36.1;4;9:35.3;3;25:38.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;116;Bjørn Herbrand Tretterud;Andebarkji TSK;Menn EL-sykkel;04:47.7;6;4:31.9;5;4:54.2;6;4:54.8;6;9:43.4;4;26:52.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;140;Emma Smith;Trysil;Kvinner EL-sykkel;04:23.8;1;4:32.0;1;3:09.0;1;4:53.4;1;13:38.5;1;30:36.7;;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
