Pos Klasse;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;chiptime;diff;gender
10th;58;Morten Blom;Grimstad Singletrack;Menn elduro;4:09.05;11;3:37.98;10;5:26.85;9;4:07.09;10;17:20.97;+2:38.71;M
11th;54;Eivind Rosén;IL Hole CK;Menn elduro;4:03.85;10;3:34.05;8;5:34.23;10;4:10.52;11;17:22.65;+2:40.39;M
12th;52;Stian Dygg;Il Hole CK;Menn elduro;4:09.91;12;3:45.64;11;5:38.88;12;4:10.83;12;17:45.26;+3:03.00;M
13th;59;Thomas Frydenlund;The Dads Club;Menn elduro;4:17.80;13;3:47.81;12;5:59.32;13;4:18.07;14;18:23.00;+3:40.74;M
14th;60;Ole Petter Hafnor;;Menn elduro;4:32.13;14;3:48.08;13;6:09.95;15;4:14.16;13;18:44.32;+4:02.06;M
15th;50;Rufus Preiss;Kragerø SK;Menn elduro;4:35.30;15;3:58.18;14;6:02.60;14;4:30.25;15;19:06.33;+4:24.07;M
16th;51;Simen Rambøl;;Menn elduro;6:28.71;16;4:37.75;16;7:25.58;16;6:01.05;16;24:33.09;+9:50.83;M
1st;113;Arild Heimli Johnsen;Siggerud IL / sykkel;Menn master;3:36.90;1;3:13.81;1;5:13.83;2;3:37.25;1;15:41.79;;M
2nd;120;Piotr Susfal;Wolves Enduro Team;Menn master;3:54.15;2;3:28.43;2;5:11.23;1;3:49.25;2;16:23.06;+0:41.27;M
3rd;100;Jon Sandvand;DTBS;Menn master;3:57.68;3;3:30.40;3;5:31.35;3;4:10.92;4;17:10.35;+1:28.56;M
4th;108;Kristian Hauglum;SK Rye sykkel;Menn master;4:15.06;8;3:31.62;4;5:31.80;4;4:02.43;3;17:20.91;+1:39.12;M
5th;114;Marius Langum;Aron Sportsklubb;Menn master;4:10.98;7;3:37.70;9;5:43.25;7;4:17.98;7;17:49.91;+2:08.12;M
6th;109;Lars Mouland;Bærum OCK;Menn master;4:20.05;10;3:34.57;6;5:43.00;6;4:20.05;8;17:57.67;+2:15.88;M
7th;121;Christofer Engstrøm;Eidanger IL;Menn master;4:10.35;6;3:36.06;8;5:54.53;11;4:20.37;9;18:01.31;+2:19.52;M
8th;110;Runar Ranheim;Eidsvoll SK;Menn master;4:22.10;11;3:41.55;11;5:48.06;9;4:14.85;5;18:06.56;+2:24.77;M
9th;116;Roar Olsen;Follo SK;Menn master;4:17.98;9;3:41.22;10;5:40.78;5;4:32.97;17;18:12.95;+2:31.16;M
10th;112;Håvard Rishoff;Krokskogen Cykleklubb;Menn master;4:25.05;14;3:44.09;12;5:50.64;10;4:16.92;6;18:16.70;+2:34.91;M
11th;106;Jan Henrik Høilund;SK Rye sykkel;Menn master;4:28.58;16;3:49.49;15;5:45.25;8;4:23.11;11;18:26.43;+2:44.64;M
12th;115;Christian Erga;Siggerud IL / sykkel;Menn master;4:25.47;15;3:46.57;13;5:55.75;12;4:24.32;12;18:32.11;+2:50.32;M
13th;119;Trond Bentzen;Siggerud IL / sykkel;Menn master;4:23.67;12;3:48.82;14;6:06.85;15;4:29.80;16;18:49.14;+3:07.35;M
14th;101;Tore Hovden;;Menn master;4:24.22;13;3:58.62;18;5:59.97;13;4:28.31;13;18:51.12;+3:09.33;M
15th;103;Kristian Fagervik;DTBS;Menn master;4:30.54;17;3:51.16;16;6:07.61;16;4:21.95;10;18:51.26;+3:09.47;M
16th;117;Andreas Christensen;Bærum OCK;Menn master;4:43.95;20;4:00.63;19;6:00.78;14;4:28.38;14;19:13.74;+3:31.95;M
17th;102;Nikolai Engelstad;;Menn master;4:43.60;19;3:53.06;17;6:29.05;17;4:38.73;18;19:44.44;+4:02.65;M
18th;107;Stian Eilifsen;;Menn master;4:35.97;18;4:01.53;20;6:43.56;18;4:29.07;15;19:50.13;+4:08.34;M
19th;105;Christopher Omtvedt;;Menn master;5:21.73;21;4:43.80;21;7:23.50;19;5:16.34;19;22:45.37;+7:03.58;M
20th;118;Michael Olofsson;Siggerud IL / sykkel;Menn master;6:35.17;22;5:38.07;22;9:07.97;20;7:09.64;20;28:30.85;+12:49.06;M
;122;Bjørn Asplund;Hemsedal IL Sykkel;Menn master;4:10.12;5;3:35.20;7;10:00.75;21;;DNF;;;M
;111;Bjørn-Kristian Bratlie;Sagene IF Sykkel;Menn master;3:58.63;4;3:32.80;5;;DNF;;DNS;;;M
;104;Torbjørn Kalleklev;;Menn master;;DNS;;DNS;;DNS;;DNS;;;M
1st;159;Gard Brovold;IL Heming - sykkelgruppe;Menn senior;3:42.32;6;3:03.52;1;4:44.18;1;3:25.58;1;14:55.60;;M
2nd;158;Ola Jåvold Landmark;Bærum OCK;Menn senior;3:31.20;2;3:13.37;4;4:45.57;2;3:27.38;2;14:57.52;+0:01.92;M
3rd;168;Andreas Aalby;Asker CK;Menn senior;3:31.40;3;3:12.68;3;4:58.07;4;3:36.30;4;15:18.45;+0:22.85;M
4th;131;Jasper Albrecht;Bobby and Jaspers and Millies extreme off-road mou;Menn senior;3:42.60;7;3:21.25;10;5:00.05;5;3:42.65;10;15:46.55;+0:50.95;M
5th;187;Martin Østberg;Aron SK;Menn senior;3:39.78;4;3:18.53;7;5:12.37;12;3:41.52;7;15:52.20;+0:56.60;M
6th;164;Kjetil Øygard;Lillehammer CK;Menn senior;3:44.68;8;3:20.52;9;5:09.67;9;3:38.02;5;15:52.89;+0:57.29;M
7th;161;Mikal Dyngeland Vik;Fana IL Sykkel;Menn senior;3:47.52;11;3:15.03;5;5:09.43;6;3:42.13;8;15:54.11;+0:58.51;M
8th;163;Kristian Holiman;SK Rye sykkel;Menn senior;3:54.98;23;3:23.49;15;5:09.47;7;3:35.25;3;16:03.19;+1:07.59;M
9th;176;Ola Myklatun Krosness;SK Rye sykkel;Menn senior;3:45.25;9;3:19.15;8;5:11.29;10;3:48.15;15;16:03.84;+1:08.24;M
10th;170;Anders Todal Johnsrud;Krokskogen Cykleklubb;Menn senior;3:42.25;5;3:16.25;6;5:18.17;16;3:47.82;14;16:04.49;+1:08.89;M
11th;156;Sindre Ødemark;Romeriksåsen SK;Menn senior;3:53.10;20;3:23.84;17;5:09.48;8;3:40.82;6;16:07.24;+1:11.64;M
12th;157;Adrian Hilde;Kristiansands CK;Menn senior;3:46.78;10;3:22.25;11;5:15.95;14;3:42.27;9;16:07.25;+1:11.65;M
13th;136;Dag Lofthus;;Menn senior;3:47.98;12;3:23.14;13;5:20.55;18;3:46.33;11;16:18.00;+1:22.40;M
14th;154;Jonas Olsson;SK Rye sykkel;Menn senior;3:51.59;16;3:22.93;12;5:17.45;15;3:46.58;12;16:18.55;+1:22.95;M
15th;150;Christian Halland;Il Hole ck;Menn senior;3:49.70;14;3:27.45;21;5:15.61;13;3:48.55;16;16:21.31;+1:25.71;M
16th;182;Hugo Witek;Wild Slope Bikes;Menn senior;3:52.28;17;3:23.17;14;5:18.81;17;3:47.28;13;16:21.54;+1:25.94;M
17th;130;Ethan Hamer;Bobby and Jaspers and Millies extreme off-road mou;Menn senior;4:04.39;26;3:23.78;16;5:11.48;11;3:54.43;21;16:34.08;+1:38.48;M
18th;171;Kristian Østlie;CK Nittedal;Menn senior;3:50.70;15;3:25.08;19;5:29.14;20;3:50.78;19;16:35.70;+1:40.10;M
19th;160;Olav Engen;Lillehammer Sport;Menn senior;3:49.68;13;3:24.80;18;5:32.15;22;3:49.68;17;16:36.31;+1:40.71;M
20th;177;Timothy Pedersen;Asker CK;Menn senior;3:52.80;18;3:26.55;20;5:33.95;23;3:50.13;18;16:43.43;+1:47.83;M
21st;166;Pål Johansen;Aron Sportsklubb;Menn senior;3:52.83;19;3:32.70;24;5:29.01;19;3:53.80;20;16:48.34;+1:52.74;M
22nd;134;Sam Mead;Lynher Dairies cheese co;Menn senior;4:00.13;25;3:35.86;25;5:36.02;25;4:02.17;24;17:14.18;+2:18.58;M
23rd;169;Christoffer Borge Olsen;Aron Sportsklubb;Menn senior;4:06.72;27;3:36.25;27;5:37.92;26;3:58.78;22;17:19.67;+2:24.07;M
24th;153;Christian Maximillian Danielssen;Friluftsmafian CK;Menn senior;3:54.95;22;3:29.40;22;5:55.90;38;4:02.10;23;17:22.35;+2:26.75;M
25th;175;Stian Rismyhr;Siggerud IL / sykkel;Menn senior;3:54.08;21;3:32.40;23;5:34.35;24;4:25.35;36;17:26.18;+2:30.58;M
26th;179;Anders Anker-Rasch;Bærum OCK;Menn senior;4:07.98;28;3:41.45;35;5:38.30;27;4:04.80;26;17:32.53;+2:36.93;M
27th;135;Justas Steponaitis;;Menn senior;4:09.70;29;3:38.99;31;5:31.20;21;4:15.54;32;17:35.43;+2:39.83;M
28th;184;David Rentzhog;Fossum IF Sykkel;Menn senior;4:12.50;33;3:40.90;33;5:41.30;30;4:04.55;25;17:39.25;+2:43.65;M
29th;173;Terje Unnerud;Mjølkerampa SK;Menn senior;4:16.22;35;3:37.02;28;5:39.60;29;4:08.38;29;17:41.22;+2:45.62;M
30th;147;Joachim Bernhardsen;DTBS;Menn senior;4:11.20;32;3:35.94;26;5:48.10;32;4:16.40;34;17:51.64;+2:56.04;M
31st;145;Sindre Kåseth;Slitin i knea;Menn senior;4:15.55;34;3:47.08;39;5:39.53;28;4:15.55;33;17:57.71;+3:02.11;M
32nd;165;Tobias Bjerknes;CK Nittedal;Menn senior;4:10.88;31;3:42.98;36;5:55.70;37;4:08.33;28;17:57.89;+3:02.29;M
33rd;146;Fredrik Foerster-Massey;DTBS;Menn senior;4:16.25;36;3:41.08;34;5:50.73;33;4:10.25;30;17:58.31;+3:02.71;M
34th;139;Bjørn Ankre;ZENSYKKEL.NO;Menn senior;4:16.96;38;3:39.88;32;5:54.88;36;4:07.90;27;17:59.62;+3:04.02;M
35th;162;Iver Skustad;Aron Sportsklubb;Menn senior;4:28.63;41;3:37.96;30;5:45.06;31;4:13.77;31;18:05.42;+3:09.82;M
36th;178;Fredrik Carlsen;Kristiansands CK;Menn senior;4:16.62;37;3:43.73;37;5:52.20;34;4:21.60;35;18:14.15;+3:18.55;M
37th;180;Marius Minster;Soon CK;Menn senior;4:17.57;39;3:46.64;38;5:54.61;35;4:39.93;39;18:38.75;+3:43.15;M
38th;132;Niclas Johansen;ZENSYKKEL.NO;Menn senior;4:48.48;47;4:04.55;42;6:05.50;39;4:49.51;41;19:48.04;+4:52.44;M
39th;140;Eskil Koldre;;Menn senior;4:43.53;44;4:13.40;45;6:32.95;43;4:38.00;37;20:07.88;+5:12.28;M
40th;152;Frank Werner Olsen;Krokskogen Cykleklubb;Menn senior;4:10.86;30;3:59.75;40;6:06.00;40;5:55.60;49;20:12.21;+5:16.61;M
41st;138;Lars Tørhaugen;;Menn senior;4:38.38;42;4:13.55;46;6:41.11;44;4:42.85;40;20:15.89;+5:20.29;M
42nd;142;Saman Mameghani;;Menn senior;4:40.90;43;4:09.00;44;6:47.08;45;5:12.43;46;20:49.41;+5:53.81;M
43rd;149;Kristian Syversen;Modum ck;Menn senior;4:44.28;45;4:20.38;47;7:06.13;48;4:54.85;43;21:05.64;+6:10.04;M
44th;186;Ignacy Warsza;;Menn senior;5:03.90;49;4:21.25;48;7:06.95;49;4:53.18;42;21:25.28;+6:29.68;M
45th;137;Ole Fidjestøl;;Menn senior;5:08.42;50;4:24.00;49;6:50.30;47;5:04.72;44;21:27.44;+6:31.84;M
46th;123;Rune Testkjører;;Menn senior;4:23.87;40;4:02.46;41;6:15.32;41;6:48.93;50;21:30.58;+6:34.98;M
47th;167;Petter Skjåk;Åsa;Menn senior;4:59.31;48;4:33.61;50;6:48.77;46;5:09.88;45;21:31.57;+6:35.97;M
48th;151;Even Tinius Grefsrud;;Menn senior;4:45.37;46;6:36.97;52;7:24.48;50;5:35.95;47;24:22.77;+9:27.17;M
49th;183;Jakub Palenik;;Menn senior;5:36.35;51;5:04.20;51;7:52.14;51;5:51.73;48;24:24.42;+9:28.82;M
50th;172;Lars Håkon Hegertun;Grimstad SK;Menn senior;9:58.95;52;4:05.53;43;6:32.37;42;4:38.75;38;25:15.60;+10:20.00;M
;155;Bård Pettersen;Modum CK;Menn senior;3:30.33;1;3:08.76;2;4:53.38;3;;DNF;;;M
;144;Jørgen Lærum;Krokskogen Cykleklubb;Menn senior;4:00.07;24;3:37.57;29;12:59.50;52;;DNF;;;M
;141;Georg Monsen;Friluftsmafian CK;Menn senior;44:01.12;53;;DNF;;DNS;;DNS;;;M
;148;Arnoldas Karpavicius;;Menn senior;;DNS;;DNS;;DNS;;;;;M
;143;Tommy Madland;Kragget;Menn senior;;DNS;;DNS;;DNS;;;;;M
;133;Robin Ruston;;Menn senior;;DNS;;DNS;;DNS;;;;;M
;174;Karl-Oskar Sæther;Siggerud IL / sykkel;Menn senior;;DNS;;DNS;;DNS;;;;;M
;181;Bjørn Sætnan;;Menn senior;;DNS;;DNS;;DNS;;;;;M
